Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Real Det Return
1729.23,53,334.4576,208.732,1133.8
2278.43,54,327.6886,161.9533,1801.71
2828.72,55,327.9722,162.1289,1083.75
2962.48,56,316.031,130.4316,1571.53
2299.18,57,325.2361,169.3067,1281.61
2724.19,58,328.9502,139.5673,2729.39
1875.59,59,345.3172,201.9057,1616.15
2264.6,60,335.6929,163.9094,1991.01
2391.77,61,358.1803,246.983,1169.53
1203.24,62,364.9718,277.141,1119.23
2159.35,63,351.3201,205.7834,2288.03
3657.62,64,328.3096,136.407,2560.86
1639.2,65,356.814,236.2217,1786.42
1279.56,66,351.6706,219.1483,1657.31
3389.52,67,337.6361,180.1392,3901.67
4295.98,68,330.012,145.3041,4066.63
3553.13,69,332.5599,142.79,3572.67
4048.55,70,330.7112,149.698,4582.33
3582.69,71,324.3806,137.8417,4774.72
4173.89,72,333.4597,160.2075,4900.08
4729.3,73,320.8329,125.1779,4327.38
3460.44,74,322.4433,149.572,3189.83
3341.85,75,340.8198,187.5883,4745.95
3965.15,76,321.82,122.1997,4963.04
4252.57,77,327.7343,143.6807,4957.95
4661.79,78,328.2569,134.6299,4907.1
4860.02,79,328.3106,133.827,4814.58
4606.46,80,322.2775,135.9531,4960.8
3325.65,81,315.9146,136.8755,4839.01
4166.4,82,321.2038,127.234,4955.61
3704.6,83,327.7929,142.575,4885.87
4278.79,84,319.8669,127.888,4905.5
4326.26,85,312.941,115.7398,4968.07
4605.68,86,320.1644,132.5114,4938.86
4780.57,87,318.2251,120.1892,4908.7
4667.82,88,320.1573,128.9562,4943.21
3606.21,89,315.0797,136.7908,4889.03
4556.52,90,321.2506,129.9072,4870.49
4537.33,91,321.0903,130.4579,4871.65
4323.8,92,325.6433,140.5821,4931.35
4595.57,93,314.494,117.5526,4651.98
3548.55,94,316.2221,132.0385,4802.72
4854.22,95,317.3361,121.3565,2498.42
3622.52,96,312.9139,124.023,4715.19
4635.07,97,325.0501,129.3593,3891.81
3876.48,98,333.7133,166.7217,4673.73
4178.24,99,323.6155,136.9799,4329.89
4439.85,100,326.2834,157.501,4516.0
4493.98,101,323.1418,128.5805,4980.09
4704.87,102,319.5323,129.482,5018.5
4596.22,103,322.3696,134.5541,4976.56
4828.44,104,320.0753,125.4163,2106.4
4891.84,105,316.9927,125.7304,4827.34
2962.05,106,331.403,163.5883,4207.74
4139.65,107,322.9428,148.8068,5019.31
3856.55,108,329.2062,161.0464,4959.29
4300.27,109,320.6657,129.0767,5007.17
2829.12,110,321.2926,144.1961,4747.97
3228.89,111,315.1628,123.8371,3494.39
3607.48,112,322.1986,150.2681,1858.29
4134.6,113,319.0446,133.9846,4848.36
4619.42,114,313.4846,122.5325,4622.6
3977.49,115,322.3152,152.4375,3867.41
4065.39,116,314.2892,117.239,3222.42
4825.6,117,320.9849,124.2449,4931.61
4279.88,118,315.1844,132.9389,4476.26
4528.5,119,315.3058,118.9227,2437.81
3728.5,120,318.2672,132.1592,4295.29
4254.52,121,317.3406,133.1414,3702.67
4326.52,122,317.0197,122.8254,4705.77
4654.53,123,318.6016,134.7312,4935.25
4650.72,124,311.7495,110.142,4954.38
4419.08,125,322.0791,143.881,3524.83
4689.28,126,322.6771,133.6528,4877.65
3067.49,127,328.4403,165.5873,3875.87
4443.13,128,313.0786,119.9755,4907.68
3777.08,129,323.3715,134.3787,4889.58
4634.85,130,317.3263,122.5859,3492.02
4761.86,131,320.9941,121.8763,5021.56
4482.92,132,318.5687,126.0443,4336.49
4617.78,133,326.3259,145.7961,4527.29
4048.33,134,325.4972,163.3857,3373.94
4422.21,135,317.1431,122.6763,4820.32
4621.7,136,318.2123,123.6874,4941.6
4545.93,137,325.6996,151.9911,4914.96
3199.21,138,338.9282,192.8801,4482.59
4718.27,139,315.9699,117.9549,4974.63
4641.16,140,313.9595,112.2698,4988.87
4426.42,141,318.9502,121.6971,4931.32
4648.84,142,314.3699,113.4179,5007.73
4913.02,143,312.6986,110.5276,3998.94
4371.12,144,320.4049,135.0247,4672.62
4794.24,145,313.6639,117.8974,4486.26
4681.57,146,310.7557,110.644,5140.19
4681.63,147,313.845,121.7268,5100.58
4774.29,148,316.3955,117.5286,5112.04
4667.08,149,317.6415,117.241,5091.52
4678.68,150,325.0183,135.5608,5021.32
4866.68,151,315.4244,115.1052,4565.31
4870.55,152,316.6226,115.8803,4940.64
4292.67,153,324.4492,138.3386,4750.48
4433.76,154,318.4853,116.3906,5072.97
4663.54,155,322.9437,132.0215,4852.87
4783.01,156,310.3674,116.7696,4973.74
4213.78,157,321.6842,116.24,4999.26
4871.35,158,310.817,107.5841,5094.59
4399.44,159,326.2378,132.0064,4606.17
4855.4,160,315.3378,109.6135,4929.05
4888.06,161,316.8097,117.2863,4459.43
4496.41,162,317.9291,122.0547,5069.79
4916.67,163,313.7504,115.5571,5116.09
4792.02,164,319.3928,120.9739,4997.89
4788.73,165,316.7111,115.6948,5013.69
4682.75,166,310.044,112.2075,5079.42
4868.39,167,319.4039,115.8633,4998.42
4440.07,168,316.9666,119.0022,4993.12
4687.05,169,311.9921,104.97,5028.62
4283.54,170,317.3347,119.1678,4827.88
4848.9,171,312.7958,105.9709,4332.94
3925.77,172,314.8647,112.7333,5021.63
4603.13,173,313.7621,107.9368,4746.88
4402.52,174,315.0337,107.7015,2552.85
4201.57,175,323.4927,120.3214,4497.45
4567.8,176,317.6916,113.0137,5034.09
3907.15,177,327.8424,153.6944,4781.74
4099.84,178,317.7869,130.3032,4876.23
4375.44,179,312.7179,109.4275,5067.99
4397.96,180,313.0003,116.0368,4334.19
4462.93,181,310.4499,110.7164,5063.55
4781.11,182,310.2217,100.2406,4868.6
3942.45,183,313.0952,100.3966,4146.8
4711.39,184,314.459,103.6328,4682.33
4657.49,185,312.2001,103.6686,5039.95
4664.81,186,323.6551,113.596,4906.51
4061.23,187,323.7816,134.2761,5054.94
4551.35,188,319.0947,117.5446,3916.67
4759.22,189,314.843,103.2654,4843.07
4707.51,190,314.9197,105.1316,4019.32
4887.11,191,317.389,111.8319,4929.13
4883.35,192,311.6314,107.6851,4906.36
4586.53,193,311.0161,105.0359,3084.88
4748.37,194,317.0967,109.5331,5006.3
4482.35,195,310.0237,100.3422,4347.65
4854.46,196,310.5634,107.4093,3694.51
4879.57,197,315.5322,111.3273,4392.22
4855.01,198,317.998,105.5185,4504.93
4781.63,199,314.0742,109.0307,4948.75
4860.92,200,320.4343,109.5631,4916.32
4710.23,201,319.4445,112.0958,4885.6
4872.87,202,319.1616,114.7497,4884.7
4859.86,203,320.6686,114.1287,4871.67
