Running Env Steps,Real Det Return,Running Reverse KL,Itration,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return
200000,983.02,52.0017,40,40,-341.5599365234375,37.6411,887.82
205000,986.92,48.7496,41,41,-355.05963134765625,37.8759,986.54
210000,1008.49,35.3243,42,42,-362.7867736816406,37.1389,1006.28
215000,971.88,51.3398,43,43,-375.9455871582031,39.8852,971.31
220000,174.57,27.1787,44,44,-353.6847229003906,32.7496,170.69
225000,999.24,52.7962,45,45,-397.92108154296875,39.4806,998.78
230000,1001.11,51.825,46,46,-406.3273010253906,38.5569,955.41
235000,1044.93,47.7102,47,47,-398.0465087890625,36.9454,1044.91
240000,702.02,55.5177,48,48,-412.52069091796875,32.7316,653.22
245000,989.17,60.0696,49,49,-439.52239990234375,37.6473,891.25
250000,997.09,27.9627,50,50,-396.6371765136719,34.6843,1049.54
255000,265.13,63.373,51,51,-311.8105163574219,31.3521,240.13
260000,261.33,28.874,52,52,-351.3387451171875,29.3725,318.57
265000,985.2,31.0948,53,53,-437.1155700683594,30.0182,946.28
270000,1027.87,24.3772,54,54,-422.0500183105469,30.759,942.48
275000,629.84,38.3287,55,55,-359.4639587402344,30.1271,590.88
280000,992.57,60.3018,56,56,-511.3184509277344,39.3103,992.6
285000,488.54,33.7892,57,57,-500.4131164550781,37.9802,482.46
290000,1030.62,36.4692,58,58,-519.1255493164062,38.8094,1030.66
295000,1011.27,41.0764,59,59,-523.867431640625,39.338,1011.23
300000,1022.74,43.2551,60,60,-546.5400390625,38.802,1022.23
305000,166.45,108.9713,61,61,-532.034423828125,33.5855,167.02
310000,1011.3,55.6496,62,62,-570.9413452148438,38.897,1011.31
315000,749.52,31.7371,63,63,-575.058837890625,37.0511,934.67
320000,107.43,40.1652,64,64,-389.7667236328125,33.3772,106.87
325000,65.2,81.2616,65,65,-324.7903137207031,32.8224,66.27
330000,982.48,56.3141,66,66,-613.87255859375,37.6828,982.45
335000,929.73,51.056,67,67,-619.8390502929688,37.9879,793.39
340000,103.88,47.7184,68,68,-395.3059387207031,34.1727,102.7
345000,1023.68,44.7603,69,69,-632.7891235351562,38.5504,951.48
350000,825.83,44.4467,70,70,-617.5567626953125,35.2696,814.03
355000,988.23,55.7115,71,71,-662.6908569335938,36.9724,988.15
360000,1029.81,39.3602,72,72,-657.8685913085938,38.5139,1029.37
365000,1032.37,42.6068,73,73,-666.9454345703125,38.4063,1032.01
370000,1031.65,30.3576,74,74,-671.447998046875,38.174,1029.8
375000,1027.96,28.9118,75,75,-688.568603515625,36.8193,1027.72
380000,1013.31,33.9845,76,76,-704.2360229492188,36.1061,1027.42
385000,1029.48,34.2568,77,77,-717.85888671875,35.4002,1029.22
390000,1046.64,25.517,78,78,-680.4050903320312,31.8585,950.65
395000,74.09,54.9865,79,79,-513.572021484375,31.4115,75.0
400000,241.14,37.7606,80,80,-436.29144287109375,31.3289,237.86
405000,245.41,57.9747,81,81,-699.7689819335938,33.2179,245.28
410000,1046.35,23.5269,82,82,-659.97705078125,34.4936,1045.79
415000,1019.13,36.4342,83,83,-775.6091918945312,38.2054,1017.09
420000,981.86,50.2269,84,84,-798.8460693359375,38.1253,981.91
425000,988.04,52.1318,85,85,-810.1148071289062,38.3474,988.07
430000,1031.9,31.0446,86,86,-804.2283325195312,35.8942,1032.26
435000,1003.06,35.3135,87,87,-822.383056640625,39.1745,1019.69
440000,671.62,43.9712,88,88,-784.256103515625,34.6457,657.49
445000,1057.28,38.2181,89,89,-775.3909912109375,34.9933,950.95
450000,1017.76,31.7812,90,90,-842.2933959960938,35.6258,870.94
455000,1009.48,30.0233,91,91,-854.634521484375,38.1173,1010.63
460000,215.94,88.2607,92,92,-812.4954223632812,32.8235,223.08
465000,983.56,48.6864,93,93,-893.80517578125,37.6442,984.45
470000,32.39,69.9441,94,94,-804.8004760742188,31.0425,32.57
475000,175.44,96.6349,95,95,-779.1577758789062,30.6058,183.14
480000,59.35,84.0926,96,96,-784.8927612304688,28.0995,59.08
485000,70.1,71.5398,97,97,-804.17333984375,32.5577,71.04
490000,15.61,44.8002,98,98,-810.0934448242188,34.9778,15.56
495000,955.58,29.709,99,99,-816.9130249023438,35.0522,706.62
500000,1005.46,38.9238,100,100,-964.4052734375,39.4534,1006.42
505000,995.51,44.5245,101,101,-979.8857421875,40.0321,995.57
510000,268.42,34.6428,102,102,-800.1846313476562,33.0188,266.3
515000,1032.42,39.6091,103,103,-984.9813842773438,36.6202,1032.8
520000,1016.74,44.172,104,104,-1004.4464111328125,35.634,1017.2
525000,1018.11,31.1635,105,105,-1014.3667602539062,38.1694,1019.79
530000,1036.27,30.3311,106,106,-1024.0758056640625,36.7798,1037.51
535000,1020.73,37.3265,107,107,-1027.2021484375,34.6246,1019.52
540000,286.47,49.9018,108,108,-918.484130859375,27.8478,278.88
545000,1015.28,41.5259,109,109,-1064.216796875,37.5978,1015.26
550000,1022.2,48.0749,110,110,-1072.7703857421875,35.1169,1021.83
555000,998.54,51.9523,111,111,-1093.6529541015625,38.1527,997.85
560000,973.41,54.7161,112,112,-1099.1666259765625,38.1711,973.12
565000,61.4,34.2016,113,113,-588.7791137695312,34.0687,63.14
570000,968.81,56.0817,114,114,-1123.049560546875,37.119,720.31
575000,989.92,58.1475,115,115,-1138.1993408203125,38.0794,989.85
580000,1018.56,29.5981,116,116,-1128.7325439453125,36.5686,1018.65
585000,1016.05,39.5978,117,117,-1148.3309326171875,35.8891,1016.18
590000,994.19,58.2471,118,118,-1175.5526123046875,38.6356,994.17
595000,232.93,26.8993,119,119,-1142.884033203125,36.8327,252.59
600000,530.58,53.4265,120,120,-1146.00390625,31.5569,574.43
605000,1020.2,28.6791,121,121,-1203.83056640625,38.2042,1018.84
610000,1010.98,38.0709,122,122,-1205.4061279296875,39.3546,967.56
615000,999.43,30.7946,123,123,-1217.2576904296875,37.5928,998.41
620000,996.8,57.1563,124,124,-1252.6748046875,40.8232,996.77
625000,997.1,50.9099,125,125,-1265.7506103515625,40.3435,997.5
630000,229.75,60.9786,126,126,-848.577880859375,31.9705,221.88
635000,313.89,107.473,127,127,-788.0867919921875,32.5827,307.7
640000,282.93,53.3119,128,128,-888.96337890625,32.2227,180.64
645000,272.08,55.679,129,129,-802.4151611328125,31.0291,271.47
650000,260.51,55.2972,130,130,-964.4556884765625,31.7457,256.16
655000,264.39,22.5162,131,131,-1024.8314208984375,31.1101,259.89
660000,269.66,108.5242,132,132,-1117.8453369140625,32.1223,266.67
665000,245.62,93.7437,133,133,-981.9033203125,32.4865,252.79
670000,264.18,42.3904,134,134,-1108.0667724609375,32.2738,253.39
675000,303.6,34.0794,135,135,-929.6280517578125,28.3794,321.88
680000,279.81,33.0451,136,136,-905.7352294921875,31.0924,278.88
685000,277.82,42.8498,137,137,-863.5328369140625,30.7213,253.4
690000,274.16,72.9794,138,138,-1046.1865234375,31.9217,273.16
695000,20.0,131.7122,139,139,-1277.729248046875,33.7048,19.51
700000,1024.5,38.8605,140,140,-1441.77197265625,37.3957,1023.5
705000,994.42,52.1411,141,141,-1433.7860107421875,38.294,994.19
710000,1011.27,47.9079,142,142,-1420.0596923828125,36.4782,1011.5
715000,1005.53,35.4261,143,143,-1447.7581787109375,37.4639,1005.42
720000,1003.33,56.3838,144,144,-1470.72998046875,39.1074,1002.82
725000,228.93,41.5094,145,145,-1420.3690185546875,32.8329,244.92
730000,1022.39,37.791,146,146,-1471.6768798828125,38.4628,1022.25
735000,133.42,104.8628,147,147,-1238.4505615234375,34.8639,131.97
740000,106.94,158.1333,148,148,-1125.922607421875,33.4429,118.96
745000,155.74,131.7968,149,149,-1152.8087158203125,32.3943,159.89
750000,266.0,45.2591,150,150,-1329.5732421875,32.587,269.76
755000,297.69,44.3603,151,151,-1317.4345703125,31.6742,370.24
760000,1036.76,34.3302,152,152,-1512.0179443359375,37.9722,1042.64
765000,990.35,50.8569,153,153,-1570.26318359375,38.5644,989.96
770000,1012.89,35.6306,154,154,-1603.25048828125,36.2498,1012.27
775000,994.27,46.5632,155,155,-1607.7763671875,32.5126,918.47
780000,1031.29,43.8003,156,156,-1649.8101806640625,35.9725,1031.03
785000,328.39,32.204,157,157,-1207.6373291015625,30.114,324.22
790000,1028.86,46.1738,158,158,-1679.5223388671875,36.5412,361.3
795000,992.59,49.7819,159,159,-1648.0333251953125,37.8867,992.45
800000,1033.24,47.2197,160,160,-1704.3214111328125,36.8915,1032.86
805000,337.36,39.2122,161,161,-1501.4967041015625,32.7876,328.0
810000,182.09,60.2065,162,162,-1331.4105224609375,31.8514,251.5
815000,1034.05,28.8416,163,163,-1666.1483154296875,36.4508,1033.36
820000,1020.75,36.0668,164,164,-1692.46435546875,36.9046,1021.74
825000,1015.88,39.074,165,165,-1720.828125,36.4061,1015.45
830000,1036.32,33.0432,166,166,-1772.0880126953125,37.5216,1033.62
835000,1020.0,32.8544,167,167,-1705.9593505859375,37.9437,1019.3
840000,1036.23,30.3914,168,168,-1793.295166015625,36.9002,994.13
845000,802.2,36.6356,169,169,-1562.524658203125,32.1011,714.49
850000,331.65,36.9802,170,170,-1726.524169921875,35.8281,331.51
855000,1022.89,32.6892,171,171,-1777.57861328125,36.877,1019.74
860000,76.25,28.5595,172,172,-1800.112548828125,35.767,172.55
865000,1025.02,27.8766,173,173,-1812.9364013671875,35.7382,1025.36
870000,1015.28,28.5745,174,174,-1821.4466552734375,36.3644,790.77
875000,993.81,38.5934,175,175,-1850.0833740234375,39.4575,993.45
880000,1032.04,27.9408,176,176,-1837.8369140625,38.4218,1031.23
885000,116.78,37.0445,177,177,-1925.183837890625,36.0578,112.53
890000,1006.46,49.6869,178,178,-1904.8194580078125,38.4835,1006.08
895000,651.94,46.5154,179,179,-1561.77880859375,32.2997,652.35
900000,1031.83,47.9098,180,180,-2011.3597412109375,37.5584,1031.66
905000,1012.63,34.7568,181,181,-1941.205078125,37.2815,1003.4
910000,986.99,36.4047,182,182,-1960.7044677734375,38.0456,986.49
915000,997.07,37.2402,183,183,-1983.2469482421875,39.4712,996.3
920000,975.63,43.2766,184,184,-1982.7318115234375,38.0163,975.08
925000,1030.46,29.0573,185,185,-2033.45654296875,35.4901,1031.69
930000,1025.87,27.086,186,186,-2058.462646484375,37.6993,1026.34
935000,1034.1,32.4499,187,187,-1980.9759521484375,35.0476,1033.89
940000,1009.52,32.9222,188,188,-2045.056396484375,37.8378,1016.74
945000,1011.8,29.946,189,189,-2009.4849853515625,37.1102,910.55
950000,992.52,41.8843,190,190,-2094.525146484375,38.1577,992.3
955000,998.73,48.6942,191,191,-2108.652099609375,38.326,997.81
960000,996.06,52.4898,192,192,-2130.435546875,37.8631,995.77
965000,1022.36,32.9106,193,193,-2186.313232421875,39.258,1019.3
970000,1010.32,24.6522,194,194,-2023.203369140625,34.2031,869.11
975000,308.16,38.0441,195,195,-2133.29052734375,33.5949,129.8
980000,1008.65,29.9464,196,196,-2175.92041015625,35.5129,1008.59
985000,1009.67,39.307,197,197,-2247.0849609375,37.1703,1009.26
990000,1011.18,34.217,198,198,-2267.3203125,37.3041,1012.1
995000,1010.42,37.2029,199,199,-2221.51171875,33.7589,1011.61
