Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Running Update Time,Real Sto Return,Reward Loss,Real Det Return
28,406.6768,140000,260.0486,28,665.44,-4724.0439453125,488.89
29,396.1339,145000,302.4023,29,694.99,-4904.58544921875,541.6
30,394.8795,150000,265.6122,30,587.06,-5183.587890625,471.31
31,405.7182,155000,290.2911,31,744.05,-5345.193359375,522.27
32,421.0868,160000,296.9725,32,590.76,-6036.0546875,459.01
33,388.2331,165000,269.0255,33,648.26,-5477.03955078125,475.43
34,406.9597,170000,266.5663,34,712.65,-5904.35595703125,557.75
35,418.5735,175000,300.9517,35,692.49,-6140.2998046875,506.85
36,379.0246,180000,280.7846,36,820.34,-5618.8974609375,455.69
37,388.8663,185000,284.3616,37,766.75,-5932.10986328125,458.71
38,377.4053,190000,271.7327,38,901.99,-6009.43994140625,644.3
39,364.1344,195000,235.546,39,1146.76,-5600.70068359375,556.06
40,379.0507,200000,241.3594,40,991.54,-5981.029296875,642.32
41,376.3628,205000,268.1715,41,908.85,-6280.8017578125,644.96
42,338.8372,210000,180.6913,42,1834.1,-4339.01123046875,1671.55
43,341.8112,215000,186.425,43,1372.59,-4808.81103515625,2067.3
44,377.2206,220000,228.8343,44,1372.66,-6303.65625,1410.49
45,371.6343,225000,211.3427,45,1682.76,-5932.9765625,1654.49
46,351.5846,230000,193.9485,46,1462.93,-4971.10498046875,953.6
47,369.8463,235000,240.0592,47,1181.06,-6259.751953125,819.0
48,353.1004,240000,185.0047,48,1751.46,-5353.546875,615.21
49,347.3524,245000,185.3011,49,2651.03,-5439.662109375,1957.29
50,369.9103,250000,215.6295,50,1836.4,-5899.63720703125,1517.61
51,348.0188,255000,203.7161,51,1929.59,-6273.654296875,781.61
52,331.4232,260000,180.2395,52,2199.9,-4931.77001953125,1423.94
53,344.574,265000,215.0098,53,1402.88,-6568.681640625,643.48
54,335.0569,270000,181.0284,54,1388.13,-5617.1806640625,739.66
55,349.4738,275000,204.7381,55,2226.28,-6421.30859375,1177.09
56,346.8784,280000,201.6605,56,1553.8,-6714.65625,681.23
57,362.371,285000,221.5289,57,1207.62,-7719.08935546875,630.92
58,346.9707,290000,181.6745,58,2364.65,-6117.31982421875,1946.92
59,345.6216,295000,201.5803,59,1456.52,-7247.11181640625,624.64
60,343.877,300000,185.7306,60,1441.43,-6552.14794921875,805.82
61,345.5939,305000,201.5805,61,1528.59,-6825.56103515625,1143.41
62,333.6293,310000,182.595,62,1843.37,-5404.876953125,827.67
63,323.5669,315000,162.6375,63,2443.02,-5270.60498046875,1404.64
64,350.0337,320000,202.1101,64,1790.79,-7579.80029296875,1908.41
65,338.4644,325000,174.7668,65,1846.29,-6024.9287109375,1164.7
66,340.1178,330000,189.9363,66,1685.58,-6798.8271484375,1247.81
67,357.2135,335000,185.1194,67,2031.17,-6069.3740234375,1173.06
68,332.9681,340000,156.3039,68,2843.88,-5654.818359375,1919.9
69,347.2064,345000,178.761,69,2258.67,-6955.7646484375,1926.1
70,308.5735,350000,130.396,70,2116.4,-3856.076171875,1362.01
71,334.744,355000,203.2499,71,2185.18,-7628.94677734375,4098.87
72,314.686,360000,143.0602,72,3840.94,-4474.45849609375,4580.91
73,337.8969,365000,156.3034,73,3356.26,-5183.0556640625,3550.25
74,331.0767,370000,153.3049,74,3664.63,-5055.4580078125,3060.8
75,323.0293,375000,145.0647,75,3069.23,-4628.890625,2789.72
76,338.1791,380000,168.0915,76,3100.37,-6397.27197265625,3982.5
77,333.0076,385000,173.26,77,3659.72,-6566.92041015625,1994.17
78,328.6762,390000,153.7614,78,4651.4,-5308.6005859375,1148.81
79,339.6465,395000,154.9655,79,4841.07,-5142.20556640625,4529.83
80,335.6781,400000,154.3701,80,3128.84,-6339.88037109375,3881.65
81,331.5631,405000,145.2011,81,4045.41,-4404.7353515625,1903.45
82,330.4691,410000,147.2602,82,3585.58,-4775.90380859375,2386.24
83,335.5323,415000,153.88,83,4130.68,-4383.2646484375,3501.82
84,331.6336,420000,148.2093,84,4717.21,-5032.064453125,4861.4
85,333.4035,425000,134.7915,85,3737.18,-4946.8623046875,2212.72
86,317.7258,430000,131.7998,86,4368.67,-4729.75,2653.9
87,325.7268,435000,147.3832,87,3748.39,-5973.89697265625,698.99
88,327.0497,440000,139.8992,88,4560.83,-4193.716796875,4180.6
89,330.2978,445000,138.6301,89,4302.26,-6071.9423828125,1284.58
90,353.7984,450000,169.1458,90,2844.94,-7552.65625,2952.9
91,331.7159,455000,146.5375,91,4027.16,-6683.61669921875,2008.06
92,335.0609,460000,143.9583,92,4749.49,-5661.5869140625,1668.81
93,334.4704,465000,144.8663,93,4319.98,-5940.89208984375,4979.97
94,333.1898,470000,147.4632,94,4186.12,-6251.8544921875,4611.29
95,307.662,475000,125.7707,95,4777.5,-5291.8330078125,4389.52
96,323.3958,480000,129.4885,96,4663.96,-5822.00341796875,4711.64
97,324.6132,485000,128.4457,97,3671.11,-6374.34033203125,3288.01
98,339.8573,490000,142.5382,98,3971.8,-6348.68359375,3600.56
99,330.2701,495000,129.5152,99,4559.71,-6092.49853515625,2925.14
100,305.7144,500000,124.5506,100,3278.23,-6227.05419921875,926.37
101,329.0758,505000,134.6046,101,4926.9,-6252.2421875,4995.38
102,336.2166,510000,138.4734,102,4611.01,-6599.4267578125,4847.09
103,337.0028,515000,136.6059,103,4531.97,-6483.59326171875,4212.86
104,324.1499,520000,147.3838,104,4900.14,-7334.37646484375,4722.27
105,343.0471,525000,139.6653,105,4109.94,-7850.85498046875,2443.19
106,324.834,530000,129.8337,106,4574.99,-6821.6279296875,3715.69
107,333.0239,535000,152.1618,107,4772.97,-7691.99169921875,2871.03
108,331.1454,540000,132.6688,108,4664.66,-7267.525390625,4647.45
109,342.7956,545000,154.679,109,4918.66,-7382.24853515625,4907.19
110,332.728,550000,157.567,110,4231.36,-8250.7109375,3275.35
111,347.1048,555000,149.1378,111,4848.44,-8091.095703125,4897.12
112,332.4955,560000,139.872,112,4722.73,-7711.443359375,3453.59
113,340.4749,565000,156.3118,113,3636.47,-8734.02734375,3791.68
114,321.1972,570000,113.5222,114,4123.68,-7504.78076171875,3531.76
115,342.017,575000,139.3217,115,4634.37,-8321.9375,4924.7
116,327.2998,580000,144.0069,116,4659.54,-9257.326171875,4922.98
117,313.1338,585000,126.1943,117,3971.25,-8387.1904296875,4516.64
118,300.7693,590000,111.9827,118,5095.64,-7472.5673828125,4401.88
119,317.2664,595000,140.0102,119,4855.56,-9323.126953125,3873.25
120,332.6676,600000,131.5692,120,4952.76,-9240.6005859375,5034.73
121,339.8133,605000,143.2063,121,4302.98,-9696.05078125,4686.6
122,326.161,610000,126.8247,122,4636.64,-9317.220703125,4605.5
123,324.7127,615000,129.7852,123,5005.64,-9585.607421875,5041.89
124,317.409,620000,127.0184,124,4646.01,-9878.5703125,4452.77
125,316.2988,625000,118.6854,125,3754.22,-9409.333984375,4887.36
126,321.3682,630000,119.9141,126,4319.95,-9757.08203125,5054.19
127,316.984,635000,121.0261,127,4673.12,-9845.5888671875,4910.79
128,322.6769,640000,123.1091,128,4877.71,-10552.1357421875,4954.87
129,311.3708,645000,131.1807,129,4258.9,-9778.52734375,2259.72
130,329.9647,650000,165.9921,130,2945.91,-11331.9892578125,1352.23
131,322.411,655000,129.869,131,4984.78,-11097.28125,5022.54
132,324.4324,660000,148.8332,132,4821.24,-11521.802734375,4135.68
133,321.2465,665000,134.4996,133,4185.51,-11345.767578125,3451.11
134,315.5345,670000,121.2416,134,4793.69,-11409.5244140625,5066.04
135,314.211,675000,121.7831,135,4985.77,-11100.3515625,5069.98
136,302.548,680000,115.6749,136,4836.27,-11329.1494140625,4764.78
137,302.8554,685000,124.8064,137,4649.32,-10481.4287109375,3946.61
138,311.5875,690000,123.756,138,4873.21,-11763.9033203125,5113.77
139,326.4132,695000,115.7813,139,4905.63,-11932.689453125,4969.15
140,321.6221,700000,115.4067,140,4809.07,-12131.3037109375,5036.26
141,328.9027,705000,120.9017,141,4783.47,-12473.7646484375,3987.05
142,336.7271,710000,138.4535,142,3743.16,-12823.7041015625,4968.02
143,325.5148,715000,122.8342,143,4786.02,-12849.455078125,5041.22
144,322.6151,720000,138.1411,144,4968.66,-13098.4091796875,2505.47
145,345.3225,725000,154.6746,145,3928.98,-13260.896484375,4374.15
146,318.8476,730000,115.234,146,4466.03,-12915.177734375,4424.8
147,331.1209,735000,130.4134,147,4514.35,-13649.880859375,3267.77
148,328.6624,740000,123.9983,148,4288.14,-13132.7236328125,4576.55
149,333.8177,745000,139.0874,149,4925.88,-14083.3701171875,4990.21
150,313.9425,750000,122.3855,150,4556.73,-13572.70703125,5120.13
151,323.3747,755000,122.3587,151,4943.45,-13849.6875,4867.68
152,302.1676,760000,134.3954,152,3876.44,-12733.1435546875,3125.2
153,321.5704,765000,123.0785,153,4742.84,-13824.974609375,4371.15
154,338.5415,770000,137.8794,154,4950.14,-14987.0810546875,3975.15
155,324.3621,775000,122.4739,155,4642.21,-14465.791015625,4763.78
156,324.9083,780000,124.9777,156,4466.57,-14360.1533203125,4509.14
157,327.2969,785000,127.2702,157,4917.99,-14780.99609375,5017.91
158,322.0627,790000,129.363,158,4973.42,-14710.08203125,2949.81
159,317.5638,795000,124.3852,159,4993.69,-15009.2392578125,5167.12
160,313.2532,800000,118.0595,160,4684.8,-14529.1015625,4885.45
161,309.3903,805000,115.6455,161,4780.24,-15012.2587890625,4986.98
162,294.6307,810000,102.8248,162,3907.56,-13363.0009765625,4659.9
163,321.5874,815000,119.6386,163,3788.75,-15330.6025390625,5042.32
164,310.4707,820000,117.6775,164,4452.05,-15081.2880859375,4708.31
165,326.6403,825000,123.1955,165,4426.26,-15393.986328125,4594.65
166,332.4015,830000,131.8543,166,4461.63,-15681.6982421875,5015.08
167,319.517,835000,116.4759,167,4650.09,-15415.4970703125,3607.32
168,306.9288,840000,115.4477,168,4943.8,-14760.4638671875,4762.05
169,315.0863,845000,120.0466,169,4702.73,-15470.7568359375,5073.43
170,320.561,850000,111.4612,170,4867.93,-15362.9931640625,5054.56
171,309.4277,855000,115.0404,171,4254.1,-15845.0146484375,4848.26
172,319.1209,860000,134.1475,172,4589.1,-15695.9765625,5189.33
173,318.4004,865000,142.5805,173,4780.09,-15666.111328125,5177.38
174,325.524,870000,129.8677,174,4976.25,-16421.123046875,4893.26
175,317.4201,875000,125.9699,175,4992.26,-16226.2001953125,5108.4
176,315.9647,880000,115.4755,176,4969.18,-15893.326171875,5089.21
177,331.5315,885000,122.8154,177,3443.36,-15977.3515625,4786.5
178,335.6937,890000,129.0556,178,4906.33,-15907.9873046875,4286.84
179,323.1109,895000,137.109,179,4381.21,-15758.0302734375,5012.19
180,323.1617,900000,126.7365,180,4947.94,-16399.009765625,5059.68
181,325.9198,905000,124.0029,181,4293.38,-16194.2158203125,4805.99
182,325.9033,910000,124.1407,182,4996.56,-16518.478515625,5089.15
183,348.6997,915000,157.1868,183,3353.24,-16342.3232421875,3322.62
184,321.9145,920000,124.4152,184,4857.38,-16608.2109375,5097.33
185,333.5833,925000,137.362,185,4599.67,-16140.8115234375,5007.12
186,328.8727,930000,130.3054,186,4992.99,-17016.384765625,5077.6
187,317.7721,935000,120.3399,187,4895.02,-16583.615234375,5098.43
188,328.1302,940000,125.5131,188,4636.03,-16440.685546875,4676.05
189,315.7454,945000,122.407,189,5014.5,-16770.298828125,5149.7
190,316.6619,950000,126.1191,190,4814.97,-16816.431640625,5033.61
191,310.1552,955000,120.5466,191,5061.59,-16546.16796875,5170.23
192,325.8045,960000,120.7369,192,4390.3,-16793.013671875,5017.5
193,330.8283,965000,128.783,193,4415.55,-17202.21875,4379.67
194,311.1145,970000,120.8289,194,5044.72,-16584.958984375,5139.43
195,306.8015,975000,128.7695,195,5065.44,-16155.9716796875,4993.31
196,314.4886,980000,117.8858,196,4988.87,-16624.48828125,5130.37
197,323.5707,985000,121.3029,197,4553.22,-16810.796875,5038.04
198,319.2558,990000,118.4249,198,4207.14,-16799.828125,5052.06
199,312.19,995000,117.3566,199,4346.07,-16514.748046875,5031.95
200,310.2179,1000000,105.6836,200,4900.37,-16606.3046875,4954.54
201,309.6824,1005000,106.9066,201,4919.24,-16289.4169921875,5068.16
202,309.8229,1010000,116.4078,202,5009.79,-16293.880859375,5087.88
203,314.2435,1015000,117.6389,203,4617.15,-16848.693359375,2542.81
204,318.8052,1020000,117.785,204,4794.4,-17060.029296875,5048.21
205,307.1988,1025000,111.9801,205,4752.56,-16727.5234375,5158.72
206,308.3435,1030000,110.7397,206,4986.16,-16668.44140625,5065.3
207,320.0733,1035000,114.5957,207,4842.68,-17127.501953125,5066.28
208,312.2419,1040000,113.4712,208,4995.25,-16954.666015625,5097.11
209,314.0774,1045000,115.5331,209,4980.22,-17035.3203125,5131.7
210,314.9076,1050000,116.3106,210,5003.41,-17069.619140625,5117.63
211,312.0938,1055000,118.9463,211,4626.83,-16832.35546875,5135.57
212,317.8929,1060000,119.469,212,4794.98,-17392.474609375,5089.23
213,306.2558,1065000,109.9392,213,5007.96,-16676.94140625,5091.77
214,313.4338,1070000,117.4005,214,5036.45,-17310.119140625,5155.04
215,319.8594,1075000,119.9415,215,4738.7,-17406.0625,5052.35
216,317.5677,1080000,149.3202,216,4684.69,-17027.38671875,4679.73
217,311.3457,1085000,112.3112,217,5023.61,-17152.755859375,5123.09
218,314.2411,1090000,118.4182,218,3898.19,-17181.2734375,2678.56
219,324.4313,1095000,121.4793,219,3719.92,-17465.859375,3642.37
220,319.3281,1100000,120.4432,220,4820.61,-17330.375,5124.84
221,327.2791,1105000,123.9766,221,4117.42,-17508.556640625,3945.16
222,323.9971,1110000,122.6824,222,4802.58,-17475.40234375,5108.72
223,318.2976,1115000,118.4165,223,5044.59,-17274.11328125,5156.15
224,322.0567,1120000,126.6654,224,5020.25,-17613.78125,5106.36
225,318.9479,1125000,119.6211,225,4889.34,-17640.080078125,5158.85
226,312.1174,1130000,114.6243,226,4276.62,-17449.521484375,5177.04
227,322.8561,1135000,126.2212,227,4495.33,-17655.978515625,5199.41
228,323.5777,1140000,124.2971,228,4987.98,-17683.060546875,5105.41
229,330.315,1145000,131.8485,229,4865.24,-18077.197265625,5147.19
230,325.0824,1150000,126.9994,230,5028.08,-17918.1484375,5115.83
231,326.5206,1155000,135.7361,231,4253.37,-17647.16796875,5097.11
232,320.049,1160000,127.7082,232,5040.24,-17836.26171875,4671.86
233,320.7909,1165000,126.8657,233,4979.0,-17739.041015625,5139.55
234,322.8215,1170000,121.7049,234,4840.48,-17763.064453125,4643.89
235,320.6368,1175000,118.8689,235,3952.65,-17828.244140625,5096.48
236,314.3089,1180000,119.8243,236,4626.68,-17686.80859375,4899.66
237,317.0026,1185000,130.7657,237,4725.93,-17433.376953125,4935.48
238,316.1286,1190000,119.2095,238,4092.2,-17216.4296875,5067.77
239,310.2605,1195000,118.3205,239,4882.19,-17384.6171875,5140.22
240,310.5745,1200000,111.1996,240,4265.4,-17453.564453125,4034.92
241,308.1392,1205000,113.0036,241,4829.06,-17326.443359375,5151.78
242,315.1221,1210000,122.9181,242,4726.85,-17556.3203125,5104.41
243,312.9997,1215000,114.853,243,4380.6,-17372.5546875,5087.53
244,310.3463,1220000,106.1707,244,4988.05,-17373.19140625,5144.53
245,316.4568,1225000,112.0727,245,4278.88,-17301.1015625,5068.08
246,325.7883,1230000,117.8731,246,4764.45,-17627.75,5044.07
247,341.0049,1235000,150.1529,247,4079.68,-17433.955078125,3085.59
248,324.9409,1240000,118.5809,248,4216.03,-17801.1171875,4309.55
249,336.4896,1245000,162.2512,249,3730.18,-17692.662109375,4095.84
250,346.8813,1250000,178.719,250,3079.16,-17309.44921875,3478.15
251,322.9717,1255000,119.2009,251,4768.02,-17825.64453125,5036.85
252,313.4278,1260000,108.8174,252,4664.91,-17678.462890625,4842.52
253,320.8291,1265000,123.9142,253,4465.43,-17550.994140625,3765.06
254,332.1177,1270000,144.4603,254,3638.88,-17649.6015625,3902.61
255,316.6354,1275000,110.5507,255,4579.51,-17965.62109375,4141.26
256,338.1721,1280000,151.7428,256,3701.99,-17487.64453125,3727.63
257,330.5632,1285000,140.697,257,4614.04,-17513.1484375,4732.91
258,326.8828,1290000,116.7401,258,4600.01,-18249.32421875,4199.58
259,324.8663,1295000,138.4828,259,4447.92,-17470.662109375,3615.2
260,330.6849,1300000,125.5082,260,4395.52,-18049.208984375,4495.48
261,341.1874,1305000,135.3703,261,3809.75,-18091.666015625,4147.27
262,328.3108,1310000,124.5932,262,4366.84,-18483.1875,4481.57
263,325.0767,1315000,152.1421,263,4463.47,-17853.94921875,2631.28
264,327.7516,1320000,130.0653,264,4595.65,-18523.91015625,5037.14
265,339.6419,1325000,167.7994,265,4463.46,-18073.8828125,3756.34
266,334.43,1330000,141.7386,266,4324.12,-17966.990234375,4363.09
267,343.7008,1335000,193.7704,267,2774.36,-17214.392578125,1661.88
268,340.0441,1340000,138.1594,268,4574.39,-18216.080078125,3691.84
269,338.7283,1345000,143.3072,269,3639.81,-18082.4375,4990.95
270,346.3538,1350000,185.6462,270,3658.05,-17159.978515625,2047.26
271,344.5588,1355000,197.8851,271,1986.59,-17354.828125,829.01
272,336.1027,1360000,150.397,272,2985.34,-17747.0625,4032.89
273,372.5029,1365000,222.49,273,1866.73,-17443.7109375,3441.49
274,371.3033,1370000,206.9928,274,1547.76,-16810.994140625,1228.34
275,395.4023,1375000,269.9503,275,808.39,-17631.763671875,858.46
276,400.618,1380000,258.4734,276,723.78,-17546.787109375,545.08
277,423.6375,1385000,266.4701,277,403.84,-17656.841796875,385.81
278,447.1711,1390000,261.0196,278,380.05,-15901.52734375,393.55
279,474.8928,1395000,310.4372,279,328.17,-13742.427734375,139.69
280,410.5998,1400000,269.2168,280,437.3,-15168.359375,350.52
281,415.7303,1405000,278.9233,281,550.69,-15078.3681640625,312.56
282,450.0651,1410000,293.134,282,321.9,-14577.9287109375,328.33
283,432.6588,1415000,276.0468,283,626.51,-15122.9052734375,310.09
284,411.7295,1420000,263.9977,284,448.08,-15904.708984375,424.78
285,364.342,1425000,205.477,285,1015.9,-16344.1884765625,1219.96
286,338.0619,1430000,157.033,286,3288.27,-17339.10546875,3101.02
287,354.0753,1435000,186.8492,287,3907.39,-17554.111328125,2575.36
288,363.2708,1440000,196.7335,288,2896.18,-17855.748046875,1661.96
289,368.0328,1445000,212.6204,289,3106.96,-17478.9140625,2893.5
290,357.334,1450000,192.6927,290,3731.4,-17694.322265625,1097.13
291,354.132,1455000,195.8941,291,4042.35,-18357.90625,1690.99
292,351.763,1460000,186.5196,292,3232.55,-17931.1640625,1504.28
293,361.1039,1465000,190.1338,293,3874.11,-18154.533203125,1358.93
294,342.8967,1470000,179.4225,294,4626.27,-18756.640625,2816.86
295,340.6777,1475000,179.4337,295,2804.09,-17389.142578125,2655.22
296,344.4909,1480000,179.4092,296,4152.37,-17916.55859375,3700.75
297,334.9,1485000,156.9031,297,4269.42,-18187.115234375,4548.77
298,328.9345,1490000,149.1504,298,4722.25,-18671.666015625,4640.68
299,335.1054,1495000,156.8233,299,4343.98,-17583.287109375,3654.82
300,323.9492,1500000,145.7209,300,4117.49,-17901.111328125,3491.94
301,311.8788,1505000,128.6537,301,4515.1,-17629.04296875,4861.97
302,313.4514,1510000,129.4936,302,4642.23,-18038.763671875,5046.17
303,343.8598,1515000,148.7914,303,3311.48,-17173.228515625,3610.38
304,351.4929,1520000,170.3402,304,2779.27,-16472.068359375,4115.85
305,328.6901,1525000,127.4518,305,3552.43,-17481.46484375,3632.23
306,335.0878,1530000,156.5357,306,3815.83,-17730.150390625,3760.33
307,341.5706,1535000,160.6983,307,3634.25,-16940.669921875,2633.91
308,359.0146,1540000,215.5324,308,1676.77,-16157.056640625,608.4
309,372.4276,1545000,195.4902,309,2476.29,-16875.01953125,3532.54
310,389.1711,1550000,268.2524,310,1353.06,-16362.2626953125,2232.12
311,385.7142,1555000,271.8819,311,1938.08,-16889.099609375,2692.63
312,337.0445,1560000,178.3676,312,3031.2,-17920.95703125,2848.16
313,343.9689,1565000,192.2179,313,1811.05,-17807.595703125,3012.47
314,375.956,1570000,309.4303,314,1788.32,-17723.91015625,2617.85
315,354.8167,1575000,270.2562,315,2164.66,-18027.97265625,4530.44
316,315.8627,1580000,150.3135,316,3309.82,-18030.498046875,4771.83
317,356.1859,1585000,254.9959,317,3034.88,-18051.994140625,3933.45
318,371.5629,1590000,281.9482,318,1963.43,-18225.9921875,2713.91
319,379.5553,1595000,273.2458,319,2803.45,-18436.18359375,3312.97
320,359.9606,1600000,220.8377,320,3037.71,-18468.125,4369.75
321,352.9881,1605000,201.6747,321,2951.89,-18592.009765625,4701.06
322,351.5027,1610000,212.1839,322,2825.91,-18480.35546875,4563.82
323,348.2582,1615000,167.4255,323,3215.26,-18438.537109375,3733.02
324,359.1334,1620000,205.8249,324,2303.8,-17529.75390625,3679.72
325,335.1911,1625000,153.6496,325,3234.14,-18488.029296875,4946.33
326,344.447,1630000,153.4833,326,4134.23,-18829.9375,4678.56
327,355.8756,1635000,153.2936,327,4246.69,-18932.087890625,3891.41
328,349.8957,1640000,151.5782,328,4930.74,-18999.279296875,4567.94
329,346.6841,1645000,140.4082,329,4454.78,-18940.62890625,4981.97
330,349.734,1650000,148.2312,330,4747.96,-19087.001953125,4712.39
331,346.5429,1655000,145.7725,331,4871.06,-18793.802734375,4994.73
332,357.3867,1660000,194.0171,332,4231.22,-18904.748046875,5007.73
333,355.9681,1665000,187.6958,333,4049.19,-18373.427734375,3909.18
334,351.1719,1670000,156.1866,334,4182.14,-18446.185546875,3974.69
335,350.2066,1675000,168.7682,335,3425.53,-18331.19921875,3842.12
336,367.4397,1680000,193.3463,336,3974.22,-18255.439453125,4357.39
337,381.117,1685000,267.9526,337,2692.12,-18331.0859375,2225.47
338,362.7244,1690000,194.9752,338,3992.64,-19224.49609375,3531.41
339,378.0736,1695000,257.2557,339,3362.51,-18133.662109375,4489.29
340,385.6031,1700000,270.8913,340,1723.45,-17977.533203125,935.38
341,362.6515,1705000,198.4138,341,3234.9,-19055.119140625,2339.63
342,389.3275,1710000,293.1951,342,2053.9,-18644.470703125,1310.02
343,388.591,1715000,285.9385,343,1548.22,-18366.287109375,1748.53
344,369.6587,1720000,283.6893,344,1829.57,-18673.580078125,3068.03
345,379.3681,1725000,335.5051,345,839.05,-18716.712890625,2558.31
346,385.5448,1730000,350.2484,346,1281.9,-18670.681640625,1990.06
347,385.226,1735000,383.8191,347,1380.78,-18923.478515625,2338.35
348,384.7292,1740000,417.7736,348,1232.99,-19014.767578125,1216.44
349,423.2402,1745000,613.6064,349,1042.06,-18834.27734375,773.04
350,381.3995,1750000,511.3044,350,1347.63,-19061.939453125,1680.47
351,370.9635,1755000,512.7205,351,1863.72,-18776.08203125,3706.93
352,358.2792,1760000,364.015,352,2326.71,-18713.90625,2684.0
353,361.4525,1765000,470.346,353,2023.62,-18289.333984375,1032.82
354,359.6369,1770000,380.9302,354,2886.64,-18214.3359375,3225.23
355,371.9845,1775000,548.0428,355,997.92,-18368.884765625,1055.84
356,391.0098,1780000,651.433,356,1187.47,-18674.103515625,1256.16
357,422.1746,1785000,741.1636,357,696.61,-17689.0859375,951.67
358,431.4858,1790000,767.9368,358,1730.21,-18751.052734375,2456.04
359,409.6102,1795000,737.0834,359,1210.06,-17917.82421875,1502.94
360,439.1787,1800000,901.1963,360,310.58,-18994.072265625,259.22
361,458.1979,1805000,861.3856,361,465.0,-18833.7890625,530.37
362,477.2064,1810000,998.977,362,272.25,-19174.00390625,119.55
363,502.3024,1815000,995.7772,363,134.45,-19151.12890625,107.33
364,513.4922,1820000,990.2415,364,159.68,-19290.099609375,114.25
365,569.5889,1825000,1029.7051,365,134.31,-19268.7265625,127.08
366,504.9943,1830000,1010.9809,366,241.28,-19202.884765625,180.32
367,521.7053,1835000,907.3564,367,226.12,-18405.00390625,238.33
368,516.4295,1840000,969.7095,368,233.3,-19123.158203125,249.97
369,487.8357,1845000,942.8872,369,193.36,-19294.765625,235.15
370,699.9452,1850000,976.6331,370,135.66,-19054.93359375,136.73
371,626.0631,1855000,884.4107,371,109.71,-18157.294921875,104.27
372,699.8794,1860000,789.756,372,78.69,-19161.775390625,72.44
373,742.6461,1865000,789.7148,373,60.27,-19260.974609375,58.75
374,762.6691,1870000,842.831,374,58.31,-19256.1484375,57.55
375,764.1514,1875000,883.3607,375,54.8,-19380.794921875,55.26
376,774.6678,1880000,911.4834,376,54.08,-19393.470703125,54.31
377,769.6917,1885000,903.6753,377,56.76,-19547.22265625,56.17
378,770.1749,1890000,910.7461,378,58.3,-19572.798828125,56.66
379,771.1299,1895000,922.3052,379,58.74,-19611.48046875,59.58
380,763.5017,1900000,924.8087,380,59.35,-19624.5078125,59.71
381,758.3085,1905000,902.0633,381,59.61,-19640.2578125,59.48
382,753.5618,1910000,897.1948,382,60.55,-19666.669921875,60.07
383,743.5201,1915000,871.804,383,58.51,-19700.990234375,58.22
384,720.8923,1920000,856.9351,384,58.78,-19706.802734375,58.23
385,773.2213,1925000,909.1488,385,58.09,-19748.8046875,58.97
386,554.06,1930000,799.431,386,187.68,-19558.490234375,186.4
387,588.7456,1935000,677.4333,387,122.16,-15072.498046875,126.95
388,640.1959,1940000,543.98,388,110.09,-15699.1748046875,113.05
389,536.9666,1945000,939.9135,389,284.23,-15615.41796875,288.66
390,601.3234,1950000,788.8017,390,176.82,-19535.462890625,184.62
391,529.106,1955000,740.9887,391,258.31,-14838.556640625,272.02
392,534.636,1960000,552.6224,392,322.88,-17746.279296875,344.11
393,525.7303,1965000,749.6421,393,316.02,-19188.876953125,356.05
394,571.9186,1970000,695.1458,394,182.77,-19104.16796875,175.22
395,534.5239,1975000,495.5077,395,320.3,-18051.970703125,351.06
