Running Forward KL,Reward Loss,Real Det Return,Real Sto Return,Itration,Running Env Steps,Running Update Time,Running Reverse KL
19.5737,-135.2556610107422,3407.56,3153.86,33,165000,33,15.6357
19.7399,-217.9886932373047,3386.82,3107.48,34,170000,34,17.5538
19.3618,-99.70037078857422,3379.45,3336.95,35,175000,35,12.9893
19.9624,-90.99906158447266,3392.24,3159.65,36,180000,36,13.5546
19.34,-93.14930725097656,3407.21,3361.05,37,185000,37,13.3776
21.5262,-499.4588623046875,2367.63,2379.21,38,190000,38,25.8413
20.8049,-285.6884460449219,3399.72,2927.12,39,195000,39,25.2499
19.5418,-99.65741729736328,3411.9,3368.09,40,200000,40,13.3326
19.4652,-124.64226531982422,3444.3,3176.44,41,205000,41,13.7432
19.4237,-192.60830688476562,3424.48,3339.98,42,210000,42,16.4653
19.4811,-238.16363525390625,3424.31,2852.05,43,215000,43,16.3311
21.7175,-708.2344970703125,2930.2,1728.69,44,220000,44,22.7567
19.3426,-509.4355773925781,3198.17,2261.27,45,225000,45,17.9136
21.5643,-335.30364990234375,3209.17,2777.5,46,230000,46,15.5009
20.4349,-223.6811065673828,3452.36,3433.18,47,235000,47,14.3706
18.6662,-196.96763610839844,3353.98,3319.05,48,240000,48,12.4752
19.847,-191.40121459960938,3388.4,3280.91,49,245000,49,13.0542
20.362,-221.93292236328125,3444.61,2538.86,50,250000,50,13.8534
21.0084,-259.25970458984375,3300.24,2980.92,51,255000,51,17.7641
27.8194,-1016.5991821289062,577.29,565.14,52,260000,52,29.5346
26.9009,-1029.9691162109375,827.75,540.68,53,265000,53,41.683
23.5515,-848.3065795898438,194.8,300.75,54,270000,54,38.3993
20.7391,-175.1260223388672,3435.34,3422.29,55,275000,55,14.7468
21.5807,-873.4611206054688,1347.85,1648.02,56,280000,56,41.733
21.4669,-241.91319274902344,3429.93,3409.88,57,285000,57,16.5304
19.5628,-167.40850830078125,3438.16,3411.34,58,290000,58,12.033
21.2733,-276.0321044921875,3417.64,3123.96,59,295000,59,14.0282
18.7223,-423.51312255859375,3300.06,2386.14,60,300000,60,11.6696
22.2055,-945.3444213867188,1284.16,1323.6,61,305000,61,16.4325
18.4207,-206.6765594482422,3338.69,2646.6,62,310000,62,12.1742
18.5869,-240.40203857421875,3446.82,3359.17,63,315000,63,11.4143
19.5738,-457.5927429199219,3457.55,2781.81,64,320000,64,23.3767
19.2198,-217.5886993408203,3451.29,3433.12,65,325000,65,13.4545
17.0196,-212.15298461914062,3454.73,3448.02,66,330000,66,11.8751
19.0496,-247.1642608642578,3449.11,3176.85,67,335000,67,12.5185
18.534,-395.39019775390625,3422.48,3075.74,68,340000,68,12.2002
17.0182,-399.57061767578125,3446.59,3108.4,69,345000,69,24.9353
17.3172,-461.8746337890625,3459.68,3075.51,70,350000,70,24.5645
19.1222,-566.5674438476562,3427.74,2353.85,71,355000,71,18.6906
17.2171,-437.1627502441406,3414.13,3165.0,72,360000,72,17.5858
16.9714,-215.33157348632812,3450.88,3317.36,73,365000,73,11.0819
20.3513,-1183.26611328125,3223.03,1332.59,74,370000,74,27.9911
17.9465,-496.53302001953125,3425.51,3009.96,75,375000,75,13.6827
16.8943,-350.26123046875,3427.67,3379.54,76,380000,76,10.4969
18.0192,-478.96392822265625,3456.32,3184.16,77,385000,77,17.2727
20.348,-898.0137329101562,2939.38,1891.02,78,390000,78,24.7545
20.1227,-1074.5001220703125,3449.34,2228.81,79,395000,79,73.5953
17.1908,-546.8726806640625,3440.9,2675.7,80,400000,80,13.6796
20.4362,-1107.3316650390625,3452.02,2166.59,81,405000,81,39.0635
17.511,-354.6960144042969,3460.7,3144.21,82,410000,82,12.3567
17.3507,-426.87200927734375,3429.53,2632.4,83,415000,83,13.6233
18.9788,-784.6634521484375,3470.03,2932.79,84,420000,84,34.3941
17.208,-370.1683044433594,3432.23,3317.7,85,425000,85,11.9866
17.7684,-395.6680603027344,3455.97,3127.43,86,430000,86,19.3794
18.2646,-553.6189575195312,3486.55,2979.3,87,435000,87,18.0581
19.1189,-996.467529296875,3462.05,1992.39,88,440000,88,41.5981
17.1445,-622.4933471679688,3469.89,3210.45,89,445000,89,16.0491
18.3886,-476.9386901855469,3447.0,2945.54,90,450000,90,13.6442
18.5544,-732.6456298828125,3453.25,2904.2,91,455000,91,29.0482
17.1993,-337.2820739746094,3477.44,3264.25,92,460000,92,11.9263
17.349,-511.7342529296875,3477.83,2845.73,93,465000,93,19.558
16.9494,-282.9505920410156,3425.0,3100.65,94,470000,94,11.2999
19.8903,-1258.5352783203125,3495.68,1670.43,95,475000,95,46.3079
18.7939,-1065.0452880859375,3459.17,2687.64,96,480000,96,45.2594
19.7735,-1492.34521484375,3462.27,2055.23,97,485000,97,73.2456
16.9697,-441.1380615234375,3450.4,3146.48,98,490000,98,21.8114
19.2427,-1137.8487548828125,3473.25,2247.3,99,495000,99,35.7027
17.417,-648.1085205078125,3484.87,3005.03,100,500000,100,14.9539
18.3572,-904.8667602539062,3474.96,2779.8,101,505000,101,19.8985
17.0515,-299.2127990722656,3429.73,3283.66,102,510000,102,11.1455
17.1629,-536.8350219726562,3460.34,3220.0,103,515000,103,13.0983
16.9555,-434.5209655761719,3467.82,3309.17,104,520000,104,11.3416
17.9741,-474.8529052734375,3447.99,3453.84,105,525000,105,13.1386
17.7892,-550.3941650390625,3460.3,3340.35,106,530000,106,12.0089
17.2942,-454.1397399902344,3472.25,3098.15,107,535000,107,11.6133
17.2604,-398.93402099609375,3477.6,3278.97,108,540000,108,10.7873
17.488,-360.3758850097656,3432.52,3444.25,109,545000,109,11.8022
17.3242,-567.3634643554688,3473.01,3244.52,110,550000,110,18.7989
17.2194,-494.2833251953125,3455.37,3203.2,111,555000,111,11.2421
18.601,-1252.9049072265625,3486.99,2795.71,112,560000,112,25.731
17.5402,-679.916015625,3473.19,3108.28,113,565000,113,15.8283
17.4003,-396.498779296875,3444.12,2967.09,114,570000,114,10.9138
18.3706,-991.3626708984375,3458.31,3060.54,115,575000,115,15.6959
17.4897,-929.10498046875,3460.66,2587.24,116,580000,116,18.678
17.4827,-717.677978515625,3467.75,2802.28,117,585000,117,11.9033
17.8139,-726.2034912109375,3409.02,2855.1,118,590000,118,16.0235
18.2951,-776.0610961914062,3464.43,3023.41,119,595000,119,15.0979
17.9921,-952.3795166015625,3483.46,3017.42,120,600000,120,14.5672
17.0503,-705.4533081054688,3470.16,2649.46,121,605000,121,12.34
17.5652,-926.7132568359375,3468.11,3039.47,122,610000,122,13.7482
17.2942,-695.4209594726562,3450.18,2945.78,123,615000,123,13.4218
18.7629,-1192.867919921875,3318.49,2160.36,124,620000,124,15.5518
20.1881,-1927.921142578125,3479.14,2328.99,125,625000,125,19.8302
17.5652,-451.0055847167969,3344.91,2912.17,126,630000,126,11.2511
17.2071,-568.552978515625,3477.13,3210.19,127,635000,127,12.7062
16.9473,-991.6590576171875,3443.14,2829.08,128,640000,128,15.9473
17.8849,-1001.4234008789062,3446.24,2813.22,129,645000,129,23.9474
17.6731,-1088.753173828125,3485.23,2854.79,130,650000,130,23.9423
17.5742,-1159.39111328125,3466.74,3179.27,131,655000,131,32.2292
17.6684,-1066.460205078125,3489.58,2789.43,132,660000,132,22.7503
