Running Reverse KL,Reward Loss,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration
15.8274,-679.1121215820312,3430.26,3173.53,19.9137,97,485000,97
53.5901,-2947.294921875,2963.35,2052.14,22.6581,98,490000,98
19.8452,-884.1463623046875,3427.31,2491.26,20.494,99,495000,99
17.2884,-740.3195190429688,3437.93,3336.72,20.1454,100,500000,100
21.2236,-1159.90771484375,3444.35,2452.67,20.0783,101,505000,101
18.3364,-746.3405151367188,3401.6,3214.8,20.6776,102,510000,102
21.2528,-1159.9046630859375,3460.99,2740.73,20.3334,103,515000,103
25.8427,-1280.1485595703125,3443.0,2843.1,20.6544,104,520000,104
12.5192,-682.4117431640625,3465.96,3436.14,20.1277,105,525000,105
26.5721,-1931.2117919921875,3288.79,2208.08,21.5653,106,530000,106
38.231,-2133.69287109375,3467.75,3035.1,20.6639,107,535000,107
13.4446,-357.27532958984375,3463.19,3453.68,19.7227,108,540000,108
13.7221,-871.71435546875,3428.51,3377.6,20.4162,109,545000,109
38.4364,-2302.93359375,2960.55,2028.39,21.1686,110,550000,110
14.6049,-781.5278930664062,3517.13,3368.95,20.8446,111,555000,111
12.9817,-450.9683837890625,3469.58,3292.87,19.6713,112,560000,112
21.0622,-880.2504272460938,3522.38,3079.84,20.4163,113,565000,113
12.2992,-950.8772583007812,3456.54,2938.8,20.2766,114,570000,114
17.3789,-659.0751342773438,3498.31,3365.46,19.8584,115,575000,115
13.3802,-267.4332580566406,3516.34,3367.09,19.8753,116,580000,116
15.0765,-774.2509765625,3490.19,3226.09,20.9446,117,585000,117
12.9841,-886.650634765625,3497.22,3421.19,20.2701,118,590000,118
18.651,-740.1758422851562,3472.33,3381.94,20.1552,119,595000,119
13.6804,-443.3051452636719,3483.85,3348.97,19.8638,120,600000,120
13.497,-493.06475830078125,3463.34,3205.16,20.3404,121,605000,121
13.994,-473.12457275390625,3496.95,3479.63,19.9534,122,610000,122
18.1339,-1218.2706298828125,3483.91,2599.36,20.7789,123,615000,123
13.9659,-655.7533569335938,3504.88,3330.56,19.281,124,620000,124
23.3598,-1436.96826171875,3537.21,3319.15,20.4303,125,625000,125
17.4573,-915.0823974609375,3508.74,3338.96,19.8818,126,630000,126
13.2145,-426.14276123046875,3470.33,3391.52,19.5841,127,635000,127
17.1267,-820.4320068359375,3511.33,3464.7,19.7982,128,640000,128
13.1757,-589.5848388671875,3488.06,3325.67,19.8288,129,645000,129
21.0248,-1453.896728515625,3502.41,3298.73,20.8376,130,650000,130
13.5272,-545.6095581054688,3467.94,3214.63,19.5993,131,655000,131
14.4385,-806.6162719726562,3488.11,3214.33,21.2668,132,660000,132
13.1761,-613.2225952148438,3482.93,3316.88,19.488,133,665000,133
13.6325,-608.4005737304688,3526.63,2882.06,19.7535,134,670000,134
13.2194,-621.5567626953125,3494.52,3474.69,19.8073,135,675000,135
15.0267,-1256.7998046875,3484.25,3141.14,20.9026,136,680000,136
12.9019,-544.6102905273438,3473.3,3367.88,19.6695,137,685000,137
14.5028,-997.9719848632812,3525.3,3472.65,20.3041,138,690000,138
24.478,-1258.3544921875,3511.24,3232.95,19.8683,139,695000,139
13.7671,-686.4922485351562,3427.62,3426.75,19.4206,140,700000,140
12.5709,-573.1027221679688,3484.83,3404.49,18.2122,141,705000,141
19.2846,-1275.759521484375,3477.71,3256.4,19.2507,142,710000,142
14.9172,-657.6071166992188,3515.6,3334.7,19.5585,143,715000,143
12.1774,-888.2105102539062,3514.86,2744.67,19.5219,144,720000,144
16.1013,-1002.0485229492188,3517.13,3312.2,19.7001,145,725000,145
14.1031,-805.7503051757812,3487.52,3351.37,20.1029,146,730000,146
13.4194,-674.2730712890625,3486.62,3428.9,19.4927,147,735000,147
19.8499,-1624.0565185546875,3512.99,3353.05,20.1732,148,740000,148
13.7867,-674.4852294921875,3497.74,3180.06,19.6044,149,745000,149
16.9281,-929.7210693359375,3497.79,3255.71,19.5984,150,750000,150
16.1703,-1131.2662353515625,3467.82,3486.98,19.2109,151,755000,151
14.1245,-1737.5140380859375,3470.79,2904.46,19.9447,152,760000,152
17.4271,-997.952392578125,3510.32,3442.07,19.703,153,765000,153
13.6611,-775.6434936523438,3493.35,3090.05,19.5749,154,770000,154
15.8488,-908.0031127929688,3500.07,3025.55,19.7591,155,775000,155
16.0424,-1933.7198486328125,3484.2,2857.08,20.0199,156,780000,156
14.0696,-987.532470703125,3508.01,3182.06,20.2169,157,785000,157
13.093,-789.0987548828125,3519.95,3492.54,19.6129,158,790000,158
18.4612,-1287.3680419921875,3462.72,3180.65,19.7078,159,795000,159
16.0278,-1102.3468017578125,3504.97,3204.76,20.2534,160,800000,160
14.8035,-1224.7459716796875,3481.43,3063.43,19.8151,161,805000,161
13.189,-1157.8685302734375,3515.94,3394.22,19.7847,162,810000,162
23.9494,-2395.22509765625,3587.85,2969.6,20.8254,163,815000,163
17.0895,-1534.3336181640625,3463.33,3175.99,19.8961,164,820000,164
17.6475,-1895.084228515625,3183.79,2450.97,20.9272,165,825000,165
13.2439,-1539.240966796875,3548.74,2835.42,20.7056,166,830000,166
19.4564,-2086.322998046875,3545.16,2548.9,20.7534,167,835000,167
14.5082,-1499.0794677734375,3496.4,3021.5,19.7906,168,840000,168
20.5926,-2134.775634765625,3545.28,2958.06,21.0688,169,845000,169
14.9149,-1975.885498046875,2717.87,2296.93,20.4588,170,850000,170
17.7018,-1997.4637451171875,3524.79,2396.5,20.6836,171,855000,171
13.8842,-1175.7130126953125,3514.64,2945.12,19.6475,172,860000,172
16.1282,-2134.497802734375,3360.01,2587.2,21.0729,173,865000,173
12.8362,-847.5133056640625,3471.35,3364.06,19.2057,174,870000,174
13.3468,-1849.1383056640625,3595.2,2393.07,21.2806,175,875000,175
23.9007,-2839.01025390625,3583.15,2323.19,21.046,176,880000,176
