Running Env Steps,Itration,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
295000,59,-454.168701171875,59,10.6665,18.1588,3430.39,3482.71
300000,60,-324.30413818359375,60,11.9689,18.4254,3438.0,3461.23
305000,61,-283.45111083984375,61,11.8565,18.7203,3443.27,3473.45
310000,62,-301.519287109375,62,10.8176,17.3533,3309.72,3415.7
315000,63,-652.7949829101562,63,12.7031,17.8161,3130.4,3496.36
320000,64,-3747.84716796875,64,87.6103,37.3023,5.96,5.92
325000,65,-3732.512939453125,65,35.5002,35.7442,46.76,46.59
330000,66,-3353.81005859375,66,29.5171,37.4954,988.36,992.71
335000,67,-3369.175537109375,67,53.4116,37.8657,974.16,974.34
340000,68,-3362.287841796875,68,52.9752,36.9943,978.59,978.77
345000,69,-3046.87890625,69,24.3946,33.6869,638.75,616.48
350000,70,-3487.1767578125,70,37.4546,38.2815,103.11,102.87
355000,71,-3446.8759765625,71,27.6588,37.9008,971.16,971.01
360000,72,-3495.20556640625,72,34.8502,39.1589,1038.76,1040.24
365000,73,-3323.374267578125,73,27.5501,35.8078,957.0,958.81
370000,74,-3583.0576171875,74,24.2405,36.0,1035.65,1029.23
375000,75,-3629.802001953125,75,33.5716,32.7574,779.16,594.78
380000,76,-3849.746337890625,76,35.8591,37.2195,1065.36,1064.65
385000,77,-3723.9677734375,77,37.0602,33.9425,628.0,646.95
390000,78,-3439.44677734375,78,39.0672,31.1997,985.44,1117.72
395000,79,-2386.90087890625,79,27.0716,32.0654,1668.27,1666.18
400000,80,-1210.039306640625,80,21.96,26.0881,2485.52,2478.13
405000,81,-1573.6636962890625,81,21.9081,27.994,2455.08,2454.94
410000,82,-2910.33349609375,82,38.7625,26.6791,294.71,295.83
415000,83,-4782.04541015625,83,69.7668,35.0439,205.77,206.08
420000,84,-4214.79345703125,84,43.0656,32.7856,345.25,341.01
425000,85,-4374.14453125,85,43.9815,30.8558,306.78,306.72
430000,86,-2757.528076171875,86,161.419,28.0141,430.47,428.73
435000,87,-3983.584716796875,87,18.7831,27.6174,542.52,518.16
440000,88,-3155.80322265625,88,20.5986,25.1267,1359.94,1436.35
445000,89,-2574.569091796875,89,21.0351,26.8716,1907.0,2039.96
450000,90,-3218.9501953125,90,34.3125,26.187,1339.14,1087.75
455000,91,-1109.8985595703125,91,15.4106,23.4072,2843.52,2823.74
460000,92,-4944.14111328125,92,53.2548,37.5435,982.3,981.85
465000,93,-5039.392578125,93,44.4712,38.4625,970.89,970.79
470000,94,-4937.404296875,94,55.6947,37.8909,1003.51,1004.15
475000,95,-4924.31591796875,95,24.2306,36.246,1016.43,1014.39
480000,96,-5236.17236328125,96,38.8222,37.5768,999.37,1000.88
485000,97,-5343.005859375,97,44.2374,35.6911,1029.8,1029.71
490000,98,-5415.9990234375,98,38.7551,35.1869,1018.46,1019.76
495000,99,-4286.35595703125,99,33.0246,32.0293,94.63,94.44
500000,100,-3043.53271484375,100,32.5633,26.9245,132.32,128.81
505000,101,-5517.52734375,101,57.8828,37.4071,971.03,971.03
510000,102,-3754.451904296875,102,56.4651,25.6748,369.05,338.19
515000,103,-4554.7607421875,103,29.5324,30.7962,880.58,920.86
520000,104,-5303.55712890625,104,70.5688,31.8053,298.98,300.16
525000,105,-5008.8154296875,105,51.7142,32.4007,287.9,288.68
530000,106,-6015.859375,106,48.9649,33.9426,1038.15,1037.83
535000,107,-3074.097900390625,107,18.9521,26.9157,214.17,198.75
540000,108,-5355.43017578125,108,37.2464,32.2946,767.47,729.59
545000,109,-3225.938232421875,109,22.4227,29.9403,336.08,332.89
550000,110,-3324.588134765625,110,22.9507,25.1267,382.78,416.92
555000,111,-3982.318115234375,111,18.1298,30.5649,1187.86,1021.38
560000,112,-6303.91552734375,112,185.7861,32.6103,243.65,219.31
565000,113,-6167.45703125,113,98.1232,29.9321,247.57,250.69
570000,114,-5058.5078125,114,129.239,24.6603,338.34,330.72
575000,115,-6657.16015625,115,125.9866,32.2086,218.97,218.79
580000,116,-6690.478515625,116,66.7121,32.9872,296.7,286.46
585000,117,-6956.912109375,117,108.6186,31.7794,208.95,198.36
