Running Env Steps,Reward Loss,Real Det Return,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Running Update Time
490000,-37955.27734375,2987.33,3938.66,98,315.9376,113.9486,98
495000,-40663.703125,4506.05,4336.23,99,326.3674,122.7695,99
500000,-40088.015625,4217.9,3876.57,100,320.3739,126.2448,100
505000,-40727.8125,4522.48,4187.56,101,318.826,117.6117,101
510000,-40502.734375,3327.69,3575.56,102,318.3933,122.4206,102
515000,-38745.63671875,2241.25,4794.93,103,317.5524,115.1935,103
520000,-41551.484375,1340.98,4504.72,104,318.5391,120.6364,104
525000,-45973.90625,2557.06,3966.3,105,321.807,148.7718,105
530000,-49869.8203125,2722.55,4121.14,106,330.338,167.8632,106
535000,-45450.48046875,3070.21,3433.9,107,325.5803,140.8764,107
540000,-43108.94921875,4962.47,4954.55,108,311.6343,116.3589,108
545000,-46663.08984375,3480.84,3627.01,109,325.0626,137.3808,109
550000,-47877.4921875,4090.25,4483.81,110,321.8911,129.9195,110
555000,-44048.2890625,3040.9,4682.43,111,312.9696,108.4567,111
560000,-47385.76171875,4422.12,4969.01,112,321.4146,130.1861,112
565000,-46214.7578125,4147.99,4780.32,113,316.9843,113.8732,113
570000,-44143.48828125,3825.81,4506.71,114,309.7911,109.4557,114
575000,-50110.72265625,5059.68,4218.8,115,314.6511,115.5057,115
580000,-48287.82421875,4815.46,5016.02,116,319.8138,124.6547,116
585000,-51552.94140625,2433.24,4863.44,117,329.0216,151.8802,117
590000,-48726.15234375,4980.71,4707.27,118,314.6934,120.3962,118
595000,-52229.359375,1792.0,3866.75,119,334.4585,172.1449,119
600000,-51102.8046875,4946.82,4652.12,120,311.3867,122.8815,120
605000,-51515.1484375,5160.6,5014.73,121,316.1299,118.289,121
610000,-52719.79296875,5112.7,4814.27,122,319.5995,114.0273,122
615000,-51780.3515625,3483.33,4891.49,123,315.0807,108.0579,123
620000,-55482.83203125,4561.27,4712.64,124,317.9765,115.2883,124
625000,-56204.72265625,5068.63,4978.91,125,309.596,110.2948,125
630000,-55576.35546875,4975.83,4742.4,126,319.3329,113.2928,126
635000,-53481.796875,5079.83,4998.35,127,312.582,107.182,127
640000,-55381.2578125,5147.19,4869.34,128,313.3557,115.365,128
645000,-57785.8828125,4612.97,4972.07,129,315.5923,107.1517,129
650000,-57893.30078125,5077.36,4833.35,130,310.8678,110.3106,130
655000,-61419.20703125,4900.63,4493.59,131,318.9139,120.4811,131
660000,-60561.2734375,5130.18,4677.12,132,313.7686,116.4287,132
665000,-62131.78125,5003.69,4548.56,133,315.1145,122.4539,133
670000,-62522.32421875,4912.85,4665.35,134,311.4105,112.3493,134
675000,-60306.37109375,4909.67,4937.27,135,308.6842,103.5948,135
680000,-64022.76171875,5012.59,4818.2,136,310.851,118.7853,136
685000,-64360.9296875,4982.88,5001.04,137,316.6195,122.0742,137
690000,-65397.62109375,4895.51,4895.14,138,314.3699,122.0484,138
695000,-66926.6640625,3492.95,4795.96,139,314.3016,126.3864,139
700000,-63394.8984375,4871.75,4507.55,140,314.1382,102.0992,140
705000,-64089.60546875,4527.63,4970.4,141,312.6157,109.2917,141
710000,-66853.1875,5125.7,4550.49,142,310.5691,108.8456,142
715000,-65457.6953125,4733.33,4590.47,143,307.4806,101.9515,143
720000,-67839.1796875,4743.08,4950.5,144,308.4162,102.9643,144
725000,-67497.046875,5044.06,4946.66,145,310.3935,99.9742,145
730000,-68785.875,5107.31,4828.95,146,309.1508,117.6408,146
735000,-69708.0859375,5180.73,4922.81,147,310.9741,118.1449,147
740000,-66855.703125,5106.89,4768.46,148,309.3996,102.8972,148
745000,-69749.5078125,5128.05,4854.87,149,307.8671,107.6373,149
750000,-70859.4140625,4789.23,4817.97,150,305.5168,109.1995,150
755000,-70175.7734375,5083.9,5015.4,151,307.3042,102.7845,151
760000,-70498.390625,5105.31,4821.54,152,305.0564,108.5294,152
765000,-70969.7109375,5119.69,5042.22,153,310.9297,109.4788,153
770000,-73265.0546875,5047.82,5014.64,154,309.4183,113.172,154
775000,-74106.03125,5075.64,4933.03,155,310.9751,106.2954,155
780000,-73757.1953125,5113.79,4994.41,156,307.6154,102.9323,156
785000,-73936.2265625,4884.95,4839.56,157,311.1947,109.9634,157
790000,-73631.3125,5071.4,4982.28,158,307.7312,99.1193,158
795000,-74711.453125,4593.27,4985.06,159,308.5851,107.1225,159
800000,-75344.3046875,4433.0,4996.49,160,313.0355,109.7996,160
805000,-75757.3046875,5101.57,4820.1,161,309.5731,109.6806,161
810000,-77534.5546875,5110.68,4764.76,162,310.0003,103.8881,162
815000,-75496.4375,5047.32,4719.74,163,309.1046,103.0296,163
820000,-75046.9140625,4392.16,4529.16,164,306.445,97.1154,164
825000,-77763.03125,5027.63,4657.74,165,307.3326,103.9564,165
830000,-76138.9921875,5165.97,4825.81,166,305.0212,98.4372,166
835000,-77255.8828125,5057.0,4738.53,167,310.4629,112.7785,167
840000,-79765.2734375,4855.52,4965.98,168,317.701,140.1652,168
845000,-78198.25,4704.16,4403.61,169,308.8982,105.6931,169
850000,-80136.1953125,5142.21,5028.66,170,311.2758,114.8849,170
855000,-80753.4296875,4705.57,4803.37,171,316.9274,110.9115,171
860000,-78164.4140625,5145.52,4844.17,172,303.7959,101.3425,172
865000,-79250.125,5068.05,4841.19,173,309.9928,108.5947,173
870000,-79958.7578125,5173.65,4835.95,174,308.7398,104.8042,174
875000,-80057.9609375,5206.0,4950.79,175,314.6654,110.8136,175
880000,-80564.4609375,5073.36,4820.1,176,311.5406,113.3115,176
885000,-78643.4609375,5003.34,5075.25,177,304.8268,99.2443,177
890000,-81663.8203125,5139.16,4905.84,178,310.5926,99.7565,178
895000,-81372.734375,5065.37,4818.6,179,314.9044,116.2236,179
900000,-80668.515625,5118.72,5054.35,180,307.2089,106.5289,180
905000,-80900.0703125,4931.08,4829.09,181,308.4142,116.6399,181
910000,-80355.125,4838.68,4999.58,182,310.266,100.6541,182
915000,-82215.2109375,4935.73,5075.7,183,318.6277,126.1423,183
920000,-81584.671875,5068.04,4464.07,184,305.1721,100.6577,184
925000,-82925.9765625,4861.6,4245.62,185,317.3641,126.9559,185
930000,-84515.890625,4610.89,4952.12,186,312.355,107.198,186
935000,-82926.1484375,5074.3,4817.44,187,303.0467,94.0945,187
940000,-83295.515625,5119.29,4867.3,188,305.3131,101.4721,188
945000,-83260.2109375,5098.2,4970.35,189,312.0793,114.0065,189
950000,-80264.4609375,5029.97,4871.14,190,299.364,89.5853,190
955000,-82539.4296875,5063.76,5012.0,191,307.7334,109.5385,191
960000,-84238.9921875,5028.79,4974.94,192,302.55,96.6731,192
965000,-83098.4765625,5058.15,4646.02,193,306.5237,105.6735,193
970000,-84794.03125,4841.96,4880.54,194,307.1461,105.7107,194
975000,-83547.5625,4865.68,4488.51,195,301.7523,95.8992,195
980000,-84577.765625,5067.86,4601.49,196,308.0339,101.6979,196
985000,-85533.078125,5013.63,4951.6,197,311.7232,110.7037,197
990000,-84981.6796875,5052.35,4850.73,198,310.0333,105.4158,198
995000,-85937.40625,5142.17,5022.1,199,311.6591,118.1172,199
1000000,-86835.09375,5060.95,4788.02,200,304.3441,104.131,200
1005000,-86611.5625,4882.51,4995.27,201,312.5263,113.174,201
1010000,-85428.75,4546.36,5000.5,202,306.4978,106.0078,202
1015000,-86677.984375,4409.41,4505.86,203,313.0401,110.6823,203
1020000,-85237.265625,3882.33,4800.56,204,305.822,104.7378,204
1025000,-87626.609375,5053.52,4688.58,205,306.3423,104.1533,205
1030000,-87999.140625,4250.75,4477.38,206,309.7068,109.4841,206
1035000,-85627.78125,4814.5,4491.75,207,319.5733,132.0213,207
1040000,-86969.4140625,4807.03,4917.38,208,305.3411,99.3124,208
1045000,-87759.8671875,4832.19,4336.73,209,304.9644,105.5066,209
1050000,-88097.3984375,4789.92,4799.25,210,304.9998,108.4544,210
1055000,-88336.4453125,3947.36,4751.72,211,307.8353,102.794,211
1060000,-88032.6171875,4585.54,4711.75,212,309.0527,113.0108,212
1065000,-88143.6171875,4826.61,4658.92,213,308.0681,107.6216,213
1070000,-88301.1484375,4040.31,5053.2,214,310.1219,111.0497,214
1075000,-88123.4453125,4633.46,4828.37,215,309.123,107.9978,215
1080000,-87549.703125,4203.23,4725.65,216,310.4883,111.3544,216
1085000,-88271.8203125,4377.46,4820.77,217,307.274,108.4155,217
1090000,-88898.8515625,4760.8,4921.7,218,310.0244,107.8336,218
1095000,-88887.8515625,4539.13,4590.68,219,307.4726,108.2329,219
1100000,-88535.28125,3775.42,4643.07,220,312.0214,116.0771,220
1105000,-87395.09375,4468.53,4868.72,221,304.4727,100.8684,221
1110000,-87952.5390625,4024.49,4436.62,222,304.0736,103.5348,222
1115000,-88532.15625,4786.19,4642.37,223,307.6681,104.3429,223
1120000,-87442.453125,4320.55,4688.02,224,311.0157,108.8434,224
1125000,-88654.9375,4974.1,4528.25,225,305.3492,105.4232,225
1130000,-85254.625,2784.13,4429.16,226,309.1902,107.0208,226
1135000,-88017.9921875,3936.55,4279.95,227,309.1613,103.8978,227
1140000,-87260.25,3847.45,4641.41,228,309.4536,94.8807,228
1145000,-88330.59375,4580.55,4768.92,229,310.602,103.4604,229
1150000,-90041.3515625,3647.66,4898.03,230,306.1809,107.215,230
1155000,-88475.734375,3373.71,4748.76,231,310.6275,102.0271,231
1160000,-88334.765625,4940.25,5030.28,232,315.8302,129.4071,232
1165000,-89834.59375,3574.8,4750.57,233,311.0181,105.5831,233
1170000,-90140.046875,4335.79,4550.11,234,310.4065,101.364,234
1175000,-89303.5234375,4203.58,4110.44,235,313.0832,115.3061,235
1180000,-89175.359375,4975.3,4381.03,236,318.7462,133.0637,236
1185000,-90071.515625,3202.56,3106.35,237,310.7037,116.0119,237
1190000,-88902.5078125,4075.61,5002.83,238,312.4111,114.3594,238
1195000,-88990.734375,3442.62,2916.47,239,306.5184,104.5957,239
1200000,-91229.4140625,5239.49,5064.48,240,309.7591,107.3406,240
1205000,-90150.5390625,5030.33,4544.92,241,313.4888,113.877,241
1210000,-91774.5546875,5237.94,4647.52,242,309.6782,109.6346,242
1215000,-92170.9921875,5240.65,4454.71,243,311.8199,114.787,243
1220000,-92387.671875,5211.02,4658.71,244,315.2801,117.7789,244
1225000,-93088.2109375,5266.7,5152.99,245,316.2573,123.6804,245
1230000,-92416.4453125,5288.84,4625.11,246,320.3752,126.0412,246
1235000,-90263.921875,5292.17,5037.95,247,315.6597,126.1587,247
1240000,-89198.3125,4129.27,4348.1,248,316.8801,124.4695,248
1245000,-89394.890625,5290.49,4420.26,249,310.8231,112.4582,249
1250000,-90785.421875,5263.97,4747.72,250,309.707,111.2294,250
1255000,-89569.78125,4811.13,5106.22,251,304.5552,101.2415,251
1260000,-89502.1796875,5142.32,4835.41,252,302.4119,103.2753,252
1265000,-92234.8203125,5293.6,4945.99,253,307.8347,116.4994,253
1270000,-86820.703125,4552.21,4888.21,254,300.5859,101.6239,254
1275000,-85790.28125,5303.84,5076.17,255,307.8079,114.5914,255
1280000,-87057.0234375,5278.62,4747.8,256,302.6146,105.3469,256
1285000,-89286.0703125,5340.61,4910.73,257,300.8939,104.9906,257
1290000,-85155.7421875,5290.47,5156.12,258,304.058,115.3419,258
1295000,-88238.8828125,5251.61,5022.71,259,302.8198,99.7707,259
1300000,-85256.6328125,5313.88,4931.46,260,310.2439,139.5707,260
1305000,-65267.515625,1190.52,2307.54,261,334.6532,221.474,261
1310000,-81591.3515625,2693.22,3456.54,262,320.769,154.0597,262
1315000,-78986.7109375,5018.62,3909.75,263,325.3264,168.7443,263
1320000,-87424.015625,4966.23,3954.34,264,330.7698,170.1858,264
1325000,-81566.6640625,4343.8,3612.12,265,321.5082,163.1108,265
1330000,-77528.6171875,3920.75,3509.25,266,341.9539,237.2138,266
1335000,-91204.6953125,4968.38,4293.43,267,319.5137,137.3015,267
1340000,-84265.8515625,4525.95,2617.11,268,362.3596,234.8771,268
1345000,-81253.2734375,3861.15,2665.56,269,354.2882,273.9948,269
1350000,-83266.9765625,5240.53,4371.34,270,323.2453,154.3151,270
1355000,-85553.9921875,4804.43,4195.55,271,339.8817,169.9918,271
1360000,-89019.2734375,4776.72,4631.58,272,326.4993,207.0831,272
1365000,-87961.8984375,5216.93,4274.74,273,315.4978,136.3332,273
1370000,-63343.62890625,4531.36,4075.86,274,346.6423,204.9998,274
1375000,-80031.15625,4512.48,3594.41,275,323.2221,137.4476,275
1380000,-84033.3203125,1977.89,2462.92,276,382.934,274.9735,276
1385000,-69453.5859375,3804.63,3420.01,277,357.7986,194.9037,277
1390000,-76643.5078125,1310.24,863.45,278,411.3225,318.1921,278
1395000,-80093.34375,2578.42,2431.36,279,355.0334,208.3799,279
1400000,-72621.4140625,2168.51,2007.09,280,405.5181,293.4014,280
1405000,-80457.78125,3185.49,3068.96,281,374.1962,234.4859,281
1410000,-77924.3828125,2833.57,2995.64,282,378.7914,213.541,282
1415000,-74987.3203125,1875.39,2166.82,283,357.2916,185.5884,283
1420000,-66665.5546875,1568.71,2297.52,284,364.2802,251.4865,284
1425000,-58278.47265625,780.42,630.66,285,474.2746,327.6766,285
1430000,-49658.1875,406.85,683.34,286,444.3411,442.5781,286
1435000,-48333.3828125,519.12,500.48,287,458.6998,409.4059,287
1440000,-45856.63671875,247.74,263.53,288,547.5263,552.8665,288
1445000,-38581.07421875,166.71,194.95,289,516.2414,395.5618,289
1450000,-55311.41015625,368.77,321.98,290,463.0232,334.8006,290
1455000,-58551.47265625,747.57,715.3,291,422.3574,296.8438,291
1460000,-69124.453125,617.18,518.29,292,428.3289,420.6514,292
1465000,-74175.375,445.12,657.6,293,405.2311,326.8531,293
1470000,-80271.71875,353.94,416.13,294,475.1488,403.904,294
1475000,-67960.6328125,167.2,201.39,295,498.1998,375.885,295
1480000,-71642.78125,192.94,201.95,296,531.6426,346.8066,296
1485000,-70226.390625,112.72,120.79,297,601.9075,444.6346,297
1490000,-66969.25,122.07,131.19,298,564.5197,413.2123,298
1495000,-81429.9765625,92.96,133.35,299,613.0702,595.8778,299
1500000,-84688.5625,90.51,88.25,300,625.8448,549.1339,300
1505000,-73537.2734375,76.92,86.11,301,595.2518,442.7134,301
1510000,-87736.953125,64.0,63.82,302,636.6251,509.1147,302
1515000,-90481.7265625,65.13,65.32,303,666.0734,517.5837,303
1520000,-76330.78125,61.72,62.58,304,647.9533,430.8608,304
1525000,-87335.8828125,60.29,61.28,305,663.2752,492.8163,305
1530000,-75515.4296875,64.24,63.54,306,689.7541,472.8977,306
1535000,-82046.515625,63.31,62.97,307,668.6081,467.2374,307
1540000,-88744.359375,64.44,64.37,308,631.8227,496.7289,308
1545000,-88070.75,63.65,63.86,309,617.5436,454.6258,309
1550000,-90852.0859375,62.63,65.43,310,643.3819,494.2377,310
1555000,-84287.546875,69.9,76.65,311,607.7601,587.9158,311
1560000,-82333.953125,142.65,149.34,312,548.9018,425.049,312
1565000,-80220.546875,155.32,159.59,313,545.0953,386.861,313
1570000,-86836.6640625,157.37,140.02,314,560.5919,437.4338,314
1575000,-81308.21875,189.29,205.53,315,506.1522,466.6769,315
1580000,-82237.3203125,147.85,112.98,316,539.1285,434.2411,316
1585000,-95078.8046875,71.18,85.68,317,716.6548,754.5375,317
1590000,-86440.125,61.28,73.92,318,674.9043,668.7374,318
1595000,-83287.28125,60.73,59.55,319,676.8631,588.8403,319
1600000,-92412.046875,64.03,64.36,320,634.8762,510.0699,320
1605000,-86719.953125,60.22,60.83,321,606.7184,557.5173,321
1610000,-93474.8203125,61.52,62.91,322,614.2077,606.2257,322
1615000,-93291.21875,62.44,62.74,323,664.3254,855.9834,323
1620000,-95590.2734375,62.58,62.75,324,685.0112,758.3079,324
1625000,-93032.5546875,65.13,64.45,325,666.9747,1117.6713,325
1630000,-98150.5703125,63.75,64.26,326,813.0321,1396.4755,326
1635000,-98266.03125,64.19,63.98,327,785.912,1338.4879,327
1640000,-94331.6328125,61.64,61.62,328,683.5766,1095.2059,328
1645000,-93546.734375,61.14,62.01,329,695.3519,1038.9218,329
1650000,-98191.3671875,63.39,63.99,330,721.2967,1272.8661,330
1655000,-97596.1015625,63.91,63.98,331,728.5187,1454.5478,331
1660000,-97248.4453125,65.79,65.72,332,675.6708,1498.256,332
1665000,-97831.375,73.11,74.21,333,644.6259,1142.9394,333
1670000,-87598.109375,125.12,126.57,334,637.5281,1192.7343,334
1675000,-93571.9140625,136.65,159.76,335,592.4551,644.7257,335
1680000,-91572.390625,113.69,110.59,336,657.839,1005.7292,336
1685000,-95893.9453125,66.07,66.62,337,712.9557,1808.845,337
1690000,-95532.9140625,64.95,65.1,338,718.0044,806.2159,338
1695000,-98651.9921875,63.58,62.82,339,778.3322,814.7074,339
1700000,-97358.765625,61.57,61.71,340,755.3049,1777.6091,340
1705000,-98697.140625,66.31,66.32,341,839.6531,2383.5061,341
1710000,-98523.7421875,64.52,64.92,342,818.2871,2007.5359,342
1715000,-98728.7109375,66.09,66.1,343,781.9769,1744.4279,343
1720000,-98624.765625,61.45,62.0,344,734.229,1472.6926,344
1725000,-98227.359375,61.12,61.04,345,781.3129,2329.741,345
1730000,-98475.359375,61.28,61.72,346,760.3998,2009.4156,346
1735000,-98887.390625,60.05,59.88,347,810.5114,1979.5732,347
1740000,-98581.125,59.87,59.08,348,789.9649,2407.3036,348
1745000,-97912.3828125,60.73,60.75,349,730.0894,1563.2374,349
1750000,-98969.375,60.74,61.7,350,798.6874,1998.5629,350
1755000,-98978.5078125,59.21,59.18,351,763.57,2104.5125,351
1760000,-98094.8125,65.35,65.04,352,754.4248,1962.918,352
1765000,-98154.6640625,62.76,62.44,353,798.5996,2103.6612,353
1770000,-98750.078125,58.56,58.92,354,775.3957,2548.0926,354
1775000,-99025.375,60.69,60.74,355,801.5918,2088.9552,355
1780000,-99038.5390625,59.98,59.96,356,829.4208,1989.899,356
1785000,-99026.953125,59.21,59.64,357,812.5859,2242.5948,357
1790000,-98798.3203125,58.9,59.24,358,755.4445,1578.7916,358
1795000,-98920.9609375,62.43,62.94,359,785.3151,1953.252,359
1800000,-98940.2265625,60.25,60.6,360,774.4968,2180.8803,360
1805000,-99015.4921875,60.83,60.86,361,781.7241,1881.6402,361
1810000,-99039.234375,63.8,64.11,362,783.0615,2020.2793,362
1815000,-99073.125,62.29,62.24,363,796.33,2077.4742,363
1820000,-99078.34375,63.04,63.3,364,785.0225,2174.4218,364
1825000,-99049.15625,61.72,61.47,365,773.3522,2153.1991,365
1830000,-98979.6796875,62.75,62.29,366,729.0115,2033.6052,366
1835000,-99060.1171875,58.9,58.86,367,770.4311,2225.7263,367
1840000,-98730.2265625,62.96,62.97,368,754.7209,2034.6885,368
1845000,-99122.0,58.67,58.18,369,789.7193,2207.9135,369
1850000,-98850.8828125,63.32,63.42,370,742.9561,1684.5079,370
1855000,-98928.3984375,58.67,59.05,371,748.3242,1467.6449,371
1860000,-99112.7578125,59.12,59.09,372,732.8886,1459.8404,372
1865000,-99133.796875,60.59,60.7,373,783.7022,1999.147,373
1870000,-97119.8203125,58.52,59.16,374,692.8866,1588.8374,374
1875000,-97476.1171875,61.6,61.96,375,652.2249,1179.7934,375
1880000,-97964.0859375,58.22,58.25,376,704.3704,1898.6938,376
1885000,-98101.8046875,64.69,64.62,377,691.6217,1494.0474,377
1890000,-91853.390625,63.28,64.14,378,655.2851,456.5845,378
1895000,-98259.8203125,64.55,64.93,379,687.9719,1462.9693,379
1900000,-97969.109375,60.24,59.9,380,705.8926,1960.3664,380
1905000,-98124.71875,62.68,62.89,381,667.8543,1146.834,381
1910000,-97373.2265625,61.08,62.58,382,659.993,687.4434,382
1915000,-96848.7578125,65.15,64.91,383,662.4296,901.7746,383
1920000,-94773.203125,63.29,62.75,384,653.1571,791.7976,384
1925000,-98045.875,65.12,65.27,385,663.7037,1086.6657,385
1930000,-96823.5703125,63.86,64.24,386,668.3082,903.0287,386
1935000,-97936.453125,62.25,62.24,387,684.8868,624.7755,387
1940000,-97284.8984375,63.18,63.24,388,644.283,518.0328,388
1945000,-98896.0625,61.02,61.07,389,727.745,1009.9461,389
1950000,-98908.5078125,62.01,62.28,390,745.6669,3254.0079,390
1955000,-98642.2109375,59.44,59.4,391,696.6697,2225.3226,391
1960000,-98068.0546875,60.53,59.88,392,679.0459,2109.0776,392
1965000,-99037.421875,62.99,63.05,393,746.0286,3539.8648,393
1970000,-96658.2265625,61.9,61.28,394,671.9626,593.8401,394
1975000,-98925.8828125,58.15,58.06,395,739.3034,3239.575,395
1980000,-99146.203125,57.8,57.41,396,783.4303,3057.9502,396
1985000,-95770.21875,61.01,60.72,397,634.9767,1564.0047,397
1990000,-98363.8046875,58.81,58.66,398,679.259,1544.9904,398
1995000,-98161.78125,59.0,59.05,399,696.0786,571.142,399
2000000,-98297.34375,58.91,58.34,400,688.0856,726.0968,400
2005000,-96659.046875,60.8,60.9,401,668.6048,999.2285,401
2010000,-98712.28125,61.36,61.85,402,685.6373,857.5311,402
2015000,-96739.9375,60.06,59.79,403,710.0846,847.9706,403
2020000,-99058.9453125,60.39,60.27,404,755.002,1326.9202,404
2025000,-98139.140625,60.3,60.0,405,689.3555,751.8463,405
