Running Forward KL,Real Det Return,Reward Loss,Itration,Real Sto Return,Running Env Steps,Running Reverse KL,Running Update Time
26.0135,244.97,-1066.119873046875,63,1111.63,315000,16.4824,63
24.7738,2987.07,-437.2719421386719,64,2583.79,320000,17.5018,64
38.3922,1027.56,-2007.37548828125,65,1028.64,325000,34.3569,65
38.67,92.93,-2049.691162109375,66,91.73,330000,36.8431,66
32.6827,919.51,-1922.4332275390625,67,988.72,335000,24.4487,67
38.4114,1025.6,-2081.86669921875,68,1028.57,340000,28.0713,68
25.1143,1359.37,-1215.552978515625,69,1496.01,345000,21.6492,69
37.1241,1052.78,-2148.86181640625,70,1055.32,350000,35.3922,70
37.5635,994.42,-2264.717529296875,71,993.87,355000,39.7639,71
39.5542,1005.57,-2245.46533203125,72,1005.32,360000,40.4075,72
39.1762,1006.33,-2306.568603515625,73,1007.4,365000,34.7736,73
33.3186,884.65,-2279.433837890625,74,903.19,370000,30.7634,74
38.8899,1000.44,-2392.55078125,75,1000.66,375000,38.7603,75
37.1111,1006.24,-2413.24658203125,76,1009.92,380000,26.239,76
40.1531,1008.88,-2531.84423828125,77,1007.97,385000,32.854,77
25.6808,2927.96,-580.22802734375,78,2959.83,390000,17.9363,78
27.2929,1030.62,-1950.69580078125,79,813.64,395000,23.8579,79
37.6599,1057.1,-2650.375,80,1044.0,400000,24.738,80
38.1741,1026.88,-2790.705322265625,81,1026.64,405000,35.5401,81
26.6055,989.83,-810.166259765625,82,2679.13,410000,21.0327,82
39.4362,991.86,-2882.669921875,83,991.68,415000,39.9617,83
36.896,1022.72,-2876.7314453125,84,1022.64,420000,36.3958,84
35.5694,1031.16,-2887.29736328125,85,967.14,425000,35.8433,85
40.4715,981.39,-3061.618408203125,86,981.04,430000,52.0755,86
37.9734,1023.65,-3087.21533203125,87,1023.43,435000,40.1867,87
38.071,1026.86,-3160.77392578125,88,1026.69,440000,34.2189,88
23.6875,1438.07,-1537.5570068359375,89,1702.25,445000,19.29,89
37.8437,998.18,-3283.710693359375,90,998.33,450000,36.385,90
29.8835,1061.51,-3139.0361328125,91,1126.42,455000,31.8253,91
36.1186,1021.6,-3351.900390625,92,980.67,460000,31.258,92
38.1617,44.94,-3627.052978515625,93,46.17,465000,30.7335,93
38.9299,1046.11,-3615.3623046875,94,1045.81,470000,29.7818,94
40.188,988.36,-3639.7294921875,95,987.13,475000,48.0265,95
35.718,1046.3,-3685.120361328125,96,1046.46,480000,30.0475,96
38.7449,1046.92,-3820.172607421875,97,1047.13,485000,31.1457,97
38.1394,1022.73,-3853.3251953125,98,1018.77,490000,28.6197,98
36.0009,1021.37,-3924.24658203125,99,1021.37,495000,38.693,99
37.2659,1015.77,-3856.2158203125,100,1016.68,500000,29.1675,100
36.6632,1027.73,-4037.053466796875,101,1018.67,505000,45.4365,101
28.9999,1074.4,-3500.63427734375,102,1001.45,510000,30.7795,102
36.996,1041.81,-4134.72705078125,103,1042.05,515000,30.3307,103
38.1411,297.26,-4471.29443359375,104,279.01,520000,52.8669,104
34.6442,994.02,-4186.0234375,105,499.36,525000,33.583,105
38.7727,980.63,-4428.578125,106,979.75,530000,33.1435,106
40.0733,1010.95,-4453.66064453125,107,1010.8,535000,40.2941,107
37.8815,1013.25,-4314.2890625,108,1007.69,540000,32.6369,108
38.3542,285.37,-4580.4033203125,109,290.19,545000,34.1893,109
37.3078,1038.29,-4778.59423828125,110,1042.58,550000,34.116,110
34.9646,1010.16,-4413.6328125,111,1020.14,555000,30.8982,111
38.829,987.77,-4983.99072265625,112,977.17,560000,45.9884,112
37.0021,1023.83,-5048.80908203125,113,1023.72,565000,32.9703,113
40.3195,1000.74,-5058.1787109375,114,1000.76,570000,60.8266,114
34.0341,348.46,-4467.716796875,115,96.2,575000,70.3875,115
32.6061,91.74,-4331.19287109375,116,93.77,580000,34.9852,116
32.8328,188.56,-2973.9755859375,117,188.43,585000,25.3127,117
29.4926,554.42,-4542.66845703125,118,548.52,590000,42.4553,118
37.8839,1005.21,-5502.37646484375,119,1005.27,595000,62.1668,119
39.1591,995.84,-5519.294921875,120,995.56,600000,60.12,120
40.8311,975.18,-5562.126953125,121,975.18,605000,55.0729,121
37.428,1022.56,-5599.92041015625,122,1022.83,610000,41.8312,122
37.4306,1009.18,-5592.14453125,123,1010.04,615000,45.0017,123
38.6527,1019.74,-5774.76806640625,124,1026.02,620000,39.3439,124
38.0712,999.95,-5827.19384765625,125,1000.93,625000,30.4566,125
40.7171,1004.44,-5908.50732421875,126,1004.42,630000,52.7541,126
39.0044,1010.07,-5994.19287109375,127,1009.23,635000,42.6778,127
37.8835,1026.95,-6097.8232421875,128,687.06,640000,50.8204,128
37.6174,1012.0,-5919.87841796875,129,1013.23,645000,34.4873,129
37.7512,298.03,-6002.44921875,130,342.28,650000,52.9935,130
31.2045,1004.47,-5500.9541015625,131,478.18,655000,38.4892,131
37.6495,453.69,-6303.35107421875,132,369.06,660000,35.1392,132
37.6681,1015.77,-6506.57861328125,133,1016.15,665000,40.0158,133
40.4695,1022.6,-6623.76171875,134,1022.32,670000,54.9631,134
36.347,101.05,-5943.990234375,135,101.91,675000,43.922,135
33.0944,145.98,-6511.26513671875,136,154.04,680000,48.5297,136
32.4661,336.07,-5850.47509765625,137,334.13,685000,36.6607,137
37.3618,1008.64,-6881.35400390625,138,1008.69,690000,38.2388,138
32.3798,275.96,-6173.97802734375,139,276.46,695000,34.2026,139
27.8267,699.34,-2631.34130859375,140,592.55,700000,21.1879,140
28.8205,352.4,-5637.244140625,141,420.6,705000,28.7616,141
31.6615,213.95,-6613.77685546875,142,465.88,710000,30.5673,142
26.4209,2931.64,-639.0355834960938,143,2878.69,715000,18.5666,143
26.7166,2840.03,-489.8531494140625,144,2835.46,720000,18.8397,144
26.8675,2708.81,-1190.63623046875,145,2788.45,725000,17.5072,145
26.8793,2615.26,-1253.911376953125,146,2641.87,730000,17.4244,146
24.8171,3002.93,-1037.7803955078125,147,2878.02,735000,16.7147,147
24.8615,871.01,-3431.677978515625,148,2697.07,740000,21.0566,148
25.6133,1424.66,-4429.552734375,149,1098.91,745000,27.8054,149
29.88,975.45,-7406.23779296875,150,981.21,750000,46.7324,150
26.4006,2959.85,-3250.463134765625,151,1841.36,755000,41.7257,151
25.6354,2853.04,-1479.583251953125,152,2590.1,760000,20.5145,152
27.1195,2722.16,-922.8524780273438,153,2778.71,765000,19.426,153
27.0228,2785.91,-1334.1644287109375,154,2798.95,770000,18.8783,154
26.4614,2722.99,-1233.63427734375,155,2785.06,775000,17.5728,155
26.1326,3041.45,-851.9866333007812,156,2815.77,780000,18.6007,156
25.2291,3070.84,-1059.7974853515625,157,3075.86,785000,19.0072,157
24.3003,3130.05,-865.5482788085938,158,3123.61,790000,17.2059,158
25.1142,3111.79,-818.20849609375,159,3109.42,795000,17.8311,159
24.2016,3116.86,-1292.59033203125,160,2538.28,800000,18.5491,160
24.6294,3128.34,-1351.0313720703125,161,2933.96,805000,18.444,161
25.1612,2958.15,-1126.6300048828125,162,2803.26,810000,17.5831,162
24.4925,2955.51,-1662.6663818359375,163,3007.68,815000,17.5553,163
23.676,3142.17,-1062.0435791015625,164,2585.88,820000,18.0876,164
24.4897,3073.49,-1046.767578125,165,3115.72,825000,16.8786,165
24.012,3013.9,-1148.3795166015625,166,3039.57,830000,15.9212,166
24.3334,3167.45,-713.0385131835938,167,3073.21,835000,17.3248,167
23.9379,3145.7,-1283.35498046875,168,3117.01,840000,16.6338,168
23.4313,3147.76,-1724.24072265625,169,3012.21,845000,18.3924,169
23.7236,3040.13,-1083.5819091796875,170,2773.1,850000,15.5898,170
24.0807,2307.03,-3869.068115234375,171,2613.15,855000,29.1552,171
22.6786,3207.81,-2527.849853515625,172,2105.62,860000,21.5893,172
24.4818,3186.43,-2529.08935546875,173,2581.87,865000,23.5739,173
23.6118,3119.79,-2098.573974609375,174,2536.14,870000,18.1713,174
25.0709,3075.89,-3283.3095703125,175,2264.65,875000,23.9244,175
25.999,3171.65,-825.0548706054688,176,3167.27,880000,21.0358,176
24.1073,3118.53,-864.592529296875,177,3102.09,885000,17.5341,177
23.9061,3166.72,-1342.8978271484375,178,3136.33,890000,18.0301,178
24.9318,3143.8,-809.508544921875,179,3142.58,895000,18.2441,179
23.1427,3195.69,-899.9671020507812,180,3160.96,900000,15.3062,180
23.5776,3073.24,-1667.2825927734375,181,3035.64,905000,15.2797,181
24.5107,3177.99,-846.9072265625,182,3161.57,910000,17.9829,182
25.5111,3127.16,-879.9190673828125,183,3120.29,915000,20.0526,183
23.5836,3164.57,-1164.9368896484375,184,2851.37,920000,16.0963,184
24.1494,3137.07,-1914.976806640625,185,2853.3,925000,20.9823,185
24.7454,3158.1,-934.3955688476562,186,3136.78,930000,17.9629,186
24.4935,3046.64,-1196.86669921875,187,3162.14,935000,17.5937,187
24.676,3154.66,-1070.470947265625,188,3145.43,940000,17.6148,188
24.0238,3190.11,-942.210693359375,189,3182.05,945000,17.6029,189
24.9695,3200.12,-825.6594848632812,190,3180.29,950000,19.0754,190
23.6593,3200.06,-937.0562133789062,191,3178.6,955000,16.6525,191
24.4159,3157.13,-1071.871337890625,192,3149.18,960000,17.508,192
24.0327,3138.85,-1155.953125,193,3119.99,965000,16.8799,193
24.2217,3192.01,-982.9254150390625,194,3185.88,970000,17.8867,194
24.288,3200.67,-1012.2223510742188,195,3171.65,975000,17.7771,195
23.8512,3175.93,-1124.7200927734375,196,3167.53,980000,17.9295,196
23.0736,3210.88,-1169.652587890625,197,3192.87,985000,15.6247,197
23.9285,3181.76,-1227.7247314453125,198,3159.35,990000,18.1098,198
25.0167,3202.71,-887.1640014648438,199,3182.26,995000,18.9706,199
