Itration,Reward Loss,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Running Forward KL,Running Reverse KL
41,-322.1560974121094,41,1436.03,2279.47,205000,56.9636,23.9583
42,-246.02088928222656,42,1799.42,2583.54,210000,57.8756,30.907
43,-272.7693786621094,43,2702.41,3249.31,215000,57.8874,31.6398
44,-289.21466064453125,44,2375.17,3279.88,220000,57.7046,30.0505
45,-302.64520263671875,45,1819.22,2912.73,225000,57.6605,31.8134
46,-301.4106750488281,46,2088.85,2930.56,230000,56.4023,26.145
47,-359.6536560058594,47,1851.76,2396.85,235000,57.9993,26.6574
48,-264.341064453125,48,2986.64,3461.43,240000,59.0658,37.3078
49,-451.51519775390625,49,1079.2,2342.77,245000,59.3192,23.7245
50,-362.6717529296875,50,1943.77,3591.9,250000,59.0846,28.4704
51,-395.5679626464844,51,1815.89,2665.27,255000,56.632,23.6068
52,-515.2491455078125,52,1794.08,2385.94,260000,62.0536,24.9022
53,-372.98040771484375,53,2257.17,3459.1,265000,58.6685,27.1399
54,-384.5887756347656,54,2414.29,3393.67,270000,57.1645,24.7509
55,-307.78363037109375,55,2939.01,3420.65,275000,58.3678,31.1485
56,-359.76995849609375,56,2061.57,3673.92,280000,58.8089,29.3751
57,-412.8592834472656,57,2771.0,3006.58,285000,58.0102,25.2475
58,-436.0510559082031,58,2341.37,2690.97,290000,58.835,25.2981
59,-449.8315734863281,59,2099.33,3184.98,295000,59.2207,25.6774
60,-346.007568359375,60,2682.31,3886.64,300000,58.4572,30.1922
61,-355.4139404296875,61,2894.7,3752.58,305000,58.0475,30.227
62,-388.8813171386719,62,2792.58,3275.42,310000,56.6414,26.1284
63,-372.3580627441406,63,3495.65,4143.81,315000,58.3217,31.4848
64,-540.7991333007812,64,2720.62,3363.85,320000,58.5461,24.4793
65,-415.6270446777344,65,3271.47,4031.0,325000,57.5112,27.2757
66,-433.65948486328125,66,1699.51,2404.38,330000,57.5849,26.8542
67,-411.10369873046875,67,3351.23,3545.96,335000,58.1615,28.3964
68,-398.9391784667969,68,2879.42,4030.62,340000,59.7976,32.7133
69,-359.53271484375,69,3319.45,4159.05,345000,60.6847,37.3196
70,-414.5717468261719,70,3189.27,4300.94,350000,56.7595,28.7034
71,-406.7710876464844,71,3869.51,4509.28,355000,59.535,36.8214
72,-427.798583984375,72,3093.18,3412.27,360000,57.6137,30.635
73,-516.9588623046875,73,2404.97,3059.97,365000,58.1684,28.531
74,-398.613037109375,74,3162.94,3812.47,370000,61.6796,35.7781
75,-467.2958679199219,75,3978.21,4636.11,375000,58.784,32.4506
76,-441.889404296875,76,3331.39,4457.66,380000,60.9994,33.947
77,-485.8238830566406,77,4252.5,4690.54,385000,60.3356,35.8298
78,-506.23046875,78,4005.97,4943.66,390000,57.3671,29.3356
79,-443.4237976074219,79,3986.63,4618.99,395000,61.4615,36.9924
80,-537.4336547851562,80,4071.02,5038.3,400000,58.479,29.5896
81,-493.6904602050781,81,3207.3,4361.82,405000,57.844,29.088
82,-488.7505798339844,82,3852.6,4262.29,410000,61.0569,34.2487
83,-482.9549865722656,83,3892.49,4470.98,415000,63.4036,38.2286
84,-490.81463623046875,84,3499.05,4589.87,420000,60.7469,37.3516
85,-530.9137573242188,85,3282.0,4811.75,425000,59.9926,33.3332
86,-540.5114135742188,86,3449.89,4721.93,430000,62.0289,35.9193
87,-524.4774169921875,87,4582.93,4941.45,435000,62.8059,38.6051
88,-538.1099853515625,88,3864.08,3883.31,440000,60.6451,34.4881
89,-570.0750122070312,89,3141.78,3894.97,445000,59.8746,31.912
90,-532.4002685546875,90,3274.81,4497.76,450000,64.4047,40.9519
91,-565.120849609375,91,4265.05,5163.18,455000,64.4775,41.4798
92,-564.4305419921875,92,3743.56,5191.91,460000,61.9926,37.1342
93,-609.2594604492188,93,3703.62,4526.62,465000,63.744,38.2048
94,-620.10791015625,94,4090.47,4867.22,470000,60.8336,34.439
95,-600.626953125,95,4460.3,4586.99,475000,62.6465,39.9189
96,-632.5787353515625,96,4342.95,5151.11,480000,64.9514,43.6214
97,-675.8775634765625,97,2911.15,4700.56,485000,60.8932,34.4296
98,-681.7901000976562,98,4472.77,5097.76,490000,61.7546,37.6611
99,-704.6267700195312,99,4579.48,4339.56,495000,61.777,34.222
100,-678.0509033203125,100,2565.34,4086.18,500000,61.2446,34.7239
101,-699.2974243164062,101,4118.94,4793.02,505000,60.8723,36.6704
102,-726.6213989257812,102,4877.83,5245.17,510000,65.755,44.6135
103,-745.89501953125,103,3012.78,3465.91,515000,61.0431,35.0738
104,-729.1641845703125,104,4273.11,5334.31,520000,64.2873,43.7095
105,-795.017822265625,105,3836.79,4697.93,525000,60.096,30.4579
106,-767.3480224609375,106,3622.6,5099.24,530000,61.6734,37.3039
107,-828.5181274414062,107,4915.1,5120.89,535000,62.9539,38.4097
108,-792.0907592773438,108,4563.54,5155.38,540000,66.2558,42.3166
109,-823.5072021484375,109,4713.99,5411.33,545000,63.751,40.6803
110,-825.586181640625,110,4753.2,5329.48,550000,65.4483,43.1277
111,-848.709716796875,111,4519.65,4590.13,555000,60.725,37.1125
112,-863.7530517578125,112,4831.73,5639.15,560000,60.9864,35.4993
113,-896.7176513671875,113,4755.64,5234.77,565000,64.4366,40.119
114,-899.2161254882812,114,3379.75,3981.32,570000,61.3022,35.4685
115,-909.6588134765625,115,4418.73,5491.1,575000,64.4686,41.8456
116,-924.90576171875,116,4924.46,5659.0,580000,65.0967,42.7251
117,-948.87109375,117,4737.36,5449.71,585000,67.4534,46.003
118,-927.5944213867188,118,4348.11,5223.22,590000,62.1483,39.7843
119,-982.3106689453125,119,5043.85,5540.16,595000,63.8963,40.757
120,-995.4096069335938,120,4722.1,5446.85,600000,63.3317,39.1343
121,-1022.7548828125,121,4799.98,5434.29,605000,65.6224,47.4187
122,-1031.311767578125,122,5052.91,5319.29,610000,66.7538,44.8874
123,-1039.5438232421875,123,4606.14,5546.9,615000,65.7738,44.6208
124,-1085.2669677734375,124,4612.56,5147.92,620000,59.7333,34.8374
125,-1081.623779296875,125,4800.38,5300.99,625000,60.5508,38.2492
126,-1157.114501953125,126,4045.39,5428.48,630000,62.45,42.8845
127,-1153.7657470703125,127,5009.16,5432.92,635000,61.6947,37.0706
128,-1169.09521484375,128,4647.05,5358.11,640000,65.8968,44.305
129,-1160.0489501953125,129,4955.87,5291.57,645000,61.9254,39.1912
130,-1202.9810791015625,130,4540.94,5348.77,650000,64.8688,44.0953
131,-1204.6234130859375,131,3871.97,3754.43,655000,59.9217,32.3267
132,-1282.469482421875,132,5071.21,5364.65,660000,67.5201,46.4385
133,-1299.480224609375,133,4507.27,5415.7,665000,66.0655,46.2368
134,-1291.76953125,134,4363.72,5533.25,670000,62.3855,39.9833
135,-1343.1025390625,135,4873.28,5699.67,675000,65.0725,45.694
136,-1340.6326904296875,136,4895.69,5344.31,680000,63.8418,43.7176
137,-1319.8316650390625,137,3485.78,5155.04,685000,60.512,32.7585
138,-1418.566650390625,138,4732.5,5136.47,690000,66.8663,45.6615
139,-1389.432373046875,139,4487.77,5745.67,695000,63.7971,43.3266
140,-1416.8604736328125,140,4262.79,4952.89,700000,64.9197,42.6581
141,-1492.488525390625,141,4109.0,5226.61,705000,63.4417,40.942
142,-1519.0894775390625,142,4701.06,5600.47,710000,66.8972,49.1758
143,-1478.45458984375,143,3705.67,4898.59,715000,61.741,40.3587
144,-1522.8228759765625,144,5066.61,5536.27,720000,61.4065,38.5593
145,-1547.5194091796875,145,4916.79,5242.28,725000,62.0993,39.7222
146,-1583.781005859375,146,4874.23,5379.15,730000,62.623,41.9312
147,-1588.60302734375,147,4495.68,4509.35,735000,61.4819,37.3163
148,-1650.951171875,148,4371.49,4901.78,740000,64.7321,42.5123
149,-1659.2548828125,149,4764.9,5001.76,745000,62.657,36.2457
150,-1634.9759521484375,150,4690.43,5500.39,750000,61.4393,35.8714
151,-1691.892333984375,151,4434.79,5470.32,755000,67.4129,48.0282
152,-1793.1009521484375,152,4947.16,5584.93,760000,65.2039,46.0154
153,-1821.6510009765625,153,4267.89,5162.07,765000,62.6156,39.3477
154,-1773.23828125,154,4816.52,5542.55,770000,60.7305,37.2799
155,-1863.1483154296875,155,5066.6,5663.17,775000,62.9226,43.9844
156,-1724.8560791015625,156,4872.56,4940.9,780000,60.8717,28.3367
157,-1882.5076904296875,157,4611.01,5699.45,785000,63.5297,42.0326
158,-1991.399658203125,158,5177.8,5438.74,790000,63.6868,44.5025
159,-1951.17138671875,159,3981.71,4986.49,795000,63.2997,41.8156
160,-2023.263916015625,160,5323.52,5338.82,800000,66.7352,48.0205
161,-2049.04736328125,161,3837.16,4775.62,805000,66.829,46.7358
162,-2085.95556640625,162,4683.33,5168.36,810000,67.7448,48.4928
163,-2194.21337890625,163,5262.92,5620.59,815000,69.408,53.0556
164,-2101.1923828125,164,3859.53,4748.17,820000,63.0641,41.4006
165,-2166.7822265625,165,5326.98,5440.24,825000,62.4348,39.724
166,-2117.240966796875,166,4940.8,5470.18,830000,60.7429,35.9944
167,-2235.953125,167,4723.17,5664.68,835000,63.0983,42.2936
168,-2212.635498046875,168,4158.1,4853.22,840000,63.9746,46.0661
169,-2352.69189453125,169,4716.5,4878.11,845000,66.9719,50.4168
170,-2320.379150390625,170,4729.87,5502.86,850000,63.8444,47.2066
171,-2454.497802734375,171,4784.59,5206.28,855000,68.0641,51.9666
172,-2367.39501953125,172,4485.35,5205.16,860000,62.892,41.4816
173,-2505.13916015625,173,5460.95,5957.61,865000,65.8967,44.1421
174,-2450.321044921875,174,4626.26,5115.72,870000,66.2652,45.1967
175,-2545.68310546875,175,5383.44,5075.3,875000,63.2359,44.3143
176,-2463.05810546875,176,4872.82,5387.19,880000,62.8083,39.2013
177,-2587.306884765625,177,5043.6,4691.02,885000,64.7796,42.4112
178,-2672.413818359375,178,4707.5,5272.03,890000,65.6361,46.2388
179,-2641.99755859375,179,4546.91,5195.74,895000,64.2526,41.6071
180,-2768.00732421875,180,5066.46,5640.38,900000,65.2354,44.8054
181,-2776.760986328125,181,5116.38,5180.94,905000,66.1178,45.8209
182,-2785.697265625,182,3985.91,4632.38,910000,66.2923,47.9944
183,-2876.283447265625,183,5087.25,5763.37,915000,67.4357,47.4285
184,-2931.59814453125,184,5177.19,5575.61,920000,67.3647,48.9415
185,-2937.77978515625,185,4894.23,5293.45,925000,64.1551,46.1474
186,-3009.967529296875,186,5426.35,5855.09,930000,65.2281,45.6768
187,-3030.09765625,187,5271.59,5359.9,935000,67.6458,46.982
188,-3103.871826171875,188,5421.51,5644.74,940000,65.4506,49.4047
189,-3212.9521484375,189,4653.79,5566.94,945000,67.1239,49.6253
190,-3200.69384765625,190,5409.29,5792.12,950000,66.6641,46.7587
191,-3198.589111328125,191,4477.56,5643.13,955000,64.9575,45.526
192,-3416.90771484375,192,4984.8,5574.01,960000,68.4755,51.5629
193,-3316.514892578125,193,3981.0,5641.05,965000,64.3598,45.357
194,-3389.364990234375,194,5382.82,5753.63,970000,65.2726,45.453
195,-3489.369384765625,195,5066.29,4846.14,975000,68.0749,49.9808
196,-3247.939697265625,196,4205.6,5003.04,980000,61.2853,37.4635
197,-3687.046142578125,197,5143.81,5557.07,985000,71.1063,55.9405
198,-3540.253173828125,198,4584.72,5474.28,990000,66.4846,47.2561
199,-3644.867431640625,199,5158.23,5367.74,995000,67.412,50.855
200,-3617.234619140625,200,5149.99,5629.47,1000000,63.2234,42.1446
201,-3706.4267578125,201,5163.6,5597.26,1005000,66.2284,47.6699
202,-3800.27001953125,202,5190.33,5539.4,1010000,66.5757,48.5661
203,-3868.23681640625,203,5375.07,5758.75,1015000,68.2091,51.0687
204,-3889.201904296875,204,4821.45,4986.05,1020000,67.6864,49.9501
205,-3934.328125,205,5298.44,5392.46,1025000,66.4659,49.6207
206,-4038.37451171875,206,4785.95,5497.58,1030000,67.1836,48.9922
207,-4047.26025390625,207,5365.61,5721.26,1035000,68.1355,52.1229
208,-4118.37890625,208,4488.8,5372.36,1040000,69.6005,53.1475
209,-4122.36865234375,209,4521.54,5397.1,1045000,66.9403,49.7608
210,-4020.28662109375,210,4884.64,5591.45,1050000,62.7027,42.6726
211,-4233.517578125,211,4873.43,5705.89,1055000,67.3719,50.8703
212,-4006.641357421875,212,4682.93,5339.68,1060000,62.9583,43.1568
213,-4358.29833984375,213,5250.81,5441.3,1065000,67.1711,51.8159
214,-4033.6748046875,214,4512.38,5268.44,1070000,63.2968,40.841
215,-4397.998046875,215,4179.82,5739.12,1075000,66.9104,50.7878
216,-4287.97021484375,216,4983.76,5721.49,1080000,63.2169,44.1434
217,-4396.1298828125,217,4985.49,5617.55,1085000,64.7259,47.8885
218,-4407.6650390625,218,4419.7,4962.5,1090000,64.2356,46.2946
219,-4545.91748046875,219,5093.17,5680.23,1095000,66.3671,49.4157
220,-4629.46533203125,220,4712.42,5502.29,1100000,66.6271,50.4973
221,-4655.47119140625,221,4991.27,5243.69,1105000,66.9062,50.5694
222,-4744.79541015625,222,4847.87,5168.65,1110000,67.6332,52.8147
223,-4698.4130859375,223,5057.25,5363.35,1115000,66.4207,49.1068
224,-4782.10986328125,224,4501.73,5443.91,1120000,68.0035,50.7861
225,-4703.0224609375,225,4872.84,5277.48,1125000,63.4226,46.0102
226,-4870.00634765625,226,4659.1,5506.64,1130000,66.387,48.9993
227,-4928.3525390625,227,4655.81,5201.54,1135000,67.225,50.8255
228,-4935.97607421875,228,4900.4,5412.24,1140000,66.0613,48.3197
229,-5044.8359375,229,5195.59,5460.4,1145000,68.2387,53.1845
230,-5052.4228515625,230,5153.32,5086.28,1150000,66.4557,49.1145
231,-4987.95458984375,231,5340.58,5891.86,1155000,65.0689,45.538
232,-5076.61767578125,232,5060.96,5698.19,1160000,67.6121,49.5462
233,-5188.2890625,233,4935.73,5437.88,1165000,68.3084,51.4305
234,-5086.92333984375,234,4815.91,5222.57,1170000,64.8864,44.8481
235,-5272.91845703125,235,4843.94,5587.87,1175000,67.2009,49.2269
236,-5305.95166015625,236,5309.96,5855.12,1180000,67.9995,48.7656
237,-5042.380859375,237,5162.37,5786.93,1185000,62.0233,40.1772
238,-5444.14697265625,238,4993.0,5793.83,1190000,66.9519,48.8283
239,-5409.9140625,239,5217.17,5800.42,1195000,67.3077,50.3754
240,-5437.0341796875,240,5063.5,5320.61,1200000,66.0361,47.31
241,-5452.35009765625,241,4604.97,5828.63,1205000,67.4561,48.1675
242,-5440.24462890625,242,5189.17,5383.36,1210000,66.2586,45.674
243,-5344.6416015625,243,5010.95,5918.28,1215000,63.9664,40.9032
244,-5607.9326171875,244,5220.18,5739.19,1220000,66.842,47.9175
245,-5646.33349609375,245,5316.85,5871.79,1225000,66.8214,47.2044
246,-5495.515625,246,4842.83,5586.5,1230000,66.342,44.6663
247,-5523.2080078125,247,5008.67,5621.53,1235000,64.0063,43.7127
248,-5763.00830078125,248,5175.39,5712.12,1240000,67.1931,46.8086
249,-5484.30615234375,249,5185.08,5374.5,1245000,63.8271,43.0981
250,-5621.52978515625,250,5450.75,5646.9,1250000,64.1528,41.8678
251,-5795.07275390625,251,5267.04,5824.29,1255000,67.0784,47.0282
252,-5785.07958984375,252,5072.7,5653.28,1260000,66.6224,47.7983
253,-5838.68603515625,253,4945.05,5666.31,1265000,66.9518,46.2564
254,-5656.17578125,254,5374.42,5827.99,1270000,63.6479,42.9326
255,-5689.068359375,255,4836.32,5703.36,1275000,63.3425,43.1177
256,-5779.55419921875,256,4590.2,5593.65,1280000,64.1996,42.7404
257,-6085.6943359375,257,5437.2,5859.51,1285000,67.8503,48.5847
258,-6217.775390625,258,5255.89,5907.1,1290000,68.31,48.6791
259,-5941.95849609375,259,5464.77,5998.33,1295000,64.8106,43.2087
260,-5966.32470703125,260,4623.4,5590.6,1300000,65.3033,43.7304
261,-6198.76318359375,261,4856.22,5786.52,1305000,68.7749,48.8071
262,-6162.98779296875,262,5272.09,5742.32,1310000,66.2454,47.5667
263,-6374.880859375,263,5224.05,5602.02,1315000,67.7854,47.9606
264,-6239.10791015625,264,5309.69,5753.82,1320000,65.9287,45.6381
265,-6365.80517578125,265,5033.12,5848.11,1325000,68.1074,48.8444
266,-6172.109375,266,5334.25,5613.99,1330000,64.836,43.2013
267,-6002.50634765625,267,5405.54,5962.52,1335000,62.1761,39.088
268,-6424.142578125,268,5173.31,5719.12,1340000,68.1423,47.7589
269,-6549.0087890625,269,4786.79,5515.03,1345000,67.2413,47.7952
270,-6264.21142578125,270,5385.05,5774.19,1350000,64.3761,43.5818
271,-6292.2373046875,271,4812.9,5519.2,1355000,63.6642,41.0865
272,-6444.880859375,272,5522.86,5703.64,1360000,65.9027,45.5799
273,-6800.19677734375,273,5242.27,5847.22,1365000,69.4429,48.6912
274,-6673.53662109375,274,5287.4,6058.67,1370000,65.0552,44.368
275,-6566.39404296875,275,4761.18,5723.61,1375000,64.5617,42.8709
276,-6816.7607421875,276,5387.05,5827.91,1380000,67.1388,47.7902
277,-6893.6767578125,277,5038.76,5917.86,1385000,67.6524,49.8102
278,-6452.6083984375,278,5028.74,5410.66,1390000,63.9302,43.1878
279,-6979.080078125,279,4514.31,5089.47,1395000,68.8008,48.456
280,-7106.0810546875,280,4775.42,5941.03,1400000,68.2704,50.44
281,-6935.07763671875,281,4934.16,5554.47,1405000,67.2031,46.5665
282,-7069.20654296875,282,5259.01,5955.08,1410000,65.8505,46.5047
283,-6868.55224609375,283,5027.48,5503.91,1415000,67.0243,44.758
284,-7230.9404296875,284,5371.2,5498.97,1420000,68.6411,50.0772
285,-7133.220703125,285,5236.14,5651.39,1425000,67.1038,46.2148
286,-7280.29248046875,286,4958.0,5438.25,1430000,67.8478,48.9951
287,-6813.7421875,287,4393.0,4630.72,1435000,64.7075,41.7781
288,-7075.52197265625,288,5026.89,5263.79,1440000,65.3895,46.6569
289,-7204.310546875,289,4698.9,5062.04,1445000,64.986,44.9022
290,-7049.310546875,290,4038.76,5263.55,1450000,65.1637,44.0809
291,-7392.33642578125,291,4709.95,5414.5,1455000,67.1042,47.1632
292,-7070.28173828125,292,5236.31,5491.56,1460000,65.629,44.0766
293,-7326.51611328125,293,4498.85,5758.53,1465000,65.848,46.9281
294,-7340.6005859375,294,4911.2,5941.58,1470000,65.7558,44.2259
295,-7531.3251953125,295,5065.19,5084.32,1475000,68.1247,48.6024
296,-7752.55126953125,296,5046.89,5675.0,1480000,67.0518,47.66
297,-6989.49755859375,297,4409.14,5677.74,1485000,62.2559,39.0349
298,-7755.51806640625,298,5093.56,5804.6,1490000,65.7188,46.5746
299,-7645.220703125,299,5001.37,5687.9,1495000,65.9206,45.2166
300,-7783.80126953125,300,5144.31,5792.99,1500000,66.2322,46.1411
301,-7790.04296875,301,4511.57,5508.57,1505000,66.7889,48.6271
302,-7906.13671875,302,4652.37,5767.24,1510000,68.0079,50.337
303,-8118.46728515625,303,5207.59,5700.64,1515000,68.9883,51.1041
304,-7752.70654296875,304,5059.55,5583.96,1520000,65.848,46.2675
305,-8218.357421875,305,4994.18,5545.36,1525000,68.0831,51.2154
306,-7903.1640625,306,4922.57,5159.61,1530000,66.1829,49.4914
307,-8414.97265625,307,5143.37,6009.45,1535000,71.3808,53.6598
308,-7128.52490234375,308,4790.31,5766.03,1540000,63.2988,41.6714
309,-8354.4384765625,309,4973.62,5277.95,1545000,68.5555,49.7793
310,-8246.958984375,310,4060.73,5896.95,1550000,68.1625,50.8375
311,-8319.4677734375,311,4624.05,5626.88,1555000,67.6927,50.8202
312,-8477.4296875,312,4733.6,5009.54,1560000,69.2034,52.5933
313,-8345.2236328125,313,4200.7,5470.73,1565000,68.7507,47.8718
314,-8566.8525390625,314,5091.8,5390.13,1570000,67.6378,50.2767
315,-7501.0166015625,315,4450.04,5075.4,1575000,64.4041,40.3939
316,-7678.89794921875,316,3901.68,4801.55,1580000,64.6441,42.1459
317,-8747.6494140625,317,5185.61,5273.45,1585000,67.3408,49.6325
318,-8208.8134765625,318,4323.91,4900.19,1590000,64.8567,43.8816
319,-8828.947265625,319,4685.16,5279.96,1595000,68.0488,50.4055
320,-8845.3583984375,320,5168.45,5556.19,1600000,68.5419,49.4426
321,-8193.244140625,321,4525.0,5124.48,1605000,64.9802,44.1521
322,-9016.853515625,322,5319.08,5349.14,1610000,69.2577,50.9735
323,-8727.6533203125,323,5352.31,5707.48,1615000,66.1082,47.2713
324,-9028.15234375,324,4529.0,5773.87,1620000,67.6662,51.273
325,-8556.9501953125,325,4971.72,5737.26,1625000,65.5525,45.6619
326,-7849.1123046875,326,4878.71,5264.84,1630000,63.2903,39.9367
327,-9116.51953125,327,4540.54,6018.56,1635000,67.9197,50.0128
328,-8755.0048828125,328,4989.45,5756.46,1640000,64.3591,45.5362
329,-9280.5478515625,329,4747.68,6068.68,1645000,67.7194,48.3216
330,-9289.244140625,330,5471.1,5777.38,1650000,68.4536,49.4812
331,-8708.4853515625,331,4936.37,5945.54,1655000,65.0849,43.8605
332,-9361.6328125,332,5319.68,6124.06,1660000,67.0105,49.1022
333,-8788.0400390625,333,5766.29,5765.26,1665000,65.1691,44.781
334,-8717.3740234375,334,5511.89,5908.67,1670000,64.2802,43.7358
335,-9106.4990234375,335,5100.88,5733.69,1675000,68.149,49.452
336,-9526.068359375,336,5156.44,5960.66,1680000,67.912,51.0725
337,-9591.9697265625,337,5213.09,6036.59,1685000,68.585,51.7679
338,-8493.8642578125,338,5332.45,5425.41,1690000,64.9289,44.8896
339,-9695.796875,339,4917.51,6011.0,1695000,67.415,49.892
340,-9270.6640625,340,5139.51,6052.95,1700000,65.7035,46.1305
341,-9073.498046875,341,4032.68,5514.21,1705000,65.0446,44.4962
342,-9811.8017578125,342,5422.4,5852.73,1710000,67.495,50.5276
343,-9778.1015625,343,5245.37,5622.13,1715000,67.7816,47.9555
344,-9348.8408203125,344,5184.53,5790.76,1720000,64.4563,42.7533
345,-8630.798828125,345,4634.86,5738.39,1725000,64.1203,40.985
346,-9755.6611328125,346,5264.09,5674.45,1730000,67.063,47.9013
347,-9656.783203125,347,5101.23,6119.28,1735000,66.6553,48.1764
348,-9433.7802734375,348,4203.58,5561.11,1740000,67.0083,48.889
349,-9584.5791015625,349,4357.86,5683.64,1745000,67.937,50.1582
350,-9834.4423828125,350,5323.25,5619.45,1750000,66.897,49.4739
351,-10213.5390625,351,5097.34,6055.02,1755000,68.8021,52.5678
352,-9086.2783203125,352,4903.91,6080.58,1760000,65.671,43.1012
353,-9605.294921875,353,4740.26,5104.36,1765000,67.2217,48.0637
354,-10082.3271484375,354,4736.92,5351.97,1770000,68.4166,51.0945
355,-10135.658203125,355,4959.06,5287.64,1775000,68.0288,52.2079
356,-8502.7099609375,356,5500.9,5557.14,1780000,64.0844,42.0367
357,-10311.5771484375,357,4849.61,5513.58,1785000,69.5452,51.7136
358,-10301.7880859375,358,5199.81,6035.28,1790000,67.673,52.3659
359,-10001.236328125,359,4475.02,4838.89,1795000,67.3869,50.1244
360,-10035.5849609375,360,5345.08,5807.49,1800000,66.8538,48.5826
361,-10158.216796875,361,5416.29,5843.6,1805000,66.5792,49.1958
362,-10405.1591796875,362,4627.59,5533.31,1810000,68.0732,52.9916
363,-10215.2998046875,363,5003.28,5463.23,1815000,66.7619,50.2344
364,-10379.2802734375,364,5654.26,5945.17,1820000,66.1206,49.4743
365,-9885.7705078125,365,5248.73,5880.56,1825000,64.8881,44.7853
366,-10484.9296875,366,5453.35,5670.22,1830000,65.9064,51.205
367,-10191.0517578125,367,5142.32,5922.13,1835000,65.6642,47.1898
368,-10683.7158203125,368,5156.39,5972.15,1840000,68.5852,51.6315
369,-10533.3740234375,369,4856.41,5815.61,1845000,67.6214,51.1443
370,-10754.2802734375,370,5057.38,6111.63,1850000,68.0369,51.6141
371,-10674.40625,371,4757.33,5312.15,1855000,69.1396,54.9882
372,-10677.6611328125,372,4646.5,5905.68,1860000,67.0045,49.6063
373,-10833.16015625,373,5054.42,5920.0,1865000,67.4093,50.2011
374,-10872.7890625,374,4115.06,5694.83,1870000,68.4539,52.1872
375,-10867.728515625,375,5478.59,5845.56,1875000,68.3308,53.879
376,-10290.7666015625,376,4580.66,5271.88,1880000,65.7708,46.8627
377,-10971.630859375,377,5281.94,5569.72,1885000,69.4642,55.1714
378,-10967.3212890625,378,5062.42,5568.83,1890000,68.8848,53.7795
379,-10956.62109375,379,4887.0,5527.83,1895000,69.9567,54.0437
380,-10828.9677734375,380,4838.94,5461.45,1900000,68.5551,53.7128
381,-11161.7470703125,381,4581.45,5832.97,1905000,70.0283,55.1627
382,-10872.4560546875,382,5430.82,6057.47,1910000,67.258,50.9726
383,-11036.5712890625,383,5202.28,5370.69,1915000,69.2287,50.9894
384,-10634.7119140625,384,4589.07,5895.66,1920000,66.6186,49.8869
385,-10983.1435546875,385,5538.38,5718.45,1925000,68.3745,51.4871
