Running Reverse KL,Reward Loss,Real Det Return,Real Sto Return,Itration,Running Env Steps,Running Update Time,Running Forward KL
20.6349,-4487.68505859375,368.27,541.4,80,400000,80,28.541
16.893,-3920.412841796875,152.67,523.48,81,405000,81,26.8533
28.2268,-5116.08251953125,561.8,506.42,82,410000,82,29.7922
33.5002,-3093.8740234375,2039.91,1613.35,83,415000,83,27.2809
30.8934,-4606.2890625,982.04,783.88,84,420000,84,27.4155
42.8863,-4394.83154296875,1080.13,1024.82,85,425000,85,25.4829
41.426,-4570.623046875,708.06,707.12,86,430000,86,28.899
28.5318,-5216.8095703125,666.64,639.95,87,435000,87,28.2806
51.2342,-5210.8837890625,695.73,640.55,88,440000,88,27.8401
22.6145,-5131.22607421875,854.62,777.92,89,445000,89,27.6462
35.3007,-5349.76513671875,652.03,607.41,90,450000,90,28.8988
54.0848,-4225.66015625,846.02,788.68,91,455000,91,27.9492
73.9243,-3736.54443359375,1176.5,1524.55,92,460000,92,26.8232
78.7631,-4948.453125,747.55,662.18,93,465000,93,27.6222
16.8455,-3997.907958984375,1589.83,1148.15,94,470000,94,26.2566
66.7966,-4707.22021484375,987.87,1133.96,95,475000,95,27.134
38.878,-3185.07275390625,2545.6,2100.71,96,480000,96,25.6949
77.9009,-4812.92822265625,941.35,825.85,97,485000,97,28.847
24.8308,-3945.97998046875,3085.74,1435.55,98,490000,98,26.9359
13.663,-2008.5523681640625,2819.49,2177.9,99,495000,99,25.7354
30.5683,-4000.254638671875,2789.59,1812.1,100,500000,100,25.4616
45.9568,-3381.117919921875,3035.65,1371.64,101,505000,101,25.0348
74.6756,-5011.19580078125,1072.53,1215.51,102,510000,102,25.7594
15.2233,-2024.143310546875,2809.89,2502.04,103,515000,103,26.0731
21.2768,-2832.10009765625,2644.21,2307.89,104,520000,104,25.5659
16.4167,-2058.73095703125,2656.62,2490.11,105,525000,105,25.6774
14.5713,-1550.0802001953125,2770.95,2801.76,106,530000,106,25.7587
14.1756,-1647.210693359375,2780.06,2469.29,107,535000,107,26.2002
26.3619,-2802.06005859375,2568.24,2416.29,108,540000,108,26.3286
22.2812,-2879.495361328125,286.92,882.27,109,545000,109,25.1329
13.3572,-1967.259765625,2468.11,2586.14,110,550000,110,25.5279
13.7826,-2151.41064453125,2437.33,2393.11,111,555000,111,26.4687
16.5304,-2096.970947265625,2613.91,2649.37,112,560000,112,27.0539
35.5466,-3026.639892578125,2974.65,2018.3,113,565000,113,23.6438
11.1144,-1643.9720458984375,2583.92,2240.97,114,570000,114,23.4517
36.8561,-4263.2412109375,1442.32,1494.69,115,575000,115,25.58
67.5357,-4170.93310546875,3137.77,1658.62,116,580000,116,26.6826
44.4468,-4161.908203125,974.9,1905.14,117,585000,117,25.1997
21.6965,-3160.148681640625,1470.02,2508.02,118,590000,118,24.9149
12.378,-2049.54638671875,363.97,2015.99,119,595000,119,23.9485
14.8241,-1831.646484375,2673.18,2740.61,120,600000,120,25.3626
14.7055,-1709.61279296875,2868.18,2915.24,121,605000,121,24.4094
22.0609,-1839.116943359375,3136.27,2782.77,122,610000,122,23.8656
14.251,-1372.317138671875,2956.9,3037.5,123,615000,123,23.5332
14.3837,-1296.853759765625,3150.96,2990.67,124,620000,124,23.7399
13.8974,-1742.1776123046875,2837.57,2837.16,125,625000,125,24.9691
23.1865,-2236.335205078125,2750.15,2720.65,126,630000,126,24.1444
13.9417,-2437.5380859375,2674.95,2398.92,127,635000,127,24.7521
14.4937,-2170.93505859375,1094.16,2607.1,128,640000,128,25.0727
13.9738,-1769.548828125,2878.51,2913.47,129,645000,129,24.2494
114.1117,-5779.28564453125,812.96,1182.12,130,650000,130,25.6756
13.878,-1897.133544921875,2767.91,2564.82,131,655000,131,24.8509
13.2651,-1772.0020751953125,3026.58,3005.06,132,660000,132,23.2177
15.0065,-1709.8319091796875,3139.29,1804.92,133,665000,133,24.0537
14.5692,-1616.582763671875,2890.64,3033.65,134,670000,134,24.2549
13.9045,-2003.8408203125,2365.9,2583.01,135,675000,135,25.2369
12.3526,-2108.89306640625,2695.65,2837.07,136,680000,136,23.5007
13.2546,-2352.544189453125,2733.08,1416.39,137,685000,137,24.67
14.0508,-2361.0439453125,2735.74,2502.24,138,690000,138,25.2552
12.0927,-2568.93505859375,2726.7,2537.7,139,695000,139,23.3869
15.8291,-3744.61962890625,933.17,1944.46,140,700000,140,24.7323
24.4944,-2811.90869140625,2765.83,2532.32,141,705000,141,23.4545
13.9357,-2367.083251953125,2764.86,2971.77,142,710000,142,24.6624
14.7849,-2162.665771484375,2848.56,3005.38,143,715000,143,24.7448
35.3458,-3253.07275390625,2584.42,2222.52,144,720000,144,24.2833
13.6824,-2873.62548828125,2467.8,1514.88,145,725000,145,24.221
22.9865,-2637.077392578125,2833.15,2383.35,146,730000,146,23.7992
13.1147,-2004.751953125,2836.93,2823.44,147,735000,147,23.8437
12.3566,-1807.720947265625,2403.81,2835.64,148,740000,148,23.5543
27.5123,-4388.35009765625,1741.74,1956.4,149,745000,149,24.1096
13.127,-3310.95947265625,2329.42,2423.95,150,750000,150,23.4792
15.2529,-2445.242431640625,3016.03,2266.24,151,755000,151,23.8475
20.9325,-3584.851318359375,2702.16,2345.32,152,760000,152,24.392
21.5881,-2305.926513671875,1642.3,1359.07,153,765000,153,24.8228
15.6316,-1850.486328125,3043.46,2163.96,154,770000,154,25.4639
13.12,-2180.500732421875,2968.58,2980.28,155,775000,155,23.2934
12.0917,-2019.3349609375,3057.64,2980.41,156,780000,156,21.6161
13.4601,-1779.755859375,3160.36,2557.91,157,785000,157,22.6858
17.2838,-3272.43359375,927.46,2135.64,158,790000,158,24.0237
16.833,-5075.5615234375,861.19,1604.84,159,795000,159,23.5093
33.2866,-3597.0966796875,997.08,2430.69,160,800000,160,22.7345
13.482,-1825.8876953125,3037.19,2655.02,161,805000,161,23.1612
12.5527,-2403.556396484375,2847.31,2882.89,162,810000,162,23.322
34.516,-3344.80419921875,1537.82,2494.36,163,815000,163,22.9852
30.6177,-3028.77490234375,1545.82,1444.39,164,820000,164,22.6568
17.2511,-3807.901611328125,1865.01,1755.69,165,825000,165,26.3937
13.9281,-3135.296630859375,2622.01,2663.2,166,830000,166,26.0771
14.0615,-3533.757080078125,2621.35,2574.67,167,835000,167,25.9911
13.3137,-2984.45263671875,2653.9,2572.4,168,840000,168,24.9461
14.6737,-2899.78955078125,2501.43,1953.19,169,845000,169,25.1108
15.0466,-4241.72119140625,1588.94,1550.35,170,850000,170,23.3486
34.4378,-3742.192138671875,1811.99,2204.07,171,855000,171,24.9951
35.3362,-3693.509521484375,246.76,610.05,172,860000,172,24.2981
22.4422,-3259.47802734375,2927.33,2193.13,173,865000,173,23.8811
21.2327,-4611.64697265625,2588.66,1936.98,174,870000,174,23.7603
32.3473,-4466.80419921875,1182.08,1619.01,175,875000,175,24.0158
12.829,-3189.95458984375,2966.14,2864.32,176,880000,176,22.8693
33.057,-3746.467529296875,2292.3,2361.69,177,885000,177,23.7634
39.9795,-4304.61962890625,878.33,1597.21,178,890000,178,24.4915
18.3284,-5057.23828125,1753.96,1613.63,179,895000,179,23.8865
21.7008,-3198.89404296875,2533.24,2409.25,180,900000,180,23.3419
27.0318,-4412.77294921875,2969.84,2190.06,181,905000,181,22.7989
13.88,-2665.3798828125,2993.08,2988.78,182,910000,182,23.3671
14.3903,-3314.427490234375,2105.54,2037.61,183,915000,183,22.5556
15.7072,-3757.20751953125,3032.92,2900.16,184,920000,184,21.6201
14.629,-2432.575927734375,3067.39,3120.83,185,925000,185,23.3489
55.5591,-4799.0341796875,1647.81,2120.91,186,930000,186,23.774
12.8498,-2950.26318359375,2926.28,2915.15,187,935000,187,23.0328
17.9308,-3113.097412109375,1823.14,2681.85,188,940000,188,22.1469
12.5143,-2631.14453125,2961.57,2920.76,189,945000,189,23.2958
23.4019,-4887.49755859375,1458.61,2101.42,190,950000,190,23.6952
37.296,-3707.537353515625,2448.58,2443.69,191,955000,191,23.5802
24.7837,-3467.935546875,2377.55,2727.68,192,960000,192,22.557
14.5377,-2738.816650390625,3052.56,2686.73,193,965000,193,22.4423
12.9311,-2619.412841796875,3073.0,3083.04,194,970000,194,23.1021
13.046,-2211.484619140625,3240.89,3125.87,195,975000,195,22.4765
13.7071,-2963.9208984375,2003.98,2078.9,196,980000,196,23.4141
13.8542,-2808.535888671875,2667.62,2990.45,197,985000,197,23.7123
11.1672,-2291.603759765625,3123.18,3047.34,198,990000,198,20.8914
12.78,-2791.029052734375,3032.66,2392.37,199,995000,199,21.9196
