Running Update Time,Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return,Running Env Steps,Itration,Reward Loss
196,1263.79,58.1151,25.6819,479.27,980000,196,-6275.95751953125
197,1223.09,65.0087,28.4726,467.73,985000,197,-7027.29296875
198,1624.74,53.0569,25.0139,777.04,990000,198,-5593.2587890625
199,1292.15,57.9038,25.5798,707.55,995000,199,-6438.65576171875
200,1485.03,56.745,25.4517,719.51,1000000,200,-6245.865234375
201,1747.84,58.6117,26.3244,787.37,1005000,201,-6742.1337890625
202,1561.39,60.0651,27.4614,968.67,1010000,202,-6955.34423828125
203,1823.02,54.7486,25.1977,827.08,1015000,203,-6107.69873046875
204,1696.77,61.081,27.7074,775.21,1020000,204,-7218.845703125
205,1109.8,60.8936,27.0724,678.44,1025000,205,-7336.685546875
206,1300.8,57.1059,25.4524,552.21,1030000,206,-6885.3583984375
207,1446.18,57.9065,25.3534,596.73,1035000,207,-7049.84228515625
208,1222.63,58.2352,25.455,462.94,1040000,208,-7092.8544921875
209,1158.82,57.6576,25.3812,625.75,1045000,209,-7190.69384765625
210,1376.66,59.9567,27.0305,757.02,1050000,210,-7558.45654296875
211,1685.36,52.6761,22.8305,839.29,1055000,211,-6149.9521484375
212,1535.63,59.6396,26.2861,738.96,1060000,212,-7654.7119140625
213,1078.2,58.5415,25.5185,575.13,1065000,213,-7476.376953125
214,1337.39,56.1892,25.2269,736.48,1070000,214,-7148.041015625
215,1305.94,61.6796,26.8115,490.21,1075000,215,-8069.72607421875
216,1730.38,56.1342,24.9841,758.85,1080000,216,-7261.8056640625
217,1199.41,59.6496,25.7518,682.65,1085000,217,-7823.748046875
218,1477.61,56.15,24.7165,693.56,1090000,218,-7476.1875
219,2240.16,54.8518,24.5003,910.28,1095000,219,-6913.982421875
220,1369.39,58.1808,25.7499,691.5,1100000,220,-7941.61767578125
221,1766.2,59.1643,26.3887,873.24,1105000,221,-8236.1083984375
222,1598.01,53.8246,24.1493,967.83,1110000,222,-7059.76318359375
223,1651.79,54.8673,24.1245,1002.93,1115000,223,-7236.431640625
224,2057.77,51.8762,24.8953,1243.28,1120000,224,-5816.38330078125
225,1996.62,55.3957,24.1661,917.98,1125000,225,-7591.8271484375
226,1510.21,57.4659,23.9517,687.68,1130000,226,-7898.39208984375
227,1689.67,57.6898,24.8639,798.06,1135000,227,-8073.943359375
228,1551.07,57.907,25.1385,992.14,1140000,228,-8105.27880859375
229,1464.92,60.2535,26.5165,870.73,1145000,229,-8819.8486328125
230,1480.85,56.0442,24.5395,781.57,1150000,230,-7765.517578125
231,1810.36,58.9626,26.1867,638.65,1155000,231,-8632.3212890625
232,1301.63,55.81,24.2949,709.16,1160000,232,-7594.3251953125
233,1400.53,56.4217,23.9232,546.38,1165000,233,-7775.8994140625
234,1322.29,55.9175,24.1098,939.95,1170000,234,-7617.322265625
235,1399.91,61.7137,26.5946,450.57,1175000,235,-9186.11328125
236,1884.99,54.8419,23.9299,976.42,1180000,236,-7649.81005859375
237,1091.61,58.4507,25.1981,649.7,1185000,237,-8531.76171875
238,1661.82,60.2351,26.7079,784.48,1190000,238,-9270.4482421875
239,1103.1,55.7715,23.9299,599.47,1195000,239,-8039.15576171875
240,1605.98,57.38,24.9121,766.55,1200000,240,-8596.177734375
241,1814.41,55.2427,23.725,1344.02,1205000,241,-7912.4599609375
242,2098.63,52.7523,24.6302,1052.42,1210000,242,-6144.546875
243,2253.26,54.4084,24.9345,1051.93,1215000,243,-7252.001953125
244,2346.01,55.6118,24.3028,1357.04,1220000,244,-7951.4599609375
245,1789.01,54.4519,23.5457,1495.0,1225000,245,-7765.29541015625
246,2111.66,55.4387,23.4456,1178.61,1230000,246,-8076.736328125
247,2060.61,54.8053,24.1987,1229.21,1235000,247,-7368.18701171875
248,2579.6,53.8247,25.3523,1729.3,1240000,248,-6552.81982421875
249,2774.55,55.5408,25.0113,1926.1,1245000,249,-7523.82373046875
250,2534.94,53.6765,26.7063,1266.12,1250000,250,-5508.7529296875
251,2499.71,54.987,27.1943,1848.76,1255000,251,-6227.96533203125
252,2728.24,53.5128,27.0874,1789.6,1260000,252,-5929.0712890625
253,2458.42,52.8732,28.898,1838.87,1265000,253,-4658.40966796875
254,2786.16,54.8319,24.2261,1685.51,1270000,254,-7190.48095703125
255,2819.98,54.119,25.9616,1525.77,1275000,255,-6118.70166015625
256,2599.19,54.26,26.4683,2593.52,1280000,256,-6128.0400390625
257,2538.66,55.4491,24.6852,2093.27,1285000,257,-7515.626953125
258,2842.45,53.9188,27.3156,2039.01,1290000,258,-5457.0546875
259,2928.52,54.2683,28.3677,1904.43,1295000,259,-4973.54052734375
260,2780.62,52.6058,29.6576,2314.11,1300000,260,-3913.442626953125
261,2757.56,55.0141,27.8481,2047.83,1305000,261,-5512.8212890625
262,2788.24,53.1096,27.3365,1903.33,1310000,262,-5108.955078125
263,3323.06,54.1705,26.9595,2562.54,1315000,263,-5931.16552734375
264,2473.82,53.7775,27.1055,2003.16,1320000,264,-5618.50927734375
265,2838.62,54.2248,29.9811,1996.11,1325000,265,-4613.68603515625
266,3458.59,54.5771,34.5138,2765.5,1330000,266,-3784.62255859375
267,2947.82,54.5773,29.3539,2514.19,1335000,267,-5000.98681640625
268,2900.88,54.4629,31.3018,2149.96,1340000,268,-4865.73388671875
269,3126.93,55.4455,28.0857,2619.86,1345000,269,-6366.3701171875
270,2760.56,55.3047,30.3603,2659.91,1350000,270,-5386.759765625
271,3253.26,54.1377,32.7349,2193.91,1355000,271,-3474.91162109375
272,2632.75,56.3548,30.007,1848.72,1360000,272,-5886.66796875
273,3139.42,55.6845,33.9609,2505.57,1365000,273,-4472.060546875
274,3442.08,55.323,37.431,2746.41,1370000,274,-2736.0
275,3249.05,55.3436,33.7124,2575.94,1375000,275,-4015.771484375
276,2873.03,54.7606,29.0104,2584.08,1380000,276,-5611.12255859375
277,3018.42,54.8118,27.4926,2522.25,1385000,277,-5995.59521484375
278,3056.38,57.9263,41.6928,2503.5,1390000,278,-2325.973876953125
279,3610.81,57.5488,41.1076,3065.18,1395000,279,-2526.577392578125
280,3469.74,55.6194,34.4013,2885.13,1400000,280,-3904.229736328125
281,3333.45,56.4528,36.6812,3078.89,1405000,281,-3365.676513671875
282,3554.21,56.4794,36.7432,2933.53,1410000,282,-2754.4130859375
283,3345.22,55.4903,34.4123,2717.81,1415000,283,-3738.8154296875
284,3476.86,55.5466,35.7926,3155.46,1420000,284,-3116.63330078125
285,3163.81,54.544,33.3482,2765.32,1425000,285,-3875.844970703125
286,3717.07,55.6929,35.2791,3267.64,1430000,286,-3580.313720703125
287,3475.83,57.4419,40.0988,2798.19,1435000,287,-2434.824462890625
288,3751.99,56.6728,37.2277,3347.92,1440000,288,-3211.375244140625
289,3464.12,60.4244,42.4505,3077.3,1445000,289,-2596.68359375
290,3814.35,58.199,41.4981,3162.34,1450000,290,-2386.077880859375
291,3774.73,59.5854,41.9413,3329.51,1455000,291,-2445.3525390625
292,3842.13,59.2542,42.2681,2859.44,1460000,292,-2363.3056640625
293,3786.48,56.8976,37.6205,3008.92,1465000,293,-3006.16357421875
294,3412.86,59.2903,40.5125,2643.93,1470000,294,-2397.7490234375
295,3747.62,60.5346,43.129,3393.05,1475000,295,-2368.908447265625
296,3951.26,59.2966,42.8781,3537.73,1480000,296,-2309.7490234375
297,3620.44,59.0859,41.6731,3183.31,1485000,297,-2257.85302734375
298,3898.69,57.26,40.6054,3408.37,1490000,298,-2524.4150390625
299,3864.42,56.9717,36.7062,3431.44,1495000,299,-3536.302001953125
300,3791.45,59.6798,42.8519,3549.76,1500000,300,-2323.885986328125
301,3819.59,59.4882,42.7453,3534.49,1505000,301,-2377.329833984375
302,4068.61,58.3961,41.0093,3401.99,1510000,302,-2390.307373046875
303,4005.33,60.8258,42.0693,3468.48,1515000,303,-2346.41650390625
304,4013.09,58.9234,40.2846,3515.42,1520000,304,-2483.795654296875
305,4110.71,58.7063,42.47,3514.23,1525000,305,-2397.53759765625
306,3871.02,60.7912,41.4109,3425.89,1530000,306,-2615.973876953125
307,3829.54,59.226,40.9855,3260.09,1535000,307,-2464.298828125
308,4215.6,55.8275,34.3969,3414.69,1540000,308,-3791.2353515625
309,4249.43,55.2825,33.7794,3737.61,1545000,309,-3624.4951171875
310,4158.55,61.6177,44.2592,3606.63,1550000,310,-1909.863037109375
311,4218.47,58.9564,39.5121,3924.54,1555000,311,-2291.0
312,4086.41,57.1091,36.0883,3822.8,1560000,312,-2828.5478515625
313,4090.29,58.281,40.0331,3519.59,1565000,313,-2024.3353271484375
314,4187.11,58.6247,39.6729,3148.87,1570000,314,-2315.485595703125
315,4183.44,57.7016,37.8193,3674.5,1575000,315,-2715.931396484375
316,4142.07,55.7893,32.4164,3642.58,1580000,316,-3561.7099609375
317,3852.98,58.382,38.8862,3903.38,1585000,317,-2698.48974609375
318,4250.63,61.4191,42.6771,3899.59,1590000,318,-2254.670166015625
319,4459.83,56.7814,32.5282,3748.55,1595000,319,-3879.84912109375
320,4224.5,61.1816,41.5757,3394.07,1600000,320,-2004.9261474609375
321,4420.98,58.1293,36.4485,3337.66,1605000,321,-3301.031494140625
322,4299.46,60.862,41.9703,3854.85,1610000,322,-1995.7432861328125
323,4378.03,60.3179,41.1611,3288.85,1615000,323,-2242.34521484375
324,4565.89,60.7644,42.6918,3902.82,1620000,324,-1899.1431884765625
325,4245.12,59.5534,39.6191,3612.33,1625000,325,-2140.410400390625
326,4058.48,59.5457,40.6723,3761.09,1630000,326,-2208.82666015625
327,3871.14,57.5115,32.5687,3721.05,1635000,327,-3976.868896484375
328,4619.11,59.2999,41.2516,4106.1,1640000,328,-2175.162841796875
329,4297.11,58.722,38.3995,3589.49,1645000,329,-2478.63671875
330,3466.99,59.5054,38.6089,2940.86,1650000,330,-2646.147705078125
331,4268.69,58.9103,39.905,3758.74,1655000,331,-2383.64794921875
332,3789.35,58.3825,38.199,3739.34,1660000,332,-2978.873291015625
333,4401.31,57.7377,35.3863,3853.82,1665000,333,-3420.12060546875
334,4392.07,58.7465,39.1425,3600.02,1670000,334,-2066.0185546875
335,4621.84,58.9745,38.0409,3923.75,1675000,335,-3014.1982421875
336,4353.6,61.0579,42.9519,4017.74,1680000,336,-2012.3843994140625
337,4573.2,58.397,38.4763,3954.28,1685000,337,-3037.57568359375
338,4267.99,60.175,42.594,3680.28,1690000,338,-2110.059326171875
339,4688.01,58.8289,39.4708,4047.28,1695000,339,-2522.35693359375
340,4073.0,58.5294,39.1741,3207.3,1700000,340,-2557.014404296875
341,4570.8,59.4047,40.301,4200.88,1705000,341,-2506.401123046875
342,4175.33,60.1458,40.7579,4038.18,1710000,342,-2080.38134765625
343,4306.92,60.148,41.2069,4027.44,1715000,343,-2215.078857421875
344,4705.85,59.0788,39.7661,4137.91,1720000,344,-2711.235107421875
345,4252.24,58.8422,40.2135,3708.8,1725000,345,-2298.8896484375
346,4621.78,58.5561,38.1243,4005.54,1730000,346,-3139.165283203125
347,3739.5,59.0401,40.4666,3775.36,1735000,347,-3071.402099609375
348,4633.72,61.826,45.0696,4338.44,1740000,348,-2037.2796630859375
349,4443.95,60.3064,41.323,4217.36,1745000,349,-2231.95556640625
350,4873.01,60.0874,42.3186,4005.47,1750000,350,-2708.688720703125
351,4282.02,59.5668,43.1879,3959.5,1755000,351,-1928.6051025390625
352,4505.62,59.5837,41.3169,4259.33,1760000,352,-2791.428955078125
353,4737.96,62.9019,47.3311,4148.66,1765000,353,-2046.8782958984375
354,4852.44,62.7323,48.4887,4329.44,1770000,354,-1865.8499755859375
355,4685.96,59.6628,42.1554,3896.62,1775000,355,-3039.5322265625
356,4675.58,61.232,42.6198,4364.59,1780000,356,-2426.96630859375
357,4662.98,62.8506,46.4606,4259.11,1785000,357,-2259.90966796875
358,4640.69,64.1835,48.7479,4292.2,1790000,358,-2135.0458984375
359,4779.43,60.9548,42.4911,4203.27,1795000,359,-2736.20458984375
360,4758.73,64.6088,49.4139,4086.87,1800000,360,-2154.590576171875
361,4104.45,63.4506,48.5921,4264.61,1805000,361,-2322.2265625
362,4660.6,61.594,43.7857,4076.13,1810000,362,-2831.5439453125
363,4882.76,64.2953,48.8419,3786.72,1815000,363,-2168.977783203125
364,4597.66,61.1765,43.9004,4180.99,1820000,364,-2953.985595703125
365,4639.74,62.345,45.5839,4515.39,1825000,365,-2582.364501953125
366,4850.98,61.4352,45.7195,4128.06,1830000,366,-2441.03759765625
367,4638.38,65.568,48.8206,4098.5,1835000,367,-2295.098388671875
368,4759.58,60.9241,42.7542,4552.23,1840000,368,-2772.207275390625
369,4739.68,64.601,48.5281,3807.06,1845000,369,-2465.242431640625
370,4938.37,61.5451,44.9342,4355.37,1850000,370,-3218.223876953125
371,4742.62,61.8912,43.9597,4578.0,1855000,371,-3061.324462890625
372,4776.28,59.8583,38.9528,4209.81,1860000,372,-4130.4912109375
373,4993.04,62.3675,43.8922,4483.03,1865000,373,-3086.043701171875
374,4810.41,61.7231,44.16,4451.57,1870000,374,-3255.397705078125
375,4901.11,62.7348,48.0659,4472.03,1875000,375,-2753.672607421875
376,4517.25,62.6672,47.2755,4337.04,1880000,376,-2565.2470703125
377,4988.47,64.9862,49.0114,4186.41,1885000,377,-2483.935302734375
378,4374.4,65.5152,51.8178,4486.17,1890000,378,-2610.53173828125
379,5030.43,65.2826,50.4987,4490.83,1895000,379,-2460.720458984375
380,4861.06,64.7359,49.0227,4240.58,1900000,380,-2698.482421875
381,4900.98,61.3307,41.9885,3994.22,1905000,381,-3737.936279296875
382,4665.85,65.2216,50.9165,4519.31,1910000,382,-2743.152099609375
383,4871.45,66.5922,51.4721,4458.08,1915000,383,-2774.80029296875
384,4882.12,66.3065,50.5631,4191.16,1920000,384,-2682.956787109375
385,4948.77,66.585,52.6308,4185.29,1925000,385,-2687.6669921875
386,4991.08,64.4604,47.3937,4540.85,1930000,386,-2804.2626953125
387,4892.51,62.5348,46.7494,4439.89,1935000,387,-3267.794189453125
388,5042.3,62.7984,45.759,4669.5,1940000,388,-3102.16455078125
389,4926.83,64.4156,48.9087,4267.42,1945000,389,-2763.67236328125
390,4779.99,62.5255,45.6013,4706.1,1950000,390,-3146.0009765625
391,5102.1,64.8338,47.6729,4536.28,1955000,391,-2919.679931640625
392,4889.1,63.2864,47.8866,4390.33,1960000,392,-3168.634033203125
