Reward Loss,Real Sto Return,Real Det Return,Running Update Time,Running Env Steps,Running Reverse KL,Running Forward KL,Itration
-208.11546325683594,3456.05,3472.87,183,915000,10.6722,21.593,183
-200.89108276367188,3433.27,3468.49,184,920000,10.5233,21.3278,184
-230.88780212402344,3449.2,3482.13,185,925000,10.9118,21.6717,185
-229.6180419921875,3452.28,3486.8,186,930000,11.0979,22.2721,186
-226.5963592529297,3453.94,3476.73,187,935000,11.3541,22.0582,187
-243.951171875,3443.87,3471.81,188,940000,10.722,21.9808,188
-241.75003051757812,3462.87,3484.79,189,945000,11.1525,21.6579,189
-226.70382690429688,3429.5,3450.6,190,950000,11.042,22.2001,190
-228.47738647460938,3432.45,3460.6,191,955000,10.7475,21.437,191
-227.8819122314453,3431.31,3450.19,192,960000,11.0733,22.1671,192
-236.55075073242188,3428.28,3460.7,193,965000,10.8117,21.8214,193
-240.5427703857422,3467.61,3491.33,194,970000,10.5838,21.7693,194
-234.45347595214844,3398.04,3440.79,195,975000,10.6328,21.7124,195
-236.79339599609375,3421.12,3465.96,196,980000,10.844,21.5156,196
-242.25848388671875,3429.28,3451.86,197,985000,10.8664,22.1593,197
-227.48008728027344,3425.1,3445.6,198,990000,10.1702,21.1609,198
-251.6293182373047,3202.65,3480.82,199,995000,10.6578,22.1385,199
