Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL,Real Sto Return,Running Env Steps,Itration,Reward Loss
3441.88,105,18.6908,11.7417,3403.46,525000,105,-340.242431640625
3528.47,106,18.5915,10.4182,3289.44,530000,106,-462.9940490722656
3478.08,107,18.1233,11.7473,3437.28,535000,107,-355.8106994628906
3498.77,108,18.3293,10.6437,3364.28,540000,108,-517.4217529296875
3498.1,109,18.12,10.7496,3472.49,545000,109,-392.71710205078125
3407.29,110,18.3981,11.1142,3377.35,550000,110,-478.7283630371094
3486.55,111,18.1146,11.8134,3331.9,555000,111,-333.1576232910156
3487.18,112,17.9784,10.9151,3462.17,560000,112,-390.4354248046875
3439.98,113,18.8593,12.1527,3434.27,565000,113,-388.3646240234375
3534.87,114,18.6944,11.3307,3487.2,570000,114,-591.7384033203125
3497.53,115,17.48,11.2243,3431.28,575000,115,-332.3811950683594
3515.34,116,17.64,11.7337,3480.62,580000,116,-347.5566101074219
3492.02,117,18.5261,12.7084,3461.91,585000,117,-462.4936828613281
3480.84,118,17.8149,11.507,3438.99,590000,118,-422.3168640136719
3496.9,119,17.4475,10.5111,3464.45,595000,119,-392.0549011230469
3444.45,120,19.4244,15.3871,2351.46,600000,120,-941.755615234375
3511.14,121,17.7562,11.4382,3246.31,605000,121,-376.1536865234375
3513.02,122,19.3459,11.7119,3105.84,610000,122,-617.970458984375
3482.22,123,17.6608,10.8356,3461.84,615000,123,-436.9505310058594
3449.19,124,18.4362,11.7966,3432.87,620000,124,-483.2277526855469
3543.6,125,18.0078,11.9294,3486.67,625000,125,-421.955810546875
3537.44,126,19.0452,12.3558,3456.15,630000,126,-542.2884521484375
3547.17,127,18.3863,11.6219,3414.17,635000,127,-464.8724670410156
3545.57,128,18.4647,11.6039,3484.43,640000,128,-498.9754943847656
3537.19,129,19.6842,12.9837,3298.59,645000,129,-635.796630859375
3542.03,130,18.8872,12.5203,3491.17,650000,130,-544.249267578125
3511.08,131,17.6685,11.6748,3462.65,655000,131,-452.5043029785156
3537.06,132,19.166,12.2916,3488.2,660000,132,-514.2471923828125
3557.83,133,18.4014,11.4925,3486.22,665000,133,-640.8193969726562
3533.2,134,18.5038,12.481,3487.96,670000,134,-591.177734375
-2.16,135,35.6959,92.5887,-2.12,675000,135,-2840.651611328125
179.05,136,24.1769,13.0366,186.71,680000,136,-1858.5987548828125
1608.63,137,23.2994,13.1275,1164.81,685000,137,-1929.70556640625
846.5,138,25.5798,15.3603,825.65,690000,138,-2517.555908203125
9.72,139,37.8564,83.5752,10.38,695000,139,-2663.930908203125
992.43,140,38.7575,52.8593,992.53,700000,140,-2255.02001953125
988.55,141,38.1933,42.6083,989.07,705000,141,-2314.282470703125
977.48,142,38.6694,43.7668,977.28,710000,142,-2340.5009765625
979.48,143,38.4585,42.3519,980.24,715000,143,-2428.997314453125
979.62,144,36.7986,34.7289,978.99,720000,144,-2506.545654296875
22.55,145,29.1192,108.986,23.27,725000,145,-2544.821533203125
1001.48,146,36.1262,28.6807,1002.09,730000,146,-2616.7353515625
1007.26,147,37.7913,49.3981,1007.48,735000,147,-2724.954833984375
2892.29,148,22.1761,16.4117,1871.66,740000,148,-1417.7462158203125
3093.76,149,19.5853,11.1702,3101.48,745000,149,-703.3846435546875
867.06,150,24.4527,15.3699,872.66,750000,150,-2470.319091796875
3227.01,151,20.2813,13.2705,3241.1,755000,151,-587.1436767578125
1136.63,152,23.1649,12.7347,1172.17,760000,152,-1798.0875244140625
1144.8,153,20.5985,11.7648,1448.93,765000,153,-1563.72509765625
1199.46,154,23.338,12.0809,1226.39,770000,154,-1849.111328125
3375.05,155,18.6648,11.9033,3362.13,775000,155,-514.8046264648438
3400.55,156,18.4999,12.3441,3265.76,780000,156,-494.0098876953125
3386.96,157,18.9504,12.0914,3261.84,785000,157,-624.9500122070312
3390.02,158,18.841,11.864,3387.07,790000,158,-593.0545043945312
3417.42,159,17.8193,10.9014,3286.34,795000,159,-537.5195922851562
3415.42,160,19.5893,11.4855,3116.9,800000,160,-720.0401611328125
3340.75,161,18.542,11.8241,3316.83,805000,161,-583.7367553710938
3382.13,162,18.1663,11.7222,3384.22,810000,162,-641.3199462890625
3416.63,163,18.2535,11.9721,3404.38,815000,163,-578.7218017578125
3406.71,164,18.6221,12.3453,3388.88,820000,164,-638.6826171875
3442.75,165,18.6253,12.1461,3401.12,825000,165,-631.7949829101562
3449.49,166,18.7215,12.6196,3429.16,830000,166,-685.9249877929688
3472.06,167,18.9168,11.8626,3022.86,835000,167,-720.2576293945312
3422.2,168,17.8188,11.4828,3401.96,840000,168,-657.5626220703125
3423.86,169,19.0562,12.585,3413.86,845000,169,-701.7013549804688
3453.65,170,18.2768,11.9914,3431.52,850000,170,-628.882080078125
3418.72,171,17.8631,11.9899,3392.02,855000,171,-658.6139526367188
3439.88,172,17.6837,11.9686,3319.26,860000,172,-677.9840087890625
3443.85,173,18.2815,12.37,3438.03,865000,173,-732.4817504882812
3456.94,174,17.8968,11.8058,3415.22,870000,174,-600.88525390625
3418.16,175,17.8826,12.0511,3405.89,875000,175,-735.79248046875
3431.42,176,17.7945,12.2386,3413.96,880000,176,-693.537353515625
3448.18,177,17.9372,11.8008,3425.56,885000,177,-786.3091430664062
3441.22,178,18.0502,11.8053,3400.12,890000,178,-722.79150390625
3434.35,179,18.0367,11.9691,3414.18,895000,179,-731.0471801757812
3424.59,180,18.552,12.141,3400.0,900000,180,-790.2625732421875
3466.97,181,18.0595,12.234,3454.5,905000,181,-773.3587646484375
3421.84,182,17.845,11.3741,3387.23,910000,182,-727.5422973632812
3442.96,183,18.0659,11.9059,3425.8,915000,183,-763.6027221679688
3446.69,184,18.1362,11.8518,3427.05,920000,184,-754.2581787109375
3452.96,185,17.3722,11.4456,3427.1,925000,185,-738.0593872070312
3449.04,186,18.2372,12.2596,3428.34,930000,186,-786.525390625
3476.84,187,16.9189,11.025,3443.56,935000,187,-657.5485229492188
3463.97,188,17.6246,11.5857,3427.31,940000,188,-745.9137573242188
3450.22,189,18.0021,12.1501,3439.49,945000,189,-794.0639038085938
3485.94,190,18.4252,12.1891,3459.17,950000,190,-808.4880981445312
3438.47,191,17.5046,11.6095,3447.07,955000,191,-855.9542846679688
3461.27,192,18.2667,11.8433,3439.92,960000,192,-851.3009033203125
3485.71,193,17.3534,11.328,3461.49,965000,193,-771.61376953125
3423.24,194,17.5371,11.3298,3433.86,970000,194,-811.104736328125
3488.2,195,16.6868,10.2446,3457.69,975000,195,-782.9299926757812
3443.15,196,17.3763,11.4549,3430.01,980000,196,-795.5653686523438
3490.67,197,17.9902,11.5365,3464.37,985000,197,-856.103271484375
3458.01,198,17.3584,11.3785,3454.99,990000,198,-840.4248657226562
3474.2,199,17.965,12.0982,3443.67,995000,199,-908.4479370117188
