Running Forward KL,Running Reverse KL,Running Env Steps,Reward Loss,Itration,Real Det Return,Real Sto Return,Running Update Time
396.6625,245.5956,175000,-51420.98828125,35,824.78,1165.97,35
373.0076,215.2299,180000,-49868.1015625,36,949.97,1124.74,36
368.8695,221.7363,185000,-48424.76171875,37,655.68,1312.1,37
353.3719,180.6092,190000,-42043.1796875,38,1376.75,1481.1,38
386.5013,227.1663,195000,-51625.97265625,39,620.53,1013.04,39
368.1076,205.2062,200000,-47865.14453125,40,773.52,1303.7,40
370.681,222.9949,205000,-50363.46875,41,921.92,1078.44,41
378.7353,209.2044,210000,-48071.80859375,42,1316.22,1714.22,42
381.677,210.3888,215000,-48251.171875,43,1199.92,1474.62,43
376.6269,253.3694,220000,-53296.22265625,44,821.69,940.59,44
366.3967,197.4654,225000,-47182.56640625,45,1087.11,1653.6,45
375.8321,207.3079,230000,-50389.15625,46,1440.55,1603.92,46
375.1864,209.0048,235000,-51941.1796875,47,1310.21,1751.62,47
375.4777,215.1695,240000,-52550.91015625,48,1269.64,1544.86,48
378.1594,203.9495,245000,-49948.1953125,49,1230.23,1843.6,49
374.6372,206.6106,250000,-49335.13671875,50,976.68,1526.23,50
384.7605,213.1281,255000,-53336.42578125,51,1576.04,1388.39,51
379.6374,201.3919,260000,-48983.19140625,52,1339.2,2866.33,52
378.5541,217.9234,265000,-53701.47265625,53,1244.78,1758.03,53
372.4895,209.9878,270000,-51196.6953125,54,1165.7,2113.77,54
359.0537,181.9079,275000,-46945.6328125,55,1141.3,2427.42,55
357.1573,179.6005,280000,-42422.45703125,56,1505.64,2018.37,56
346.6045,165.4794,285000,-42163.1796875,57,1240.42,2116.21,57
390.2234,246.9653,290000,-62115.89453125,58,1554.94,1538.13,58
361.3061,211.0202,295000,-54432.11328125,59,1647.94,1413.91,59
343.4783,162.3453,300000,-40888.21484375,60,1455.7,2298.59,60
360.7905,204.791,305000,-54312.98046875,61,1214.03,2397.46,61
351.3286,182.4425,310000,-43454.140625,62,1815.57,2389.43,62
357.2021,178.3239,315000,-46275.29296875,63,1644.03,2235.85,63
376.366,213.4647,320000,-53718.47265625,64,2272.31,2053.91,64
367.0687,198.7296,325000,-54197.7265625,65,1458.38,2136.01,65
381.0331,224.6386,330000,-56091.46875,66,1228.85,1838.92,66
356.4377,183.031,335000,-45297.2578125,67,1756.46,3981.84,67
337.8747,164.2569,340000,-42454.28125,68,2242.19,3708.38,68
357.6285,186.0541,345000,-45604.82421875,69,3067.57,3146.17,69
361.0738,183.165,350000,-44628.61328125,70,1969.34,3289.96,70
375.4747,218.8677,355000,-58984.21875,71,1857.27,2387.81,71
359.3132,195.9216,360000,-47891.453125,72,1147.99,3078.26,72
353.871,186.2372,365000,-49964.171875,73,744.72,3399.18,73
390.9714,236.0368,370000,-64406.47265625,74,858.46,2090.35,74
349.3951,155.2834,375000,-40017.1953125,75,905.93,4106.04,75
339.3663,145.6179,380000,-41370.37890625,76,3899.78,2919.24,76
345.5752,152.6949,385000,-39873.390625,77,978.52,3833.39,77
353.3665,170.6476,390000,-51463.5,78,2930.73,3880.97,78
348.7391,166.6523,395000,-48529.109375,79,2716.81,3143.03,79
377.7172,233.4894,400000,-62401.8125,80,902.65,2340.84,80
342.0027,145.5869,405000,-47877.62890625,81,1607.17,3878.3,81
356.5272,203.8623,410000,-54195.359375,82,912.22,4205.25,82
363.6556,254.1893,415000,-60662.609375,83,1090.21,2968.42,83
354.4749,172.3123,420000,-55125.078125,84,1903.42,3651.66,84
350.042,152.6453,425000,-48822.50390625,85,1997.26,4131.04,85
354.8741,151.4752,430000,-47523.921875,86,3302.92,4135.15,86
362.6094,212.131,435000,-59955.82421875,87,932.47,2307.72,87
340.9244,158.6783,440000,-49037.21875,88,1039.5,3768.2,88
348.2649,155.3289,445000,-53635.42578125,89,1746.88,4096.07,89
353.4947,157.4262,450000,-53124.234375,90,1463.83,3891.18,90
352.4971,168.9607,455000,-54569.2109375,91,1656.67,3699.71,91
369.2764,265.5682,460000,-62339.71875,92,1594.06,3296.04,92
358.8743,186.3324,465000,-57676.8359375,93,2313.9,3618.76,93
359.3985,166.5786,470000,-52284.5390625,94,2413.58,4631.21,94
344.6947,181.515,475000,-57007.50390625,95,3037.32,3789.35,95
363.1279,174.5891,480000,-61741.78515625,96,3319.63,3777.15,96
359.307,183.9459,485000,-63026.26171875,97,2220.08,2828.34,97
353.2763,171.5594,490000,-59538.40625,98,3617.38,3093.71,98
353.9282,174.6418,495000,-61818.1171875,99,4593.77,3231.5,99
345.7372,152.8511,500000,-59103.58984375,100,3363.37,4662.96,100
361.6161,189.1214,505000,-66071.34375,101,3564.2,3775.83,101
350.7127,161.1894,510000,-59781.48046875,102,4447.78,4550.67,102
364.2699,193.0798,515000,-67054.140625,103,4247.52,3508.23,103
348.0935,146.259,520000,-58162.2265625,104,3122.95,4567.76,104
360.8968,155.1894,525000,-57337.73828125,105,2075.94,3685.72,105
350.3385,152.4007,530000,-61038.83984375,106,3681.99,3988.66,106
363.5922,195.8,535000,-66133.1953125,107,1277.5,2781.94,107
345.6648,154.7395,540000,-62757.14453125,108,3527.52,4345.42,108
362.6094,219.0228,545000,-69644.7734375,109,4259.85,3928.65,109
355.3003,164.5116,550000,-61366.98828125,110,4328.17,4380.51,110
348.6327,205.9666,555000,-65348.55859375,111,2852.84,3734.23,111
364.5345,199.1547,560000,-72219.2421875,112,2105.32,3019.06,112
356.3201,177.7438,565000,-68278.3203125,113,3477.76,4363.48,113
358.8128,254.1672,570000,-68956.3046875,114,1554.04,4336.01,114
350.1474,174.3232,575000,-65435.875,115,2838.98,4125.22,115
339.4979,162.2113,580000,-66327.203125,116,4332.98,4520.33,116
341.4947,157.3557,585000,-66632.328125,117,3396.45,4537.77,117
349.6625,155.2472,590000,-67338.515625,118,2245.35,4023.28,118
350.5716,176.1924,595000,-67918.84375,119,3273.23,4333.84,119
340.392,159.8364,600000,-68587.6015625,120,4715.18,4708.08,120
342.8826,157.7775,605000,-69334.8203125,121,4178.82,4566.27,121
350.0659,173.1284,610000,-70169.0078125,122,4837.07,4803.7,122
351.7073,212.7419,615000,-71821.8828125,123,2593.19,3499.77,123
353.5428,165.3104,620000,-70334.40625,124,3282.31,4237.14,124
360.4621,173.2627,625000,-72879.3359375,125,3156.38,3903.54,125
366.9593,180.1685,630000,-72613.6953125,126,1223.97,3474.42,126
352.8404,166.3916,635000,-73804.328125,127,4060.79,4298.49,127
345.5268,146.166,640000,-69941.8984375,128,3103.78,4832.29,128
333.1855,134.4106,645000,-68356.453125,129,817.3,3862.4,129
337.5956,150.958,650000,-71691.8828125,130,2148.24,4509.99,130
348.2726,160.14,655000,-73561.6796875,131,1394.86,4493.22,131
354.8537,152.4736,660000,-73658.4453125,132,1840.48,3851.37,132
364.9681,204.7555,665000,-77613.65625,133,2989.75,3286.2,133
344.1948,150.4997,670000,-73387.7578125,134,3375.67,4525.39,134
343.3505,154.2829,675000,-73747.0078125,135,2356.11,4439.68,135
338.5514,153.531,680000,-73333.453125,136,1963.66,4115.98,136
338.8947,141.2055,685000,-73443.8125,137,1813.41,4373.81,137
333.02,148.8309,690000,-74249.5390625,138,4488.0,4743.05,138
343.8186,154.1832,695000,-76411.2578125,139,3079.18,4747.88,139
331.0214,143.4563,700000,-73755.453125,140,4432.29,4269.65,140
337.027,145.287,705000,-75672.421875,141,2726.84,4800.17,141
336.055,144.3828,710000,-75753.96875,142,3327.71,4873.78,142
336.9579,135.2964,715000,-74267.0390625,143,3197.94,4691.84,143
335.5729,142.9307,720000,-76331.8203125,144,2565.97,4975.12,144
327.978,134.5163,725000,-73254.6640625,145,3689.54,4628.03,145
335.2797,137.9213,730000,-74549.4296875,146,2980.86,4785.7,146
329.3929,147.9253,735000,-76368.5390625,147,3121.6,5037.03,147
335.2355,141.8649,740000,-76836.15625,148,2221.96,4635.2,148
331.1666,148.8695,745000,-78265.3203125,149,1426.45,4959.26,149
334.4741,159.3347,750000,-77700.4921875,150,3385.44,4367.38,150
337.2154,155.5522,755000,-79472.125,151,2845.41,4613.49,151
333.931,144.1936,760000,-78744.484375,152,3911.54,4968.7,152
336.2472,154.2155,765000,-79939.5625,153,4782.92,5068.95,153
329.427,137.4217,770000,-78158.21875,154,4522.57,5017.76,154
336.8032,157.4327,775000,-80166.3046875,155,4060.05,5028.11,155
333.5075,139.0167,780000,-79157.9453125,156,2674.98,4954.56,156
328.6937,145.2116,785000,-78699.921875,157,4968.36,4650.71,157
330.8552,143.4355,790000,-78749.2109375,158,5288.39,4992.66,158
326.3548,139.8369,795000,-79907.375,159,4538.31,4936.47,159
324.2114,134.4303,800000,-78577.578125,160,4505.12,4917.1,160
331.0499,141.0112,805000,-80717.8203125,161,4406.28,4894.72,161
332.7574,144.5785,810000,-80882.40625,162,4688.01,4946.56,162
325.6711,143.8334,815000,-80679.5234375,163,4734.3,4955.47,163
331.2269,140.8156,820000,-80796.78125,164,4669.17,4760.58,164
332.4469,145.2447,825000,-81606.953125,165,4133.09,4601.36,165
329.3282,142.1616,830000,-81321.5703125,166,4846.12,4959.29,166
324.5625,134.4678,835000,-80026.8125,167,2964.36,4823.44,167
320.5081,128.4736,840000,-78726.5625,168,3718.79,4983.37,168
321.839,132.6005,845000,-79479.125,169,4406.37,4867.93,169
324.5789,133.1192,850000,-80940.4296875,170,5222.2,4897.41,170
320.0434,125.791,855000,-79855.96875,171,4181.12,4809.97,171
334.8723,159.5745,860000,-79528.0390625,172,4707.24,4500.86,172
326.1342,130.5754,865000,-79978.1328125,173,2891.1,5006.44,173
324.6211,138.6275,870000,-81658.1953125,174,4830.19,4718.34,174
325.3688,144.9028,875000,-83469.3359375,175,4652.12,4810.68,175
321.2225,135.0247,880000,-81410.9765625,176,4333.15,5011.39,176
311.6513,118.7833,885000,-79003.3984375,177,4842.57,4991.56,177
322.1752,139.489,890000,-81939.671875,178,3848.24,4639.76,178
323.414,137.7772,895000,-81917.640625,179,4443.66,4863.38,179
325.4884,136.6879,900000,-83094.9140625,180,4662.08,4955.52,180
322.4202,144.5144,905000,-79049.5234375,181,3320.35,4516.78,181
322.5546,133.3866,910000,-81555.3359375,182,3865.05,4778.02,182
322.4605,136.1441,915000,-84140.6328125,183,1963.11,4959.16,183
316.6536,133.1154,920000,-83412.9296875,184,4208.09,4943.16,184
320.0571,135.4371,925000,-84033.484375,185,4349.57,4983.53,185
315.9685,125.2944,930000,-81499.21875,186,3210.78,4806.27,186
317.2075,133.9744,935000,-84202.7890625,187,3266.24,4985.23,187
314.8922,126.8938,940000,-82908.625,188,4492.59,5009.42,188
315.0993,134.1807,945000,-84670.6875,189,4843.32,4829.15,189
314.5959,127.7307,950000,-84040.0625,190,4549.52,4984.18,190
318.1377,128.3502,955000,-80822.3984375,191,1846.54,4735.66,191
313.6296,120.4271,960000,-82200.7421875,192,4517.45,4972.78,192
319.4249,130.6545,965000,-83943.2578125,193,4995.63,5020.68,193
317.8316,127.2422,970000,-84946.921875,194,3014.56,4870.52,194
312.691,122.7561,975000,-83144.7265625,195,2290.59,4388.0,195
310.2379,122.1096,980000,-84231.0859375,196,4949.38,4863.56,196
318.1262,131.3425,985000,-85280.6015625,197,4985.84,5027.21,197
308.1979,123.5061,990000,-84516.609375,198,5163.54,4995.12,198
308.1066,118.664,995000,-83911.234375,199,4404.92,4965.76,199
313.0034,126.367,1000000,-85501.140625,200,5133.77,4859.07,200
316.3779,128.2204,1005000,-85858.2578125,201,4923.55,4879.88,201
310.816,131.6459,1010000,-84584.8203125,202,4632.82,4501.35,202
310.4845,135.0992,1015000,-85149.4921875,203,4907.45,4919.09,203
306.3409,123.4839,1020000,-85001.25,204,5160.86,4992.13,204
308.7388,121.4773,1025000,-85297.3359375,205,4977.98,4764.84,205
311.0569,123.1976,1030000,-85532.1875,206,5066.79,4698.84,206
314.4287,136.2163,1035000,-86243.171875,207,4537.43,5006.0,207
306.2357,124.1678,1040000,-85797.1328125,208,5125.4,4962.5,208
307.3718,121.7696,1045000,-86190.296875,209,4899.21,4776.36,209
311.0096,124.4069,1050000,-86352.0,210,4883.49,4584.88,210
309.5055,121.1852,1055000,-84809.6015625,211,5073.54,4595.17,211
312.9403,129.4553,1060000,-87605.1796875,212,5142.13,4958.83,212
310.3723,120.6413,1065000,-86593.6015625,213,5089.8,4928.07,213
309.9755,126.1575,1070000,-85833.25,214,4984.1,4686.3,214
309.5993,126.3922,1075000,-87221.7421875,215,4838.69,4579.96,215
304.1642,117.9078,1080000,-85416.671875,216,4906.03,4500.98,216
301.9882,115.8267,1085000,-85201.4765625,217,5126.45,4655.86,217
304.46,121.218,1090000,-87158.921875,218,5153.77,4804.74,218
300.1452,116.7737,1095000,-85028.8203125,219,5057.7,4813.87,219
302.9887,116.8056,1100000,-85396.7421875,220,4937.7,5024.88,220
302.5732,121.7291,1105000,-87013.9453125,221,5124.16,4715.58,221
300.7598,113.0544,1110000,-85261.8671875,222,5149.02,5015.58,222
307.0294,126.8704,1115000,-87543.6953125,223,5180.78,5046.28,223
302.6481,125.6004,1120000,-87408.3984375,224,5174.45,5064.22,224
309.7388,125.1355,1125000,-86197.6484375,225,3740.75,5004.51,225
305.3492,123.0786,1130000,-87872.03125,226,4780.39,4914.45,226
307.8881,129.488,1135000,-87084.5625,227,4426.64,4792.52,227
310.4942,132.0874,1140000,-87490.078125,228,4984.34,4921.34,228
301.8073,118.621,1145000,-87058.375,229,4572.36,4963.87,229
296.0303,109.9158,1150000,-84637.3984375,230,5106.44,4853.47,230
311.5146,126.7048,1155000,-88833.6796875,231,4841.78,4940.25,231
299.9908,115.7064,1160000,-85843.5703125,232,3327.3,4460.65,232
314.9542,133.3562,1165000,-88906.734375,233,4642.39,5133.95,233
316.4325,132.082,1170000,-87286.4375,234,4385.18,4579.47,234
322.1499,163.5509,1175000,-88883.921875,235,2971.45,3863.91,235
312.9577,155.9512,1180000,-88343.5078125,236,4172.34,4249.03,236
312.5311,148.3258,1185000,-87818.140625,237,4242.37,4109.64,237
312.0526,134.3612,1190000,-88671.765625,238,5166.58,4741.17,238
307.6069,128.4663,1195000,-88461.6953125,239,4892.17,4600.16,239
316.8622,137.6429,1200000,-89773.9140625,240,4438.44,4217.81,240
312.4598,127.7211,1205000,-87944.28125,241,5200.43,4633.77,241
317.7351,137.3793,1210000,-88662.125,242,2898.38,4719.33,242
319.158,146.9129,1215000,-88950.3125,243,4783.36,4772.51,243
307.2006,124.093,1220000,-87499.171875,244,4919.15,4902.59,244
314.3429,132.221,1225000,-89085.640625,245,5177.42,4986.54,245
314.9313,130.7399,1230000,-88117.875,246,5060.14,5131.14,246
317.1884,142.2833,1235000,-89772.203125,247,4889.87,4901.32,247
315.8298,137.3603,1240000,-88837.1328125,248,5244.67,5148.01,248
307.8885,134.2362,1245000,-87148.265625,249,4898.42,4520.42,249
304.5255,127.352,1250000,-88494.9296875,250,5163.38,4301.04,250
320.1975,142.0963,1255000,-88989.2421875,251,4923.86,4463.55,251
311.9835,138.1929,1260000,-89945.84375,252,5140.76,5002.5,252
319.1253,141.6648,1265000,-90172.515625,253,4761.68,5046.14,253
304.319,118.962,1270000,-88518.65625,254,4441.35,4873.57,254
313.2501,142.7525,1275000,-90426.9921875,255,4999.43,4714.58,255
313.5592,137.5813,1280000,-89102.40625,256,5203.78,4889.04,256
304.7619,120.2833,1285000,-88907.6796875,257,4750.98,4929.59,257
314.6584,128.2458,1290000,-88533.7734375,258,3294.05,4783.2,258
306.2461,121.2225,1295000,-88625.28125,259,2921.37,4750.26,259
308.9152,117.6956,1300000,-87839.0,260,2221.23,4826.46,260
307.2026,122.5364,1305000,-89226.5078125,261,4256.75,5122.08,261
318.8469,130.5751,1310000,-88903.171875,262,3527.45,4932.84,262
301.9618,112.9888,1315000,-87229.9921875,263,4489.92,5057.56,263
310.4668,116.4543,1320000,-88475.1328125,264,4245.77,4975.66,264
307.7296,125.0977,1325000,-89780.6171875,265,5260.43,5108.68,265
317.361,124.6805,1330000,-89778.3515625,266,5250.33,5054.88,266
313.4104,123.804,1335000,-89731.7890625,267,5235.12,4834.14,267
306.1998,122.1687,1340000,-90394.8125,268,5254.77,4853.39,268
309.5578,119.8244,1345000,-89924.28125,269,5248.8,4667.8,269
306.9749,131.4319,1350000,-89954.1875,270,5228.83,4973.55,270
306.3021,117.4015,1355000,-89121.375,271,4732.41,4931.67,271
323.7813,162.2173,1360000,-90384.4921875,272,5263.42,4237.45,272
308.3943,120.4254,1365000,-90699.875,273,5063.72,5089.29,273
308.933,134.2462,1370000,-89747.7734375,274,5029.35,4822.64,274
310.8398,144.3539,1375000,-89290.3359375,275,3149.62,4236.28,275
328.9055,182.7698,1380000,-90874.328125,276,3052.2,3545.38,276
311.6037,128.7615,1385000,-91128.9375,277,3046.95,4588.6,277
333.1191,184.4743,1390000,-90506.2578125,278,3673.01,3394.45,278
308.8422,152.2943,1395000,-88627.2734375,279,3225.34,4559.28,279
313.6636,138.402,1400000,-91749.703125,280,4930.48,4435.14,280
329.832,190.3321,1405000,-91625.8125,281,1554.06,2695.45,281
320.2809,158.346,1410000,-90461.90625,282,3414.08,4417.49,282
322.3238,136.8138,1415000,-91438.4453125,283,3149.95,3953.2,283
353.7887,198.3309,1420000,-90057.515625,284,1070.94,1449.24,284
322.7368,172.1318,1425000,-89741.03125,285,4367.77,3270.24,285
341.1201,174.2457,1430000,-88856.09375,286,1940.53,2328.65,286
340.6278,208.9501,1435000,-89384.015625,287,3483.94,2845.88,287
416.4273,274.4352,1440000,-89713.921875,288,1607.56,1528.06,288
344.4194,206.4367,1445000,-89702.796875,289,1493.33,1138.43,289
336.2041,166.8019,1450000,-88404.03125,290,4414.67,2726.6,290
337.6827,164.928,1455000,-90459.625,291,2385.51,2538.38,291
335.3525,193.1113,1460000,-90093.9375,292,2295.13,2747.29,292
347.7232,207.1694,1465000,-87121.375,293,2148.36,2972.73,293
359.1474,217.409,1470000,-83422.3828125,294,1167.11,1845.11,294
333.1879,188.6225,1475000,-89037.1875,295,1650.91,3184.43,295
298.2978,114.8461,1480000,-82124.5546875,296,3490.09,3272.16,296
303.2751,147.6766,1485000,-82017.1953125,297,2114.75,2445.75,297
297.5605,146.982,1490000,-79709.15625,298,4139.39,3130.33,298
286.0882,123.4653,1495000,-82729.375,299,5047.19,4289.22,299
289.5862,106.1895,1500000,-82799.8046875,300,4814.94,3355.17,300
299.8691,130.3036,1505000,-87369.84375,301,5016.33,3941.56,301
284.2872,106.9881,1510000,-86602.6015625,302,4644.37,4205.19,302
288.8266,112.9904,1515000,-87028.765625,303,4679.44,4026.31,303
295.6574,170.5076,1520000,-87542.515625,304,4242.51,3088.13,304
307.0948,209.7357,1525000,-88114.6640625,305,3272.09,3431.3,305
300.7827,156.1812,1530000,-87909.8515625,306,4149.83,4203.5,306
297.1115,136.4831,1535000,-87931.2421875,307,3441.77,3433.97,307
329.672,234.5506,1540000,-89960.484375,308,1945.94,1617.89,308
308.2919,155.2851,1545000,-91240.828125,309,4092.08,4193.97,309
339.7755,207.7549,1550000,-91313.9453125,310,2929.29,2278.75,310
324.369,146.4067,1555000,-90740.7421875,311,4514.8,3850.95,311
337.9355,177.7493,1560000,-91218.21875,312,3877.08,4483.48,312
334.2122,138.908,1565000,-91722.4921875,313,5012.37,4421.45,313
342.6628,152.2681,1570000,-94317.5234375,314,4739.73,4854.42,314
347.051,155.1413,1575000,-94357.078125,315,4641.99,4784.01,315
368.8929,216.9132,1580000,-90180.421875,316,4285.01,4416.45,316
367.3442,175.1073,1585000,-92014.5625,317,3163.96,3313.17,317
356.5487,187.1955,1590000,-92552.4140625,318,3102.08,3345.96,318
359.598,144.5337,1595000,-93153.6796875,319,4973.43,4551.7,319
377.3678,239.2879,1600000,-92958.5078125,320,3408.11,3665.32,320
379.7934,206.4889,1605000,-92622.0234375,321,3069.75,3693.27,321
376.6264,159.8078,1610000,-91663.515625,322,3982.79,3731.22,322
375.8423,152.1193,1615000,-92348.8671875,323,2400.29,3437.99,323
403.1929,361.8832,1620000,-92448.0390625,324,1702.55,1398.64,324
397.0483,223.3839,1625000,-91058.1953125,325,2027.23,1801.59,325
383.6006,200.7207,1630000,-93966.390625,326,3193.39,3316.82,326
394.4111,227.7265,1635000,-89515.984375,327,2273.82,2706.23,327
395.4482,217.4007,1640000,-88391.5859375,328,2227.22,2524.35,328
396.6598,236.121,1645000,-93332.7578125,329,3745.08,3662.95,329
382.3776,219.792,1650000,-91819.0390625,330,3850.56,2992.37,330
381.6069,200.5141,1655000,-92889.640625,331,2938.63,3592.81,331
387.7562,221.111,1660000,-92907.6796875,332,2992.07,3208.79,332
389.8156,200.0258,1665000,-90814.0625,333,3112.02,3005.4,333
406.9239,219.0451,1670000,-89740.4765625,334,3993.61,3684.98,334
407.1586,217.0865,1675000,-92106.40625,335,3506.51,3641.85,335
403.2086,211.3161,1680000,-94660.5859375,336,3067.25,4052.72,336
419.4149,223.5588,1685000,-94037.9609375,337,3494.27,3289.66,337
422.2282,234.7108,1690000,-95400.8125,338,3857.99,4348.12,338
432.1699,236.5408,1695000,-87555.8203125,339,1845.8,2458.97,339
422.2191,200.7681,1700000,-87863.9453125,340,3844.43,4368.97,340
430.7448,239.7291,1705000,-92253.3125,341,3767.14,3219.1,341
444.4319,207.8095,1710000,-87684.8984375,342,2218.12,2530.9,342
457.5663,286.7953,1715000,-73819.625,343,1881.01,1490.37,343
437.5983,195.2211,1720000,-90193.9296875,344,1988.2,2890.69,344
445.5487,218.3352,1725000,-84721.4453125,345,2240.98,2473.14,345
445.7215,259.172,1730000,-87878.046875,346,1363.42,2447.18,346
433.8045,212.8539,1735000,-91487.046875,347,2387.65,3224.67,347
440.876,253.4893,1740000,-84838.3515625,348,1891.93,2009.82,348
462.7024,270.0748,1745000,-84673.734375,349,1059.19,1299.49,349
443.1345,262.6998,1750000,-93067.859375,350,3179.63,3820.93,350
430.7423,222.7194,1755000,-91063.2578125,351,2568.61,2587.13,351
433.898,236.8317,1760000,-92131.8671875,352,3712.62,4185.82,352
435.8914,215.1628,1765000,-87726.96875,353,3013.53,2336.9,353
429.0122,202.0071,1770000,-86301.1171875,354,2798.07,3140.0,354
445.6817,247.1361,1775000,-93285.3828125,355,3848.04,3414.47,355
443.2987,205.6702,1780000,-88840.7890625,356,3070.17,3250.69,356
449.9846,213.2827,1785000,-83734.90625,357,3647.19,3351.2,357
450.2352,212.1489,1790000,-82564.03125,358,2760.68,2942.05,358
442.9832,208.1335,1795000,-82994.203125,359,2761.91,2649.42,359
451.1031,226.9254,1800000,-80150.0625,360,1542.97,2052.05,360
473.55,651.4267,1805000,-90877.2734375,361,1000.36,921.38,361
475.6258,299.9333,1810000,-88607.34375,362,1225.51,1207.11,362
477.9257,331.4569,1815000,-82437.9765625,363,516.52,494.74,363
470.6759,290.0562,1820000,-82096.078125,364,2236.08,2545.86,364
465.6512,242.9313,1825000,-83040.7109375,365,2489.64,2502.68,365
468.5393,285.1481,1830000,-89274.609375,366,3056.99,3129.93,366
479.942,258.229,1835000,-81679.1875,367,1070.61,1425.39,367
471.8735,249.4995,1840000,-80828.328125,368,1289.54,1463.12,368
480.7682,263.9177,1845000,-83260.7265625,369,1904.56,1256.72,369
480.8042,279.3379,1850000,-83973.4296875,370,1092.89,922.42,370
480.8044,622.8255,1855000,-86148.8046875,371,1911.13,1120.83,371
474.619,271.5598,1860000,-94994.4921875,372,4049.51,3788.88,372
482.0173,274.2378,1865000,-86309.8515625,373,1037.82,1496.35,373
534.9702,392.9246,1870000,-85366.453125,374,717.04,567.69,374
503.1024,445.988,1875000,-87542.1171875,375,984.01,1063.29,375
527.2997,360.0528,1880000,-88703.890625,376,1300.3,1242.8,376
484.8337,307.8566,1885000,-88584.9921875,377,1065.16,1138.66,377
479.4923,294.517,1890000,-90568.6484375,378,1149.1,1090.86,378
468.4713,269.0928,1895000,-90366.828125,379,1587.41,1198.32,379
477.0208,264.9074,1900000,-89904.359375,380,2212.62,2409.95,380
476.0051,240.0343,1905000,-92343.8984375,381,2014.33,2618.14,381
486.3293,237.7465,1910000,-94697.46875,382,3150.57,3615.96,382
464.4723,219.4372,1915000,-90312.125,383,2155.75,1435.33,383
474.152,221.4423,1920000,-92688.4453125,384,1489.57,1683.54,384
475.5661,241.4949,1925000,-94863.6484375,385,3930.59,3872.69,385
469.9345,199.2172,1930000,-85677.703125,386,2074.47,1932.12,386
462.2298,300.49,1935000,-85527.28125,387,2081.94,2243.59,387
454.0264,207.4755,1940000,-86628.5390625,388,1979.25,1656.64,388
444.9379,177.9605,1945000,-84969.8125,389,3228.19,3034.33,389
437.319,178.9455,1950000,-87793.40625,390,3039.68,3021.0,390
448.9647,240.6706,1955000,-85748.5390625,391,2627.55,2748.71,391
485.9891,313.4473,1960000,-83385.8828125,392,519.26,567.42,392
474.4442,390.8371,1965000,-88333.3828125,393,1145.17,1620.57,393
458.1403,230.7322,1970000,-84942.6875,394,1455.71,1017.17,394
441.8891,267.3184,1975000,-85243.21875,395,1230.29,1318.72,395
434.0132,222.082,1980000,-87211.046875,396,1961.67,2100.72,396
433.4573,225.5771,1985000,-86391.6484375,397,2547.0,2804.1,397
456.4137,252.6912,1990000,-87058.9140625,398,664.14,930.72,398
460.2743,245.2594,1995000,-85571.9375,399,1385.36,1152.9,399
455.7408,260.7949,2000000,-88577.4765625,400,920.26,1157.23,400
