Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return,Running Env Steps,Reward Loss,Real Sto Return
323,15.2867,156.5481,323,2301.59,1615000,-54317.2421875,1966.07
324,15.2867,156.6907,324,2319.73,1620000,-54383.91015625,1960.36
325,15.3161,156.7154,325,2290.43,1625000,-54510.17578125,1950.83
326,15.2376,156.7469,326,2294.98,1630000,-54425.6953125,1958.2
327,15.248,156.4732,327,2270.78,1635000,-54562.92578125,1943.3
328,15.341,156.7039,328,2303.02,1640000,-54719.9453125,1957.2
329,15.3995,156.4808,329,2308.3,1645000,-54777.9609375,1968.51
330,15.3954,156.6553,330,2293.93,1650000,-54808.1640625,1972.39
331,15.3997,156.6619,331,2303.69,1655000,-55114.5234375,1954.12
332,15.3892,156.7337,332,2308.94,1660000,-55169.27734375,1952.54
333,15.3661,156.6105,333,2316.8,1665000,-55218.72265625,1969.01
334,15.4994,156.7109,334,2308.62,1670000,-55350.47265625,1941.18
335,15.5153,156.5654,335,2310.15,1675000,-55388.01953125,1991.19
336,15.3268,156.6862,336,2312.21,1680000,-55391.51953125,1967.57
337,15.4943,156.6863,337,2316.55,1685000,-55507.50390625,1965.9
338,15.3953,156.6741,338,2314.66,1690000,-55590.046875,1993.76
339,15.2237,156.7062,339,2321.79,1695000,-55835.48046875,1959.84
340,15.3704,156.6098,340,2321.47,1700000,-55770.5234375,1973.32
341,15.3117,156.6874,341,2314.26,1705000,-55976.296875,1967.55
342,15.3526,156.5565,342,2314.0,1710000,-56064.125,1977.28
343,15.2582,156.7483,343,2309.75,1715000,-55917.4296875,1970.03
344,15.3293,156.6181,344,2301.58,1720000,-56110.49609375,1957.22
345,15.236,156.7091,345,2310.93,1725000,-56193.5546875,1978.38
346,15.1804,156.6858,346,2295.89,1730000,-56392.33984375,1966.36
347,15.0793,156.7737,347,2270.79,1735000,-56272.06640625,1948.09
348,15.218,156.7033,348,2312.78,1740000,-56435.44140625,1962.61
349,15.2292,156.5878,349,2309.22,1745000,-56301.46875,1958.47
350,15.2542,156.4447,350,2323.13,1750000,-56648.81640625,1955.0
351,15.1236,156.6583,351,2289.79,1755000,-56522.9453125,1952.04
352,15.217,156.6686,352,2314.23,1760000,-56738.51171875,1974.36
353,15.056,156.7556,353,2267.64,1765000,-56921.01953125,1949.15
354,15.2266,156.6741,354,2315.5,1770000,-56981.73828125,1963.11
355,15.3162,156.7939,355,2331.38,1775000,-57024.53515625,1950.81
356,15.1274,156.7323,356,2316.88,1780000,-57118.015625,1940.24
357,15.2251,156.6681,357,2317.83,1785000,-57174.51171875,1969.94
358,15.0684,156.6126,358,2319.17,1790000,-57339.046875,1961.11
359,15.1527,156.7692,359,2307.14,1795000,-57275.54296875,1962.61
360,15.4996,156.6422,360,2341.76,1800000,-57690.6015625,1998.87
361,15.3733,156.7239,361,2319.99,1805000,-57526.8046875,1955.85
362,15.1302,156.6506,362,2313.47,1810000,-57608.51171875,1952.84
363,15.2395,156.5552,363,2334.1,1815000,-57953.9453125,1958.6
364,15.185,156.7409,364,2306.82,1820000,-58002.84375,1957.3
365,15.2053,156.7386,365,2335.84,1825000,-58086.60546875,1970.43
366,15.306,156.7304,366,2333.98,1830000,-58159.58984375,1973.23
367,15.4061,156.6823,367,2317.33,1835000,-58305.6171875,1956.15
368,15.3075,156.6847,368,2325.3,1840000,-58066.984375,1962.11
369,15.1788,156.7557,369,2317.11,1845000,-58196.12890625,1964.62
370,15.247,156.6867,370,2331.16,1850000,-58243.0625,1974.93
371,15.4533,156.6816,371,2310.98,1855000,-58305.21484375,1940.57
372,15.3253,156.8268,372,2326.88,1860000,-58477.8125,1956.45
373,15.2916,156.8137,373,2324.26,1865000,-58630.5859375,1942.93
374,15.3948,156.7666,374,2323.67,1870000,-58838.15234375,1977.29
375,15.6207,156.6565,375,2329.54,1875000,-58786.4453125,1983.35
376,15.2599,156.6178,376,2333.93,1880000,-58900.4296875,1996.58
377,15.1779,156.7504,377,2313.98,1885000,-58924.36328125,1943.68
378,15.5358,156.7426,378,2339.24,1890000,-59296.18359375,1970.04
379,15.2166,156.6301,379,2323.69,1895000,-59170.82421875,1976.99
380,15.2177,156.6093,380,2338.25,1900000,-59346.1484375,1963.67
381,15.3835,156.6778,381,2347.64,1905000,-59572.47265625,1977.69
382,15.1732,156.6401,382,2331.58,1910000,-59317.31640625,1955.92
383,15.2711,156.7319,383,2311.66,1915000,-59596.2578125,1964.27
384,15.3308,156.7268,384,2335.8,1920000,-59752.13671875,1963.27
385,15.4543,156.7975,385,2350.04,1925000,-59773.66015625,1983.24
386,15.3491,156.6113,386,2360.16,1930000,-60091.68359375,1995.15
387,15.3665,156.7789,387,2347.02,1935000,-59930.0078125,1974.07
388,15.5,156.75,388,2369.02,1940000,-60069.578125,1984.82
389,15.4117,156.8555,389,2353.1,1945000,-60039.62109375,1997.42
390,15.4694,156.6827,390,2357.19,1950000,-60485.1953125,1998.69
391,15.4713,156.6432,391,2357.07,1955000,-60323.52734375,2004.09
392,15.3908,156.706,392,2332.6,1960000,-60267.6640625,1972.28
