Running Reverse KL,Real Det Return,Itration,Running Forward KL,Real Sto Return
67.9159,5658.94,264,77.5099,5304.69
63.924,4483.3,265,77.694,3895.04
66.1205,4623.55,266,77.2372,4203.11
65.4185,5237.26,267,76.6355,4532.44
64.1635,5266.61,268,74.394,5206.83
65.9579,4856.9,269,75.793,4040.5
65.0633,5606.01,270,73.8928,5103.52
67.1957,5665.38,271,77.1485,5438.01
61.7028,5692.06,272,71.892,5351.02
61.4622,5626.5,273,71.1184,4591.37
70.5105,5932.58,274,77.4506,4982.61
64.6366,4710.29,275,76.7131,4910.98
70.0728,4463.87,276,76.114,4750.77
61.3308,5674.62,277,69.2996,5189.02
63.8824,5536.01,278,75.3345,5284.2
67.9667,5297.31,279,76.6402,5010.4
60.7084,4493.59,280,69.9413,4126.77
62.1354,5447.75,281,75.2933,4496.63
