Itration,Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL
117,4041.01,70.4567,4651.61,267.0113
118,2607.38,61.0382,4129.89,271.8919
119,1838.8,50.7271,4585.31,256.9978
120,2697.48,80.2336,4449.32,272.9207
121,2403.72,65.7523,4636.99,259.2556
122,1214.47,53.8702,4516.9,257.9076
123,3251.06,54.8302,4717.48,254.277
124,1868.71,50.038,4413.08,254.8481
125,2866.86,52.3796,4724.9,254.814
126,2555.61,62.5145,4756.17,254.5199
127,3882.99,60.253,4816.79,257.2747
128,2059.43,43.2623,4793.16,237.4343
129,2042.31,45.0108,4936.7,243.7195
130,2606.69,40.4099,4713.49,242.3596
131,3572.37,52.2981,4350.23,250.6523
132,3160.89,54.2715,4425.05,251.9655
133,2704.9,71.8018,4548.94,265.9066
134,5126.82,43.9211,4983.06,239.4735
135,4487.31,61.7235,4953.8,256.8431
136,3848.18,72.2719,4746.92,247.3914
137,3215.72,47.7877,4521.94,246.8592
138,3823.35,71.0353,4080.97,248.1432
139,2012.8,43.4012,4686.26,240.6496
140,2674.15,42.0185,4439.98,238.0055
141,2898.75,58.5495,4137.48,244.5514
142,799.64,75.3928,4094.95,245.7486
143,1802.76,72.8542,4232.9,251.5464
144,1342.73,70.9838,4608.03,256.2582
145,2965.42,60.8224,4479.23,249.6977
146,993.45,66.9522,3230.94,250.1357
147,3445.88,61.7449,4248.14,254.794
148,1404.46,96.4817,3377.32,255.3118
149,2410.83,76.9286,4557.66,265.7099
150,4489.66,61.5995,4556.68,259.8725
151,2139.0,42.0984,4571.19,243.2933
152,1505.53,46.9532,4902.59,247.2265
153,2822.54,49.0482,4773.59,246.3633
154,2888.82,44.2646,4884.23,240.3072
155,1723.83,64.6301,4871.55,250.8624
156,1483.52,42.959,4901.06,246.4249
157,2495.8,45.9363,4767.51,244.4044
158,2499.57,54.7244,4592.15,251.7774
159,2428.84,45.2605,5034.7,242.8634
160,2353.16,42.878,4968.2,243.4652
161,2418.3,45.6593,4936.61,251.7789
162,2341.62,43.4667,4935.53,248.4465
163,4067.23,46.0715,4896.78,247.3698
164,4822.85,42.3082,5029.64,236.4464
165,1880.34,46.1511,4529.42,251.2805
166,3120.59,49.3816,4836.74,249.2332
167,1977.14,41.1254,4924.94,246.0617
168,1465.67,51.5276,4624.51,252.5737
169,4246.62,43.433,4960.63,250.3032
170,5048.2,47.5734,4926.12,254.5903
171,4828.0,48.738,4868.56,257.4003
172,4319.98,45.5022,4952.79,245.8769
173,2284.0,37.4565,4951.54,242.4059
174,1007.44,76.9985,3456.31,250.9318
175,3212.83,55.4954,4444.52,245.5948
176,1465.04,43.0584,4984.24,242.1115
177,4919.18,47.7,4979.93,247.7328
178,1292.36,37.586,4618.42,233.4649
179,4073.25,66.2476,4854.29,256.6027
180,4694.32,42.2199,4996.58,244.2006
181,3710.14,43.0415,4719.61,239.9228
182,2118.48,51.974,4914.27,258.4595
183,1271.44,35.757,4373.22,231.3898
184,3572.32,45.0072,4715.09,249.523
185,3202.77,54.8986,4731.39,238.5116
186,4355.06,45.9151,4718.56,257.2174
187,3419.05,42.4582,4784.37,246.7886
188,4813.12,71.9199,4894.58,256.2406
189,4927.0,49.9057,4976.95,251.3112
190,2911.32,66.8589,4580.34,257.2623
191,4818.22,37.6532,5022.56,237.7867
192,4567.87,49.7945,4803.53,240.5637
193,2127.11,32.1271,4246.62,234.5334
194,3396.35,42.177,4978.56,246.7072
195,2972.15,47.3949,4895.74,251.3294
196,1696.7,50.8588,4791.03,243.8636
197,4755.68,97.8534,4498.98,262.4088
198,1948.76,99.0748,3529.83,262.6302
199,5095.98,39.2891,4881.0,248.7261
200,3650.83,56.406,4940.59,256.4421
201,4872.39,67.7771,4914.39,257.0475
202,4918.0,44.076,4759.68,251.5708
203,2820.71,39.2471,4789.65,247.4959
204,4628.51,40.6516,4315.18,242.6948
205,5128.13,32.8208,4568.21,236.6637
206,3883.07,51.7807,4590.71,252.5407
207,3048.57,37.4846,4430.02,241.6297
208,1586.09,42.1003,4222.62,234.0144
209,1551.71,39.5151,4402.3,238.3306
210,1981.62,54.0477,3469.87,239.8713
211,2059.75,48.8582,4319.5,241.3831
