Running Update Time,Real Det Return,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return,Running Reverse KL,Itration
68,954.22,-1284.2081298828125,340000,25.937,1411.72,29.0513,68
69,117.29,-1398.0958251953125,345000,24.5411,174.01,27.1613,69
70,2455.77,-1215.3602294921875,350000,25.3762,1447.33,14.5044,70
71,969.66,-1440.256103515625,355000,24.3171,1278.72,18.2313,71
72,2081.08,-855.69677734375,360000,22.182,1260.27,19.391,72
73,966.93,-1566.90625,365000,22.7995,1097.16,21.9462,73
74,3232.7,-1057.9117431640625,370000,20.8443,2162.93,30.4983,74
75,666.35,-1866.212890625,375000,22.8528,663.28,34.2824,75
76,873.69,-2028.374267578125,380000,22.6226,1095.07,44.0807,76
77,3404.26,-764.04638671875,385000,21.2009,2372.33,13.8197,77
78,1295.37,-622.8900146484375,390000,22.7475,1478.12,12.4623,78
79,395.3,-1587.782470703125,395000,23.2816,1107.03,18.5145,79
80,3551.26,-1488.5203857421875,400000,22.3552,1718.16,25.6116,80
81,1336.56,-2004.56103515625,405000,24.4155,1263.84,60.1994,81
82,3309.9,-1179.3677978515625,410000,22.2383,2215.22,14.7913,82
83,3009.29,-1609.0155029296875,415000,22.0864,1990.66,21.7471,83
84,3072.56,-645.29443359375,420000,21.8181,2868.98,12.9633,84
85,3324.68,-1138.0504150390625,425000,22.556,2931.02,15.7502,85
86,3471.44,-1384.186767578125,430000,22.1764,2264.95,27.2895,86
87,8.03,-984.0252685546875,435000,21.4736,9.29,16.6762,87
88,3482.01,-1340.58642578125,440000,22.4798,2012.95,26.4146,88
89,3402.15,-778.483642578125,445000,22.168,1639.31,15.1519,89
90,3035.41,-1908.7489013671875,450000,23.1878,1790.62,39.5449,90
91,3137.49,-753.302490234375,455000,21.7547,850.76,17.8578,91
92,1253.03,-2210.11474609375,460000,23.6797,1452.45,50.7952,92
93,3474.24,-569.7540893554688,465000,21.5771,522.51,17.0175,93
94,2443.47,-1226.20751953125,470000,23.415,1824.89,20.8699,94
95,1075.09,-1914.355224609375,475000,23.4675,1394.2,22.951,95
96,2410.04,-1084.6856689453125,480000,21.333,2048.41,13.7436,96
97,1558.54,-1849.931884765625,485000,22.3836,1527.27,24.2617,97
98,2321.93,-1932.7225341796875,490000,23.4463,1316.32,19.7738,98
99,2755.94,-1545.5067138671875,495000,22.1248,1839.69,21.1909,99
100,3467.52,-1595.0367431640625,500000,24.1302,1805.48,16.4724,100
101,1049.15,-2166.0498046875,505000,23.734,1203.64,15.167,101
102,1245.72,-1647.8236083984375,510000,23.2181,2152.04,24.1235,102
103,6.03,-1501.4820556640625,515000,24.0552,66.85,16.6325,103
104,2771.06,-2109.995849609375,520000,23.3754,1659.03,21.4488,104
105,3196.0,-2311.434814453125,525000,25.1728,1518.55,21.3601,105
106,2546.82,-1451.268310546875,530000,21.2163,1827.28,20.119,106
107,1705.24,-2066.4833984375,535000,24.5795,1500.21,15.6399,107
108,3458.43,-1372.4718017578125,540000,21.9969,2009.46,12.9918,108
109,2159.88,-2031.5399169921875,545000,22.7558,1968.39,16.7691,109
110,3564.53,-2016.1302490234375,550000,21.9477,1407.66,15.6983,110
111,1775.65,-2262.26806640625,555000,24.362,1396.55,13.3186,111
112,2517.77,-3047.655029296875,560000,24.1809,1252.22,24.3257,112
113,2294.19,-2009.291015625,565000,22.72,1465.5,15.7627,113
114,2215.28,-3041.5302734375,570000,25.9019,1372.37,39.4269,114
115,2068.34,-2462.32958984375,575000,26.3914,1499.58,19.0974,115
116,3250.55,-2092.528564453125,580000,22.6956,1934.08,35.4489,116
117,3484.46,-1111.6324462890625,585000,20.952,2720.77,12.1635,117
118,3536.69,-2492.739990234375,590000,22.5952,2131.92,44.1162,118
119,3581.66,-1874.333251953125,595000,23.8429,2319.57,15.6468,119
120,3488.71,-926.5166625976562,600000,22.6974,2827.26,12.5756,120
121,3551.19,-2257.36328125,605000,23.865,1811.62,21.1465,121
122,3487.11,-1832.2742919921875,610000,22.4898,1398.05,14.7172,122
123,3434.96,-2268.23095703125,615000,23.4178,2100.69,15.6463,123
124,3514.92,-1724.2037353515625,620000,20.2967,1977.64,15.9334,124
125,101.55,-1881.1151123046875,625000,21.5331,651.26,11.4313,125
126,3514.18,-1961.0616455078125,630000,21.472,1769.31,16.4305,126
127,1236.51,-3115.38037109375,635000,24.4842,1437.55,25.4776,127
128,989.58,-2162.80126953125,640000,21.2627,1277.66,11.8265,128
129,3474.85,-2523.31298828125,645000,24.1565,1762.23,13.9664,129
130,3371.32,-2031.6080322265625,650000,21.7949,2102.67,12.83,130
131,1173.72,-2668.546630859375,655000,22.9435,1267.83,13.0632,131
132,2997.79,-2306.087646484375,660000,20.8853,1637.12,20.4597,132
133,3463.63,-1898.194091796875,665000,22.7775,2744.88,17.4573,133
134,1926.5,-3343.89892578125,670000,24.562,1400.39,25.2249,134
135,2982.61,-3602.332275390625,675000,24.3844,1026.78,24.0036,135
136,956.43,-2384.585693359375,680000,22.3537,644.68,23.4362,136
137,1369.6,-3423.929443359375,685000,24.74,1205.4,13.1302,137
138,1148.62,-3383.77197265625,690000,23.7402,1182.27,62.2772,138
139,3300.54,-4346.77392578125,695000,25.2957,1229.81,58.6759,139
140,1350.9,-3172.13037109375,700000,23.523,1461.36,14.1171,140
141,1240.26,-3605.257080078125,705000,25.3686,822.76,29.2323,141
142,1665.8,-3831.1787109375,710000,25.9806,1751.75,18.4925,142
143,2302.8,-3732.995849609375,715000,23.6872,1416.87,38.8834,143
144,3006.63,-3176.154052734375,720000,22.5425,1239.51,27.8985,144
145,48.53,-3192.520263671875,725000,22.622,965.1,17.6163,145
146,3346.39,-3079.880615234375,730000,20.8586,1392.87,45.7457,146
147,3150.96,-3458.443359375,735000,23.279,1766.05,43.4749,147
148,1114.02,-3947.275390625,740000,25.5931,1160.79,20.4228,148
149,1073.52,-3176.120361328125,745000,23.1671,824.93,40.3434,149
150,1269.36,-3511.481201171875,750000,24.3544,1456.44,13.088,150
151,3346.91,-3838.68408203125,755000,25.1511,1367.53,49.5415,151
152,1416.23,-3438.22607421875,760000,24.6575,1566.94,12.9166,152
153,1384.98,-4743.50830078125,765000,24.4362,838.28,42.6946,153
154,1869.99,-3871.99169921875,770000,23.029,1610.86,26.4183,154
155,3342.03,-4074.18798828125,775000,23.7005,1458.97,20.8019,155
156,1136.97,-4546.7490234375,780000,23.6801,1180.45,41.7596,156
157,2612.1,-3894.9130859375,785000,23.1537,1883.52,20.194,157
158,1235.66,-4425.07666015625,790000,25.207,1103.35,47.9025,158
159,3243.48,-4484.39892578125,795000,23.8999,1873.24,53.5528,159
160,2492.3,-4267.5068359375,800000,24.5966,1624.09,29.6727,160
161,1349.09,-4620.08984375,805000,24.513,1542.47,21.8964,161
162,1224.89,-5258.0283203125,810000,25.5358,1139.76,19.273,162
163,1579.86,-5788.904296875,815000,25.4855,1008.67,62.7092,163
164,1707.54,-4184.69091796875,820000,24.8475,1293.17,19.222,164
165,3418.46,-3110.315185546875,825000,22.6916,1516.44,15.5296,165
166,2067.73,-3113.647705078125,830000,22.5,1353.81,22.412,166
167,3369.45,-4383.861328125,835000,23.0885,2102.02,31.9628,167
168,2322.41,-4232.951171875,840000,22.3745,1750.43,20.4321,168
169,2058.05,-5425.67431640625,845000,24.8123,1386.46,61.1924,169
170,2867.84,-5299.5771484375,850000,23.5788,1303.21,25.9426,170
171,1719.11,-4706.11376953125,855000,23.0325,1670.14,21.1927,171
172,1272.54,-5042.8349609375,860000,23.6184,496.55,41.0879,172
173,3439.12,-4668.44189453125,865000,22.6622,1614.03,49.5508,173
174,1923.3,-3004.611083984375,870000,22.5837,1084.19,14.892,174
175,1553.42,-5466.5712890625,875000,25.5581,1156.68,21.5984,175
176,3452.28,-2901.89404296875,880000,22.1079,1979.91,19.5144,176
177,2951.59,-5728.64013671875,885000,24.8314,1318.34,61.1037,177
178,2718.96,-4475.6416015625,890000,23.9062,1473.14,33.5067,178
179,3126.12,-3823.993408203125,895000,22.9928,1813.09,17.4647,179
180,2901.22,-4611.4375,900000,24.1597,1354.68,15.0286,180
181,2150.79,-5303.515625,905000,23.78,1216.25,30.8538,181
182,1715.84,-4735.84619140625,910000,23.2246,1421.93,21.9388,182
183,3412.08,-4474.27783203125,915000,23.3962,1843.13,24.9939,183
184,3362.66,-4326.45556640625,920000,23.9447,1306.97,17.4973,184
185,2579.18,-4260.97802734375,925000,23.4775,1576.08,35.3446,185
186,1139.41,-4594.833984375,930000,24.4513,1268.43,14.2471,186
187,3076.31,-4218.8623046875,935000,24.2678,1512.74,19.8944,187
188,2900.37,-1370.49169921875,940000,20.7826,2390.85,13.6563,188
189,1383.36,-5542.36083984375,945000,24.1865,1568.57,75.7639,189
190,1131.23,-5952.26416015625,950000,23.4236,1605.18,36.7716,190
191,2192.88,-4849.09228515625,955000,23.6843,1568.54,26.621,191
192,1994.48,-4058.711181640625,960000,23.3035,1875.07,13.8338,192
193,2621.1,-5867.466796875,965000,23.6373,1377.83,17.5279,193
194,1442.51,-5501.4716796875,970000,23.3138,1411.24,17.4158,194
195,3480.59,-4200.04931640625,975000,22.5253,2065.18,26.0735,195
196,3045.58,-6723.08349609375,980000,23.8357,1261.03,23.947,196
197,2079.98,-6701.10107421875,985000,24.644,1575.01,34.0781,197
198,933.61,-6446.6103515625,990000,24.3499,1150.71,34.4391,198
199,1362.63,-6106.056640625,995000,23.0028,1197.42,31.0486,199
