Reward Loss,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return,Running Update Time,Itration,Running Env Steps
-532.323974609375,21.1535,3345.12,14.3154,3336.87,88,88,440000
-587.8959350585938,21.6581,3300.4,14.292,3289.67,89,89,445000
-545.1453857421875,21.5289,3339.39,14.5061,3318.9,90,90,450000
-570.2427368164062,21.0595,3351.34,14.6271,3339.86,91,91,455000
-983.8558349609375,23.792,2971.46,15.2539,2856.01,92,92,460000
-780.2842407226562,21.8413,2016.12,13.3364,2817.33,93,93,465000
-1064.8623046875,23.4508,1076.39,13.4165,1970.57,94,94,470000
-651.8108520507812,22.1924,3342.39,15.0316,3307.61,95,95,475000
-688.7249755859375,21.3744,3319.38,14.7847,3307.51,96,96,480000
-536.4044799804688,20.7391,3389.03,14.3975,3364.17,97,97,485000
-523.3607177734375,20.2477,3354.45,13.6282,3346.11,98,98,490000
-637.95458984375,21.0609,3328.15,14.3682,3316.79,99,99,495000
-559.1780395507812,20.202,3402.39,13.0545,3381.1,100,100,500000
-581.5127563476562,20.2384,3367.86,13.5127,3359.46,101,101,505000
-552.1566162109375,19.7827,3372.67,13.3916,3364.31,102,102,510000
-573.3314819335938,19.9425,3403.69,12.7994,3372.24,103,103,515000
-591.4437866210938,20.3895,3443.37,14.0067,3419.02,104,104,520000
-700.5570678710938,20.5657,2278.9,13.578,2731.24,105,105,525000
-659.1254272460938,20.3952,3379.95,14.0962,3351.78,106,106,530000
-592.3611450195312,20.9975,3394.87,14.5244,3323.37,107,107,535000
-787.5186767578125,21.8522,3367.96,15.1792,3347.56,108,108,540000
-662.2125244140625,20.8766,3346.0,13.6409,3319.63,109,109,545000
-671.5172729492188,20.0908,3358.59,13.6082,3350.3,110,110,550000
-686.0222778320312,21.0556,3368.36,14.5031,3354.74,111,111,555000
-585.900634765625,20.6307,3423.14,14.3263,3423.53,112,112,560000
-664.5615234375,20.3877,3436.96,13.4826,3404.2,113,113,565000
-628.8236083984375,20.7518,3434.22,14.0764,3406.54,114,114,570000
-759.5496826171875,20.0224,3288.4,18.5419,2512.39,115,115,575000
-675.949951171875,21.767,3427.69,15.307,3402.95,116,116,580000
-934.5078125,20.1567,3258.05,15.2881,2730.5,117,117,585000
-993.4752197265625,23.8578,3091.59,15.1435,3122.99,118,118,590000
-941.7548828125,21.4677,2891.77,11.8142,2974.95,119,119,595000
-737.3829345703125,20.7793,3391.44,13.3105,3349.16,120,120,600000
-742.9307861328125,20.7651,3425.35,13.5584,3398.86,121,121,605000
-622.236328125,19.9073,3438.26,13.0134,3424.58,122,122,610000
-680.7601318359375,20.3189,3429.53,12.9083,3391.46,123,123,615000
-704.893310546875,20.5165,3384.7,13.6261,3370.45,124,124,620000
-659.3092651367188,19.9426,3419.6,13.2777,3407.09,125,125,625000
-619.6581420898438,19.2675,3424.05,12.2161,3401.51,126,126,630000
-731.3482055664062,20.4946,3416.26,13.1843,3394.04,127,127,635000
-718.6644287109375,20.5575,3413.49,13.5259,3384.43,128,128,640000
-632.7488403320312,20.0941,3444.16,14.102,3436.5,129,129,645000
-642.3921508789062,20.4085,3458.4,13.2868,3431.25,130,130,650000
-750.2841186523438,19.5222,3396.71,12.7429,3391.4,131,131,655000
-717.201171875,19.8524,3437.47,12.8127,3415.54,132,132,660000
