Running Update Time,Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Reverse KL,Running Forward KL,Reward Loss
36,3395.41,180000,3565.88,36,16.3159,44.5392,-220.29879760742188
37,3562.92,185000,3226.3,37,16.0811,44.7622,-238.49488830566406
38,3290.46,190000,3288.12,38,16.9979,44.9874,-242.38829040527344
39,2963.73,195000,3433.32,39,17.089,45.1216,-245.70977783203125
40,3556.89,200000,3497.62,40,15.9768,45.0598,-265.8191833496094
41,3675.47,205000,3527.34,41,20.4284,45.4832,-274.3844299316406
42,3700.87,210000,3636.48,42,20.44,45.0155,-274.65087890625
43,3841.37,215000,3627.79,43,20.9517,45.4128,-287.0344543457031
44,3790.17,220000,3705.52,44,20.5568,45.0092,-282.3924560546875
45,3712.23,225000,3593.9,45,19.142,44.5594,-268.76068115234375
46,3758.64,230000,3322.32,46,20.4844,45.1054,-288.1401062011719
47,3666.73,235000,3191.9,47,20.294,45.2473,-312.2642517089844
48,3725.36,240000,2977.71,48,17.9912,45.0288,-320.0742492675781
49,3319.22,245000,3518.09,49,19.071,44.9454,-325.1849365234375
50,3681.99,250000,3613.34,50,19.4371,44.483,-315.2039794921875
51,3422.03,255000,3292.0,51,17.7367,44.6391,-339.1687927246094
52,3570.2,260000,3072.71,52,19.0187,44.9762,-338.2350158691406
53,3817.75,265000,3740.82,53,19.6983,44.6708,-346.89141845703125
54,3715.06,270000,3614.41,54,18.6675,44.7478,-337.7841796875
55,3072.31,275000,2868.57,55,18.1749,44.7894,-343.2934875488281
56,3688.66,280000,3648.87,56,19.6744,45.0077,-366.1838073730469
57,3694.05,285000,3660.44,57,20.6955,45.104,-362.19390869140625
58,3588.65,290000,3417.54,58,17.8548,44.8154,-364.60595703125
59,3666.99,295000,3294.38,59,18.0399,44.3872,-365.7384338378906
60,3856.45,300000,3745.39,60,19.8203,44.5986,-384.81683349609375
61,3622.72,305000,3547.19,61,19.643,45.2407,-385.9950256347656
62,3784.1,310000,3724.13,62,19.5267,44.4613,-382.9661560058594
63,3701.5,315000,2420.66,63,18.1104,44.8847,-401.68701171875
64,3578.42,320000,3018.4,64,17.4531,45.2008,-400.3002014160156
65,3730.11,325000,3542.94,65,20.8153,45.1231,-428.9249267578125
66,3631.53,330000,3640.2,66,20.1374,44.7632,-441.66357421875
67,3735.8,335000,3714.98,67,17.7039,44.5695,-428.3462829589844
68,3556.3,340000,3590.97,68,19.8362,44.7764,-438.57916259765625
69,3779.32,345000,3445.51,69,19.0164,44.5488,-441.4451599121094
70,3841.13,350000,2374.86,70,18.273,44.5965,-466.0087890625
71,3749.9,355000,3654.94,71,19.5799,44.3164,-451.28192138671875
72,3929.28,360000,3844.48,72,20.0276,44.6739,-479.3450927734375
73,3796.7,365000,3808.54,73,19.8691,44.3079,-487.61767578125
74,3731.29,370000,3715.09,74,19.6618,44.4807,-470.0421142578125
75,3332.58,375000,3521.9,75,20.1786,43.9516,-483.25970458984375
76,3868.91,380000,3624.0,76,19.9882,44.4209,-480.4645690917969
77,3805.24,385000,3789.69,77,18.6761,44.5024,-479.8897705078125
78,3914.59,390000,3858.34,78,19.8603,44.343,-503.8013916015625
79,3896.4,395000,3854.19,79,19.0817,44.3101,-505.5086669921875
80,3676.12,400000,1264.65,80,15.7466,45.9082,-556.3993530273438
81,3726.57,405000,2393.98,81,19.5236,44.9807,-583.673828125
82,3870.0,410000,3649.1,82,19.1283,44.9383,-544.927490234375
83,3973.52,415000,3139.35,83,18.6557,44.3115,-586.8230590820312
84,3819.37,420000,3791.28,84,18.0234,43.9508,-526.1554565429688
85,4009.41,425000,3968.7,85,20.7226,44.3664,-559.22412109375
86,3892.32,430000,3843.96,86,19.1883,44.4252,-558.3262329101562
87,3955.8,435000,3852.79,87,18.1869,43.765,-551.2803955078125
88,3895.09,440000,3634.17,88,18.6834,44.2585,-561.9248046875
89,3721.94,445000,3767.75,89,18.42,44.4657,-580.332763671875
90,3832.86,450000,3787.94,90,19.1861,44.7413,-585.7347412109375
91,3852.05,455000,3863.86,91,18.8279,44.1052,-571.9599609375
92,3965.3,460000,3897.05,92,18.1025,44.0797,-593.9602661132812
93,3998.31,465000,4000.06,93,19.4541,44.1439,-593.1978149414062
94,3882.2,470000,3713.39,94,19.4337,44.5087,-603.216552734375
95,3784.91,475000,3763.34,95,18.8953,44.2954,-639.790283203125
96,3849.46,480000,3922.52,96,20.1911,44.4882,-622.1160888671875
97,3921.25,485000,3928.66,97,18.8694,44.1895,-624.8965454101562
98,3856.37,490000,3842.24,98,18.1702,44.2878,-638.5631713867188
99,3871.39,495000,3896.28,99,19.8528,44.9726,-660.1651611328125
100,3818.86,500000,3640.19,100,17.3929,44.2991,-660.9015502929688
101,3946.64,505000,3966.54,101,19.0647,44.0573,-640.5022583007812
102,3774.63,510000,3784.39,102,18.9552,44.3908,-663.4925537109375
103,3927.01,515000,3846.44,103,20.2019,44.7533,-692.3255004882812
104,4004.45,520000,3981.75,104,18.7672,44.0734,-672.5042114257812
105,3852.19,525000,3925.1,105,20.0655,44.2969,-681.10107421875
106,3973.28,530000,2524.75,106,14.8931,44.9037,-764.1190185546875
107,3953.19,535000,3949.07,107,19.0354,44.3472,-707.2869262695312
108,3940.5,540000,3882.52,108,18.9618,44.4536,-699.7819213867188
109,3958.7,545000,3954.51,109,17.8699,44.1712,-759.099609375
110,3840.82,550000,3828.92,110,18.4058,43.8101,-718.1571655273438
111,4021.84,555000,4005.63,111,19.653,44.4312,-755.0746459960938
112,3909.09,560000,3927.29,112,19.3737,44.2176,-745.5302734375
113,3909.43,565000,3911.3,113,19.9176,44.5225,-776.2979736328125
114,4005.77,570000,4012.73,114,19.5515,44.6822,-765.9274291992188
115,4006.41,575000,4012.27,115,19.3848,44.247,-755.3475952148438
116,4132.86,580000,4079.11,116,18.7149,44.0954,-771.0318603515625
117,4163.05,585000,3973.4,117,19.5816,44.2419,-786.5579223632812
118,4224.13,590000,4191.33,118,19.0527,44.0178,-782.7175903320312
119,4086.4,595000,4049.24,119,20.3665,44.4734,-792.9802856445312
120,4318.44,600000,4302.21,120,18.1517,44.2305,-831.9859619140625
121,4146.53,605000,4105.99,121,19.9367,44.346,-836.7992553710938
122,3994.23,610000,4052.07,122,17.2397,43.5517,-811.544921875
123,4138.1,615000,4108.5,123,18.0378,43.787,-816.2374267578125
124,4233.98,620000,4213.45,124,21.6969,44.1766,-865.8003540039062
125,4187.91,625000,4100.16,125,21.7177,44.4864,-876.1122436523438
126,3977.36,630000,3931.56,126,17.8714,44.3247,-850.5214233398438
127,4215.4,635000,3947.51,127,18.8486,43.8151,-855.196044921875
128,4289.19,640000,4267.72,128,18.3313,43.8747,-883.5003662109375
129,4188.03,645000,4205.79,129,19.2699,43.6476,-881.0870361328125
130,4121.09,650000,4099.34,130,18.1008,43.5886,-897.16064453125
131,4344.21,655000,3881.9,131,20.9803,44.0888,-914.4127197265625
132,4218.5,660000,4184.45,132,18.9919,43.8479,-922.193115234375
133,4294.59,665000,4032.24,133,18.5559,44.018,-933.1439819335938
134,4258.15,670000,4272.18,134,18.1872,43.2325,-913.8802490234375
135,4085.9,675000,4176.95,135,19.5772,44.0351,-989.6964721679688
136,4365.51,680000,4129.29,136,19.1416,43.538,-960.2652587890625
137,4297.03,685000,4304.4,137,21.2526,44.3594,-976.0763549804688
138,4198.14,690000,4142.05,138,19.3348,43.9422,-989.1341552734375
139,4253.71,695000,4203.13,139,20.8128,44.2816,-993.0741577148438
140,4301.69,700000,4071.39,140,19.9755,43.8535,-993.4965209960938
141,4306.57,705000,4232.65,141,20.5904,44.4917,-1020.0477905273438
142,4235.71,710000,4207.88,142,18.6029,44.0915,-1013.3223266601562
143,4404.46,715000,4319.1,143,20.8204,44.1801,-1044.184326171875
144,4226.17,720000,4146.58,144,19.3949,43.5539,-1030.3846435546875
145,4307.61,725000,4177.51,145,20.9846,44.1666,-1068.29638671875
146,4319.6,730000,4272.8,146,19.2699,44.0372,-1060.722412109375
147,4275.26,735000,4025.77,147,18.9359,44.2515,-1114.902099609375
148,4349.85,740000,3998.03,148,18.6853,44.3711,-1089.04296875
149,4416.59,745000,4305.19,149,19.5769,43.7563,-1077.8836669921875
150,4074.72,750000,3818.27,150,16.944,44.0259,-1114.299560546875
151,4399.31,755000,4318.43,151,21.1547,44.223,-1137.052490234375
152,4327.83,760000,4167.79,152,20.2472,43.6407,-1100.9132080078125
153,4332.21,765000,4148.37,153,20.5414,44.5527,-1191.5904541015625
154,4311.81,770000,4187.23,154,21.2521,44.4441,-1183.0201416015625
155,4263.28,775000,4225.9,155,19.2331,43.6735,-1156.075927734375
156,4341.93,780000,3680.79,156,19.7462,43.7721,-1186.76318359375
157,4216.22,785000,3891.01,157,19.6133,44.1378,-1197.597900390625
158,3737.52,790000,3566.79,158,20.5326,44.3661,-1243.8131103515625
159,4279.48,795000,4054.32,159,20.0705,43.9587,-1215.5487060546875
160,4358.86,800000,4191.09,160,20.1152,44.0225,-1235.0181884765625
161,4479.71,805000,3359.89,161,19.1008,44.6053,-1286.579833984375
162,4318.14,810000,4400.65,162,20.8209,44.0127,-1260.912353515625
163,4202.32,815000,4270.86,163,21.3049,44.7462,-1268.979248046875
164,4333.17,820000,3937.67,164,19.0771,44.0898,-1263.6651611328125
165,4326.45,825000,4295.73,165,18.0441,43.4627,-1238.3809814453125
166,4402.53,830000,4307.43,166,18.1551,43.4902,-1270.43603515625
167,4419.68,835000,4417.5,167,21.6403,44.4576,-1315.379638671875
168,4278.37,840000,3902.91,168,20.7161,44.2932,-1304.034423828125
169,4481.1,845000,4212.42,169,21.3178,44.3073,-1371.979736328125
170,4281.59,850000,4258.69,170,20.6018,44.086,-1372.1898193359375
171,4364.03,855000,4247.02,171,19.1008,44.3079,-1362.19970703125
172,4362.09,860000,4366.76,172,21.3278,44.6774,-1363.9669189453125
173,4254.19,865000,3982.46,173,20.562,43.8972,-1407.0244140625
174,4446.21,870000,4488.99,174,19.6616,43.9403,-1363.044677734375
175,4291.03,875000,4230.57,175,22.2566,44.8583,-1432.6202392578125
176,4329.37,880000,2808.27,176,18.4238,43.6662,-1443.890625
177,4515.36,885000,4128.56,177,20.2492,44.4133,-1396.94140625
178,4217.76,890000,4174.11,178,19.9477,43.7874,-1376.89404296875
179,4217.51,895000,3773.21,179,18.6883,44.0832,-1494.897216796875
180,4179.2,900000,3765.29,180,19.6981,44.3614,-1447.9114990234375
181,4366.23,905000,4271.12,181,21.4296,44.3175,-1490.1304931640625
182,4414.69,910000,4380.75,182,19.0898,44.1643,-1524.7745361328125
183,4055.66,915000,4193.65,183,21.3516,44.4182,-1471.7335205078125
184,4364.09,920000,4452.32,184,22.9408,44.5712,-1568.6785888671875
185,4321.39,925000,3955.52,185,20.0856,43.9248,-1527.89208984375
186,3336.47,930000,3211.43,186,16.1925,43.1635,-1480.5733642578125
187,4408.43,935000,4305.86,187,21.5731,44.0502,-1509.9927978515625
188,4369.03,940000,4369.64,188,22.8508,43.886,-1558.4989013671875
189,4249.95,945000,4381.61,189,22.3456,44.4433,-1620.048828125
190,4365.81,950000,3918.0,190,21.6572,43.9139,-1591.1873779296875
191,4326.65,955000,4033.34,191,20.3969,44.1414,-1618.679443359375
192,4176.34,960000,4185.51,192,21.3926,44.595,-1598.1304931640625
193,4370.38,965000,4411.43,193,23.1957,44.8358,-1686.807861328125
194,4346.72,970000,4317.63,194,22.4785,44.4671,-1691.3232421875
195,4230.7,975000,4216.52,195,20.5982,44.2775,-1701.5023193359375
196,4488.67,980000,3858.45,196,18.2109,43.9379,-1660.2200927734375
197,4321.34,985000,4295.92,197,19.8155,43.9043,-1721.030029296875
198,2964.25,990000,4004.29,198,19.1679,44.3218,-1733.729248046875
199,4390.52,995000,4490.46,199,21.5264,44.4405,-1754.8216552734375
200,3883.94,1000000,4004.38,200,22.5619,44.7714,-1804.83203125
201,3874.47,1005000,4238.71,201,22.9649,44.695,-1804.75830078125
202,4170.48,1010000,4309.51,202,21.2886,44.3838,-1793.9190673828125
203,4033.08,1015000,4214.49,203,21.6107,44.0433,-1802.15234375
204,4214.27,1020000,4342.2,204,21.8095,44.1756,-1848.7091064453125
205,3989.52,1025000,4168.22,205,20.0384,43.8644,-1807.249267578125
206,4153.59,1030000,3946.94,206,21.4186,44.2943,-1862.7652587890625
207,3718.26,1035000,4156.26,207,20.8672,44.4861,-1847.172119140625
208,3404.22,1040000,4033.1,208,21.264,44.3808,-1854.2669677734375
209,3918.5,1045000,4232.33,209,19.9968,44.2584,-1892.9093017578125
210,4223.95,1050000,4126.66,210,19.6653,44.0515,-1920.3485107421875
211,1171.06,1055000,3272.13,211,18.6451,43.9126,-1890.043212890625
212,4193.97,1060000,3903.49,212,20.9896,43.8072,-1919.826416015625
213,4386.45,1065000,4237.57,213,20.9996,44.1668,-1924.4488525390625
214,4347.27,1070000,4010.69,214,22.0546,44.462,-1988.8621826171875
215,4372.77,1075000,4045.57,215,21.4716,44.4865,-1969.3509521484375
216,4366.43,1080000,3896.35,216,20.6177,44.3457,-2016.2606201171875
217,4431.2,1085000,4149.29,217,22.2686,44.0681,-2003.9029541015625
218,4486.34,1090000,4414.65,218,21.3211,43.8655,-2002.645263671875
219,4530.12,1095000,4547.29,219,23.3443,44.2938,-2035.0074462890625
220,4501.73,1100000,4289.33,220,18.8278,43.9538,-1982.5870361328125
221,4358.77,1105000,4388.59,221,22.7721,44.5116,-2073.2109375
222,4478.4,1110000,4343.2,222,21.889,44.1698,-2062.4423828125
223,4311.81,1115000,4474.5,223,21.9032,43.9157,-2050.90380859375
224,4431.9,1120000,3962.79,224,22.8337,44.3048,-2118.481689453125
225,4358.98,1125000,4387.1,225,21.1183,44.1473,-2093.04345703125
226,4452.13,1130000,4494.14,226,19.094,43.6803,-2102.30078125
227,4369.35,1135000,4435.16,227,21.0863,43.9413,-2140.48046875
228,4356.67,1140000,4373.07,228,20.9551,44.213,-2135.33349609375
229,4363.06,1145000,3948.84,229,22.26,44.4258,-2187.40771484375
230,4375.19,1150000,4441.74,230,20.5057,43.6775,-2141.565673828125
231,4364.25,1155000,4276.07,231,23.2362,44.4398,-2195.445068359375
232,4227.84,1160000,4190.07,232,20.9172,44.1634,-2198.00537109375
233,4234.38,1165000,4197.7,233,20.3491,43.7912,-2148.031494140625
234,4306.62,1170000,4274.5,234,20.5768,44.1,-2163.4560546875
235,3944.93,1175000,4132.59,235,20.0557,43.761,-2185.10107421875
236,4338.04,1180000,4350.96,236,20.2183,43.8595,-2207.54638671875
237,4302.3,1185000,4183.59,237,19.5416,43.506,-2250.981689453125
238,4229.7,1190000,4187.77,238,18.3854,43.3341,-2177.631103515625
239,4238.35,1195000,4136.99,239,17.514,44.1019,-2252.68212890625
240,3412.09,1200000,3890.68,240,16.409,43.2594,-2207.387939453125
241,3962.91,1205000,3558.24,241,15.891,43.6585,-2323.0263671875
242,3824.26,1210000,3273.08,242,17.839,43.7116,-2257.752197265625
243,4162.56,1215000,3662.13,243,17.9631,43.9313,-2295.5087890625
244,3988.46,1220000,3433.05,244,16.7509,43.7545,-2315.9970703125
245,4238.46,1225000,3206.26,245,16.757,44.0092,-2338.355224609375
246,4283.23,1230000,3930.13,246,18.6018,44.1561,-2322.520751953125
247,4348.5,1235000,3588.71,247,18.7054,43.9694,-2325.4677734375
248,4267.3,1240000,4254.63,248,19.1835,44.1194,-2366.298583984375
249,4326.14,1245000,4158.81,249,20.7467,44.3195,-2450.306640625
250,4348.5,1250000,3690.15,250,18.7746,43.6812,-2343.67578125
251,4328.55,1255000,3814.88,251,18.8,44.242,-2435.028076171875
252,4194.41,1260000,4124.62,252,18.349,43.5198,-2444.22802734375
253,4299.09,1265000,4025.56,253,18.368,43.6315,-2539.87158203125
254,4288.35,1270000,4291.32,254,17.7636,44.0587,-2592.1201171875
255,4259.91,1275000,4297.17,255,19.968,44.1332,-2561.53076171875
256,4270.72,1280000,4117.24,256,18.2835,43.8638,-2604.5625
257,4296.05,1285000,4307.54,257,17.9382,43.7715,-2594.521728515625
258,4243.1,1290000,4102.9,258,17.8531,43.8763,-2608.387939453125
259,4295.61,1295000,4274.84,259,18.0453,43.4771,-2658.842529296875
260,3404.11,1300000,3859.24,260,18.2997,43.5817,-2607.555908203125
261,4277.53,1305000,4075.41,261,17.7879,43.8688,-2686.756103515625
262,4252.18,1310000,4314.95,262,18.4645,43.9907,-2709.7587890625
263,4228.32,1315000,4160.4,263,18.4954,44.0239,-2727.875
264,4436.24,1320000,3996.24,264,19.2559,43.9517,-2737.78515625
265,4241.86,1325000,4140.33,265,19.2138,43.8558,-2787.65625
266,4296.84,1330000,4039.49,266,18.8946,44.1413,-2802.82373046875
267,4421.33,1335000,4126.29,267,20.3759,44.2248,-2820.156494140625
268,3686.89,1340000,3807.99,268,17.5752,43.7319,-2807.87548828125
269,4378.45,1345000,4362.51,269,19.974,44.184,-2810.46728515625
270,4368.99,1350000,4052.17,270,20.4168,43.9842,-2897.211181640625
271,3945.98,1355000,4192.67,271,19.2909,43.8577,-2863.2119140625
272,4383.05,1360000,4198.7,272,19.752,43.7766,-2890.35595703125
273,4322.27,1365000,4379.27,273,22.2047,44.3391,-2893.92138671875
274,4365.34,1370000,4501.37,274,19.5258,43.7286,-2927.409423828125
275,4307.92,1375000,4071.22,275,18.1688,43.7776,-2911.321044921875
276,3865.51,1380000,4285.58,276,16.5585,43.7848,-2994.732421875
277,3916.9,1385000,4324.99,277,19.5574,44.2626,-3040.063232421875
278,4457.34,1390000,4172.08,278,19.3323,43.9062,-2986.15380859375
279,4286.01,1395000,3281.49,279,18.4747,44.2335,-3057.33740234375
280,4287.44,1400000,4094.27,280,19.9523,43.8773,-3052.16064453125
281,3866.8,1405000,4083.11,281,18.8225,43.8141,-3034.88330078125
282,2912.47,1410000,2811.14,282,16.8432,45.0048,-3268.031005859375
283,3791.02,1415000,4000.76,283,20.6244,44.618,-3184.70751953125
284,3598.88,1420000,3871.57,284,23.0742,43.9674,-3216.79052734375
285,4035.44,1425000,3782.52,285,20.5771,44.4961,-3197.17333984375
286,4454.06,1430000,3658.51,286,19.8016,44.5208,-3191.183349609375
287,4284.89,1435000,4541.12,287,23.3592,44.3965,-3248.398193359375
288,4157.75,1440000,4563.42,288,20.2002,44.1781,-3269.193359375
289,4591.67,1445000,4277.57,289,19.3614,43.7166,-3245.492431640625
290,4388.64,1450000,4046.75,290,19.307,43.5549,-3298.462646484375
291,4108.27,1455000,4223.24,291,18.3739,44.1654,-3249.699951171875
292,4518.27,1460000,3885.08,292,19.8428,44.0641,-3229.071044921875
293,4411.72,1465000,4147.16,293,20.156,43.5697,-3298.390380859375
294,4584.08,1470000,3996.24,294,21.0451,43.8417,-3287.098876953125
295,3778.11,1475000,4211.84,295,20.2585,43.4566,-3346.77783203125
296,4107.41,1480000,4442.31,296,17.4022,43.3327,-3285.41064453125
297,3458.57,1485000,4349.73,297,18.3804,43.5007,-3431.861083984375
298,4424.04,1490000,4316.73,298,20.7291,43.5609,-3390.25927734375
299,3159.44,1495000,4370.93,299,19.7964,43.9024,-3411.162841796875
300,4645.3,1500000,4051.72,300,20.9366,44.2717,-3458.78125
301,4569.61,1505000,4488.88,301,20.223,43.7108,-3403.883544921875
302,4552.25,1510000,4623.37,302,22.1441,44.3804,-3463.35986328125
303,4623.29,1515000,4586.41,303,22.7662,44.7071,-3580.21435546875
304,4492.54,1520000,4582.17,304,22.031,44.0881,-3626.627197265625
305,4677.3,1525000,4668.37,305,21.6566,44.1183,-3689.755126953125
306,4437.26,1530000,4458.43,306,19.9808,43.6839,-3613.14306640625
307,4210.0,1535000,4388.91,307,21.1578,44.1434,-3615.1201171875
308,4533.68,1540000,4431.0,308,21.7593,44.3302,-3641.28759765625
309,4442.21,1545000,4498.67,309,22.1106,44.2531,-3657.0048828125
310,2467.08,1550000,4361.41,310,19.5244,43.4387,-3622.00927734375
311,3081.89,1555000,4421.31,311,20.4211,44.2381,-3767.5556640625
312,4156.63,1560000,4583.85,312,21.6138,44.1636,-3802.381591796875
313,4609.16,1565000,3722.74,313,23.2181,44.0613,-3765.63818359375
314,4389.14,1570000,4290.91,314,20.4456,44.2673,-3880.201171875
315,4526.73,1575000,4450.88,315,20.3755,43.9071,-3772.070068359375
316,4382.3,1580000,4467.9,316,21.3903,43.8597,-3839.9580078125
317,4673.04,1585000,4606.53,317,21.6256,43.9068,-3782.1826171875
318,4594.41,1590000,4618.02,318,23.208,44.6328,-3881.973876953125
319,4453.94,1595000,4345.16,319,21.1201,43.978,-3930.072509765625
320,4624.58,1600000,4636.67,320,23.1355,44.6206,-3908.899658203125
321,4644.1,1605000,4445.4,321,21.8425,44.3837,-3921.6728515625
322,4578.48,1610000,4592.63,322,22.3707,44.2853,-4029.57958984375
323,4656.34,1615000,4476.86,323,22.9176,44.1579,-4011.061767578125
324,4671.15,1620000,4633.04,324,25.2449,44.6451,-4061.002685546875
325,4589.91,1625000,4581.43,325,20.9871,43.6588,-3976.70849609375
326,4614.66,1630000,4612.83,326,21.266,43.6044,-4030.002197265625
327,4564.36,1635000,4606.44,327,21.3737,43.8773,-4055.372314453125
328,4637.29,1640000,4637.94,328,24.2362,44.7431,-4072.989501953125
329,4532.82,1645000,4568.73,329,22.6699,44.1249,-4183.44140625
330,4521.74,1650000,4575.94,330,21.7922,43.862,-4143.4287109375
331,4691.08,1655000,4613.68,331,24.2104,44.3887,-4242.06298828125
332,4665.44,1660000,4563.4,332,25.6831,44.5541,-4301.63623046875
333,4607.89,1665000,4636.7,333,22.6082,43.8452,-4245.7470703125
334,4554.54,1670000,4591.17,334,24.5955,44.6462,-4361.23388671875
335,4344.01,1675000,4418.85,335,22.3597,43.894,-4440.22216796875
336,4673.27,1680000,4552.19,336,23.2126,44.067,-4328.875
337,4553.99,1685000,4568.64,337,22.7487,44.3224,-4433.6650390625
338,4568.19,1690000,4582.1,338,22.4318,44.2428,-4451.05859375
339,4494.33,1695000,4287.68,339,19.6528,43.3136,-4434.59765625
340,4417.22,1700000,4541.35,340,20.942,43.7605,-4466.328125
341,4500.25,1705000,4539.48,341,20.8234,43.6415,-4447.66259765625
342,4489.95,1710000,4548.29,342,22.0467,44.1343,-4501.33642578125
343,4594.97,1715000,4441.27,343,23.4586,44.4363,-4441.298828125
344,4524.47,1720000,4315.69,344,21.3363,44.2796,-4457.33251953125
345,4539.51,1725000,4532.96,345,22.0584,43.7403,-4427.822265625
346,4594.58,1730000,4582.67,346,20.8302,43.8698,-4481.330078125
347,4532.93,1735000,4545.85,347,22.0308,44.0992,-4625.76123046875
348,4649.23,1740000,4403.01,348,23.4554,44.4148,-4632.775390625
349,4582.83,1745000,4507.11,349,20.7538,43.5743,-4495.34326171875
350,4609.52,1750000,4523.59,350,23.3221,43.9743,-4599.1337890625
351,4577.56,1755000,4438.68,351,22.2589,43.9755,-4582.8896484375
352,4542.25,1760000,4178.05,352,21.9317,43.9208,-4638.85693359375
353,4513.5,1765000,4505.11,353,21.9693,43.5587,-4667.91357421875
354,4521.19,1770000,4518.16,354,20.9745,43.5468,-4631.154296875
355,4346.84,1775000,4531.85,355,21.7399,43.6831,-4700.7060546875
356,4372.12,1780000,4485.23,356,20.6083,43.802,-4903.62939453125
357,4534.39,1785000,4527.04,357,22.2091,43.929,-4872.79052734375
358,4535.52,1790000,4513.47,358,22.0305,43.8562,-4847.08447265625
359,4380.01,1795000,4461.19,359,20.6143,43.6727,-4887.88720703125
360,4039.13,1800000,4146.22,360,21.5926,44.2748,-5062.65234375
361,4213.47,1805000,4404.83,361,21.4586,44.1445,-4990.52880859375
362,4012.52,1810000,3781.38,362,21.4708,44.7055,-5051.93408203125
363,3875.0,1815000,4255.89,363,21.7756,43.9848,-5039.27587890625
364,3647.34,1820000,4306.32,364,21.4764,43.9417,-5052.439453125
365,4346.25,1825000,4356.13,365,21.125,43.9071,-5017.64599609375
366,4258.5,1830000,4300.4,366,21.4603,43.6811,-5057.4580078125
367,4204.52,1835000,4075.02,367,22.7589,44.6521,-5174.39697265625
368,4203.46,1840000,4194.14,368,22.1493,44.1525,-5126.90087890625
369,4073.98,1845000,4127.19,369,21.8941,44.5264,-5204.56689453125
370,3152.49,1850000,3932.26,370,20.0097,43.9804,-5152.11572265625
371,4370.0,1855000,4494.63,371,19.5101,43.9819,-5230.1884765625
372,3386.59,1860000,4477.52,372,20.9105,43.7798,-5201.21728515625
373,4126.56,1865000,4135.18,373,22.0442,44.0833,-5223.4052734375
374,2817.58,1870000,4116.8,374,21.4863,44.0112,-5263.08349609375
375,4694.16,1875000,4633.82,375,23.1215,44.0179,-5173.4609375
376,4737.39,1880000,4519.0,376,23.2355,44.0534,-5237.501953125
377,4556.7,1885000,4316.56,377,22.6347,43.8985,-5198.07861328125
378,4417.87,1890000,4428.86,378,26.3999,44.3267,-5238.966796875
379,4524.33,1895000,3904.89,379,23.9411,44.1511,-5313.4560546875
380,4719.6,1900000,3805.19,380,26.1673,44.4398,-5286.31982421875
381,4298.47,1905000,4290.53,381,25.8355,43.7475,-5388.943359375
382,4519.44,1910000,4638.92,382,25.1959,43.9042,-5475.12353515625
383,3992.28,1915000,4606.2,383,22.6866,43.3887,-5386.22265625
