Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Itration,Reward Loss,Running Forward KL,Running Update Time
1110000,5437.81,69.8164,5284.15,222,-5843.28857421875,74.7212,222
1115000,5814.29,79.9605,5105.4,223,-6355.52490234375,84.2496,223
1120000,5579.16,73.3039,4533.73,224,-6232.14599609375,77.2164,224
1125000,4988.83,81.5008,4378.18,225,-6488.7041015625,84.3365,225
1130000,5342.09,72.9299,4688.97,226,-6356.31005859375,77.2652,226
1135000,5934.15,80.782,5348.41,227,-6626.40380859375,83.2422,227
1140000,5228.59,78.8279,5315.56,228,-6629.921875,80.0453,228
1145000,5356.27,80.4553,4747.23,229,-6771.95361328125,83.1905,229
1150000,5815.18,72.5098,5196.96,230,-6560.64111328125,76.0535,230
1155000,5448.98,83.0871,5285.29,231,-6983.86328125,83.802,231
1160000,5312.49,86.9115,4585.77,232,-7054.82421875,84.9749,232
1165000,5144.05,76.9528,5019.75,233,-7104.77490234375,83.4362,233
1170000,5818.33,78.0087,5240.68,234,-7159.55810546875,82.4541,234
1175000,5520.68,80.2789,5449.34,235,-7189.62939453125,81.9424,235
1180000,5795.44,85.7928,5222.2,236,-7361.63134765625,83.9965,236
1185000,4809.12,71.2535,4143.74,237,-6944.2998046875,74.5737,237
1190000,5010.51,74.8947,3298.24,238,-7173.77197265625,76.3337,238
1195000,5565.62,83.9455,4625.07,239,-7628.99853515625,84.0069,239
1200000,5624.67,82.6771,5078.34,240,-7628.04296875,82.1692,240
1205000,5858.32,74.0092,5389.34,241,-7340.90673828125,74.8382,241
1210000,6002.77,82.9249,5401.95,242,-7858.1533203125,84.5951,242
1215000,5690.97,81.5108,5602.53,243,-7888.20654296875,81.8504,243
1220000,5925.24,75.4344,5264.51,244,-7533.7705078125,76.9661,244
1225000,5575.85,82.6333,5402.23,245,-8031.7021484375,83.3063,245
1230000,5504.33,81.9412,5078.55,246,-8001.9091796875,80.4489,246
1235000,5951.73,82.2757,5037.48,247,-8241.765625,84.5698,247
1240000,5579.24,76.8453,5228.15,248,-7798.984375,76.1578,248
1245000,5519.09,83.5782,5077.55,249,-8349.392578125,83.2078,249
1250000,5458.13,67.8699,5290.28,250,-7720.7490234375,73.9595,250
1255000,6004.24,80.4612,5557.96,251,-8453.6708984375,82.022,251
1260000,5690.94,83.7493,5638.67,252,-8533.173828125,82.0044,252
1265000,5774.55,81.7831,5242.29,253,-8531.654296875,81.9732,253
1270000,5560.62,76.0994,4614.32,254,-8385.962890625,78.1362,254
1275000,5235.72,72.2402,4880.82,255,-8281.166015625,75.5479,255
1280000,5512.5,84.66,4452.25,256,-8671.2587890625,83.9252,256
1285000,5246.61,74.4386,5073.77,257,-8397.103515625,75.9282,257
1290000,5636.47,80.0367,4500.98,258,-8660.1767578125,81.3954,258
1295000,5327.59,75.259,5439.25,259,-8653.1865234375,76.4009,259
1300000,5191.64,80.8303,4830.09,260,-8871.4267578125,83.4502,260
1305000,5722.48,78.2524,5383.4,261,-8928.8701171875,82.4219,261
1310000,5742.39,69.4189,5293.59,262,-8590.48828125,73.5319,262
1315000,5331.47,80.0369,4265.8,263,-9164.04296875,83.1957,263
1320000,5483.75,78.4253,5034.52,264,-9125.0166015625,83.4056,264
1325000,5974.76,85.5569,5263.53,265,-9291.865234375,85.4635,265
1330000,6009.96,80.0336,5437.24,266,-9277.7158203125,81.7169,266
1335000,5542.82,82.4544,5692.41,267,-9451.6533203125,84.1005,267
1340000,5708.41,82.447,4927.39,268,-9512.3330078125,83.3292,268
1345000,5934.35,79.6892,4946.0,269,-9608.1591796875,84.3417,269
1350000,5223.82,71.3542,5374.53,270,-9106.0185546875,73.6977,270
1355000,5952.56,74.0474,5485.03,271,-9064.5869140625,75.9565,271
1360000,5828.95,78.7578,4625.36,272,-9485.6513671875,77.9764,272
1365000,5672.74,82.5468,5594.44,273,-9776.3037109375,81.9243,273
1370000,6083.25,82.4553,5420.55,274,-9838.123046875,83.8231,274
1375000,5397.52,81.7475,5445.2,275,-9824.8828125,83.7975,275
1380000,5909.96,77.4949,5008.46,276,-9829.009765625,79.4598,276
1385000,5490.22,81.1607,5055.12,277,-9948.4580078125,81.8438,277
1390000,5885.63,71.4349,4991.4,278,-9247.296875,73.7016,278
1395000,5487.1,68.8674,5511.75,279,-9377.8818359375,73.5747,279
1400000,5705.93,75.3035,5170.96,280,-10062.7890625,81.0282,280
1405000,5254.85,69.5443,4240.21,281,-9474.0146484375,73.8508,281
1410000,5448.14,80.5152,5337.43,282,-10158.943359375,81.4953,282
1415000,5341.62,81.4123,5374.56,283,-10255.451171875,83.4732,283
1420000,6093.81,72.3589,5392.51,284,-9744.62109375,74.5959,284
1425000,5445.81,71.6601,5236.96,285,-9806.486328125,74.2474,285
1430000,4568.29,76.0881,3708.84,286,-9979.3876953125,75.564,286
1435000,5272.1,79.1789,4983.8,287,-10356.4912109375,81.8854,287
1440000,5174.68,82.5564,5357.78,288,-10391.279296875,83.3491,288
1445000,5003.39,82.4144,5124.27,289,-10417.755859375,83.0234,289
1450000,5538.74,65.5988,5615.01,290,-9390.224609375,73.0588,290
1455000,5841.14,82.4839,5208.04,291,-10718.9111328125,83.9419,291
1460000,5760.65,78.5291,4591.4,292,-10261.126953125,77.0966,292
1465000,5297.53,70.3928,5206.93,293,-10186.0087890625,74.7198,293
1470000,6201.19,82.598,5213.51,294,-10911.9248046875,84.8321,294
1475000,6105.59,75.9337,4279.38,295,-10765.787109375,84.1613,295
1480000,5684.59,76.7637,5389.03,296,-10896.4443359375,81.9949,296
1485000,5612.13,77.195,5244.89,297,-10864.953125,80.695,297
1490000,5646.01,75.6495,5315.39,298,-10862.37890625,78.7392,298
1495000,5830.21,77.204,5607.73,299,-11015.310546875,84.5816,299
1500000,5621.96,73.2332,5523.24,300,-10932.4130859375,77.3877,300
1505000,5869.13,76.9093,5516.86,301,-11105.7099609375,81.6695,301
1510000,5719.85,81.9419,5238.37,302,-11286.228515625,84.7177,302
1515000,5832.51,78.1846,5191.87,303,-11185.4814453125,84.1828,303
1520000,6012.37,81.4386,5182.59,304,-11330.29296875,85.3953,304
1525000,5872.82,80.6937,5531.11,305,-11477.02734375,83.7108,305
1530000,6058.05,83.8547,5272.05,306,-11445.3369140625,84.1941,306
1535000,5817.04,78.9987,5251.69,307,-11354.375,81.1897,307
1540000,6144.73,69.067,5388.3,308,-10502.6357421875,72.5375,308
1545000,5707.82,80.5008,4955.95,309,-11511.6748046875,83.4081,309
1550000,5691.43,82.7146,5147.44,310,-11519.7734375,82.8847,310
1555000,5525.43,79.1793,4567.88,311,-11497.5322265625,79.4407,311
1560000,6179.52,72.6875,5484.25,312,-10914.8427734375,74.7648,312
1565000,6181.44,75.9712,5054.97,313,-11542.408203125,81.3444,313
1570000,5675.56,70.139,5215.06,314,-11032.1201171875,74.3315,314
1575000,5535.11,78.3477,5525.75,315,-11635.853515625,80.0065,315
1580000,5813.04,78.6179,5655.44,316,-11694.0478515625,82.016,316
1585000,6009.27,77.5578,4678.05,317,-11676.6611328125,80.0853,317
1590000,5686.66,74.0169,5248.54,318,-11470.2158203125,76.9499,318
1595000,5636.04,75.2881,4871.35,319,-11460.9560546875,75.0842,319
1600000,5334.52,65.8545,4881.84,320,-10849.4189453125,74.0272,320
1605000,5972.53,70.3506,5420.28,321,-11479.5126953125,76.5266,321
1610000,5724.0,72.3364,5189.7,322,-11290.705078125,75.0151,322
1615000,5973.58,77.8101,4889.65,323,-11705.3505859375,77.9298,323
1620000,5098.07,80.6591,5067.87,324,-11942.3427734375,82.3791,324
1625000,5960.53,62.608,4880.44,325,-10670.990234375,71.0527,325
1630000,5567.62,78.8872,4722.38,326,-12007.33984375,83.5884,326
1635000,4956.88,74.1099,5478.35,327,-11518.36328125,75.4465,327
1640000,5425.85,79.9537,5189.86,328,-11751.96875,78.1718,328
1645000,5730.15,78.1414,5360.53,329,-12154.68359375,81.9898,329
1650000,5397.16,76.7607,5545.72,330,-11790.1640625,76.4955,330
1655000,5656.28,73.8974,5211.05,331,-11931.1181640625,76.302,331
1660000,5995.85,83.6646,4533.29,332,-12384.693359375,86.1387,332
1665000,5869.47,81.6211,4942.79,333,-12243.0380859375,83.6066,333
1670000,5796.82,82.8202,4996.67,334,-12369.0283203125,85.0265,334
1675000,5741.8,64.6379,5073.35,335,-10826.6640625,71.7335,335
1680000,5474.15,69.3709,4393.74,336,-10948.8515625,72.6206,336
1685000,6149.34,71.4705,4909.67,337,-11639.080078125,73.3616,337
1690000,5615.65,82.8861,4985.96,338,-12399.6923828125,80.1038,338
1695000,6103.22,67.4281,4753.5,339,-11042.9169921875,71.9649,339
1700000,6039.58,77.3284,4646.57,340,-12244.283203125,77.6376,340
1705000,5588.69,78.9614,5408.93,341,-12490.7021484375,82.5165,341
1710000,5779.49,69.7629,5254.13,342,-11773.919921875,73.9653,342
1715000,5311.41,70.647,5058.22,343,-11591.720703125,74.1801,343
1720000,6000.68,83.6337,5589.76,344,-12858.0498046875,83.9961,344
1725000,5597.4,83.6215,5566.98,345,-12711.34375,81.2843,345
1730000,5903.71,86.7344,5237.78,346,-12941.8818359375,84.329,346
1735000,6103.64,77.2188,5119.38,347,-11984.4345703125,74.3141,347
1740000,6030.06,83.71,4916.47,348,-12736.482421875,83.4075,348
1745000,5673.54,74.114,5229.76,349,-11946.9013671875,74.4225,349
1750000,5788.23,82.863,5731.78,350,-12881.9296875,84.6514,350
1755000,5773.96,84.0047,5059.78,351,-12911.0048828125,86.1451,351
1760000,5740.23,87.546,4791.95,352,-13125.314453125,86.9711,352
1765000,5976.61,86.9435,5557.61,353,-13051.9541015625,86.2043,353
1770000,5841.76,83.2622,5212.2,354,-13059.4140625,85.4748,354
1775000,5279.2,83.8647,5167.0,355,-13045.615234375,84.5264,355
1780000,5860.06,83.7335,5463.11,356,-13160.5546875,85.497,356
1785000,5956.31,83.7377,5445.64,357,-13174.962890625,84.3465,357
1790000,5574.41,77.0244,5383.31,358,-12592.33203125,77.0834,358
1795000,6019.76,83.9304,4997.93,359,-13196.767578125,83.2549,359
1800000,5821.99,84.419,5173.81,360,-13194.4248046875,84.5456,360
1805000,5898.74,84.101,4935.78,361,-13313.154296875,83.3629,361
1810000,5378.19,85.0864,5011.75,362,-13417.107421875,84.346,362
1815000,6052.11,80.3009,5181.97,363,-12944.0791015625,77.7684,363
1820000,5835.81,84.0493,5743.03,364,-13254.9306640625,83.7893,364
1825000,5712.95,85.2645,5297.86,365,-13391.716796875,83.723,365
1830000,5994.51,81.8827,5021.8,366,-13277.1845703125,80.8479,366
1835000,5497.96,89.1932,5256.78,367,-13485.03125,85.6204,367
1840000,6049.97,85.7546,5677.43,368,-13405.7431640625,84.164,368
1845000,5810.03,83.2782,5260.93,369,-13414.21875,83.0617,369
1850000,6112.82,86.7754,5593.65,370,-13595.4169921875,83.6883,370
1855000,5915.7,77.6479,5663.01,371,-12713.5732421875,75.5887,371
1860000,5843.28,85.8526,5740.13,372,-13506.51953125,84.2592,372
1865000,6028.58,70.1695,5647.94,373,-12483.5595703125,73.3874,373
