Running Forward KL,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Real Det Return
22.6759,245000,49,-1099.397705078125,15.0085,49,1887.07,3231.21
21.6576,250000,50,-1010.0114135742188,15.5184,50,3038.14,3188.08
20.9861,255000,51,-857.0115966796875,12.7164,51,3012.17,3251.74
20.6959,260000,52,-830.3595581054688,12.3675,52,3222.74,3195.09
20.3725,265000,53,-752.713623046875,13.1617,53,3235.36,3356.33
20.6646,270000,54,-848.898681640625,13.2827,54,3054.0,3331.05
20.1586,275000,55,-895.8004760742188,14.1515,55,2889.81,3319.76
20.8395,280000,56,-908.2849731445312,13.1008,56,3060.84,3238.61
20.6597,285000,57,-870.3560180664062,12.4204,57,3207.63,3229.28
19.6955,290000,58,-773.098388671875,13.0344,58,3195.44,3303.15
20.0238,295000,59,-891.2630615234375,12.9767,59,2956.88,3343.93
20.1258,300000,60,-762.4320678710938,13.306,60,3304.94,3378.95
19.8981,305000,61,-892.05126953125,12.3076,61,3224.28,3295.25
20.0115,310000,62,-984.765869140625,13.4625,62,2522.63,3341.84
20.4029,315000,63,-1059.0272216796875,13.0702,63,3084.35,3308.45
19.945,320000,64,-961.8674926757812,12.7158,64,3287.85,3304.72
20.6345,325000,65,-1075.042236328125,15.2669,65,3307.29,3349.55
19.7903,330000,66,-1000.6732788085938,13.9156,66,2859.52,3358.16
19.3247,335000,67,-930.2232055664062,12.3979,67,3177.37,3366.0
19.7374,340000,68,-988.0442504882812,12.9871,68,3142.19,3370.72
19.4178,345000,69,-1075.9581298828125,15.1147,69,3185.47,3497.25
20.1348,350000,70,-885.1655883789062,13.1278,70,3333.32,3327.85
18.7705,355000,71,-826.4676513671875,12.1422,71,3394.06,3360.34
19.6821,360000,72,-1017.0802612304688,12.6017,72,3222.83,3243.55
18.3393,365000,73,-884.1729736328125,11.8402,73,3263.06,3389.48
19.4814,370000,74,-988.7432861328125,12.6939,74,3386.47,3374.87
18.2032,375000,75,-961.59814453125,11.633,75,3179.01,3360.95
18.4786,380000,76,-913.5706176757812,11.7451,76,3181.47,3326.52
18.5755,385000,77,-962.3248901367188,11.9646,77,3331.14,3319.86
18.9171,390000,78,-1126.287353515625,11.6757,78,3010.14,3360.33
18.9245,395000,79,-941.111572265625,12.0962,79,3085.41,3362.24
18.0824,400000,80,-1041.0303955078125,11.45,80,3267.1,3429.33
18.8203,405000,81,-1002.869384765625,12.4598,81,3450.19,3420.99
18.7142,410000,82,-1137.565185546875,12.6624,82,3392.28,3383.96
18.7774,415000,83,-1143.593994140625,11.7134,83,3378.25,3321.98
18.9451,420000,84,-1111.2393798828125,12.5351,84,3398.59,3373.58
18.8371,425000,85,-1179.99951171875,14.8745,85,3364.51,3433.98
19.03,430000,86,-1131.2691650390625,12.8402,86,3408.78,3412.58
18.5935,435000,87,-918.3912353515625,12.2206,87,3431.69,3391.57
18.7802,440000,88,-1098.1292724609375,11.5776,88,3162.07,3418.57
19.4746,445000,89,-1161.3831787109375,13.1515,89,3330.63,3439.05
18.6303,450000,90,-1084.1077880859375,12.3606,90,3270.82,3407.32
18.4163,455000,91,-1003.9840087890625,11.9732,91,3405.83,3358.61
18.9833,460000,92,-1260.6903076171875,12.0031,92,3117.67,3428.88
18.4065,465000,93,-1235.5860595703125,13.2456,93,3347.17,3438.11
18.8444,470000,94,-1283.8812255859375,14.2219,94,3339.44,3416.47
18.1125,475000,95,-1250.8277587890625,13.447,95,3234.98,3439.81
18.3625,480000,96,-1067.825439453125,12.7247,96,3405.51,3440.63
18.5167,485000,97,-1319.852294921875,18.6267,97,3406.34,3410.68
18.0417,490000,98,-1153.5552978515625,12.0311,98,3353.97,3407.84
18.1318,495000,99,-1203.2515869140625,12.2041,99,3374.62,3452.24
17.6385,500000,100,-1172.9404296875,12.0671,100,3415.64,3405.27
18.3374,505000,101,-1355.0240478515625,12.6951,101,3443.24,3433.63
17.7333,510000,102,-1277.341064453125,12.1337,102,3362.78,3420.39
17.9436,515000,103,-1225.204833984375,12.3443,103,3445.32,3451.51
18.0403,520000,104,-1304.980712890625,12.4806,104,3458.71,3456.99
17.9249,525000,105,-1221.85400390625,12.2519,105,3431.81,3431.78
18.2413,530000,106,-1346.293212890625,12.8012,106,3260.4,3491.16
18.1901,535000,107,-1406.586669921875,12.6315,107,3372.84,3426.52
18.045,540000,108,-1206.0439453125,12.5029,108,3485.38,3488.27
18.3029,545000,109,-1353.8206787109375,12.3584,109,3398.09,3389.12
17.7049,550000,110,-1249.4237060546875,12.2154,110,3437.37,3429.91
17.5302,555000,111,-1449.2830810546875,12.0264,111,3431.54,3453.22
18.5258,560000,112,-1146.229248046875,14.7798,112,2985.42,3438.46
18.135,565000,113,-1558.2938232421875,12.8621,113,3306.72,3422.32
18.6475,570000,114,-1532.05029296875,12.7872,114,3385.72,3357.17
17.6016,575000,115,-1273.7879638671875,12.1529,115,3475.88,3448.76
18.2711,580000,116,-1409.7110595703125,12.9381,116,3465.18,3488.68
18.2948,585000,117,-1357.061279296875,12.2882,117,3451.07,3473.84
18.1516,590000,118,-1544.2137451171875,12.5229,118,3470.72,3489.79
18.0006,595000,119,-1282.43017578125,12.7262,119,3436.09,3424.33
17.5742,600000,120,-1486.427001953125,11.8869,120,3439.59,3460.95
18.11,605000,121,-1410.9644775390625,12.7084,121,3452.64,3475.64
17.7762,610000,122,-1566.00732421875,12.2482,122,3485.63,3506.92
17.284,615000,123,-1321.300537109375,11.8715,123,3355.66,3488.82
17.6501,620000,124,-1664.9384765625,12.1186,124,3429.15,3461.57
17.6489,625000,125,-1493.521484375,12.0167,125,3432.87,3490.72
18.2678,630000,126,-1586.2806396484375,12.5585,126,3503.41,3536.29
17.8804,635000,127,-1584.26904296875,12.6701,127,3476.03,3492.12
17.7321,640000,128,-1482.524169921875,11.8131,128,3259.23,3462.18
17.3147,645000,129,-1550.9024658203125,12.0737,129,3472.1,3499.0
17.8802,650000,130,-1648.269775390625,11.8717,130,3358.33,3514.05
18.1464,655000,131,-1622.2386474609375,12.7439,131,3485.58,3506.17
18.4048,660000,132,-1683.9051513671875,17.2484,132,2924.45,3523.03
18.3909,665000,133,-1739.6600341796875,13.056,133,3476.42,3543.36
18.089,670000,134,-1474.8994140625,12.1271,134,3483.95,3497.97
18.2637,675000,135,-1719.6961669921875,13.0332,135,3377.7,3529.52
17.8466,680000,136,-1605.521484375,12.4767,136,3389.74,3530.67
17.9401,685000,137,-1649.358154296875,12.5138,137,3415.64,3548.69
17.7069,690000,138,-1827.9595947265625,13.7027,138,2918.61,3504.71
18.7,695000,139,-1770.207275390625,13.1245,139,3514.08,3533.5
17.9604,700000,140,-1722.987548828125,12.3699,140,3326.07,3517.09
17.8183,705000,141,-1866.327880859375,13.4776,141,3481.61,3501.83
17.6047,710000,142,-1748.603759765625,12.083,142,3476.95,3532.02
18.0492,715000,143,-1823.04736328125,11.9607,143,3332.29,3493.5
17.7924,720000,144,-1910.7142333984375,12.0371,144,3486.22,3506.97
17.8881,725000,145,-1946.8819580078125,12.201,145,3382.88,3526.88
18.2652,730000,146,-2131.432861328125,12.4056,146,3462.38,3519.56
18.0339,735000,147,-1984.380859375,12.4566,147,3479.24,3521.11
18.1421,740000,148,-2046.781494140625,12.6961,148,3460.35,3507.35
18.1524,745000,149,-1852.5137939453125,12.3108,149,3515.48,3562.82
18.4854,750000,150,-1921.853515625,12.3101,150,3364.29,3564.01
18.2013,755000,151,-2100.276611328125,16.3548,151,3450.59,3593.14
18.8057,760000,152,-2006.012939453125,13.2267,152,3239.21,3555.55
17.6353,765000,153,-1844.0821533203125,12.2542,153,3417.54,3562.49
17.3708,770000,154,-1746.1812744140625,11.8893,154,3526.49,3559.38
17.7084,775000,155,-1872.886962890625,12.4008,155,3463.16,3503.89
17.3526,780000,156,-1966.2176513671875,14.0038,156,3469.72,3549.78
17.9939,785000,157,-2192.468505859375,12.6048,157,3408.22,3500.14
17.7641,790000,158,-2180.05712890625,12.2864,158,3352.2,3520.43
18.5458,795000,159,-2130.6396484375,12.1981,159,2993.2,3606.61
17.4907,800000,160,-2272.798828125,12.438,160,3495.25,3557.83
19.3774,805000,161,-2086.339111328125,13.8364,161,3495.83,3527.52
17.8384,810000,162,-2236.487548828125,12.8466,162,3273.86,3530.32
18.2679,815000,163,-2108.327392578125,20.4166,163,3473.44,3578.17
18.3087,820000,164,-2302.857421875,12.2568,164,3498.63,3523.96
18.1606,825000,165,-2214.493896484375,12.1225,165,3353.13,3507.78
18.1269,830000,166,-2319.93310546875,12.8036,166,3444.92,3571.54
17.8878,835000,167,-2421.114501953125,19.0469,167,3058.68,3563.39
18.6692,840000,168,-2192.37255859375,13.6026,168,3483.34,3532.55
18.6555,845000,169,-2336.063232421875,12.4094,169,3290.82,3549.81
18.4086,850000,170,-2465.542724609375,12.9634,170,3490.39,3530.09
18.2316,855000,171,-2363.279296875,12.448,171,3400.43,3489.22
17.691,860000,172,-2174.953857421875,12.2366,172,3479.01,3521.13
18.6295,865000,173,-2545.275146484375,12.9295,173,3498.32,3527.65
18.7951,870000,174,-2555.519775390625,13.0806,174,3301.87,3490.46
18.8653,875000,175,-2416.11669921875,12.8368,175,3478.07,3531.14
18.3003,880000,176,-2349.77001953125,13.0463,176,3499.35,3541.69
18.7623,885000,177,-2668.112548828125,13.3385,177,3525.52,3568.64
18.184,890000,178,-2298.89990234375,12.2829,178,3502.53,3543.74
17.7374,895000,179,-2293.793212890625,11.7693,179,3463.87,3554.66
18.6023,900000,180,-2427.81298828125,13.1034,180,3434.28,3520.14
18.0987,905000,181,-2678.603759765625,12.4612,181,3497.27,3533.77
17.7174,910000,182,-2516.52880859375,12.4813,182,3419.94,3557.21
18.5431,915000,183,-2570.339599609375,13.2574,183,3488.92,3524.43
18.1438,920000,184,-2686.1376953125,11.7717,184,3518.22,3554.6
18.358,925000,185,-2643.492919921875,12.942,185,3408.82,3498.38
18.5322,930000,186,-2747.74169921875,12.8644,186,3283.34,3538.5
18.6879,935000,187,-2616.4384765625,13.3925,187,3458.5,3517.05
18.2684,940000,188,-2904.9619140625,12.8944,188,3385.92,3538.59
17.8704,945000,189,-2617.206787109375,12.7737,189,3477.79,3565.54
18.2606,950000,190,-2713.49560546875,12.5517,190,2662.35,3535.72
17.8058,955000,191,-2681.5732421875,12.366,191,3493.9,3510.79
18.8554,960000,192,-2929.52099609375,12.9128,192,2422.64,3492.05
18.7639,965000,193,-2911.3857421875,13.0214,193,3360.21,3506.82
18.466,970000,194,-3083.407958984375,12.7665,194,3507.09,3543.18
17.4351,975000,195,-2699.896240234375,12.1853,195,3403.95,3535.52
17.608,980000,196,-2761.106689453125,12.4953,196,3499.76,3550.85
17.9183,985000,197,-2972.183837890625,12.3254,197,3521.31,3554.0
16.8686,990000,198,-2740.050048828125,11.7321,198,3381.49,3562.17
17.0511,995000,199,-2710.59375,11.7805,199,3472.64,3515.44
