Running Forward KL,Running Update Time,Running Reverse KL,Itration,Real Det Return,Reward Loss,Real Sto Return,Running Env Steps
18.8367,166,11.816,166,3422.4,-709.523193359375,3419.44,830000
19.3741,167,11.7258,167,3475.5,-693.2988891601562,3166.03,835000
18.8376,168,12.0486,168,3465.3,-708.522216796875,3441.41,840000
18.844,169,12.3965,169,3440.17,-725.89501953125,3305.02,845000
18.9178,170,12.16,170,3399.11,-730.9121704101562,3409.4,850000
19.1992,171,12.3169,171,3415.13,-792.8536376953125,3410.99,855000
18.5115,172,12.1496,172,3432.56,-693.4193115234375,3431.97,860000
18.7741,173,11.7481,173,3432.89,-832.1613159179688,3348.95,865000
18.3664,174,11.6329,174,3416.57,-740.3019409179688,3409.78,870000
19.114,175,12.1992,175,3446.77,-759.0783081054688,3431.35,875000
18.0431,176,11.6022,176,3452.07,-664.6614379882812,3347.06,880000
18.7181,177,11.6806,177,3436.77,-768.4857788085938,3412.26,885000
18.265,178,11.8351,178,3422.77,-740.1202392578125,3412.68,890000
18.8823,179,11.4209,179,3445.86,-757.3267822265625,3183.85,895000
18.7609,180,12.2683,180,3424.05,-753.7822265625,3416.69,900000
18.5383,181,10.9404,181,3426.58,-831.0401000976562,3422.8,905000
18.3864,182,11.6235,182,3430.24,-751.4498291015625,3422.52,910000
18.7524,183,11.9852,183,3438.8,-808.7281494140625,3387.74,915000
18.9536,184,12.3532,184,3466.59,-873.4979248046875,3449.81,920000
18.8886,185,11.9788,185,3424.69,-849.7966918945312,3419.65,925000
18.685,186,11.2365,186,3435.76,-893.32861328125,3337.66,930000
18.5421,187,12.7054,187,3477.84,-805.1047973632812,3129.63,935000
18.7402,188,12.2491,188,3492.96,-795.76416015625,3154.5,940000
18.4032,189,11.4637,189,3445.36,-810.8095703125,3349.75,945000
17.9242,190,11.7656,190,3444.94,-672.0845336914062,3441.9,950000
18.5668,191,11.6019,191,3441.84,-812.6345825195312,3416.29,955000
18.2521,192,11.8002,192,3434.96,-835.3765258789062,3437.6,960000
18.4114,193,11.1323,193,3429.59,-926.1592407226562,3410.75,965000
18.4849,194,11.24,194,3439.5,-889.434326171875,3391.73,970000
18.9555,195,13.3895,195,3446.87,-952.0528564453125,3439.76,975000
18.5233,196,14.3893,196,3460.01,-909.319091796875,3424.24,980000
18.2851,197,12.0127,197,3467.97,-817.6409912109375,3333.79,985000
18.2677,198,11.5696,198,3439.14,-844.4691772460938,3352.9,990000
18.3226,199,11.6767,199,3457.75,-820.2615966796875,3438.4,995000
