Real Det Return,Running Update Time,Real Sto Return,Itration,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL
2468.48,39,1765.58,39,195000,20.8746,-209.358154296875,24.7412
2997.81,40,2240.57,40,200000,14.9816,-142.59886169433594,23.1362
1619.45,41,1728.42,41,205000,30.2498,-195.77835083007812,23.6931
1368.59,42,2427.12,42,210000,23.5856,-122.43510437011719,21.7773
1167.47,43,1604.91,43,215000,19.6792,-264.9647216796875,25.4711
3005.32,44,2327.7,44,220000,15.1382,-157.02024841308594,23.8115
3164.8,45,2904.65,45,225000,13.9565,-100.63050842285156,22.2647
1126.41,46,983.88,46,230000,18.6807,-220.64369201660156,24.659
542.09,47,1053.07,47,235000,25.9612,-307.033203125,25.5806
969.15,48,924.23,48,240000,35.2092,-294.364501953125,25.3767
2911.01,49,1370.66,49,245000,23.9585,-322.36798095703125,25.2298
3138.55,50,2440.66,50,250000,14.3791,-153.96875,23.3217
3102.88,51,3096.41,51,255000,12.7045,-102.84730529785156,21.5196
3174.01,52,3143.69,52,260000,13.5764,-95.17882537841797,21.5826
3178.64,53,2757.64,53,265000,14.7738,-169.1578369140625,22.7886
3279.34,54,2373.03,54,270000,16.6366,-184.92263793945312,22.6226
3278.64,55,2244.51,55,275000,13.9458,-178.51318359375,21.7357
3158.09,56,3128.68,56,280000,15.2627,-111.09788513183594,22.6535
3277.89,57,3247.83,57,285000,13.4294,-108.5458984375,20.8097
3241.75,58,3224.98,58,290000,13.0291,-85.87831115722656,20.4666
3326.23,59,2239.72,59,295000,15.544,-205.66848754882812,21.0375
3340.12,60,3205.79,60,300000,14.3338,-88.6353530883789,20.8297
3311.24,61,3298.86,61,305000,14.6576,-71.92039489746094,20.9591
2366.39,62,1527.19,62,310000,14.7769,-282.96392822265625,21.561
3255.19,63,2854.35,63,315000,13.0432,-158.32034301757812,21.0121
3309.6,64,2974.53,64,320000,13.1658,-147.72259521484375,20.1637
3244.64,65,3248.83,65,325000,16.3177,-99.33293151855469,23.0894
3258.93,66,3258.01,66,330000,13.8957,-123.63418579101562,20.8649
3321.45,67,1659.72,67,335000,12.3367,-215.81582641601562,20.727
3199.33,68,3190.51,68,340000,14.2999,-125.59207916259766,20.6353
3274.43,69,3276.34,69,345000,15.2561,-127.74884796142578,21.7583
3244.57,70,3019.34,70,350000,15.4047,-149.11801147460938,22.6152
3230.74,71,2825.07,71,355000,14.7451,-149.19265747070312,22.2251
3307.33,72,3067.8,72,360000,13.4813,-136.5946807861328,20.5758
3339.83,73,2988.38,73,365000,13.7893,-118.6993408203125,21.312
3295.16,74,2876.3,74,370000,15.7842,-247.48199462890625,22.7508
3334.6,75,3097.56,75,375000,13.5376,-134.29991149902344,20.7313
3323.06,76,3303.48,76,380000,13.5704,-145.0747833251953,21.6308
3265.42,77,2133.81,77,385000,13.9643,-200.60389709472656,22.6114
3325.23,78,2801.26,78,390000,14.3948,-140.67822265625,21.2164
3284.76,79,2981.75,79,395000,13.9334,-161.1841278076172,21.9331
3276.18,80,2759.63,80,400000,13.5312,-224.04995727539062,22.3108
3324.47,81,1619.33,81,405000,17.955,-290.8547668457031,22.6393
3322.84,82,1299.53,82,410000,20.837,-407.0250244140625,25.2786
3308.72,83,3202.49,83,415000,18.8705,-172.67843627929688,21.5659
3220.7,84,2912.39,84,420000,13.2419,-201.38221740722656,20.5905
3321.41,85,2621.01,85,425000,14.7762,-232.6543426513672,21.9163
3244.26,86,2430.57,86,430000,14.311,-213.1903533935547,22.4298
3289.43,87,1662.16,87,435000,15.5449,-296.73016357421875,22.7636
1861.38,88,1342.59,88,440000,15.0321,-333.05474853515625,22.3102
3340.93,89,1773.25,89,445000,14.7512,-348.5561218261719,23.5214
3366.5,90,2502.45,90,450000,13.2393,-145.4369659423828,20.5517
3257.55,91,3120.65,91,455000,14.4038,-184.15310668945312,22.6306
3249.87,92,2955.05,92,460000,12.7877,-156.72608947753906,20.1835
3355.68,93,2528.01,93,465000,14.2021,-252.32791137695312,20.3589
3248.79,94,2798.15,94,470000,14.4735,-223.51527404785156,21.6894
3259.26,95,2869.05,95,475000,18.1742,-243.4003143310547,20.4616
3304.49,96,2554.63,96,480000,20.1261,-225.8333282470703,19.7399
3341.81,97,2871.16,97,485000,13.4459,-173.60787963867188,20.8251
3376.08,98,2051.39,98,490000,14.083,-288.6826171875,21.2056
3371.5,99,3347.78,99,495000,12.1622,-160.4967041015625,19.4353
3382.47,100,3275.88,100,500000,12.6919,-213.7900848388672,19.9677
3292.44,101,3017.66,101,505000,13.4896,-194.5645751953125,21.1011
3324.78,102,3303.55,102,510000,13.3053,-140.46630859375,19.9341
3244.13,103,3065.52,103,515000,13.3746,-220.13229370117188,20.2514
3316.25,104,2985.04,104,520000,13.0939,-184.6140594482422,20.7131
3272.51,105,3249.33,105,525000,13.1239,-203.16793823242188,20.3099
3356.76,106,3247.56,106,530000,13.4678,-171.81112670898438,21.0904
3291.37,107,3267.18,107,535000,14.0217,-197.2536163330078,21.0899
3362.3,108,2973.45,108,540000,14.51,-224.35610961914062,21.4712
3375.51,109,3107.01,109,545000,12.8106,-188.09422302246094,20.1759
3351.69,110,3117.59,110,550000,12.1547,-196.21054077148438,18.8159
3367.37,111,2222.12,111,555000,16.4012,-277.8877868652344,22.5711
3358.19,112,3113.07,112,560000,12.573,-198.59219360351562,20.4398
3359.88,113,2404.21,113,565000,11.6605,-218.6519775390625,21.3281
3322.19,114,3331.0,114,570000,13.3482,-170.3278350830078,19.2418
3353.13,115,3223.87,115,575000,12.9679,-188.503173828125,19.9893
3361.2,116,3223.48,116,580000,13.0179,-175.67852783203125,19.0249
3362.82,117,3138.96,117,585000,12.1079,-148.0386199951172,20.0859
3345.83,118,2421.31,118,590000,13.9416,-236.2483367919922,21.3126
3367.46,119,3166.06,119,595000,14.2964,-208.61521911621094,19.9101
3380.49,120,3349.85,120,600000,13.1041,-183.8260955810547,19.9156
3367.23,121,3336.31,121,605000,12.3563,-176.86878967285156,19.4983
3291.58,122,3338.4,122,610000,11.6953,-182.47979736328125,18.7061
3401.41,123,3218.04,123,615000,12.5659,-159.0118408203125,18.9237
3290.72,124,3301.3,124,620000,14.2926,-212.7549591064453,20.8763
3388.6,125,3271.35,125,625000,13.4972,-216.72305297851562,20.6904
3331.3,126,3099.84,126,630000,12.5512,-221.97314453125,19.7907
3370.5,127,3233.81,127,635000,12.3758,-213.0486297607422,19.1083
3355.51,128,3197.79,128,640000,12.8729,-230.2224578857422,20.5825
3365.61,129,3317.8,129,645000,13.0906,-216.78221130371094,20.3336
3371.42,130,3230.2,130,650000,12.088,-219.5272216796875,19.0905
3385.04,131,3350.42,131,655000,12.8104,-199.20379638671875,19.0815
3381.18,132,3352.98,132,660000,12.5576,-228.57818603515625,18.4328
3406.65,133,3099.29,133,665000,11.8689,-192.57569885253906,18.3259
3404.9,134,3214.02,134,670000,11.9135,-222.54159545898438,20.7003
3386.06,135,3115.19,135,675000,11.7201,-194.57557678222656,18.1097
3395.72,136,3204.67,136,680000,12.1251,-222.77084350585938,18.1693
3399.5,137,3358.81,137,685000,12.5638,-227.33932495117188,19.2086
3380.09,138,3211.2,138,690000,11.8239,-224.16146850585938,19.173
3363.85,139,3334.44,139,695000,12.4483,-233.28131103515625,18.919
3357.52,140,3340.79,140,700000,11.686,-214.09666442871094,18.1988
3434.62,141,3200.65,141,705000,12.6357,-241.1975860595703,19.6777
3313.93,142,3277.86,142,710000,12.3407,-261.8293762207031,19.7392
3414.62,143,2939.84,143,715000,11.8498,-356.6017761230469,20.0435
3370.52,144,3302.83,144,720000,12.0226,-251.55055236816406,19.3958
3384.63,145,3164.6,145,725000,11.5484,-240.23020935058594,18.6722
3411.48,146,3367.97,146,730000,10.805,-238.53680419921875,17.7799
3368.11,147,3321.16,147,735000,11.9344,-255.4720001220703,19.1869
3443.83,148,3330.21,148,740000,12.1924,-195.72439575195312,18.8623
3408.26,149,3304.5,149,745000,10.8372,-235.03353881835938,18.1456
3446.35,150,2885.82,150,750000,13.4125,-239.3948211669922,17.828
3427.14,151,3365.12,151,755000,11.6204,-239.21116638183594,18.0777
3471.96,152,3426.36,152,760000,10.8432,-229.3798065185547,17.9693
3356.08,153,3249.38,153,765000,11.9983,-262.9607238769531,18.8518
3413.89,154,3107.3,154,770000,10.828,-227.13858032226562,17.0768
3435.77,155,3378.56,155,775000,11.8565,-221.63278198242188,18.2211
3382.29,156,3345.1,156,780000,11.68,-263.23480224609375,18.0219
3401.81,157,3357.23,157,785000,11.4302,-258.35760498046875,17.7633
3393.49,158,3356.09,158,790000,10.9463,-225.80519104003906,17.9075
3400.26,159,3104.52,159,795000,9.5656,-266.2005310058594,16.7739
3365.43,160,3317.32,160,800000,11.205,-277.9837951660156,18.2137
3431.16,161,3389.28,161,805000,11.0269,-223.37257385253906,17.358
3410.32,162,3375.19,162,810000,10.3637,-218.10421752929688,17.2038
3446.58,163,3416.8,163,815000,9.574,-224.08651733398438,16.2976
3331.01,164,3304.38,164,820000,10.9532,-260.9400939941406,17.915
3418.42,165,3291.2,165,825000,11.3929,-266.8555908203125,16.9824
3438.92,166,3077.11,166,830000,10.6137,-261.7335510253906,18.4581
3431.7,167,3400.22,167,835000,10.5715,-269.4147033691406,17.3109
3418.5,168,2893.16,168,840000,10.7823,-224.90867614746094,17.2347
3365.98,169,3319.41,169,845000,11.571,-246.34048461914062,18.3349
3385.96,170,2817.3,170,850000,11.248,-289.0322265625,17.4543
3358.87,171,3008.76,171,855000,12.0963,-301.29644775390625,18.9642
3446.49,172,3395.81,172,860000,10.6076,-233.3441925048828,16.9271
3459.1,173,3336.74,173,865000,11.3986,-252.7220916748047,18.0419
3411.96,174,3320.6,174,870000,12.3198,-290.34454345703125,18.6496
3382.27,175,2790.82,175,875000,13.054,-312.862060546875,19.4104
3445.62,176,3396.98,176,880000,10.4176,-239.18551635742188,16.2094
3407.84,177,3380.65,177,885000,11.3991,-270.2626647949219,17.3757
3428.4,178,3201.85,178,890000,11.5884,-284.47393798828125,18.2612
3420.33,179,3202.88,179,895000,10.5518,-257.93426513671875,16.9991
3426.32,180,3266.36,180,900000,11.7429,-266.0965576171875,17.9523
3427.12,181,3389.84,181,905000,11.1324,-286.9844055175781,17.7102
3373.57,182,3349.86,182,910000,11.5718,-303.5651550292969,18.1918
3364.94,183,3305.35,183,915000,10.7574,-315.9170227050781,17.4269
3399.22,184,3367.89,184,920000,11.634,-306.7923278808594,17.4084
3313.13,185,3259.88,185,925000,10.322,-286.5714416503906,17.0557
3474.94,186,2874.01,186,930000,8.8577,-209.30516052246094,15.5561
3398.05,187,3233.93,187,935000,11.0878,-307.9056701660156,17.5124
3388.53,188,3348.98,188,940000,10.9924,-324.98944091796875,17.3063
3451.27,189,3410.03,189,945000,11.3761,-234.0741729736328,17.4269
3428.31,190,3269.69,190,950000,10.4823,-278.544189453125,17.0425
3422.03,191,3382.43,191,955000,10.8572,-262.05377197265625,16.837
3454.83,192,3278.26,192,960000,11.3329,-269.6521301269531,17.7118
3493.04,193,3467.57,193,965000,11.2008,-183.55169677734375,17.3908
3427.7,194,3382.45,194,970000,10.5439,-259.4336853027344,16.3227
3421.64,195,3052.27,195,975000,10.8158,-293.9306945800781,17.2976
3419.12,196,3387.85,196,980000,11.2171,-270.1883239746094,17.0904
3425.75,197,3150.96,197,985000,10.7215,-313.3167724609375,17.6637
3451.85,198,2847.55,198,990000,10.4177,-308.1601867675781,17.4514
3423.59,199,3370.26,199,995000,11.0622,-323.45172119140625,17.1736
