Running Update Time,Running Env Steps,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Itration,Reward Loss
80,400000,23.1392,13.5948,3085.45,3233.99,80,-1009.3140869140625
81,405000,23.1621,13.8162,3181.69,3233.55,81,-1060.3333740234375
82,410000,22.7671,13.635,3069.82,3205.3,82,-937.6578369140625
83,415000,23.1525,13.5152,2809.94,3188.56,83,-1245.6221923828125
84,420000,23.5312,13.5189,3002.07,3164.17,84,-1130.6182861328125
85,425000,23.9417,13.5954,3168.98,3243.14,85,-1155.754150390625
86,430000,24.5666,15.4205,3230.73,3237.34,86,-1266.4876708984375
87,435000,23.3788,14.4024,3191.73,3216.43,87,-1109.7362060546875
88,440000,23.6123,14.1149,3191.37,3212.91,88,-1166.2764892578125
89,445000,22.1932,12.2901,3160.66,3209.89,89,-972.4334716796875
90,450000,23.9035,13.7917,2841.13,3176.08,90,-1321.7874755859375
91,455000,23.0146,13.7292,2908.63,3246.07,91,-1200.5413818359375
92,460000,24.0582,14.8547,3104.11,3205.94,92,-1317.308349609375
93,465000,23.644,14.3076,3092.98,3225.48,93,-1368.1834716796875
94,470000,23.8551,14.281,3231.43,3243.68,94,-1254.7791748046875
95,475000,24.0242,14.1341,3198.82,3228.11,95,-1220.346435546875
96,480000,23.1729,13.5148,3128.81,3229.04,96,-1271.035888671875
97,485000,24.738,15.5181,2956.99,3250.21,97,-1451.3807373046875
98,490000,23.5756,13.5379,3159.39,3224.24,98,-1360.528564453125
99,495000,23.4768,13.9396,3216.45,3241.88,99,-1566.9605712890625
100,500000,23.1236,12.7132,3178.78,3222.3,100,-1410.674072265625
101,505000,24.0063,13.9252,3078.5,3245.05,101,-1374.6522216796875
102,510000,23.4972,13.5285,3131.64,3196.55,102,-1550.2113037109375
103,515000,23.6335,14.201,3018.04,3243.99,103,-1550.8341064453125
104,520000,23.017,13.2454,2588.05,3234.51,104,-1470.2559814453125
105,525000,23.7093,14.6667,3228.38,3245.21,105,-1589.3245849609375
106,530000,22.2487,12.3036,3040.52,3218.53,106,-1585.2705078125
107,535000,24.0081,14.509,3196.51,3221.87,107,-1624.7073974609375
108,540000,23.2665,13.7107,3210.13,3226.09,108,-1550.8958740234375
109,545000,23.8684,14.441,3240.45,3257.19,109,-1725.01220703125
110,550000,22.9113,13.9578,3090.77,3232.23,110,-1575.944091796875
111,555000,23.417,14.7358,3160.21,3248.77,111,-1638.631103515625
112,560000,22.9666,13.1307,3199.06,3211.45,112,-1749.9119873046875
113,565000,22.5799,14.6119,2741.02,3239.28,113,-1748.698974609375
114,570000,23.272,13.7402,3212.6,3232.53,114,-1802.452392578125
115,575000,23.0112,13.6031,3132.4,3241.46,115,-1529.346923828125
116,580000,23.4814,14.2798,3118.38,3235.45,116,-1794.509765625
117,585000,23.6297,15.0099,3210.71,3253.15,117,-1724.1873779296875
118,590000,22.4107,12.4021,2651.85,3238.32,118,-1819.9759521484375
119,595000,22.4381,12.7603,3145.83,3202.24,119,-1777.9708251953125
120,600000,23.0991,13.5226,3181.24,3233.14,120,-1676.338623046875
121,605000,23.1416,13.9841,3233.82,3253.48,121,-1983.518310546875
122,610000,22.59,13.1864,3209.06,3250.53,122,-1737.8233642578125
123,615000,24.1858,14.8071,3159.87,3232.36,123,-1988.1597900390625
124,620000,23.3673,13.6419,3139.09,3239.31,124,-1896.00390625
125,625000,23.4113,15.0546,3244.22,3259.66,125,-2015.194091796875
126,630000,23.8865,14.7113,3191.8,3271.11,126,-2107.12109375
127,635000,23.6786,14.5506,3217.75,3242.27,127,-2145.2099609375
128,640000,23.5067,13.7547,3140.18,3243.52,128,-1986.0035400390625
129,645000,23.631,13.6913,3012.17,3271.86,129,-2046.005859375
130,650000,23.0559,14.0339,3210.86,3243.19,130,-2187.47607421875
131,655000,22.9766,13.3312,3078.5,3236.51,131,-2062.960205078125
132,660000,22.8882,13.3019,3232.71,3259.49,132,-1954.1402587890625
133,665000,22.6454,12.3966,3108.59,3230.27,133,-2075.885498046875
134,670000,23.2498,12.9874,3191.7,3212.01,134,-2244.147705078125
135,675000,23.1055,14.6973,3225.65,3259.9,135,-2420.13427734375
136,680000,23.0761,13.7504,3186.4,3278.67,136,-2203.52294921875
137,685000,22.6395,13.4867,3205.04,3240.89,137,-2299.613525390625
138,690000,22.8855,14.1799,3081.4,3266.6,138,-2248.385498046875
139,695000,23.3032,13.7928,3229.54,3245.54,139,-2336.81591796875
140,700000,23.636,14.4207,3237.45,3263.05,140,-2408.5009765625
141,705000,23.7816,14.429,3001.54,3285.43,141,-2671.25341796875
142,710000,22.3986,13.1551,3216.44,3240.47,142,-2203.914306640625
143,715000,23.439,13.773,3221.72,3238.49,143,-2386.90478515625
144,720000,23.691,14.7233,3222.67,3245.89,144,-2557.951416015625
145,725000,23.3593,13.4589,3126.17,3239.64,145,-2483.1376953125
146,730000,23.0246,13.2708,3208.65,3232.2,146,-2559.6279296875
147,735000,22.8158,13.2505,3132.4,3241.27,147,-2479.455810546875
148,740000,23.6856,14.8802,3221.66,3238.94,148,-2581.392333984375
149,745000,23.0855,14.0514,3119.23,3272.44,149,-2252.325439453125
150,750000,22.5313,13.3465,3226.92,3244.98,150,-2503.7080078125
151,755000,21.4303,11.4434,3138.78,3179.47,151,-2295.826171875
152,760000,22.6259,13.214,3139.14,3273.14,152,-2492.124267578125
153,765000,23.4724,13.8698,3229.3,3247.0,153,-2777.69384765625
154,770000,23.6476,14.9042,3243.2,3263.09,154,-2743.35986328125
155,775000,23.34,13.8215,3001.7,3254.75,155,-2882.74169921875
156,780000,19.8362,8.8857,2850.92,3127.21,156,-1641.6871337890625
157,785000,23.3953,14.3511,3255.38,3276.39,157,-2796.368896484375
158,790000,22.7751,13.9249,3254.07,3286.23,158,-2762.302978515625
159,795000,24.0128,14.5795,3230.34,3256.39,159,-3162.514892578125
160,800000,22.8629,13.0132,3193.74,3212.56,160,-2763.31103515625
161,805000,21.8107,11.8842,3249.49,3262.47,161,-2603.79052734375
162,810000,23.9756,13.8522,3244.8,3267.6,162,-2996.2421875
163,815000,23.0196,13.9203,3233.53,3266.19,163,-2648.021240234375
164,820000,22.7759,13.9832,3233.02,3265.11,164,-2892.718994140625
165,825000,22.6687,13.6538,3230.32,3243.91,165,-2778.44580078125
166,830000,22.7226,13.916,3232.42,3265.8,166,-3029.94189453125
167,835000,23.3666,14.3451,3246.19,3268.02,167,-3001.513916015625
168,840000,22.4047,13.6236,3264.89,3289.34,168,-2937.406494140625
169,845000,23.3361,14.1657,2694.99,3261.8,169,-3018.43115234375
170,850000,22.4689,12.3214,2465.01,3263.44,170,-2698.139404296875
171,855000,23.148,14.0253,3240.27,3258.98,171,-3151.787109375
172,860000,22.8325,13.3163,3227.51,3269.62,172,-3034.977783203125
173,865000,22.8956,13.233,3230.3,3253.31,173,-3140.506591796875
174,870000,23.5338,14.4307,3245.16,3268.53,174,-3192.274169921875
175,875000,22.0992,12.5844,3124.95,3270.55,175,-3151.462646484375
176,880000,22.8536,13.7165,3263.96,3291.55,176,-3287.331787109375
177,885000,22.4007,13.2868,3265.92,3304.59,177,-3042.50537109375
178,890000,22.4693,13.6382,2961.69,3233.54,178,-3093.809326171875
179,895000,23.0181,14.4268,3187.25,3290.56,179,-3017.438720703125
180,900000,23.0205,14.3702,3241.62,3260.49,180,-3439.808837890625
181,905000,22.5361,13.3536,3148.0,3272.46,181,-3486.217041015625
182,910000,23.2662,13.6686,3253.17,3281.51,182,-3344.937744140625
183,915000,22.5144,14.0144,3250.19,3276.47,183,-3446.86328125
184,920000,22.855,14.0941,3190.5,3284.96,184,-3503.067138671875
185,925000,23.4297,14.2546,2203.47,3277.38,185,-3058.14892578125
186,930000,22.3725,12.202,3202.13,3201.19,186,-3427.434326171875
187,935000,22.1546,12.3438,3064.77,3266.52,187,-3225.322265625
188,940000,23.5251,13.8818,3234.72,3294.97,188,-3541.528564453125
189,945000,24.1925,14.4422,3241.4,3287.69,189,-3751.352783203125
190,950000,23.2623,13.6557,3239.42,3285.64,190,-3444.093505859375
191,955000,23.3801,13.709,3247.46,3273.12,191,-3823.1962890625
192,960000,23.1752,14.4521,3081.69,3268.61,192,-3787.833740234375
193,965000,22.5553,13.5921,3200.98,3247.98,193,-3704.209716796875
194,970000,22.5037,12.8961,3182.23,3221.41,194,-3618.513916015625
195,975000,23.0169,13.4619,3226.82,3281.73,195,-3716.48388671875
196,980000,22.6673,13.6631,3242.19,3267.96,196,-3768.14697265625
197,985000,23.4703,14.4801,3255.78,3280.64,197,-4037.93701171875
198,990000,21.7982,11.8843,3063.6,3223.76,198,-3336.11181640625
199,995000,23.3426,14.0248,3239.56,3279.31,199,-3888.4306640625
