Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps,Itration,Real Det Return
33.0561,166,-1520.9600830078125,300.82,43.6047,830000,166,292.49
45.0828,167,-1380.2607421875,192.44,39.0037,835000,167,171.22
24.5236,168,-1342.005615234375,270.12,38.1088,840000,168,267.89
63.8521,169,-1506.291748046875,302.38,38.2896,845000,169,302.01
23.4383,170,-1057.849365234375,337.47,37.7834,850000,170,334.55
38.5199,171,-1568.309814453125,428.56,38.2841,855000,171,382.37
17.238,172,-418.0052185058594,1994.15,31.5293,860000,172,1688.83
49.3728,173,-1630.580078125,997.53,45.8534,865000,173,997.39
39.5846,174,-1612.1611328125,1005.48,45.0137,870000,174,1006.16
54.9139,175,-1654.0538330078125,989.1,44.5483,875000,175,989.15
53.6431,176,-1669.486083984375,996.47,44.7508,880000,176,997.52
19.2822,177,-815.6653442382812,1966.33,34.4135,885000,177,1928.17
28.5907,178,-1082.151123046875,142.93,36.516,890000,178,144.72
32.6928,179,-1604.5845947265625,64.58,39.6888,895000,179,64.39
47.886,180,-1686.765869140625,1006.97,44.2225,900000,180,1006.99
106.175,181,-1583.1505126953125,98.58,38.9609,905000,181,99.24
48.7629,182,-1718.4415283203125,1017.01,45.2757,910000,182,1017.33
107.0263,183,-1702.6632080078125,205.26,43.7609,915000,183,206.01
58.6016,184,-1787.99853515625,982.47,47.3684,920000,184,982.52
43.6299,185,-1767.8758544921875,1014.27,45.9749,925000,185,1012.5
88.922,186,-1654.50341796875,278.23,39.3766,930000,186,277.21
45.4562,187,-1708.9686279296875,435.03,39.6867,935000,187,991.62
28.3829,188,-1448.220947265625,79.42,35.6769,940000,188,79.73
50.217,189,-1635.8487548828125,38.61,38.3181,945000,189,38.3
35.2373,190,-1689.351806640625,324.99,38.7195,950000,190,324.91
28.0469,191,-1825.29150390625,1074.05,43.1839,955000,191,1079.93
38.0333,192,-1865.3165283203125,1058.96,43.7491,960000,192,1058.73
34.7929,193,-1923.457275390625,1022.53,45.525,965000,193,1024.79
39.1794,194,-1927.83984375,1011.08,43.8887,970000,194,1010.94
43.4188,195,-1880.5592041015625,1014.91,44.2472,975000,195,1014.39
43.4898,196,-1897.573974609375,1017.14,43.2408,980000,196,1017.21
42.2578,197,-1921.093017578125,1033.59,42.9571,985000,197,1032.22
34.1765,198,-1933.0206298828125,1021.43,42.8423,990000,198,1021.84
41.3989,199,-1958.81689453125,1023.0,43.7508,995000,199,1023.0
