Real Det Return,Running Reverse KL,Reward Loss,Running Update Time,Itration,Running Env Steps,Running Forward KL,Real Sto Return
2575.02,21.5555,-290.05999755859375,28,28,140000,22.8385,2428.75
1784.37,42.0834,-394.0793151855469,29,29,145000,24.6475,1377.65
2178.42,40.2233,-397.8754577636719,30,30,150000,23.3766,1444.23
2379.75,44.6215,-478.6934814453125,31,31,155000,24.5356,1528.52
1292.99,69.627,-551.6985473632812,32,32,160000,25.7614,1288.55
1332.01,63.8995,-592.1434326171875,33,33,165000,23.7535,1484.91
1538.63,38.1227,-437.329833984375,34,34,170000,25.2158,1426.87
1894.81,65.2459,-625.836669921875,35,35,175000,24.9881,1031.96
1461.41,28.1001,-527.1593017578125,36,36,180000,24.8324,1169.92
1223.36,46.1108,-663.9974975585938,37,37,185000,25.2399,1634.02
2373.44,90.255,-787.3849487304688,38,38,190000,25.7375,1397.83
1191.78,38.8593,-670.3751220703125,39,39,195000,25.1004,1220.33
1267.71,60.495,-763.149658203125,40,40,200000,24.4107,1222.31
3135.48,13.0102,-340.6858825683594,41,41,205000,23.1844,2836.74
1696.51,45.7424,-793.327392578125,42,42,210000,26.4194,507.12
3197.51,20.5306,-468.2141418457031,43,43,215000,24.0144,2771.72
3109.52,21.6123,-490.00592041015625,44,44,220000,22.6438,2557.71
2383.32,36.3799,-679.267333984375,45,45,225000,22.8992,1753.08
1117.92,17.4992,-498.7455749511719,46,46,230000,20.4571,1999.47
2298.68,28.9639,-769.9487915039062,47,47,235000,24.0886,1797.22
3284.17,16.4989,-534.546142578125,48,48,240000,23.2726,2390.31
3058.68,18.4167,-666.1806640625,49,49,245000,22.6008,2809.71
830.28,22.8775,-807.1117553710938,50,50,250000,24.1443,1175.75
10.96,10.9449,-373.35784912109375,51,51,255000,20.7846,1388.34
2180.82,13.2924,-687.3093872070312,52,52,260000,22.964,1957.8
1787.88,20.964,-820.8175048828125,53,53,265000,24.7064,1282.97
2609.25,11.7606,-514.47412109375,54,54,270000,22.8754,1303.74
2754.75,12.9795,-545.2713012695312,55,55,275000,21.7378,1508.16
339.41,28.047,-809.3853759765625,56,56,280000,23.2061,1101.19
1905.73,12.0758,-456.0149230957031,57,57,285000,20.3576,2436.01
1054.93,59.9289,-1290.9345703125,58,58,290000,25.7119,1482.78
1553.49,18.8939,-916.5243530273438,59,59,295000,24.0178,1116.0
3279.34,21.6871,-919.9019165039062,60,60,300000,23.3716,1288.77
3111.63,18.7448,-752.5607299804688,61,61,305000,21.988,1617.07
1181.71,18.2082,-902.4893798828125,62,62,310000,23.5676,1198.12
3331.08,18.954,-915.7381591796875,63,63,315000,23.6871,1381.89
1027.16,21.3501,-1073.4952392578125,64,64,320000,24.7088,799.39
1232.52,18.044,-1018.0277709960938,65,65,325000,24.0968,1208.43
1361.6,18.0172,-997.848388671875,66,66,330000,24.0533,1257.1
1184.73,37.2317,-1228.410888671875,67,67,335000,24.5564,928.67
1327.52,11.6348,-679.323974609375,68,68,340000,21.162,1302.19
652.7,12.2222,-423.1181945800781,69,69,345000,21.3935,592.67
3045.26,14.2754,-507.6026306152344,70,70,350000,21.0787,2555.57
3160.87,18.2896,-911.4268188476562,71,71,355000,22.3091,1560.68
3179.37,14.1664,-804.6646728515625,72,72,360000,22.1553,2219.13
3238.97,13.3355,-657.322509765625,73,73,365000,19.6505,2252.41
3257.62,22.6427,-938.411865234375,74,74,370000,21.4329,2175.26
3460.93,15.7045,-848.9483642578125,75,75,375000,21.5584,1545.67
865.17,15.8582,-840.3792724609375,76,76,380000,20.9527,1537.54
2628.82,26.1607,-1395.9229736328125,77,77,385000,23.4167,622.19
1559.85,28.0527,-1372.7174072265625,78,78,390000,23.3541,1253.82
1162.53,38.564,-1572.561767578125,79,79,395000,23.0234,1216.52
2846.17,43.4766,-1457.7806396484375,80,80,400000,22.6587,1485.5
2402.56,15.2221,-1299.607666015625,81,81,405000,22.1478,1386.89
1237.16,13.3904,-1224.7515869140625,82,82,410000,22.5819,1300.59
3134.75,44.2532,-1423.630859375,83,83,415000,22.0662,2087.6
3189.95,11.9331,-754.4691162109375,84,84,420000,21.2269,2329.45
2941.06,18.0889,-1253.5242919921875,85,85,425000,22.759,1597.45
2514.67,11.1383,-828.8248901367188,86,86,430000,21.5239,2143.44
79.05,19.5966,-1271.479736328125,87,87,435000,21.931,1307.28
2765.09,12.396,-977.8035278320312,88,88,440000,21.7159,1036.13
2280.91,17.5533,-1190.7877197265625,89,89,445000,20.6389,1686.9
1953.5,11.6505,-1121.744873046875,90,90,450000,22.3543,1329.63
1086.63,14.6719,-1536.8753662109375,91,91,455000,22.5238,1267.05
3222.17,13.5574,-949.4619750976562,92,92,460000,22.3118,2517.3
3116.78,37.5198,-1800.39990234375,93,93,465000,23.0271,1605.04
2690.56,12.2993,-827.6278686523438,94,94,470000,21.4018,2000.45
3181.59,13.2809,-1167.531005859375,95,95,475000,22.1547,1515.53
2369.63,19.4855,-1735.752685546875,96,96,480000,23.7501,1974.82
2211.99,31.5981,-1667.079345703125,97,97,485000,22.7195,1718.1
2797.17,17.5722,-1788.85205078125,98,98,490000,22.2766,1084.91
2453.17,18.5403,-1714.6422119140625,99,99,495000,22.7385,1113.78
2419.22,19.1327,-1418.86376953125,100,100,500000,21.4874,1973.23
1648.46,53.247,-2054.972412109375,101,101,505000,24.3112,1511.67
256.48,20.2624,-1659.081298828125,102,102,510000,22.722,920.92
1885.05,23.0997,-1850.304931640625,103,103,515000,23.2998,1203.42
1392.93,16.1756,-1769.2930908203125,104,104,520000,23.5221,1237.73
2591.9,17.8987,-1610.929443359375,105,105,525000,22.7615,1638.73
1805.88,49.0944,-2440.975830078125,106,106,530000,24.0485,1401.08
795.02,17.6016,-1667.47705078125,107,107,535000,22.3018,1064.08
1506.84,57.5735,-2480.7197265625,108,108,540000,24.4386,1307.06
3270.34,19.4033,-1930.415283203125,109,109,545000,22.1128,1857.6
1316.63,41.1371,-2451.580322265625,110,110,550000,22.7753,1302.91
1238.75,51.6192,-2536.756103515625,111,111,555000,23.4318,1202.06
1052.86,18.361,-2619.227783203125,112,112,560000,23.7942,1097.74
2242.86,39.7789,-2177.95703125,113,113,565000,22.4424,1568.6
943.49,39.4121,-2710.164306640625,114,114,570000,23.3566,1319.6
1867.02,26.9691,-2400.302490234375,115,115,575000,23.0551,1125.44
1388.98,28.4581,-2487.1533203125,116,116,580000,22.994,1338.06
1977.77,19.1294,-2568.60009765625,117,117,585000,22.5631,1394.54
711.59,27.7615,-3444.9697265625,118,118,590000,25.2617,854.2
1749.45,44.2517,-2955.576416015625,119,119,595000,23.6027,1888.81
3306.72,16.573,-2474.7138671875,120,120,600000,23.8297,1451.32
3098.75,36.7975,-2850.20703125,121,121,605000,23.5894,1441.64
3311.04,37.6991,-2453.121826171875,122,122,610000,23.2995,1732.65
1880.04,20.6887,-1851.4329833984375,123,123,615000,22.1459,1323.99
1835.31,22.5094,-2532.5751953125,124,124,620000,23.5863,1629.22
2117.8,17.5177,-2895.876953125,125,125,625000,25.0876,1619.85
1549.44,55.0544,-3171.728515625,126,126,630000,25.3303,894.48
3048.15,36.9188,-2376.421630859375,127,127,635000,22.3236,2073.79
2385.73,29.4806,-3021.12451171875,128,128,640000,24.5713,916.13
436.99,23.7448,-3052.418701171875,129,129,645000,24.2244,962.47
2679.15,22.2832,-2850.3095703125,130,130,650000,23.9801,1552.33
1592.23,46.231,-3254.91064453125,131,131,655000,24.6124,1306.23
2635.89,16.2065,-2977.4208984375,132,132,660000,22.8543,1806.9
2183.68,13.9396,-2743.9970703125,133,133,665000,23.2009,1692.39
580.55,15.0903,-2243.362548828125,134,134,670000,23.9507,877.14
1511.26,28.0833,-2942.2490234375,135,135,675000,23.6641,1349.09
2984.08,12.5346,-2429.732421875,136,136,680000,23.9385,1041.99
2.81,177.3773,-3207.229248046875,137,137,685000,29.2817,47.15
1725.33,17.2633,-2631.951904296875,138,138,690000,21.8371,1421.83
3204.62,24.6335,-3083.004150390625,139,139,695000,23.1913,1824.38
3445.44,14.8233,-2138.216064453125,140,140,700000,21.9249,1644.85
3283.08,13.8735,-2402.052978515625,141,141,705000,22.6431,1886.51
2301.71,38.2395,-2699.1552734375,142,142,710000,22.8177,1964.16
2274.87,19.6018,-2245.470947265625,143,143,715000,22.1975,1366.36
976.41,12.7949,-2549.201416015625,144,144,720000,22.9295,1210.73
3193.58,12.9124,-2621.998046875,145,145,725000,22.6928,1255.43
270.77,21.2116,-3475.7578125,146,146,730000,24.7524,664.37
1773.94,29.4581,-3172.6533203125,147,147,735000,22.8069,1284.96
2222.6,13.8382,-2747.994140625,148,148,740000,21.9404,1371.66
2825.37,16.4079,-3129.148193359375,149,149,745000,22.8241,1704.36
3192.93,14.3801,-2822.364990234375,150,150,750000,22.244,1891.18
1620.64,42.5786,-3445.322021484375,151,151,755000,21.5165,1232.63
2226.12,17.1395,-3566.086669921875,152,152,760000,23.7471,1257.23
2471.96,25.4752,-2942.037109375,153,153,765000,23.3161,1422.31
1667.51,51.8982,-3480.940185546875,154,154,770000,22.8271,2191.12
2242.34,12.3328,-2582.26904296875,155,155,775000,22.074,1706.88
1325.47,30.416,-3895.99072265625,156,156,780000,24.1869,1319.82
3304.21,34.8143,-2952.806396484375,157,157,785000,23.178,1869.84
1430.91,19.556,-3699.65087890625,158,158,790000,23.4294,1430.52
3277.99,27.8565,-2799.023681640625,159,159,795000,22.9622,1674.57
2697.96,24.9323,-3153.813232421875,160,160,800000,22.9632,1683.18
1549.3,20.4333,-2455.361572265625,161,161,805000,21.7589,1833.84
1861.93,29.8571,-3805.4833984375,162,162,810000,23.6278,466.92
1078.34,45.5811,-3961.646240234375,163,163,815000,23.5473,1466.72
2651.87,22.3396,-3552.281494140625,164,164,820000,22.9432,963.55
2061.45,29.8819,-4206.64892578125,165,165,825000,21.995,1499.14
761.68,24.2441,-3638.503173828125,166,166,830000,23.3864,647.75
3500.98,10.5565,-1923.58837890625,167,167,835000,21.9012,1777.99
2997.42,21.0081,-4361.38720703125,168,168,840000,25.5529,1333.27
1989.98,48.4617,-5215.75,169,169,845000,24.494,1179.89
1847.4,28.3592,-5308.96240234375,170,170,850000,24.9726,1192.68
1606.72,55.0228,-4710.623046875,171,171,855000,24.1841,1646.25
2816.32,22.8989,-3384.95947265625,172,172,860000,23.2737,1282.07
1204.3,17.1973,-3781.53271484375,173,173,865000,22.8442,1477.0
1304.99,49.6872,-5004.26123046875,174,174,870000,23.0733,1365.79
1377.23,63.0892,-4835.07080078125,175,175,875000,23.9464,1309.71
1110.63,36.4216,-4388.833984375,176,176,880000,22.9807,1478.33
2474.31,28.1584,-3742.848388671875,177,177,885000,22.629,1498.28
1327.84,16.1213,-4770.04248046875,178,178,890000,24.1029,1286.73
2276.12,48.7324,-4186.2724609375,179,179,895000,22.648,1736.27
2546.32,16.0536,-3879.07275390625,180,180,900000,23.8761,1879.62
2062.72,15.0015,-3378.09375,181,181,905000,22.4518,1655.03
1346.76,19.3413,-4019.07080078125,182,182,910000,23.3418,1872.31
3178.97,23.8782,-3901.192138671875,183,183,915000,21.6772,2064.67
3080.22,28.1744,-4456.9150390625,184,184,920000,22.2743,1508.52
1883.25,55.2653,-5754.9794921875,185,185,925000,22.7545,1025.53
2338.55,20.1898,-4510.92333984375,186,186,930000,23.5067,1232.61
2086.62,19.5908,-4606.8095703125,187,187,935000,23.1892,1119.57
2137.86,29.3714,-3737.18603515625,188,188,940000,23.7975,1366.89
1414.16,24.0809,-5871.98388671875,189,189,945000,23.4988,1310.36
2658.96,50.1743,-6237.51953125,190,190,950000,23.8172,975.14
1515.18,14.8987,-4700.54638671875,191,191,955000,23.1656,1453.51
2776.23,22.0241,-3696.58642578125,192,192,960000,22.3616,1653.23
2058.04,35.812,-5035.59716796875,193,193,965000,22.8838,1517.19
2670.87,12.0017,-3178.523193359375,194,194,970000,21.4591,1641.7
1047.65,44.1136,-5660.3349609375,195,195,975000,22.8195,1256.29
1091.08,36.2285,-4963.24853515625,196,196,980000,22.7923,1229.88
1156.58,50.6182,-7149.90771484375,197,197,985000,24.0691,1308.87
1187.06,21.1725,-4948.1484375,198,198,990000,22.7711,1676.31
1109.59,59.0069,-6759.9521484375,199,199,995000,24.2278,1695.82
