Reward Loss,Real Det Return,Running Reverse KL,Itration,Running Env Steps,Running Forward KL,Running Update Time,Real Sto Return
-4025.128173828125,121.18,122.8981,43,215000,34.8554,43,172.35
-3795.038330078125,983.27,45.5853,44,220000,39.256,44,983.48
-3807.1318359375,993.38,32.3667,45,225000,37.075,45,994.57
-3936.962158203125,1049.27,38.2165,46,230000,36.2053,46,1049.02
-3873.90771484375,1036.15,34.6479,47,235000,34.0244,47,1038.75
-3650.182861328125,1031.57,23.2887,48,240000,33.8878,48,1030.38
-3282.71533203125,718.92,21.4793,49,245000,31.4435,49,674.79
-4112.29541015625,1009.91,27.599,50,250000,34.9408,50,1010.35
-4258.5615234375,1013.04,30.0635,51,255000,34.9488,51,1014.09
-4280.0029296875,1035.76,30.0153,52,260000,35.4857,52,1035.62
-4356.64111328125,1036.09,32.0945,53,265000,35.8684,53,1035.09
-4337.31787109375,1031.17,27.4157,54,270000,36.3842,54,1026.3
-3122.341064453125,198.97,34.5591,55,275000,32.4048,55,165.74
-4457.5400390625,1012.66,41.7928,56,280000,37.4998,56,1012.8
-4551.3427734375,992.04,58.4279,57,285000,36.4685,57,991.58
-4656.958984375,1041.8,31.8039,58,290000,35.162,58,1041.05
-4851.45947265625,1044.03,41.4074,59,295000,34.0513,59,1044.09
-4676.69921875,1048.39,38.915,60,300000,38.1116,60,1048.31
-4180.16943359375,288.26,29.5327,61,305000,33.2518,61,280.06
-4337.02685546875,464.5,46.1357,62,310000,34.0955,62,450.67
-4209.3583984375,400.47,42.3047,63,315000,33.4571,63,397.99
-4267.837890625,471.11,32.1978,64,320000,32.0278,64,358.86
-4955.25439453125,1020.09,24.3611,65,325000,34.3432,65,1032.78
-5224.69287109375,1034.93,40.4163,66,330000,34.2376,66,1035.95
-5207.0966796875,1022.09,28.3125,67,335000,34.0809,67,1022.03
-5118.640625,1060.92,45.3141,68,340000,34.1142,68,987.85
-4124.939453125,443.34,43.2056,69,345000,30.4926,69,440.42
-4600.3232421875,326.03,39.5322,70,350000,31.1963,70,322.1
-5404.04443359375,1039.75,28.6024,71,355000,40.1782,71,1040.08
-5388.09619140625,1033.87,29.5264,72,360000,38.2155,72,1034.55
-5725.95849609375,1040.77,39.9927,73,365000,37.1752,73,1041.08
-6428.04345703125,99.84,95.6426,74,370000,33.9322,74,120.94
-4985.30126953125,166.11,36.3597,75,375000,33.5257,75,165.93
-5267.0712890625,572.63,28.0111,76,380000,32.9538,76,748.04
-5197.6416015625,1029.52,22.7256,77,385000,34.5827,77,942.41
-5950.5234375,1018.6,41.4195,78,390000,35.539,78,1018.14
-5136.3662109375,1056.91,24.5948,79,395000,33.0058,79,1046.89
-6009.58251953125,983.04,55.6316,80,400000,39.5463,80,982.96
-5880.169921875,1025.8,37.2944,81,405000,34.4647,81,1027.43
-6240.388671875,1038.97,40.4727,82,410000,35.7891,82,1038.95
-6270.14111328125,1043.35,39.9885,83,415000,36.1383,83,1043.5
-6234.302734375,1036.5,39.148,84,420000,34.8197,84,1038.27
-6253.9033203125,1034.23,29.7761,85,425000,35.0696,85,1042.59
-5883.14013671875,1064.49,29.9178,86,430000,34.4109,86,801.8
-5308.59912109375,281.97,40.2612,87,435000,33.3143,87,277.62
-6447.88134765625,723.88,81.1511,88,440000,34.5996,88,688.62
-6109.501953125,94.4,27.6453,89,445000,32.9963,89,95.46
-6551.38232421875,1000.6,39.2341,90,450000,38.4921,90,1000.45
-5323.337890625,52.71,26.414,91,455000,31.9729,91,53.12
-5515.64794921875,229.63,31.672,92,460000,32.9469,92,229.76
-6855.57373046875,1003.9,42.1635,93,465000,37.3471,93,1002.91
-6916.79541015625,1012.83,38.2935,94,470000,36.4593,94,1012.85
-7005.88330078125,1025.71,40.2203,95,475000,36.8504,95,1025.81
-6766.5390625,1016.65,24.0814,96,480000,34.6878,96,1015.44
-6615.205078125,640.51,23.1309,97,485000,33.6427,97,597.42
-6176.5908203125,121.93,45.858,98,490000,32.8812,98,123.49
-6729.98681640625,230.0,42.5454,99,495000,32.8849,99,227.37
-7258.02734375,1027.81,39.3287,100,500000,33.9674,100,1026.96
-7445.82177734375,1049.0,29.2182,101,505000,34.4468,101,1048.63
-7481.40673828125,1050.36,32.0634,102,510000,36.3914,102,1050.6
-7181.24609375,1019.74,25.7383,103,515000,35.6319,103,1026.51
-7548.9384765625,1044.31,33.6887,104,520000,35.807,104,1043.88
-6880.1083984375,1063.39,30.3981,105,525000,35.3295,105,1060.55
-7758.88671875,1022.27,37.2142,106,530000,37.0205,106,1020.6
-6759.8154296875,522.74,30.2322,107,535000,32.1654,107,518.92
-8128.689453125,207.47,67.2741,108,540000,32.3125,108,209.47
-7754.7490234375,536.77,78.1067,109,545000,31.4168,109,520.53
-7296.6318359375,511.87,40.1975,110,550000,32.0316,110,501.52
-7730.77197265625,535.29,28.8308,111,555000,31.7231,111,515.33
-7484.2783203125,391.96,40.9753,112,560000,32.1921,112,371.03
-7224.88720703125,299.83,20.7998,113,565000,31.6554,113,295.69
-8302.6142578125,975.88,44.0496,114,570000,36.9093,114,975.8
-8287.3779296875,983.85,29.13,115,575000,34.8762,115,984.72
-8263.0283203125,1001.86,30.146,116,580000,36.7981,116,1001.98
-7767.4111328125,334.25,36.137,117,585000,33.8061,117,324.14
-6581.19482421875,301.21,58.4873,118,590000,30.7859,118,302.11
-7685.63720703125,793.09,27.8624,119,595000,31.879,119,519.97
-8547.94140625,998.45,29.6705,120,600000,37.3089,120,1002.1
-7878.6552734375,748.62,25.9496,121,605000,32.5822,121,776.47
-8630.173828125,1014.2,27.2613,122,610000,37.4724,122,1017.2
-8599.015625,1008.64,29.004,123,615000,36.8157,123,1013.36
-8981.396484375,1012.08,25.0382,124,620000,34.4326,124,1047.39
-9272.7509765625,1036.68,29.0175,125,625000,36.0975,125,1037.09
-9250.7861328125,1028.31,39.3152,126,630000,36.4614,126,1028.61
-9102.3779296875,28.82,86.4901,127,635000,35.4454,127,28.89
-9643.5390625,1035.67,37.5047,128,640000,36.7438,128,1032.58
-9417.298828125,1016.65,33.7071,129,645000,38.437,129,1016.63
-9351.3671875,1008.01,33.5107,130,650000,36.8009,130,1020.1
-9617.2197265625,1007.69,40.4927,131,655000,36.3501,131,1007.56
-9601.263671875,1008.36,40.5728,132,660000,37.0214,132,1008.87
-9896.6953125,985.71,40.6238,133,665000,37.0254,133,985.68
-9790.3447265625,997.48,32.5572,134,670000,35.087,134,997.66
-9525.255859375,1057.05,23.4222,135,675000,33.6119,135,1070.43
-9124.4267578125,750.48,26.7324,136,680000,33.763,136,739.09
-10027.32421875,1044.65,36.8416,137,685000,33.1196,137,1044.46
-9130.0673828125,378.37,25.9697,138,690000,33.0846,138,425.48
-9390.0537109375,960.7,20.0874,139,695000,32.6805,139,788.98
-10261.767578125,1037.6,23.6298,140,700000,33.9996,140,1054.64
-10344.208984375,1053.73,23.0725,141,705000,33.6568,141,1049.86
-10253.0810546875,1057.51,24.3597,142,710000,33.4136,142,1060.64
-10585.6015625,1047.21,32.6083,143,715000,33.4199,143,1046.47
-10387.5,1051.2,23.8847,144,720000,32.8015,144,1056.34
-9446.1826171875,1058.73,18.4065,145,725000,32.1485,145,981.64
-10480.9716796875,1003.75,37.5497,146,730000,38.8355,146,1003.16
-11315.4013671875,5.2,71.0854,147,735000,36.7945,147,56.36
-10727.3017578125,1038.02,33.1258,148,740000,37.35,148,1037.46
-10760.607421875,1043.99,25.5964,149,745000,34.9469,149,1046.09
-11191.1884765625,1040.25,29.3409,150,750000,34.6014,150,1041.05
-11097.1181640625,1029.86,25.0501,151,755000,36.4128,151,1031.34
-10952.1845703125,1017.53,24.638,152,760000,34.7461,152,1045.2
-11344.7275390625,1030.48,22.004,153,765000,34.1624,153,1028.94
-11356.7451171875,1044.51,21.8444,154,770000,35.4731,154,1044.27
-11282.826171875,1006.21,31.417,155,775000,37.348,155,1003.3
-11505.107421875,996.81,23.4432,156,780000,36.425,156,1025.85
-11614.5810546875,976.57,42.4505,157,785000,38.5689,157,976.08
-11009.3759765625,1033.32,20.4555,158,790000,33.3014,158,1039.89
-12897.18359375,2.66,42.8274,159,795000,40.6803,159,2.63
-11837.044921875,63.63,26.0303,160,800000,36.477,160,64.35
-11894.6357421875,508.45,52.3317,161,805000,36.5428,161,505.55
-12077.787109375,1022.86,36.4274,162,810000,35.9162,162,1023.0
-12346.72265625,1020.36,32.5393,163,815000,34.4754,163,1019.56
-12401.154296875,1029.41,30.5024,164,820000,33.9644,164,1029.81
-12460.505859375,1025.17,30.2213,165,825000,33.7925,165,1023.38
-12900.6787109375,1040.68,52.3331,166,830000,34.1637,166,1039.37
-12966.9404296875,1041.97,36.573,167,835000,35.4825,167,1041.77
-13034.86328125,4.59,44.1919,168,840000,36.523,168,4.61
-9380.9150390625,132.53,20.4042,169,845000,33.0401,169,128.81
-10831.1591796875,264.47,23.5677,170,850000,32.9752,170,263.99
-11235.0185546875,605.84,30.3307,171,855000,32.4864,171,581.77
-13092.646484375,1031.98,33.302,172,860000,33.6787,172,1030.87
-12976.1142578125,1030.11,37.8123,173,865000,37.4246,173,1027.55
-13659.0166015625,1034.31,33.3098,174,870000,37.4786,174,1034.05
-13942.1328125,1033.83,43.4133,175,875000,35.4585,175,1033.4
-13433.677734375,991.99,33.4835,176,880000,38.6144,176,992.91
-13277.359375,1032.07,26.0678,177,885000,35.8979,177,1029.21
-14008.23046875,1002.08,38.7853,178,890000,39.139,178,1004.5
-13973.533203125,1002.95,37.0368,179,895000,38.8365,179,1003.14
-12881.51171875,1064.83,36.4567,180,900000,33.5112,180,629.53
-13230.1162109375,449.83,23.4242,181,905000,34.0802,181,635.75
-13589.88671875,276.93,47.6647,182,910000,32.9563,182,277.93
-13647.08984375,1064.1,30.0548,183,915000,34.2783,183,803.29
-14498.2412109375,1050.83,26.9813,184,920000,35.6559,184,1044.83
-14228.3271484375,979.24,26.6854,185,925000,34.806,185,933.7
-14474.619140625,423.58,43.1247,186,930000,35.4048,186,459.95
-12264.3701171875,1063.38,26.5066,187,935000,32.8882,187,807.61
-14821.5009765625,1004.2,38.2032,188,940000,36.8296,188,1004.22
-14956.0576171875,1011.6,41.143,189,945000,36.4874,189,1010.9
-15087.69921875,1023.13,39.6986,190,950000,35.4351,190,1022.86
-15239.046875,1025.45,44.1584,191,955000,35.8259,191,1025.25
-15198.5869140625,1026.76,40.1207,192,960000,34.4845,192,1025.6
-15237.451171875,1025.28,42.7887,193,965000,35.193,193,1025.14
-13620.6171875,1014.0,31.866,194,970000,35.3292,194,1015.85
-15628.126953125,972.62,51.1888,195,975000,37.692,195,972.6
-14368.7265625,213.54,35.5665,196,980000,32.3562,196,215.94
-15621.029296875,563.68,45.5165,197,985000,34.2679,197,530.07
-15851.94140625,1020.11,27.9547,198,990000,37.4689,198,1021.89
-15497.193359375,1024.86,26.9589,199,995000,37.0938,199,1023.98
