Running Env Steps,Itration,Running Update Time,Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Reward Loss
375000,75,75,29.9966,311.16,67.7985,1011.92,-5883.02734375
380000,76,76,30.7127,358.34,69.4621,1066.33,-6080.84130859375
385000,77,77,30.8697,338.64,68.9221,982.07,-6230.96337890625
390000,78,78,28.8582,590.02,62.6764,1155.03,-5873.87451171875
395000,79,79,30.2181,316.03,68.833,998.17,-6463.04931640625
400000,80,80,29.9059,425.07,65.6424,1004.87,-6404.7763671875
405000,81,81,30.1547,335.41,69.5778,888.37,-6670.45947265625
410000,82,82,29.3904,396.95,66.0718,1008.46,-6578.41064453125
415000,83,83,29.7973,393.03,65.5362,978.37,-6756.970703125
420000,84,84,29.9028,319.64,67.4245,833.43,-6991.21923828125
425000,85,85,30.1562,361.23,68.89,930.48,-7181.7744140625
430000,86,86,30.4905,300.48,68.749,922.57,-7254.56201171875
435000,87,87,30.904,358.24,68.6979,1037.79,-7466.87939453125
440000,88,88,28.3803,431.26,64.8121,895.29,-7297.9541015625
445000,89,89,29.9301,355.81,68.1337,948.28,-7671.01708984375
450000,90,90,29.9814,354.7,67.1043,897.99,-7736.2080078125
455000,91,91,29.7197,352.06,67.0018,844.68,-7862.1005859375
460000,92,92,29.8475,325.66,66.0129,1027.62,-7920.17822265625
465000,93,93,29.9793,375.99,67.0575,847.35,-8183.69384765625
470000,94,94,29.6016,364.81,67.5931,1044.48,-8356.8525390625
475000,95,95,29.9016,322.5,66.8138,959.94,-8457.4189453125
480000,96,96,30.561,379.65,70.108,919.04,-8734.6640625
485000,97,97,29.2805,319.81,68.6832,1051.19,-8685.779296875
490000,98,98,30.4189,337.26,68.1519,1023.37,-9003.810546875
495000,99,99,30.0832,365.49,68.125,1000.26,-9031.994140625
500000,100,100,31.0381,429.23,67.9546,1135.9,-9234.455078125
505000,101,101,30.6283,345.27,69.8917,1060.62,-9478.4736328125
510000,102,102,29.4645,354.87,66.5226,1047.3,-9340.2265625
515000,103,103,29.9377,379.21,67.2902,1010.36,-9569.3466796875
520000,104,104,29.1215,347.57,66.1102,1033.06,-9630.2978515625
525000,105,105,30.6838,418.71,68.7531,985.7,-9992.390625
530000,106,106,29.6012,376.99,68.4776,1055.93,-10164.8212890625
535000,107,107,30.1809,361.16,68.7474,972.86,-10357.15625
540000,108,108,29.182,399.02,67.25,1085.45,-10401.5771484375
545000,109,109,29.9559,363.2,69.1365,944.3,-10677.42578125
550000,110,110,28.4234,426.27,63.8222,1112.66,-10337.1142578125
555000,111,111,29.9168,409.88,67.3607,1121.89,-10933.48828125
560000,112,112,29.4177,521.58,66.0468,1156.09,-10998.6318359375
565000,113,113,29.9794,383.84,67.5115,950.11,-11300.6201171875
570000,114,114,28.8974,398.63,63.349,1105.91,-10948.861328125
575000,115,115,30.2607,388.35,68.721,985.52,-11851.66015625
580000,116,116,30.5152,372.8,68.6749,1055.02,-11889.8701171875
585000,117,117,30.1006,295.75,67.2515,895.84,-12015.9697265625
590000,118,118,29.03,390.3,65.1161,934.68,-11967.658203125
595000,119,119,28.6537,441.2,64.4453,1066.6,-11988.8837890625
600000,120,120,27.7294,565.37,61.9551,1307.64,-11586.859375
605000,121,121,30.324,407.73,68.3675,1116.86,-12857.4443359375
610000,122,122,28.7905,590.27,64.3556,1130.5,-12520.37109375
615000,123,123,29.4792,339.47,66.2712,1010.16,-13122.7978515625
620000,124,124,29.6916,426.63,67.0678,1064.11,-13317.0908203125
625000,125,125,29.169,484.6,64.3322,1045.89,-13078.3291015625
630000,126,126,30.2741,462.79,66.6846,1309.28,-13710.5517578125
635000,127,127,29.8245,399.03,65.545,1122.97,-13631.267578125
640000,128,128,28.0856,492.65,62.2053,1057.91,-13347.873046875
645000,129,129,30.0261,367.15,68.2539,999.83,-14527.09765625
650000,130,130,30.4038,375.19,68.6754,1038.94,-14696.255859375
655000,131,131,30.094,405.17,67.134,1032.43,-14873.7783203125
660000,132,132,27.4948,600.82,61.9218,1198.35,-14142.1513671875
665000,133,133,28.9899,443.82,65.065,1101.94,-14875.28125
670000,134,134,29.5752,577.47,67.102,949.49,-15343.4873046875
675000,135,135,29.2188,478.47,66.7715,1035.1,-15492.6796875
680000,136,136,28.6161,419.72,64.7835,1113.18,-15442.525390625
685000,137,137,28.6567,473.63,64.9583,870.04,-15688.56640625
690000,138,138,29.5537,434.83,67.1363,1009.8,-16108.86328125
695000,139,139,27.8399,494.12,62.9136,1147.96,-15731.9189453125
700000,140,140,26.9235,590.38,60.5604,1384.08,-15175.67578125
705000,141,141,28.829,397.44,64.9359,1090.2,-16715.306640625
710000,142,142,28.8912,357.76,64.9523,1077.14,-16986.76171875
715000,143,143,27.6323,449.29,63.1086,948.06,-16634.162109375
720000,144,144,30.0044,497.12,68.4817,1116.79,-18059.099609375
725000,145,145,27.6153,470.07,63.3576,1239.06,-17072.423828125
730000,146,146,28.3766,684.63,64.4072,1070.25,-17869.154296875
735000,147,147,28.7802,883.94,56.9055,1500.69,-13429.5615234375
740000,148,148,28.3492,595.81,64.3696,1037.08,-18349.126953125
745000,149,149,27.3312,518.79,61.4294,1019.3,-17969.037109375
750000,150,150,26.9447,672.01,59.8586,1364.16,-16954.3046875
755000,151,151,27.8525,573.12,63.2444,905.49,-18802.349609375
760000,152,152,26.2873,763.9,60.9319,1331.74,-17680.087890625
765000,153,153,25.1289,754.47,56.333,1506.22,-16018.2412109375
770000,154,154,27.4889,626.81,63.1916,1117.23,-19480.21484375
775000,155,155,24.4891,711.8,57.5715,1481.46,-16880.26953125
780000,156,156,27.1152,648.84,62.2857,1177.98,-19630.19921875
785000,157,157,27.5184,483.74,62.39,1105.82,-19831.884765625
790000,158,158,24.1118,905.0,57.439,1066.7,-17319.890625
795000,159,159,27.8915,644.12,63.2492,1102.39,-20967.48828125
800000,160,160,26.64,1293.2,58.0698,1931.93,-16987.373046875
805000,161,161,26.5611,576.4,61.5514,981.14,-20478.5625
810000,162,162,27.2671,709.45,62.5824,1107.41,-21190.919921875
815000,163,163,26.5051,1190.33,59.3134,1789.19,-18383.70703125
820000,164,164,27.3607,575.17,62.0805,1131.39,-21620.173828125
825000,165,165,25.5696,772.79,59.7007,1433.74,-20483.267578125
830000,166,166,22.9122,753.07,54.2516,1664.07,-16062.7353515625
835000,167,167,26.9037,495.74,61.3266,1219.74,-22149.677734375
840000,168,168,25.9568,942.39,59.0551,1804.05,-21602.40625
845000,169,169,27.412,1287.78,55.6248,2146.43,-15796.3740234375
850000,170,170,25.1341,798.42,59.2917,963.66,-21599.451171875
855000,171,171,25.8609,696.54,57.8212,1716.9,-20769.5390625
860000,172,172,25.6545,929.47,58.9323,1775.26,-22051.36328125
865000,173,173,25.0497,777.45,58.717,1470.24,-22066.66015625
870000,174,174,27.2826,566.89,61.9977,1188.03,-24517.826171875
875000,175,175,26.4273,517.4,61.5276,1211.62,-24124.369140625
880000,176,176,24.4823,1162.05,57.1436,2265.64,-20832.94140625
885000,177,177,26.3224,1432.08,55.162,2153.0,-17494.595703125
890000,178,178,25.1616,1023.86,57.3317,1765.69,-21038.763671875
895000,179,179,25.806,821.05,60.0598,1695.18,-24775.400390625
900000,180,180,25.3137,679.83,58.9452,1195.0,-24665.408203125
905000,181,181,27.3154,947.99,62.5734,1720.93,-26657.46875
910000,182,182,24.0532,978.08,57.5551,1729.55,-22792.08984375
915000,183,183,25.1352,1045.21,57.5146,2061.03,-22981.634765625
920000,184,184,23.9767,1165.8,56.0334,1525.99,-22022.669921875
925000,185,185,25.9258,1553.69,58.4972,1886.71,-24854.255859375
930000,186,186,23.6716,1098.87,55.3331,1562.68,-21275.693359375
935000,187,187,25.2394,561.0,59.6291,1407.26,-26362.1796875
940000,188,188,24.4607,1405.46,58.3554,1460.83,-25849.69921875
945000,189,189,24.2259,1450.47,54.6155,2010.06,-21023.6953125
950000,190,190,23.6051,1295.63,57.0123,1935.91,-24960.888671875
955000,191,191,24.8616,807.94,59.5054,1181.42,-26568.607421875
960000,192,192,25.128,599.43,60.2997,1638.17,-28094.474609375
965000,193,193,23.5336,985.78,55.8401,2025.94,-24027.947265625
970000,194,194,24.7285,935.51,58.7024,1590.68,-27514.943359375
975000,195,195,25.406,1495.98,58.0276,1726.61,-26682.029296875
980000,196,196,23.7798,1131.96,57.0006,1860.25,-24931.7890625
985000,197,197,22.7642,921.36,56.945,1684.24,-27060.056640625
990000,198,198,25.1206,1265.41,56.4704,1972.08,-24660.806640625
995000,199,199,24.0232,1317.33,56.4157,2371.84,-24105.845703125
1000000,200,200,23.9718,708.64,59.2617,1565.47,-29872.44921875
1005000,201,201,22.2573,1265.59,54.6378,2294.72,-25471.318359375
1010000,202,202,23.5342,944.22,57.8472,1920.37,-27397.796875
1015000,203,203,25.2135,1352.31,60.2259,1916.98,-31935.513671875
1020000,204,204,22.7328,1363.5,55.9885,1935.92,-27388.8828125
1025000,205,205,23.6824,1719.4,53.1643,2698.24,-20122.158203125
1030000,206,206,22.8441,1225.95,56.4567,2332.73,-29497.76953125
1035000,207,207,22.4947,1724.59,53.6934,2234.17,-21583.30078125
1040000,208,208,22.5034,1989.3,55.5175,2626.64,-27070.044921875
1045000,209,209,22.3903,1776.45,53.7392,2430.21,-23449.052734375
1050000,210,210,22.1201,949.09,56.1002,1837.22,-29659.087890625
1055000,211,211,23.0982,778.92,57.4158,1898.16,-30943.294921875
1060000,212,212,22.5857,1340.77,56.1993,2036.7,-30902.17578125
1065000,213,213,23.581,1350.36,54.9137,1711.78,-24033.904296875
1070000,214,214,23.0093,987.76,56.1017,1809.64,-29963.658203125
1075000,215,215,22.7984,1347.79,53.4789,2137.4,-26307.99609375
1080000,216,216,24.6288,1352.5,57.6673,2066.78,-33747.765625
1085000,217,217,21.9497,1767.53,53.249,2214.05,-26893.89453125
1090000,218,218,25.1459,1751.14,53.047,2754.94,-21211.81640625
1095000,219,219,23.188,1978.51,54.4403,2569.34,-30047.24609375
1100000,220,220,22.8468,1422.96,52.702,2527.91,-27378.107421875
1105000,221,221,24.7149,2013.71,53.5079,2987.97,-24172.103515625
1110000,222,222,27.3563,1895.24,53.5166,2834.97,-21230.49609375
1115000,223,223,24.6005,1930.78,53.913,2639.4,-24512.96875
1120000,224,224,26.8215,2027.99,53.5395,2818.08,-20789.28515625
1125000,225,225,22.4502,1875.24,53.3983,2594.93,-28209.2734375
1130000,226,226,25.6175,2283.04,51.7362,2734.94,-22136.0859375
1135000,227,227,23.8655,2159.99,53.6566,2999.59,-27079.4375
1140000,228,228,23.8837,2125.3,52.7856,2780.48,-25165.4921875
1145000,229,229,24.6323,2356.11,54.4018,2644.76,-25710.23046875
1150000,230,230,23.2197,2192.08,53.5588,2662.81,-25213.31640625
1155000,231,231,22.926,2067.47,52.0234,2650.8,-24427.50390625
1160000,232,232,23.4972,2000.7,51.2401,2606.69,-20770.0078125
1165000,233,233,24.0079,2264.48,52.4068,2873.68,-24973.6484375
1170000,234,234,23.2416,2144.11,51.9433,2788.47,-23038.54296875
1175000,235,235,23.8324,2129.21,53.2893,3008.7,-26785.45703125
1180000,236,236,23.7846,2314.05,51.2603,3008.2,-22373.576171875
1185000,237,237,22.4883,2028.07,53.5045,2708.17,-28406.228515625
1190000,238,238,22.7544,2268.1,52.191,3179.53,-24374.173828125
1195000,239,239,25.124,2389.48,50.6315,3143.54,-19545.40625
1200000,240,240,21.4198,2506.73,49.8238,2936.32,-24654.1015625
1205000,241,241,22.3253,2392.0,49.8073,3187.27,-22981.205078125
1210000,242,242,21.5899,2132.33,51.5742,2879.86,-26647.4453125
1215000,243,243,24.719,2417.08,50.6489,3022.21,-21705.80078125
1220000,244,244,22.7456,2336.23,49.9863,3262.36,-21615.330078125
1225000,245,245,25.2088,2424.96,51.2592,3107.64,-22208.57421875
1230000,246,246,26.9716,2505.9,53.0387,3061.76,-22989.75
1235000,247,247,23.1146,2542.83,49.7847,3338.21,-22331.0546875
1240000,248,248,25.8807,2406.92,51.7044,3009.98,-22055.79296875
1245000,249,249,22.2801,2447.5,51.6727,3203.35,-26855.59765625
1250000,250,250,21.7316,2524.75,51.2397,3292.39,-28236.51171875
1255000,251,251,25.5809,2448.17,50.8602,3236.06,-22468.09765625
1260000,252,252,25.0139,2385.6,50.9712,3264.43,-22489.833984375
1265000,253,253,21.3821,2398.4,50.5586,2580.6,-26693.697265625
1270000,254,254,23.6514,2594.75,50.3993,3166.58,-23657.623046875
1275000,255,255,22.8986,2372.1,49.8303,3388.8,-23470.099609375
1280000,256,256,23.4943,2395.58,50.0078,3155.94,-23570.7109375
1285000,257,257,23.5231,2753.56,50.7686,3312.59,-26100.103515625
1290000,258,258,24.8893,2588.6,50.255,3281.73,-22127.103515625
1295000,259,259,24.906,2516.31,50.5678,3404.19,-22305.646484375
1300000,260,260,25.5099,2522.17,49.9109,3472.66,-21742.623046875
1305000,261,261,24.5361,2617.29,50.6065,3305.98,-23180.44921875
1310000,262,262,25.8138,2715.51,50.7277,3372.03,-20803.8984375
1315000,263,263,24.6087,2757.78,49.5303,3516.4,-22764.666015625
1320000,264,264,25.1615,2193.88,50.2015,3567.9,-21070.62890625
1325000,265,265,23.4572,2714.71,49.5187,3463.7,-24735.53125
1330000,266,266,23.4184,2468.77,50.5948,3342.48,-26448.384765625
1335000,267,267,25.9301,2587.98,50.6482,3375.7,-22627.513671875
1340000,268,268,23.763,2873.75,50.0116,3565.88,-24005.470703125
1345000,269,269,21.9005,2768.93,49.3248,3437.41,-24883.419921875
1350000,270,270,24.4511,2704.47,51.4018,3496.1,-27494.251953125
1355000,271,271,29.1874,2661.93,50.8246,3292.4,-22523.1875
1360000,272,272,24.8854,2713.23,50.0121,3392.55,-25870.78125
1365000,273,273,30.5438,2698.35,52.6226,3197.47,-24428.951171875
1370000,274,274,27.5935,2842.62,51.7732,3394.78,-24769.763671875
1375000,275,275,29.3635,2661.18,51.9882,3382.99,-24921.93359375
1380000,276,276,26.2682,2575.82,51.1444,3270.18,-25849.34375
1385000,277,277,26.2007,2735.01,50.3321,3522.83,-23588.990234375
1390000,278,278,27.2131,2663.14,51.1186,3487.95,-24080.021484375
1395000,279,279,25.9901,2699.87,50.0748,3483.21,-24417.552734375
1400000,280,280,28.3329,2737.08,50.7009,3478.14,-22919.701171875
1405000,281,281,27.0155,2613.82,50.0626,3343.06,-24249.763671875
1410000,282,282,30.3871,2549.89,52.5425,3231.06,-21991.505859375
1415000,283,283,29.4118,2816.71,51.6449,3395.57,-22812.50390625
1420000,284,284,24.5569,2840.6,51.7768,3236.79,-26607.283203125
1425000,285,285,29.9689,2688.73,52.1225,3388.21,-23328.48828125
1430000,286,286,26.3925,2745.08,51.0336,3532.82,-24201.0859375
1435000,287,287,28.4158,2587.21,52.0114,3317.27,-24403.560546875
1440000,288,288,28.7701,2937.12,51.7887,3185.69,-21782.41015625
1445000,289,289,31.4093,2399.38,52.2547,3427.16,-22368.09765625
1450000,290,290,25.6237,2924.03,51.6698,3135.08,-27679.66796875
1455000,291,291,28.0259,2575.87,51.9443,3119.7,-25995.021484375
1460000,292,292,30.7559,2674.54,53.7311,3478.61,-25670.306640625
1465000,293,293,26.0572,2255.68,52.3177,3040.98,-27068.3671875
1470000,294,294,27.2342,2628.74,51.674,3311.94,-26169.91015625
1475000,295,295,29.188,2634.9,51.4149,2924.49,-22715.181640625
1480000,296,296,26.9248,2229.08,51.1511,3252.87,-23556.462890625
1485000,297,297,29.9115,2988.8,51.9254,3596.25,-24729.890625
1490000,298,298,26.0013,2916.65,52.3722,3415.33,-28533.8203125
1495000,299,299,25.2685,2991.24,52.2508,3684.1,-29580.2421875
1500000,300,300,26.9465,2572.76,51.0249,3686.62,-23314.4453125
1505000,301,301,29.0324,3130.98,51.7658,3498.79,-25997.962890625
1510000,302,302,23.3689,2886.1,51.3665,3235.31,-31246.12109375
1515000,303,303,25.9789,2611.89,51.3441,3368.01,-26573.228515625
1520000,304,304,28.7972,2946.13,51.6033,3645.14,-25682.490234375
1525000,305,305,32.2948,3090.83,53.5787,3548.76,-23929.583984375
1530000,306,306,28.5433,2558.4,51.24,3474.8,-23983.40234375
1535000,307,307,28.3652,3163.76,50.8956,3574.63,-29465.822265625
1540000,308,308,26.5365,2954.47,50.7388,3563.01,-27293.48046875
1545000,309,309,24.1271,2758.72,51.5237,3566.17,-30847.177734375
1550000,310,310,24.785,3014.54,50.1984,3314.88,-29042.1796875
1555000,311,311,21.5748,2548.56,51.1491,2840.32,-34904.86328125
1560000,312,312,28.8605,3138.13,51.0528,3663.73,-24292.654296875
1565000,313,313,25.9401,2743.92,51.0007,3600.69,-29346.83203125
1570000,314,314,27.4556,2888.73,51.5625,3845.82,-27077.962890625
1575000,315,315,30.3915,3108.72,51.5028,3854.83,-22830.01953125
1580000,316,316,28.5671,2879.57,51.0094,3893.38,-24005.9296875
1585000,317,317,22.9825,2492.29,50.2436,3769.12,-29751.38671875
1590000,318,318,27.2555,3117.42,50.5309,3642.01,-27235.6640625
1595000,319,319,25.4137,3139.43,49.9193,3595.44,-25781.7578125
1600000,320,320,24.3007,2698.38,51.6867,3640.36,-31512.9921875
1605000,321,321,21.2715,2808.6,51.0276,3928.46,-32652.939453125
1610000,322,322,22.1728,2650.26,51.9317,3027.61,-33780.12890625
1615000,323,323,23.9891,2931.29,50.7151,3560.84,-29368.94140625
1620000,324,324,25.0367,2784.95,51.7377,3602.79,-31015.177734375
1625000,325,325,27.5557,2781.69,50.5769,2998.93,-25033.71875
1630000,326,326,21.3745,2920.84,52.0489,3680.14,-40020.53515625
1635000,327,327,22.6714,2198.96,50.6157,3355.71,-33929.1640625
1640000,328,328,25.9736,2981.27,51.3271,3614.97,-29715.5078125
1645000,329,329,24.8889,3045.1,50.2934,3355.27,-30071.89453125
1650000,330,330,27.9648,2886.33,50.4229,3649.67,-27830.25
1655000,331,331,26.0087,2695.06,50.6388,3838.27,-29079.56640625
1660000,332,332,23.8346,2798.5,49.3752,3439.4,-27686.1640625
1665000,333,333,23.0614,2871.47,50.2345,3389.62,-29446.2109375
1670000,334,334,27.4586,2922.64,51.8116,3602.85,-24463.439453125
1675000,335,335,25.0463,2882.82,51.2654,3675.92,-28535.3515625
1680000,336,336,26.7761,2911.34,50.8626,3955.61,-27627.091796875
1685000,337,337,25.3567,2731.57,50.1725,3871.12,-29227.91015625
1690000,338,338,22.8891,2966.06,51.6676,3458.15,-33718.12109375
1695000,339,339,26.8583,3106.42,51.0191,3894.71,-25012.923828125
1700000,340,340,24.759,2874.0,50.2059,3899.73,-27683.712890625
1705000,341,341,21.2742,3020.36,51.4314,3900.55,-37468.78125
1710000,342,342,23.8331,3217.45,49.5812,3491.71,-29400.0703125
1715000,343,343,27.0841,2889.09,50.7254,3697.58,-24994.87890625
1720000,344,344,24.1683,3191.67,50.3403,3808.56,-28117.314453125
1725000,345,345,24.8994,3270.77,50.4443,4001.79,-29121.49609375
1730000,346,346,26.7144,3298.46,49.6433,4038.95,-27047.974609375
1735000,347,347,25.4012,3013.32,50.5498,3933.96,-30476.283203125
1740000,348,348,24.9224,3338.66,51.5703,3724.53,-30975.814453125
1745000,349,349,25.6241,3136.3,50.6491,3866.74,-27507.857421875
1750000,350,350,25.3371,3187.51,51.1424,3681.7,-29990.345703125
1755000,351,351,27.9293,3256.08,51.1296,3979.6,-26998.048828125
1760000,352,352,28.6211,3311.8,51.701,3800.5,-27521.97265625
1765000,353,353,24.1434,3158.92,50.5241,4057.92,-29819.865234375
1770000,354,354,27.6981,3165.81,51.5078,3709.2,-26195.404296875
1775000,355,355,24.7598,3126.52,51.0424,3931.55,-31891.853515625
1780000,356,356,24.8447,2996.09,50.7744,3774.66,-28853.837890625
1785000,357,357,25.8173,3059.13,51.1354,3974.53,-28974.583984375
1790000,358,358,27.6156,3334.17,50.8176,4043.68,-26270.8203125
1795000,359,359,23.7985,2716.5,49.8309,3623.64,-31423.56640625
1800000,360,360,26.2545,2783.04,50.5669,3773.04,-26934.03515625
1805000,361,361,22.2438,2062.44,50.4468,3679.6,-35256.796875
1810000,362,362,25.9363,2983.01,51.6431,4000.84,-28475.203125
1815000,363,363,22.4066,3113.32,51.1012,3670.96,-35526.109375
1820000,364,364,26.1422,3185.5,52.2526,3816.96,-28502.8828125
1825000,365,365,21.5119,2690.14,50.8818,3539.11,-35010.52734375
1830000,366,366,21.3819,1944.27,51.5684,3866.03,-37222.6796875
1835000,367,367,21.3879,2671.72,50.7642,3523.88,-37874.90625
1840000,368,368,24.7121,3267.63,50.2194,4030.08,-31411.66015625
1845000,369,369,22.2177,2665.63,50.4844,3927.25,-31969.146484375
1850000,370,370,20.7768,1943.25,51.702,3276.83,-41925.765625
1855000,371,371,22.7645,2241.5,51.3271,3562.2,-32566.0546875
1860000,372,372,20.279,1976.8,52.7068,3432.77,-43965.78515625
1865000,373,373,22.0736,2868.28,51.321,3733.01,-34025.546875
1870000,374,374,19.4471,1967.2,51.1992,3261.5,-39254.703125
1875000,375,375,22.2416,2507.54,50.3604,3764.44,-36730.1875
1880000,376,376,22.9487,2902.1,49.3656,4055.09,-32534.134765625
1885000,377,377,19.6954,2649.59,52.527,3678.29,-45135.2734375
1890000,378,378,21.213,2867.61,51.0718,3992.49,-40801.0859375
1895000,379,379,21.6699,2988.47,49.6801,3652.79,-35507.86328125
1900000,380,380,21.5021,2665.17,49.3357,3899.33,-32646.376953125
1905000,381,381,24.0897,2885.4,50.32,3942.25,-32338.3984375
1910000,382,382,20.6328,3234.63,50.0285,4211.58,-40254.12890625
1915000,383,383,22.6687,3190.26,49.1542,3962.11,-32853.6171875
1920000,384,384,21.2912,3033.03,50.1098,4054.46,-36853.9765625
1925000,385,385,20.9585,3179.79,48.6205,4011.77,-34089.85546875
1930000,386,386,27.5593,3341.74,51.7872,4083.58,-31736.025390625
1935000,387,387,24.8803,3137.42,50.5006,4010.79,-32039.37109375
1940000,388,388,23.2489,2781.78,49.6556,3895.57,-36801.1875
1945000,389,389,22.7029,2583.59,49.2698,4090.32,-36404.01953125
1950000,390,390,19.5565,2171.24,50.1993,3819.56,-40621.40234375
1955000,391,391,19.9037,1690.26,50.3287,3317.15,-43104.2890625
1960000,392,392,20.5028,2613.76,49.582,4006.56,-38934.81640625
1965000,393,393,19.8686,2122.78,51.2579,3310.29,-45349.82421875
1970000,394,394,20.0451,2627.49,51.793,3998.24,-47826.5859375
1975000,395,395,24.5836,3153.54,49.4704,3964.15,-33740.84375
1980000,396,396,23.5537,3310.64,49.1962,4262.65,-34920.98828125
1985000,397,397,22.5121,2484.78,49.6142,3704.77,-36812.72265625
1990000,398,398,20.4984,2824.93,50.817,4062.88,-44266.6796875
