Real Sto Return,Running Reverse KL,Itration,Running Update Time,Reward Loss,Running Forward KL,Running Env Steps,Real Det Return
347.21,24.5459,81,81,-623.9224853515625,33.7296,405000,347.17
980.32,52.9638,82,82,-694.2468872070312,39.5849,410000,980.83
986.53,42.9674,83,83,-709.5335083007812,39.1205,415000,985.13
1015.32,50.2373,84,84,-715.0921020507812,37.5851,420000,1015.42
256.65,45.3021,85,85,-572.12109375,32.6232,425000,262.68
1016.84,44.0274,86,86,-734.4601440429688,37.31,430000,1016.7
985.15,43.1365,87,87,-747.7139282226562,40.4987,435000,985.32
996.5,36.9415,88,88,-768.7216796875,39.0139,440000,997.96
994.81,31.9333,89,89,-763.5074462890625,38.6255,445000,996.67
999.52,42.9097,90,90,-777.0806274414062,38.9474,450000,998.28
999.63,42.9377,91,91,-785.6797485351562,37.0608,455000,1000.33
1022.68,44.2096,92,92,-793.6622314453125,36.9782,460000,1023.03
340.59,38.4949,93,93,-625.6007080078125,28.7371,465000,338.78
1007.72,56.3492,94,94,-827.9030151367188,38.2977,470000,1007.92
981.58,40.05,95,95,-831.1319580078125,39.4228,475000,975.26
1019.28,30.3865,96,96,-831.105712890625,36.0457,480000,1018.12
1022.61,38.0399,97,97,-843.2951049804688,35.747,485000,1023.12
1006.76,31.1994,98,98,-865.48388671875,36.9405,490000,1006.94
1003.96,29.449,99,99,-862.9522705078125,36.1736,495000,991.39
982.63,33.0133,100,100,-870.9345092773438,37.312,500000,981.46
1013.03,24.9685,101,101,-865.3324584960938,35.7235,505000,1020.47
1006.14,23.7199,102,102,-899.1494750976562,36.3928,510000,1007.68
1034.52,22.4543,103,103,-886.1101684570312,36.3063,515000,1036.93
1008.37,30.0611,104,104,-900.3392333984375,34.3612,520000,1040.65
1044.61,32.1907,105,105,-922.6552124023438,35.7202,525000,1051.1
1031.32,35.9058,106,106,-935.490966796875,37.5217,530000,1032.27
1027.76,34.8018,107,107,-950.4251708984375,35.9923,535000,1028.14
1037.31,24.3215,108,108,-941.197998046875,35.4113,540000,1038.11
1028.7,24.6913,109,109,-957.6297607421875,34.8305,545000,1026.22
1045.07,21.915,110,110,-942.1984252929688,35.3148,550000,1024.32
353.57,21.836,111,111,-794.8359985351562,31.7076,555000,256.67
1017.86,24.085,112,112,-998.8220825195312,37.0055,560000,1012.95
234.32,17.4246,113,113,-719.8573608398438,29.7835,565000,166.0
393.26,31.1397,114,114,-882.2286987304688,31.6921,570000,423.97
291.58,32.3701,115,115,-996.0729370117188,31.8702,575000,723.55
237.93,41.723,116,116,-831.147216796875,31.4603,580000,237.18
436.12,32.1214,117,117,-826.1842651367188,29.1556,585000,316.81
284.91,65.2286,118,118,-748.6100463867188,31.0863,590000,283.0
273.96,69.2673,119,119,-760.1798706054688,30.0522,595000,285.55
177.49,37.276,120,120,-697.9745483398438,31.2938,600000,176.94
192.24,60.7727,121,121,-849.743408203125,31.7313,605000,198.43
268.48,44.4884,122,122,-803.81396484375,30.8097,610000,303.0
218.13,24.8692,123,123,-406.87652587890625,31.6342,615000,227.85
245.98,45.9311,124,124,-1100.8094482421875,32.2277,620000,246.97
326.81,45.7288,125,125,-1112.88525390625,33.0406,625000,334.79
399.15,24.0048,126,126,-998.4035034179688,31.5137,630000,408.46
261.66,30.0697,127,127,-971.4100341796875,31.7805,635000,273.77
270.94,19.1992,128,128,-883.4017333984375,31.7558,640000,334.2
352.53,27.4562,129,129,-900.89453125,30.1134,645000,353.78
389.4,49.9003,130,130,-1143.3543701171875,33.1793,650000,412.34
384.93,31.8701,131,131,-1093.8062744140625,32.0542,655000,400.39
662.01,26.0897,132,132,-1148.5836181640625,33.4547,660000,1048.26
105.27,146.6995,133,133,-1217.555419921875,37.4184,665000,64.68
92.45,109.7575,134,134,-1088.0269775390625,31.1646,670000,92.04
163.25,37.5806,135,135,-1280.8675537109375,32.7416,675000,162.96
251.75,28.504,136,136,-1227.381103515625,33.1475,680000,251.62
981.78,40.9269,137,137,-1267.474853515625,37.7083,685000,984.66
982.9,51.8942,138,138,-1266.25537109375,36.7296,690000,983.63
1015.61,44.5318,139,139,-1273.9486083984375,36.3856,695000,1014.63
135.42,31.6286,140,140,-1170.0885009765625,34.2116,700000,126.26
474.38,33.751,141,141,-1331.289306640625,37.6475,705000,999.8
1002.15,43.1428,142,142,-1308.518798828125,37.6288,710000,1001.3
28.73,37.249,143,143,-1266.5838623046875,34.5412,715000,28.39
1013.76,37.1982,144,144,-1359.5306396484375,39.4678,720000,1014.46
345.66,92.7682,145,145,-1151.7786865234375,31.0355,725000,440.21
12.07,32.2327,146,146,-1158.044677734375,35.8909,730000,12.29
82.9,55.2392,147,147,-1263.3956298828125,32.713,735000,81.81
61.56,101.4842,148,148,-1211.135009765625,34.3855,740000,60.74
130.55,25.6714,149,149,-1250.68359375,32.792,745000,134.46
1012.12,56.5038,150,150,-1430.16748046875,37.3137,750000,1012.1
1007.55,55.7347,151,151,-1438.2979736328125,36.6288,755000,1007.65
661.08,39.752,152,152,-1450.7568359375,37.858,760000,836.43
249.42,44.0384,153,153,-1432.7659912109375,34.4015,765000,216.38
305.95,23.7469,154,154,-1295.984375,32.4704,770000,305.28
271.33,44.4386,155,155,-1388.0684814453125,32.6251,775000,275.62
189.75,44.2043,156,156,-1397.123779296875,35.203,780000,191.62
975.05,37.8868,157,157,-1485.160888671875,37.2741,785000,975.31
72.43,35.0277,158,158,-1425.65185546875,33.5803,790000,72.86
813.05,54.9728,159,159,-1496.760986328125,36.3213,795000,855.7
1006.1,57.9668,160,160,-1555.1219482421875,37.9983,800000,1006.34
1004.28,52.4358,161,161,-1561.634765625,36.0303,805000,1004.16
1044.44,27.3649,162,162,-1536.338623046875,35.2459,810000,1041.56
1025.52,25.6815,163,163,-1565.77685546875,36.722,815000,1027.74
1017.86,25.9169,164,164,-1580.77685546875,36.6216,820000,1017.4
1105.3,25.4589,165,165,-1555.4910888671875,36.5456,825000,1048.64
991.74,45.3905,166,166,-1633.299560546875,37.3965,830000,991.79
1015.34,38.3389,167,167,-1643.5770263671875,37.0065,835000,1015.64
1011.77,37.9615,168,168,-1663.383544921875,36.6412,840000,1011.75
1023.2,30.1145,169,169,-1651.824462890625,37.2288,845000,1027.46
1017.18,34.9483,170,170,-1682.96875,35.9024,850000,1016.27
1013.26,39.7629,171,171,-1706.8646240234375,38.7832,855000,1012.77
987.03,55.3708,172,172,-1718.0736083984375,39.5819,860000,986.88
72.42,200.7135,173,173,-1491.8580322265625,33.0218,865000,72.32
917.52,44.3898,174,174,-1713.4451904296875,33.6909,870000,919.44
1007.0,43.7493,175,175,-1777.7000732421875,40.0838,875000,1007.32
1008.67,39.3177,176,176,-1778.74853515625,38.3188,880000,1009.19
1001.45,48.1899,177,177,-1768.1959228515625,38.8646,885000,1003.13
1000.65,56.7589,178,178,-1771.166748046875,37.9661,890000,1000.29
1003.74,43.402,179,179,-1776.4949951171875,37.0022,895000,1003.53
270.38,76.1714,180,180,-1582.5030517578125,30.3161,900000,271.44
287.9,94.1346,181,181,-1645.2120361328125,35.8268,905000,283.89
252.84,36.5626,182,182,-1679.8214111328125,33.1134,910000,280.68
737.16,33.0741,183,183,-1865.01904296875,37.1238,915000,985.11
973.98,42.131,184,184,-1885.43310546875,38.5031,920000,975.01
977.62,43.1893,185,185,-1895.593505859375,37.2478,925000,978.29
949.81,43.9581,186,186,-1917.388427734375,35.8272,930000,1001.39
989.82,46.338,187,187,-1940.0303955078125,36.0948,935000,990.96
852.27,20.4086,188,188,-1725.696044921875,31.1765,940000,1059.47
405.25,76.4948,189,189,-1751.6597900390625,32.748,945000,405.72
986.71,51.7993,190,190,-1986.5889892578125,38.1389,950000,987.32
1004.72,56.9756,191,191,-2005.0526123046875,37.7672,955000,964.23
59.02,203.7076,192,192,-1609.4342041015625,39.6524,960000,56.94
39.74,202.245,193,193,-1734.7496337890625,37.0037,965000,39.81
1037.1,33.2254,194,194,-2029.103271484375,38.0417,970000,1022.22
980.89,48.0579,195,195,-2045.317138671875,37.074,975000,980.58
289.07,36.1823,196,196,-2063.22509765625,37.4072,980000,216.57
1010.33,40.8228,197,197,-2035.633056640625,36.2349,985000,1010.26
568.39,48.8391,198,198,-2075.260498046875,36.2393,990000,158.2
1010.71,36.1399,199,199,-2124.203857421875,35.9389,995000,1011.53
