Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Itration
144.7211,5479.34,4910.42,316.3496,111
137.5913,5339.08,5240.37,326.1517,112
139.2429,4949.1,4995.83,328.7345,113
138.7757,5201.64,5034.18,323.198,114
137.2466,5113.76,4715.21,323.9129,115
151.7643,5203.98,5253.95,329.6372,116
153.924,5188.88,5137.81,330.1088,117
158.0795,5435.05,5130.85,329.8443,118
132.9962,5311.82,5085.78,318.3756,119
143.872,5259.85,5297.69,328.6261,120
138.5491,5388.98,5259.0,320.3337,121
150.5994,5189.91,5008.39,330.3458,122
141.9171,4674.38,5221.25,327.5195,123
154.3525,5427.06,5363.54,329.3517,124
143.7374,5204.23,5231.11,331.0545,125
165.0185,5252.99,4983.41,331.8941,126
134.9667,5119.84,5053.34,323.2645,127
156.7041,5545.37,5336.92,334.3918,128
144.4037,5320.7,5292.44,325.6444,129
143.7835,5183.27,5257.63,327.0275,130
150.9741,5236.24,5224.61,336.2177,131
170.4684,5511.24,5052.6,335.5479,132
133.4938,5338.32,4626.48,326.5137,133
144.191,5268.95,5269.51,330.8084,134
148.6054,5401.82,5160.1,331.8458,135
148.6591,5406.34,5294.66,327.8887,136
147.8046,5481.63,5289.07,326.9271,137
151.2339,5490.42,5243.74,325.1085,138
144.4844,5315.98,5226.72,328.1063,139
140.8998,5433.47,4994.8,319.5859,140
136.203,5474.29,4601.73,322.9371,141
146.4163,5570.72,5341.2,327.6776,142
147.9605,5471.55,5245.32,329.9297,143
169.8592,5543.56,4075.38,339.3136,144
152.5562,5553.87,4805.86,330.2481,145
163.0038,5394.63,5211.15,337.3027,146
146.0771,5508.66,5139.88,327.8792,147
138.5983,5547.92,5353.52,323.7571,148
153.0317,5570.43,5119.14,333.8979,149
150.6116,5285.84,5307.31,331.1344,150
156.5065,5207.86,5272.1,332.7381,151
138.1085,5519.49,5088.43,326.5087,152
160.0197,5474.15,5084.63,331.9525,153
157.9884,5509.11,3995.02,338.7125,154
150.8478,5458.74,4893.02,328.1189,155
144.7361,5338.62,5287.11,333.0247,156
147.8793,5140.72,5225.63,333.4679,157
155.2272,5500.16,5117.43,334.2663,158
144.6322,5504.03,5372.48,330.9998,159
148.7409,5508.24,5091.02,335.3693,160
151.1848,5413.83,4974.96,327.3326,161
159.5712,5466.91,4998.99,334.3289,162
133.5693,4218.4,5148.33,320.2562,163
165.299,5472.91,5161.09,339.5455,164
143.4575,5222.6,4944.13,330.1718,165
145.2994,5253.49,5299.71,329.2821,166
140.2163,5330.01,5275.46,330.4298,167
167.2515,5677.94,5484.55,337.2282,168
155.3667,5441.68,5417.23,332.1473,169
156.4724,5525.41,5370.94,338.2377,170
145.4508,5430.73,5315.15,334.4474,171
141.5061,5459.55,5350.69,329.7765,172
144.3579,5475.94,4950.5,327.3001,173
159.1638,5527.72,5127.76,339.0478,174
159.9005,5523.23,5355.59,334.1295,175
150.7584,4355.99,5049.83,333.35,176
156.9,5407.7,4919.05,332.3621,177
141.5358,5366.04,5270.75,331.0476,178
141.8181,5360.16,5040.79,328.7592,179
166.9548,5336.57,5296.61,346.403,180
149.8477,5366.76,5355.87,335.4722,181
162.3688,5500.87,5356.65,332.7682,182
152.5479,5285.81,4137.51,334.9872,183
164.9974,5453.94,5299.22,342.7252,184
154.8265,5377.1,5360.29,335.3939,185
159.2027,5182.66,5336.42,335.959,186
154.0167,5175.97,4983.55,338.9793,187
137.7354,5166.24,5255.89,326.3924,188
158.7282,5478.2,5268.5,337.8773,189
144.6657,5193.28,5300.68,328.0146,190
156.6145,5452.73,5345.31,335.2517,191
145.3466,4909.46,5098.04,330.8033,192
148.7327,5282.57,5320.87,330.2535,193
148.2766,5302.51,5334.61,333.2132,194
143.4688,5335.25,4723.74,334.467,195
167.0282,5565.57,5213.23,343.3772,196
134.8577,5469.54,5352.91,327.6642,197
150.6812,5328.08,4862.59,331.9932,198
150.0463,5300.28,5403.53,335.8813,199
137.1737,5379.72,5356.01,325.313,200
143.605,5278.4,4988.45,330.8135,201
142.0425,5300.27,5351.32,335.5294,202
