Running Forward KL,Real Sto Return,Running Update Time,Itration,Real Det Return,Running Reverse KL,Running Env Steps,Reward Loss
276.22,4960.83,119,119,5033.85,87.6167,595000,-5025.970703125
286.5942,4621.2,120,120,4911.43,91.785,600000,-4152.7607421875
293.7805,4882.61,121,121,4970.41,100.9782,605000,-5262.8271484375
286.9669,4472.48,122,122,4672.33,101.7866,610000,-5627.3544921875
286.4601,4739.75,123,123,5043.38,88.6708,615000,-5709.9521484375
272.1702,4754.83,124,124,5036.51,71.8221,620000,-5292.73681640625
270.5516,5012.94,125,125,5065.36,78.6995,625000,-5193.45556640625
284.569,4785.3,126,126,5004.12,90.681,630000,-5552.53662109375
288.6873,3586.01,127,127,3886.89,120.1414,635000,-6924.97265625
280.2257,4850.09,128,128,5033.76,77.3283,640000,-6331.17529296875
280.2619,4736.44,129,129,4904.77,86.6882,645000,-5887.46826171875
289.8062,4628.06,130,130,4869.21,84.4971,650000,-6781.95458984375
287.1531,3847.22,131,131,4263.67,87.7878,655000,-6714.07080078125
280.869,4799.54,132,132,4172.49,94.8454,660000,-6049.69775390625
302.0115,4728.82,133,133,4942.63,114.0072,665000,-6909.33154296875
308.4184,4365.67,134,134,4670.14,128.802,670000,-7468.7060546875
299.272,4416.76,135,135,1913.46,118.7692,675000,-7365.94580078125
292.7131,3437.03,136,136,2022.22,124.3366,680000,-7810.44091796875
302.1163,3594.86,137,137,4187.15,154.5816,685000,-8926.3876953125
266.9046,5028.99,138,138,4511.15,82.1408,690000,-6310.79296875
272.2323,5099.52,139,139,4989.92,92.8693,695000,-6038.7470703125
274.7131,4996.6,140,140,4873.93,94.2282,700000,-6582.20947265625
275.9174,4657.01,141,141,4853.21,89.3224,705000,-6991.1328125
265.2055,5025.57,142,142,5056.8,79.7289,710000,-6398.431640625
268.0824,4823.91,143,143,5085.15,87.0927,715000,-5828.705078125
271.0139,4594.63,144,144,5053.65,90.1527,720000,-6271.65673828125
289.0728,4930.9,145,145,5189.03,109.2741,725000,-7874.26953125
276.9726,4754.83,146,146,4847.93,97.3544,730000,-7591.77294921875
262.2232,4988.96,147,147,5060.9,70.9243,735000,-7012.15185546875
271.8786,5048.4,148,148,5080.87,87.1367,740000,-7764.90771484375
275.1881,4542.5,149,149,3332.9,92.3363,745000,-8167.16552734375
258.3376,5048.59,150,150,5114.36,73.2098,750000,-7394.9697265625
264.4916,4606.91,151,151,4889.7,73.7334,755000,-7628.1796875
277.4766,4773.1,152,152,5145.32,93.4977,760000,-8161.29296875
275.2204,4542.37,153,153,3468.79,115.5262,765000,-8894.5830078125
304.5237,2365.59,154,154,1443.47,169.6074,770000,-10983.310546875
283.3251,4126.24,155,155,4639.5,106.3786,775000,-8466.541015625
259.1897,5014.79,156,156,5134.3,61.9306,780000,-7843.64208984375
282.7325,4520.6,157,157,3964.44,104.1035,785000,-9118.3564453125
267.9533,5045.36,158,158,5200.91,83.6975,790000,-8676.228515625
277.8123,4742.49,159,159,4721.39,93.8877,795000,-9016.9794921875
269.4982,4946.61,160,160,5157.08,81.7351,800000,-8368.6357421875
285.8194,5039.75,161,161,4229.44,112.3524,805000,-9613.5888671875
283.4908,4244.18,162,162,3227.59,114.8303,810000,-10149.6318359375
279.7072,4189.59,163,163,4747.48,129.1627,815000,-10860.908203125
263.7681,5073.7,164,164,5156.47,74.2259,820000,-9293.0751953125
268.4938,4827.16,165,165,5113.47,78.0677,825000,-9029.3876953125
278.3664,4221.06,166,166,4891.61,112.089,830000,-10828.931640625
286.1408,3845.18,167,167,4857.83,147.864,835000,-11301.8251953125
268.381,5028.05,168,168,5107.44,75.2055,840000,-9683.19921875
257.7076,5105.88,169,169,5235.86,74.2459,845000,-9302.42578125
267.9485,4705.26,170,170,5195.03,89.4178,850000,-10915.5234375
265.9565,5045.68,171,171,4936.08,78.7933,855000,-10632.822265625
276.8762,4998.77,172,172,4003.23,90.6875,860000,-11056.0048828125
275.4949,4994.53,173,173,4863.08,85.969,865000,-10603.7802734375
289.077,4601.81,174,174,4708.78,115.6431,870000,-11383.53515625
295.8476,4029.62,175,175,1111.08,120.9108,875000,-12084.3916015625
296.0267,4001.12,176,176,3239.1,137.4171,880000,-11135.306640625
282.9104,5086.24,177,177,5213.46,106.7857,885000,-11126.4873046875
266.3763,4882.79,178,178,5172.45,89.5834,890000,-11279.146484375
264.3483,4860.21,179,179,4257.88,77.7747,895000,-11671.234375
267.0435,5039.88,180,180,5081.67,78.6828,900000,-11201.3388671875
265.0303,4826.19,181,181,5102.4,79.225,905000,-11497.7822265625
260.4142,5136.36,182,182,4981.18,80.4588,910000,-11278.2958984375
261.0797,5026.17,183,183,4977.41,73.8035,915000,-10569.783203125
271.8156,4993.5,184,184,4252.0,88.0566,920000,-11249.9462890625
253.5379,5048.7,185,185,2061.66,64.8745,925000,-10997.296875
259.6757,4458.98,186,186,3893.49,77.4525,930000,-11673.4521484375
261.6532,4336.29,187,187,3994.43,73.3908,935000,-12236.154296875
265.7643,4703.38,188,188,4056.99,89.88,940000,-12227.8349609375
240.8519,5065.12,189,189,5218.64,57.5081,945000,-9216.2392578125
249.0568,5147.5,190,190,5255.2,61.5756,950000,-11157.484375
250.6132,5140.27,191,191,5236.8,64.2777,955000,-11513.45703125
259.9204,4122.57,192,192,5122.8,74.3381,960000,-11889.38671875
252.5943,5048.88,193,193,5146.62,56.3239,965000,-11529.2763671875
253.8792,5177.24,194,194,5251.57,70.9701,970000,-11142.873046875
249.6506,5045.87,195,195,5105.39,55.976,975000,-11702.400390625
241.0871,5152.87,196,196,5268.83,48.9134,980000,-10418.232421875
257.4755,5084.7,197,197,5192.55,70.8135,985000,-12420.5126953125
247.553,5115.14,198,198,5213.93,62.6005,990000,-11659.2353515625
246.0248,5119.47,199,199,5202.27,57.5429,995000,-12276.8232421875
242.0577,5048.9,200,200,5196.89,48.9289,1000000,-11132.2919921875
247.5475,5108.83,201,201,5186.01,56.7198,1005000,-11632.224609375
255.8883,4136.03,202,202,5306.68,72.9391,1010000,-11371.4541015625
263.0367,4272.07,203,203,3958.99,104.8441,1015000,-11223.7548828125
277.1332,3651.28,204,204,4636.53,115.9447,1020000,-12292.326171875
281.5046,5092.82,205,205,5144.05,99.1249,1025000,-12628.8828125
263.7284,5103.65,206,206,5035.66,77.6174,1030000,-13005.5888671875
263.5134,5061.2,207,207,5038.26,75.6511,1035000,-13457.1689453125
267.5624,5036.91,208,208,5051.89,80.4092,1040000,-14013.427734375
277.7292,4793.76,209,209,4792.1,96.5866,1045000,-14695.0009765625
279.1551,4754.15,210,210,4881.92,99.5733,1050000,-14846.763671875
323.2976,1410.35,211,211,1589.45,202.7517,1055000,-14516.84765625
407.8832,504.31,212,212,484.78,271.5151,1060000,-14259.369140625
407.2494,546.02,213,213,679.22,268.2575,1065000,-15087.787109375
417.2669,500.9,214,214,467.24,287.1237,1070000,-16251.205078125
433.4976,405.24,215,215,525.69,283.2689,1075000,-16271.904296875
436.1822,372.0,216,216,377.74,279.0122,1080000,-16176.09765625
417.337,271.15,217,217,320.52,276.7443,1085000,-14838.388671875
467.4118,281.2,218,218,294.91,284.131,1090000,-14848.982421875
425.8666,448.47,219,219,407.43,324.7814,1095000,-15787.90625
424.577,383.96,220,220,401.93,382.4562,1100000,-16784.671875
