Running Update Time,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL
173,173,-7879.9013671875,865000,2041.02,19.3593,4745.82,216.1685
174,174,-8594.1357421875,870000,4698.39,23.2482,5240.47,221.9923
175,175,-7675.64404296875,875000,4459.68,15.7346,4985.31,213.9312
176,176,-8706.9296875,880000,2029.98,19.4023,5119.8,215.5323
177,177,-9375.8427734375,885000,2953.62,59.8172,4593.91,230.5711
178,178,-9078.4287109375,890000,4186.37,41.5373,4087.05,224.0656
179,179,-9821.4501953125,895000,1972.21,70.7353,4057.69,236.5599
180,180,-12005.298828125,900000,1444.69,164.2229,1859.48,276.2947
181,181,-10668.2490234375,905000,3385.67,91.4523,3389.77,285.1259
182,182,-7515.39794921875,910000,5231.27,26.386,5065.82,217.6355
183,183,-8086.1025390625,915000,4292.67,26.4034,4379.29,219.9738
184,184,-8975.4638671875,920000,4782.96,28.7971,4836.68,222.6874
185,185,-8805.2236328125,925000,4482.78,37.8771,4661.55,220.7343
186,186,-8564.78515625,930000,3661.52,26.7438,4748.47,229.1667
187,187,-10454.8740234375,935000,3247.46,54.1854,4063.57,236.0409
188,188,-8919.9775390625,940000,3852.06,25.4295,5039.41,218.9038
189,189,-9975.3759765625,945000,3831.12,44.6407,4771.63,226.8544
190,190,-8785.5947265625,950000,5173.02,22.471,5058.53,222.0773
191,191,-8491.4150390625,955000,5189.86,19.0954,5014.45,227.7629
192,192,-8797.9853515625,960000,4728.26,12.6009,4680.3,214.9506
193,193,-9539.263671875,965000,4072.04,22.6526,4970.24,224.9326
194,194,-9737.4423828125,970000,4955.16,19.1689,5052.72,222.8703
195,195,-9082.6884765625,975000,3914.84,31.4888,5280.64,217.9682
196,196,-9536.16015625,980000,2969.38,29.2068,4383.92,215.8227
197,197,-9522.576171875,985000,5296.67,28.7777,5205.84,216.3228
198,198,-9539.0732421875,990000,4062.86,15.9148,4754.6,214.6442
199,199,-10546.892578125,995000,4982.23,34.0651,5191.48,225.9382
200,200,-10275.310546875,1000000,4123.19,30.5827,5063.16,216.9174
201,201,-10393.4599609375,1005000,3274.42,25.7494,5065.84,223.1794
202,202,-10100.5458984375,1010000,4647.9,22.6612,4862.19,221.6677
203,203,-10493.8701171875,1015000,3934.28,20.2657,4730.65,227.7953
204,204,-9924.0419921875,1020000,5046.01,16.7878,5080.96,216.1159
205,205,-9765.9384765625,1025000,5018.2,16.4434,4874.24,221.942
206,206,-9758.3125,1030000,5101.12,29.6536,4892.13,225.5877
207,207,-9889.1201171875,1035000,4314.08,32.4685,4960.07,227.9876
208,208,-10171.7353515625,1040000,4314.65,66.8067,4641.3,231.5327
209,209,-10632.7890625,1045000,4611.6,41.7632,5102.55,227.3622
210,210,-11104.8134765625,1050000,4498.33,28.1374,5185.67,220.3273
211,211,-11413.228515625,1055000,5037.01,46.2927,4765.94,228.9747
212,212,-11300.12890625,1060000,4984.22,39.4136,5223.23,228.7971
213,213,-11061.0888671875,1065000,5056.08,29.8795,5232.3,223.8687
214,214,-10530.5126953125,1070000,5221.91,26.3085,4878.85,220.2219
