Real Det Return,Running Update Time,Reward Loss,Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Running Env Steps
3132.04,112,-1055.7164306640625,15.1833,112,24.5281,2970.66,560000
3158.69,113,-1157.840576171875,16.4025,113,24.1443,2797.59,565000
3128.71,114,-1687.87109375,13.1177,114,24.8444,1932.45,570000
3155.01,115,-1243.9378662109375,13.4926,115,24.3406,2300.46,575000
3148.86,116,-1278.8397216796875,14.567,116,24.1226,2561.06,580000
3163.79,117,-1338.728515625,14.4154,117,23.9086,2654.32,585000
3131.58,118,-1208.4610595703125,15.9633,118,24.7546,3065.54,590000
3143.48,119,-1521.718994140625,13.2219,119,24.4471,2598.11,595000
3158.56,120,-1375.25927734375,13.863,120,24.4609,2425.35,600000
2871.37,121,-1819.2862548828125,17.557,121,24.3264,2066.98,605000
3111.95,122,-1565.6956787109375,14.3744,122,24.3266,2323.31,610000
3119.38,123,-1811.222900390625,13.7391,123,24.6957,2235.96,615000
2882.55,124,-1934.046630859375,12.7407,124,25.0426,1836.22,620000
3186.06,125,-1478.489501953125,14.1435,125,24.5635,1802.85,625000
2377.48,126,-2068.3623046875,13.8763,126,24.5842,1907.05,630000
1779.64,127,-2384.09423828125,14.9568,127,25.4056,1481.32,635000
3190.62,128,-1797.8448486328125,14.1009,128,24.519,2424.45,640000
3168.09,129,-1610.846923828125,14.2411,129,24.6847,2599.02,645000
2765.64,130,-2030.806884765625,13.626,130,24.5616,1852.39,650000
3183.47,131,-1577.128173828125,14.0083,131,24.3464,2088.6,655000
3165.75,132,-1680.222412109375,14.1461,132,24.3658,2220.35,660000
3147.05,133,-1273.7862548828125,14.0352,133,23.8094,2494.5,665000
3137.21,134,-1953.1676025390625,13.4218,134,24.0271,1966.6,670000
3171.07,135,-1502.338623046875,14.6326,135,24.5554,2705.33,675000
3137.5,136,-1757.7801513671875,12.7275,136,24.3965,2132.4,680000
3164.17,137,-1439.0908203125,14.0518,137,24.4246,2416.31,685000
3097.38,138,-1746.7100830078125,13.4816,138,23.9452,2286.13,690000
3170.43,139,-2082.664306640625,12.3304,139,23.6227,1866.5,695000
3164.9,140,-1467.4725341796875,13.9384,140,23.5846,2362.78,700000
2785.09,141,-1822.13720703125,13.1221,141,24.1424,2267.06,705000
3174.37,142,-2153.482421875,12.5608,142,24.1661,2268.59,710000
2475.57,143,-2411.02978515625,14.1218,143,24.5879,1891.94,715000
3195.12,144,-1912.8187255859375,16.1535,144,23.1788,2455.58,720000
2972.99,145,-1813.59521484375,13.1907,145,24.0158,2162.52,725000
2406.56,146,-1993.7952880859375,13.3603,146,23.8881,2003.83,730000
2548.0,147,-2205.26318359375,14.3898,147,24.3078,1884.52,735000
1678.89,148,-2540.32421875,14.2388,148,24.5158,1914.98,740000
1937.24,149,-2275.27294921875,13.6094,149,24.5484,1900.37,745000
1461.15,150,-2274.578369140625,13.0181,150,23.783,1694.67,750000
2656.11,151,-2321.901611328125,13.9865,151,24.4477,1986.72,755000
2089.81,152,-2577.06591796875,14.0897,152,24.8522,1696.37,760000
3160.11,153,-2243.934326171875,13.7657,153,24.0204,2052.08,765000
2398.42,154,-2834.82080078125,14.8389,154,24.8297,1445.9,770000
1520.88,155,-2924.01708984375,15.1309,155,24.7355,1358.84,775000
2918.95,156,-2498.2451171875,13.6565,156,23.9693,1858.38,780000
2244.42,157,-1818.3118896484375,13.4902,157,23.6658,2314.03,785000
3051.02,158,-2366.68408203125,13.8728,158,23.9357,2054.44,790000
3247.6,159,-2061.213134765625,14.7583,159,23.4929,2373.0,795000
2189.75,160,-2914.380615234375,14.9855,160,24.5687,1597.77,800000
1358.94,161,-2999.11865234375,14.6776,161,24.999,1603.67,805000
3268.42,162,-2132.07666015625,16.0287,162,23.4917,1955.57,810000
2403.89,163,-3076.091552734375,17.1421,163,25.0607,1471.22,815000
1555.01,164,-3401.19384765625,15.7159,164,25.0021,1438.91,820000
2126.49,165,-3233.32080078125,23.1579,165,24.6271,1425.39,825000
2324.2,166,-2974.783447265625,16.5732,166,23.795,1347.72,830000
1631.07,167,-3303.109619140625,15.0478,167,25.3537,1439.89,835000
2431.1,168,-3342.99462890625,15.8721,168,24.4892,1444.36,840000
2374.55,169,-2947.95458984375,17.0799,169,24.0176,1922.03,845000
1778.84,170,-2933.648193359375,14.297,170,23.612,1693.71,850000
2673.32,171,-3214.39892578125,15.3373,171,24.3236,1470.58,855000
1193.83,172,-3376.995361328125,15.9557,172,24.6733,1501.31,860000
1988.76,173,-3637.052734375,15.9035,173,24.5207,1480.54,865000
1250.51,174,-3244.2685546875,15.1715,174,24.3649,1665.96,870000
3182.94,175,-2434.619384765625,13.3474,175,23.4075,2480.29,875000
1824.27,176,-3545.547607421875,16.1558,176,24.283,1510.42,880000
2615.0,177,-2673.85400390625,13.6325,177,23.2115,2218.94,885000
2850.44,178,-3091.5361328125,13.109,178,23.7883,1633.4,890000
2829.48,179,-3502.175537109375,15.9809,179,24.2777,1661.34,895000
1607.35,180,-3075.28759765625,16.1824,180,23.3345,1919.68,900000
2029.12,181,-3158.459228515625,13.4146,181,23.8328,1660.23,905000
3327.93,182,-3575.2578125,14.754,182,23.6891,1765.83,910000
2430.08,183,-3436.31005859375,15.0906,183,24.4095,2012.5,915000
3305.12,184,-2576.145751953125,14.5157,184,23.5235,2297.54,920000
2748.51,185,-3318.48583984375,14.3574,185,23.3953,2501.42,925000
3345.88,186,-3626.714599609375,18.6044,186,24.0962,1730.3,930000
2961.39,187,-3260.707763671875,14.3427,187,23.3762,1792.96,935000
1757.2,188,-3013.6806640625,16.6204,188,23.1069,2128.79,940000
3293.03,189,-2197.982421875,14.734,189,23.1532,2693.27,945000
1944.3,190,-2886.251220703125,15.971,190,23.3438,1831.6,950000
3344.76,191,-1943.782958984375,14.0082,191,22.7315,2642.42,955000
2564.99,192,-3532.5361328125,15.3706,192,23.485,1666.38,960000
1564.49,193,-3947.620361328125,17.9633,193,24.4994,1669.72,965000
2602.85,194,-3915.216796875,17.6439,194,23.6294,1912.62,970000
2846.85,195,-3794.695556640625,16.975,195,24.0678,1998.89,975000
1598.57,196,-3836.830078125,18.64,196,23.9872,1606.55,980000
1211.77,197,-3939.16015625,16.9253,197,23.6981,1596.2,985000
3308.6,198,-3069.28125,16.4009,198,23.3454,1953.53,990000
3275.71,199,-2634.955810546875,14.9252,199,23.0694,2261.28,995000
