Real Sto Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Reward Loss,Real Det Return,Running Reverse KL
3507.48,93,18.5763,465000,93,-68.39144134521484,3569.91,11.6129
3516.48,94,18.6955,470000,94,-59.27127456665039,3552.5,11.8514
3368.09,95,18.4181,475000,95,-61.99711608886719,3569.93,11.6655
3466.86,96,18.5952,480000,96,-68.7829818725586,3541.56,11.0575
3256.72,97,18.9453,485000,97,-130.61880493164062,3542.45,13.1295
3112.27,98,18.1838,490000,98,-111.60394287109375,3566.99,12.371
3174.95,99,18.6162,495000,99,-53.123294830322266,3539.38,11.2643
3419.77,100,17.7844,500000,100,-71.3363265991211,3530.85,10.948
3268.61,101,18.6379,505000,101,-89.37081909179688,3508.85,11.2809
3512.97,102,18.9921,510000,102,-77.5282974243164,3521.78,11.8077
3465.03,103,17.9137,515000,103,-94.80205535888672,3511.8,11.6247
3475.48,104,18.2225,520000,104,-110.02340698242188,3533.96,11.2058
3503.75,105,18.364,525000,105,-80.50978088378906,3527.25,11.3779
3430.0,106,19.1971,530000,106,-81.86402893066406,3529.37,11.9943
3504.51,107,18.4076,535000,107,-91.81344604492188,3530.26,11.5471
3488.03,108,18.4265,540000,108,-86.35250091552734,3523.8,11.8735
3491.52,109,18.4424,545000,109,-87.97958374023438,3512.29,11.12
2923.09,110,18.2149,550000,110,-99.38177490234375,3553.53,10.5415
3507.39,111,17.5396,555000,111,-82.2508316040039,3552.18,10.8988
3466.02,112,18.2914,560000,112,-101.67628479003906,3504.54,11.8328
3498.71,113,18.0958,565000,113,-84.55121612548828,3526.29,10.8214
3361.83,114,17.935,570000,114,-91.2853775024414,3596.09,9.9889
3450.98,115,17.8313,575000,115,-116.6257553100586,3496.57,10.9449
3011.59,116,18.2093,580000,116,-103.08197021484375,3525.94,10.7344
3291.76,117,17.6194,585000,117,-126.98265838623047,3507.2,10.819
2270.01,118,19.5647,590000,118,-304.60491943359375,3236.84,13.4039
3248.74,119,17.1262,595000,119,-103.32754516601562,3490.95,10.6006
3442.66,120,17.1884,600000,120,-115.92447662353516,3458.31,10.9323
3155.06,121,17.5821,605000,121,-167.49969482421875,3518.6,10.1171
