Itration,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return,Running Update Time,Running Forward KL
59,295000,3173.43,21.3504,-368.0118408203125,4343.5,59,46.1391
60,300000,4386.93,24.8309,-412.2801513671875,4335.79,60,46.1678
61,305000,4286.97,24.9729,-428.24835205078125,4364.11,61,46.3212
62,310000,4219.74,27.186,-469.7528991699219,4217.69,62,46.3899
63,315000,4311.07,27.2201,-454.72039794921875,4283.32,63,46.8904
64,320000,4164.74,27.7059,-481.4563293457031,4473.79,64,47.2716
65,325000,4290.73,26.4001,-487.2191162109375,4353.91,65,46.6727
66,330000,4239.91,23.3803,-468.4592590332031,4144.77,66,46.1127
67,335000,4414.49,22.9878,-464.1274108886719,4397.22,67,45.8933
68,340000,4334.79,24.2688,-509.698974609375,4342.28,68,46.5432
69,345000,4432.63,24.5428,-509.8278503417969,4403.52,69,46.1094
70,350000,4270.44,23.711,-517.3395385742188,4427.17,70,46.2901
71,355000,4294.23,25.1437,-523.4541015625,4305.54,71,46.8517
72,360000,4298.42,25.2819,-571.827392578125,4305.88,72,46.913
73,365000,3482.61,20.6881,-517.1276245117188,381.32,73,46.3838
74,370000,4273.84,22.484,-532.2196655273438,4265.95,74,45.6362
75,375000,4415.21,24.5956,-565.2835083007812,4440.29,75,46.4732
76,380000,4314.67,23.9817,-526.0402221679688,4252.27,76,45.4284
77,385000,4123.75,21.9388,-570.8588256835938,4214.26,77,45.5767
78,390000,3946.72,24.9374,-628.6807250976562,4347.62,78,46.641
79,395000,4077.18,21.4098,-538.9293212890625,4372.29,79,45.8357
80,400000,2933.14,18.7143,-549.8653564453125,3472.77,80,44.5934
81,405000,3856.72,26.457,-577.087158203125,4567.63,81,45.436
82,410000,3958.33,22.2848,-619.4417724609375,4250.22,82,45.7343
83,415000,4402.07,24.8778,-652.9296875,4359.58,83,45.9886
84,420000,4232.2,23.1851,-662.0404663085938,4194.23,84,46.0243
85,425000,4231.48,26.4588,-609.9697265625,4072.5,85,45.5798
86,430000,4099.11,24.6184,-672.7412719726562,3957.05,86,46.3727
87,435000,4226.41,24.4963,-654.1920776367188,4228.18,87,46.2636
88,440000,4399.69,24.7368,-682.1361694335938,4445.75,88,45.8099
89,445000,4263.09,24.7398,-701.8003540039062,4581.47,89,46.0996
90,450000,4473.39,26.7442,-753.626220703125,4353.55,90,47.0052
91,455000,4210.97,23.9803,-729.4502563476562,4180.54,91,46.7684
92,460000,3708.22,22.1187,-671.5204467773438,4507.56,92,44.9052
93,465000,4461.95,23.901,-735.4801635742188,4378.56,93,46.3377
94,470000,4417.25,25.0195,-776.744873046875,4444.26,94,46.0577
95,475000,4334.13,21.9353,-704.8703002929688,4322.86,95,44.8895
96,480000,2643.34,19.1782,-731.30810546875,4350.88,96,45.8355
97,485000,4217.27,23.7924,-788.8441772460938,4406.57,97,45.8222
98,490000,4165.81,24.8486,-815.1376953125,4350.28,98,45.9239
99,495000,4138.01,22.9347,-753.6030883789062,4226.2,99,45.3658
100,500000,4439.08,22.6284,-756.770263671875,4366.37,100,44.997
101,505000,4465.89,22.8362,-737.2909545898438,4349.24,101,44.7497
102,510000,3593.25,20.0174,-712.4921264648438,4440.08,102,44.0006
103,515000,4465.66,22.4346,-814.8491821289062,4451.02,103,45.3436
104,520000,4474.31,24.0824,-863.560302734375,4413.65,104,45.889
105,525000,4115.5,19.0069,-718.6834106445312,4524.43,105,43.2799
106,530000,4498.97,24.2924,-811.31005859375,4459.95,106,45.8447
107,535000,4515.07,25.4028,-929.5858154296875,4468.23,107,46.7639
108,540000,3612.14,27.5134,-891.2310791015625,4600.13,108,46.9746
109,545000,4476.8,24.4124,-921.3893432617188,4438.14,109,45.7543
110,550000,4507.67,22.9518,-880.8203735351562,4466.9,110,45.6512
111,555000,4495.11,24.4324,-956.7042236328125,4500.9,111,45.6199
112,560000,4390.26,24.2899,-901.2344970703125,4546.85,112,45.8784
113,565000,4575.54,26.1063,-929.9386596679688,4549.44,113,46.5042
114,570000,4290.32,21.9931,-870.5057373046875,4475.14,114,44.8035
115,575000,4546.18,24.1021,-873.3567504882812,4555.48,115,45.528
116,580000,4232.32,23.5774,-981.1246337890625,4528.72,116,45.7048
117,585000,4231.53,26.7403,-958.7020874023438,3845.76,117,46.0223
118,590000,4328.91,24.9073,-995.7192993164062,4542.17,118,46.0943
119,595000,4520.84,22.6308,-961.2954711914062,4542.04,119,45.331
120,600000,4174.64,24.1253,-1041.231201171875,4351.15,120,46.6541
