Running Reverse KL,Running Env Steps,Itration,Reward Loss,Real Sto Return,Running Update Time,Running Forward KL,Real Det Return
13.8971,700000,140,-363.0151062011719,2790.77,140,21.5255,3198.94
13.2216,705000,141,-485.40460205078125,2369.04,141,21.1023,3349.97
14.276,710000,142,-606.173095703125,2517.11,142,22.333,3350.16
14.1076,715000,143,-756.938232421875,1848.29,143,22.9434,1900.61
13.6771,720000,144,-544.701416015625,2523.25,144,22.0133,3319.72
15.5541,725000,145,-747.2855834960938,1827.41,145,23.9837,3336.21
15.4624,730000,146,-646.5867919921875,2199.03,146,22.8153,3022.25
15.2659,735000,147,-649.6510620117188,2066.01,147,23.255,2907.5
15.7429,740000,148,-732.3779907226562,2469.36,148,22.6695,3401.67
15.6754,745000,149,-743.6192016601562,1920.3,149,23.1039,1682.14
14.8704,750000,150,-662.5454711914062,1933.87,150,22.7653,2238.16
15.0086,755000,151,-775.67236328125,2108.84,151,23.9095,3424.56
14.9902,760000,152,-515.5690307617188,2382.37,152,21.8421,3422.04
15.8637,765000,153,-645.0349731445312,2256.01,153,23.5138,2489.14
15.9845,770000,154,-744.6956787109375,1984.98,154,23.2377,2867.02
15.787,775000,155,-819.3848876953125,2015.56,155,23.6784,1692.89
14.7227,780000,156,-616.93798828125,2810.26,156,22.9233,3422.05
14.4327,785000,157,-746.9257202148438,2123.21,157,22.9641,3167.68
13.7932,790000,158,-662.9869384765625,1884.6,158,22.4441,3482.07
14.1818,795000,159,-724.9871826171875,2103.89,159,23.0664,3442.51
14.3963,800000,160,-800.267822265625,1745.67,160,22.894,2313.04
13.7822,805000,161,-711.6519165039062,2338.39,161,22.3639,3042.75
14.7698,810000,162,-690.3132934570312,1902.16,162,22.4091,2992.84
14.368,815000,163,-637.5255737304688,2482.95,163,22.1793,3434.85
15.0909,820000,164,-969.34619140625,2245.29,164,24.0716,2284.77
14.7448,825000,165,-689.675537109375,1959.9,165,22.2864,2634.33
13.7353,830000,166,-853.169189453125,1864.48,166,22.8297,2253.59
14.9012,835000,167,-926.8079223632812,1766.39,167,23.1032,1965.94
13.7628,840000,168,-750.1495971679688,1985.25,168,22.6478,2752.65
13.4571,845000,169,-870.6019897460938,1946.86,169,22.7853,2494.28
14.0255,850000,170,-857.1746826171875,1835.29,170,23.1781,2521.6
14.3158,855000,171,-856.06982421875,2064.29,171,22.8962,2862.31
15.0701,860000,172,-647.5538940429688,2653.6,172,21.4899,3340.18
14.443,865000,173,-945.7484741210938,1884.95,173,23.6979,2669.45
13.5453,870000,174,-783.8436279296875,2086.43,174,21.7418,3162.88
13.8386,875000,175,-655.9972534179688,2878.21,175,22.6147,3246.72
14.0588,880000,176,-749.2620849609375,2536.81,176,22.439,3094.97
13.8413,885000,177,-909.06689453125,2132.69,177,23.0459,2196.2
13.3266,890000,178,-916.2808837890625,2538.2,178,23.1423,2197.63
13.293,895000,179,-716.2708129882812,2266.66,179,21.9975,2990.7
12.8454,900000,180,-840.2811279296875,2262.69,180,22.3074,2051.1
13.2955,905000,181,-833.7791137695312,2052.07,181,22.4917,1844.67
12.5868,910000,182,-1250.2554931640625,1495.21,182,23.6372,2398.71
12.8364,915000,183,-914.1763305664062,2599.61,183,22.0689,2996.99
13.2588,920000,184,-1117.056884765625,1966.14,184,22.7097,1946.7
13.6722,925000,185,-1038.4871826171875,1956.8,185,22.7771,1969.67
12.4272,930000,186,-1150.2857666015625,1992.35,186,23.1289,1952.09
12.9776,935000,187,-1095.1446533203125,1948.86,187,22.6589,1828.74
13.537,940000,188,-1113.177978515625,1776.01,188,23.239,1769.07
12.9632,945000,189,-1105.4886474609375,1781.43,189,22.8668,1965.56
12.9742,950000,190,-1134.2218017578125,1972.54,190,22.6998,2179.28
13.1414,955000,191,-1150.3336181640625,1802.88,191,23.1714,1857.71
13.3787,960000,192,-1130.675048828125,2241.35,192,22.9135,1831.22
13.2006,965000,193,-1099.308349609375,2276.8,193,22.6826,2239.64
13.8427,970000,194,-1159.736572265625,1851.51,194,23.1871,1891.3
13.928,975000,195,-1199.4300537109375,2107.08,195,23.3126,2132.81
14.3198,980000,196,-1238.4849853515625,1854.12,196,23.6076,1987.13
13.4517,985000,197,-1019.5025024414062,1857.41,197,22.9992,1970.4
13.4641,990000,198,-992.5474853515625,1946.31,198,22.3586,2033.1
13.7203,995000,199,-1013.6903686523438,2136.49,199,22.8837,2456.64
