Running Update Time,Running Reverse KL,Itration,Running Forward KL,Running Env Steps,Reward Loss,Real Det Return,Real Sto Return
60,11.9368,60,17.7893,300000,-322.61712646484375,3451.34,3404.52
61,13.1372,61,19.0235,305000,-267.10479736328125,3449.07,3419.68
62,14.0429,62,20.4481,310000,-240.50279235839844,3431.32,3415.45
63,12.4476,63,17.4452,315000,-341.9046936035156,3420.9,3301.57
64,10.1065,64,16.2384,320000,-348.95965576171875,3368.22,3358.17
65,11.1809,65,16.6288,325000,-326.9910583496094,3394.14,3373.74
66,10.9375,66,16.7632,330000,-351.0354919433594,3410.04,3367.47
67,11.7253,67,17.8546,335000,-364.2152404785156,3435.88,3406.64
68,11.0697,68,17.2528,340000,-353.40533447265625,3405.12,3383.52
69,11.3732,69,16.996,345000,-341.0000305175781,3451.44,3425.6
70,11.5984,70,17.2273,350000,-336.8031921386719,3426.73,3393.15
71,10.8378,71,16.9432,355000,-292.0234375,3497.71,3434.23
72,11.576,72,17.1844,360000,-368.9898681640625,3450.22,3398.63
73,11.6667,73,18.4197,365000,-497.0342712402344,3436.28,3397.76
74,12.1043,74,17.827,370000,-362.21923828125,3456.92,3411.42
75,12.0699,75,17.1439,375000,-336.5350036621094,3476.35,3421.39
76,12.1235,76,17.7895,380000,-428.8658752441406,3453.43,3403.7
77,11.4792,77,17.7976,385000,-401.1123046875,3426.43,3368.06
78,13.5428,78,18.567,390000,-483.9754943847656,3401.55,3089.85
79,11.5658,79,18.0419,395000,-385.1720275878906,3418.13,3396.17
80,11.8873,80,17.7912,400000,-434.8691101074219,3418.72,3361.0
81,10.7872,81,17.1649,405000,-406.1876525878906,3426.65,3392.74
82,11.9289,82,18.4456,410000,-489.71990966796875,3457.99,3421.06
83,11.6252,83,18.3073,415000,-374.94268798828125,3476.34,3354.41
84,10.588,84,16.4871,420000,-360.6351318359375,3455.04,3420.58
85,11.7778,85,18.1313,425000,-424.238525390625,3466.65,3394.89
86,12.3831,86,18.621,430000,-429.75390625,3449.98,3423.19
87,12.0603,87,18.0511,435000,-415.7704162597656,3478.59,3434.16
88,11.841,88,17.7885,440000,-461.7951965332031,3479.98,3398.36
89,11.0447,89,16.5823,445000,-444.6196594238281,3427.82,3391.83
90,10.6212,90,16.644,450000,-398.21630859375,3479.77,3369.69
91,11.9138,91,18.3722,455000,-288.3291015625,3492.27,3452.09
92,12.4697,92,17.6526,460000,-446.9757995605469,3440.63,3372.1
93,11.9052,93,17.2308,465000,-445.63409423828125,3458.77,3411.44
94,11.3708,94,17.1948,470000,-457.43280029296875,3463.97,3401.3
95,11.5821,95,17.4524,475000,-457.2673645019531,3452.91,3383.71
96,11.0083,96,16.8102,480000,-470.3250427246094,3441.94,3394.83
97,11.436,97,17.6162,485000,-426.6591796875,3431.09,3387.76
98,11.7859,98,17.8427,490000,-491.9440002441406,3448.52,3389.2
99,11.8251,99,17.4889,495000,-538.455078125,3428.27,3385.56
100,11.9107,100,17.7843,500000,-478.3988037109375,3454.44,3257.45
101,12.8618,101,18.3621,505000,-544.2045288085938,3456.52,3225.84
102,11.9772,102,17.6758,510000,-518.7697143554688,3446.8,3396.38
103,11.5239,103,17.6069,515000,-454.2536315917969,3497.76,3455.25
104,11.7887,104,17.0934,520000,-504.83428955078125,3464.19,3436.64
105,12.6489,105,17.8669,525000,-504.16650390625,3488.88,3446.85
106,11.9352,106,17.1185,530000,-506.7195739746094,3456.94,3440.19
107,13.98,107,17.1355,535000,-582.26611328125,3469.15,3463.88
108,10.9206,108,17.6751,540000,-442.53131103515625,3448.89,3293.21
109,12.8857,109,17.3661,545000,-660.0610961914062,3447.95,3324.94
110,11.5612,110,17.9959,550000,-482.0537414550781,3480.71,3256.34
111,13.1451,111,18.2773,555000,-569.248291015625,3482.5,3341.63
112,12.2423,112,18.0245,560000,-533.46630859375,3465.48,3291.5
113,11.9098,113,17.0528,565000,-502.73187255859375,3420.38,3427.65
114,17.2302,114,18.005,570000,-731.1268920898438,3480.52,3289.35
115,11.8555,115,17.7181,575000,-557.7252197265625,3426.75,3409.34
116,11.3361,116,17.4592,580000,-555.52392578125,3444.89,3393.09
117,12.124,117,18.4277,585000,-590.56591796875,3450.64,3393.71
118,12.6899,118,18.364,590000,-584.9822387695312,3448.91,3427.94
119,17.3585,119,19.0526,595000,-1011.0285034179688,3467.48,2789.93
120,10.7444,120,16.8051,600000,-467.3268127441406,3464.47,3246.61
121,11.9188,121,17.3006,605000,-630.9490356445312,3500.71,3458.81
122,11.6694,122,17.9665,610000,-535.86376953125,3491.53,3345.42
123,12.1863,123,17.8079,615000,-647.3598022460938,3462.0,3379.6
124,11.8273,124,17.7705,620000,-678.6343383789062,3380.64,3379.68
125,12.1173,125,18.0114,625000,-540.2833251953125,3434.13,3321.57
126,11.77,126,17.4515,630000,-587.6494750976562,3459.13,3422.25
127,15.8599,127,17.6517,635000,-825.70751953125,3498.49,3067.48
128,12.9524,128,18.9589,640000,-779.5853881835938,3438.96,3243.67
129,11.9885,129,17.2935,645000,-669.6134033203125,3430.82,3411.89
130,10.9199,130,16.6622,650000,-580.536865234375,3447.63,3419.82
131,12.7257,131,18.2546,655000,-752.6010131835938,3481.33,3131.34
132,31.5307,132,17.8611,660000,-1339.3577880859375,3463.66,2937.63
133,12.4433,133,18.2819,665000,-659.5922241210938,3436.76,3433.15
134,14.186,134,17.7386,670000,-894.3701171875,3432.53,3112.04
135,11.4119,135,17.5748,675000,-652.0568237304688,3494.59,3338.01
136,10.9066,136,17.3035,680000,-558.1150512695312,3430.17,3334.49
137,20.9156,137,19.1115,685000,-1083.1922607421875,3460.87,2911.48
138,11.8067,138,17.8217,690000,-638.803955078125,3432.02,3416.19
139,10.9125,139,16.936,695000,-550.2783813476562,3467.46,3423.62
140,12.0651,140,17.8491,700000,-631.7007446289062,3484.52,3169.53
141,12.2906,141,17.3188,705000,-660.5650024414062,3457.76,3431.33
142,14.3893,142,17.5565,710000,-821.1702270507812,3394.44,3256.31
143,11.061,143,16.7594,715000,-681.369384765625,3445.77,3397.32
144,11.4622,144,17.2638,720000,-671.33935546875,3452.01,3421.55
145,12.0108,145,17.6406,725000,-652.1547241210938,3484.62,3374.0
146,11.6307,146,18.0868,730000,-745.9080810546875,3405.3,3374.4
147,12.3378,147,18.5792,735000,-730.0538940429688,3478.64,3154.72
148,11.8014,148,17.648,740000,-691.8030395507812,3472.12,3412.51
149,16.2346,149,18.3621,745000,-1044.3221435546875,3454.7,2799.42
150,16.288,150,17.6596,750000,-946.170654296875,3466.62,2348.54
151,11.8501,151,17.2862,755000,-760.3327026367188,3461.83,3408.47
152,12.3476,152,18.0014,760000,-792.00537109375,3487.33,3455.24
153,12.8223,153,18.2762,765000,-769.7482299804688,3435.52,3400.55
154,13.4707,154,18.7373,770000,-845.8319702148438,3485.37,3015.96
155,10.7616,155,16.3855,775000,-608.460693359375,3430.52,3400.71
156,12.4637,156,18.0093,780000,-776.1783447265625,3489.21,3451.39
157,20.2265,157,18.5714,785000,-1064.6865234375,3470.93,3194.6
158,11.9007,158,17.7124,790000,-703.4878540039062,3476.63,3350.24
159,21.8015,159,18.1261,795000,-1116.25830078125,3461.43,2613.94
160,13.3115,160,17.0912,800000,-836.96826171875,3437.13,3134.66
161,12.1763,161,17.4529,805000,-780.1260986328125,3481.78,3328.04
162,12.3465,162,18.0208,810000,-792.0386352539062,3482.01,3442.62
163,11.7746,163,17.4722,815000,-708.8711547851562,3491.04,3474.37
164,12.4104,164,17.9521,820000,-782.7969970703125,3477.96,3448.24
165,11.9238,165,17.7093,825000,-772.2337646484375,3536.54,3360.68
166,12.1966,166,17.9755,830000,-830.005126953125,3461.44,3435.07
167,12.3953,167,17.0917,835000,-773.0989990234375,3466.89,3426.22
168,12.4285,168,18.5013,840000,-969.1531372070312,3499.71,3427.39
169,12.1917,169,17.6986,845000,-793.3740234375,3506.69,3461.21
170,11.4018,170,17.5642,850000,-772.8736572265625,3500.17,3013.88
171,12.0347,171,17.2367,855000,-875.5879516601562,3482.74,3198.31
172,11.6778,172,18.1379,860000,-893.520751953125,3460.07,3397.82
173,12.4623,173,17.8397,865000,-927.3110961914062,3469.96,3456.43
174,11.5548,174,17.2939,870000,-809.8126220703125,3488.03,3456.4
175,11.4363,175,17.5087,875000,-857.7982788085938,3480.27,3444.01
176,11.5384,176,17.0003,880000,-820.9644775390625,3436.5,3400.1
177,12.2661,177,17.8703,885000,-941.9539184570312,3482.87,3428.26
178,11.5894,178,17.7573,890000,-873.9207153320312,3489.08,3428.97
179,13.3356,179,18.308,895000,-971.8087768554688,3524.53,3487.75
180,12.0457,180,17.2539,900000,-864.2615966796875,3425.74,3410.27
181,13.2285,181,17.4558,905000,-918.6287231445312,3484.93,3451.32
182,11.7812,182,17.0519,910000,-897.4051513671875,3425.36,3398.48
183,11.8156,183,17.1181,915000,-858.9091186523438,3482.05,3460.68
184,11.5125,184,17.0172,920000,-834.9722290039062,3465.01,3413.17
185,12.208,185,17.3965,925000,-867.306884765625,3493.33,3430.78
186,12.7677,186,17.8061,930000,-943.726806640625,3457.61,3441.54
187,11.8186,187,17.6087,935000,-946.932861328125,3465.01,3440.91
188,11.9692,188,17.6447,940000,-972.34423828125,3494.69,3456.03
189,11.2712,189,16.3734,945000,-849.4139404296875,3465.41,3439.38
190,11.8573,190,17.0994,950000,-925.2591552734375,3489.54,3443.3
191,11.2292,191,17.1258,955000,-1049.9232177734375,3491.38,3341.61
192,12.1011,192,16.7729,960000,-1048.3096923828125,3451.5,3336.42
193,12.6643,193,17.3513,965000,-863.8902587890625,3487.77,3291.63
194,12.0012,194,17.3814,970000,-987.576904296875,3442.11,3408.23
195,10.4632,195,16.5875,975000,-952.0770263671875,3463.59,3439.33
196,11.5838,196,17.4736,980000,-951.2265014648438,3449.83,3430.38
197,11.4929,197,17.4623,985000,-1139.6612548828125,3460.73,3413.81
198,11.5665,198,17.4083,990000,-993.90576171875,3506.86,3476.54
199,10.9175,199,16.643,995000,-956.2020263671875,3428.44,3437.4
