Running Env Steps,Real Det Return,Reward Loss,Running Update Time,Itration,Running Reverse KL,Running Forward KL,Real Sto Return
170000,3076.79,-620.1717529296875,34,34,16.6064,25.4353,2898.93
175000,3080.03,-995.7158203125,35,35,16.2653,25.0094,2455.26
180000,3104.47,-714.8566284179688,36,36,17.5495,25.5109,2636.12
185000,2993.13,-994.467041015625,37,37,16.0512,25.6132,2440.67
190000,2928.01,-882.9968872070312,38,38,16.6496,25.3866,2332.42
195000,1954.54,-1013.1015625,39,39,16.3644,25.5143,2471.06
200000,3106.39,-964.6036987304688,40,40,18.4857,25.5443,2601.15
205000,3095.99,-987.0264892578125,41,41,21.314,25.8159,2871.08
210000,3166.32,-939.1018676757812,42,42,19.8931,25.254,2360.82
215000,3175.21,-1430.1102294921875,43,43,24.521,25.4039,2397.48
220000,3093.65,-1262.9442138671875,44,44,21.9168,25.517,2609.48
225000,3096.63,-737.3165283203125,45,45,17.3646,24.671,3022.76
230000,3128.3,-1006.1631469726562,46,46,20.2396,24.3502,2759.79
235000,3166.81,-1089.6279296875,47,47,21.0279,25.0352,2744.79
240000,3054.22,-1867.52880859375,48,48,30.5202,25.0639,2614.33
245000,3198.06,-705.6220703125,49,49,17.4507,24.69,2654.5
250000,3194.86,-1085.1279296875,50,50,21.0324,24.7538,2578.31
255000,3081.85,-973.015380859375,51,51,18.9218,24.5596,3117.86
260000,3132.99,-1263.8885498046875,52,52,21.5461,25.1325,2938.1
265000,3212.4,-1962.4039306640625,53,53,22.3647,25.2668,2215.32
270000,3131.67,-1295.4853515625,54,54,19.8508,24.86,2826.29
275000,3159.39,-1788.9461669921875,55,55,29.046,24.7683,2416.14
280000,3166.55,-1596.2584228515625,56,56,25.8946,25.0341,2514.91
285000,3161.13,-1204.4525146484375,57,57,21.2905,24.8013,2586.34
290000,3172.12,-1381.607666015625,58,58,22.867,24.8983,3055.21
295000,3175.67,-2156.100830078125,59,59,32.5762,25.3559,2188.06
300000,3168.53,-1578.3870849609375,60,60,24.6895,25.1134,2502.94
305000,3063.86,-2424.1171875,61,61,33.1186,24.9438,1631.55
310000,3169.52,-2447.73828125,62,62,33.4016,25.0301,2037.95
315000,2988.03,-2652.087646484375,63,63,43.0123,24.9522,1780.85
320000,3152.63,-2021.283203125,64,64,30.6871,24.8247,2468.3
325000,3164.87,-2101.9541015625,65,65,28.8594,25.0144,2206.59
330000,3143.83,-2622.60791015625,66,66,35.6413,24.5086,2084.17
335000,3147.25,-1548.718994140625,67,67,23.2511,24.2516,2905.88
340000,3159.01,-1657.2674560546875,68,68,22.6756,24.6505,2722.22
345000,3162.39,-1267.792724609375,69,69,18.5932,24.4995,2959.4
350000,3168.43,-1858.3492431640625,70,70,25.8727,24.7976,2772.79
355000,3160.0,-2174.364013671875,71,71,19.8358,24.2715,2129.95
360000,3189.1,-2321.775146484375,72,72,27.6714,24.5225,2632.28
365000,3154.77,-2240.94580078125,73,73,25.9254,24.3162,2732.42
370000,3103.39,-1289.0902099609375,74,74,18.1367,24.1704,2925.36
375000,3143.1,-1570.8680419921875,75,75,20.2233,23.7468,3034.76
380000,3116.31,-1041.6712646484375,76,76,17.3421,25.115,3124.27
385000,3110.56,-2258.633544921875,77,77,24.5247,24.3039,2910.63
390000,3098.7,-1579.3817138671875,78,78,18.1166,24.1369,2911.23
395000,3111.68,-1068.640625,79,79,16.1947,24.3022,3102.05
400000,3129.06,-1106.61669921875,80,80,16.843,24.7108,3119.24
405000,3115.11,-1572.8211669921875,81,81,18.2725,24.1959,2892.79
410000,3083.71,-1486.0882568359375,82,82,18.7217,23.9376,2866.49
415000,3167.87,-2079.947021484375,83,83,20.768,24.2182,2791.8
420000,3148.75,-2364.15625,84,84,24.1188,24.2007,2818.68
425000,3111.37,-1417.8040771484375,85,85,16.7577,24.1682,3019.46
430000,3095.79,-1387.4124755859375,86,86,16.7882,24.3571,3100.52
435000,3118.43,-2315.64111328125,87,87,24.0986,23.7135,2885.08
440000,3142.8,-1676.0880126953125,88,88,18.155,23.9228,3034.42
445000,3119.82,-1753.914794921875,89,89,18.0273,23.8891,2856.98
450000,3168.07,-2322.229248046875,90,90,19.5812,24.0357,2773.15
455000,3137.88,-2400.3779296875,91,91,22.0978,23.5677,2601.24
460000,3147.42,-2113.905029296875,92,92,22.3067,24.4579,2723.39
465000,3114.23,-2344.25390625,93,93,22.9323,24.0279,2825.19
470000,3156.13,-1518.23095703125,94,94,17.4481,24.0711,3068.62
475000,3123.81,-2044.3323974609375,95,95,23.6933,23.6997,3045.78
480000,3149.07,-1984.8812255859375,96,96,19.4905,23.6251,3142.58
485000,3128.17,-1329.1844482421875,97,97,16.6759,24.7805,3033.35
490000,3167.26,-2338.470947265625,98,98,23.8502,23.3063,2356.73
495000,3148.98,-1586.6546630859375,99,99,17.526,24.0785,3024.07
500000,3163.53,-1344.0135498046875,100,100,16.8154,24.2239,2975.31
505000,3173.49,-2729.66748046875,101,101,21.11,23.7182,2274.25
510000,3144.23,-2104.09375,102,102,20.8474,23.5881,3052.29
515000,3157.1,-1545.269287109375,103,103,16.6369,23.7707,2932.67
520000,3154.78,-1893.0670166015625,104,104,18.8234,23.4717,3042.98
525000,3152.74,-2535.17626953125,105,105,20.1811,23.682,2914.83
530000,3149.79,-1951.3582763671875,106,106,18.5096,23.9153,3042.63
535000,3139.89,-1957.83203125,107,107,17.7262,23.2288,2916.33
540000,3154.98,-1822.376220703125,108,108,17.0329,23.6936,2911.64
545000,3136.41,-1610.14599609375,109,109,15.8684,23.4127,3052.87
550000,3164.21,-2532.739013671875,110,110,22.3942,23.3299,2861.66
555000,3171.04,-2595.999267578125,111,111,20.3954,23.2173,2891.66
560000,3165.71,-1574.814208984375,112,112,16.666,23.4988,3046.67
565000,3157.27,-2831.379638671875,113,113,22.1262,23.3359,2664.74
570000,3166.9,-1998.1204833984375,114,114,18.2488,23.3169,2516.1
575000,3164.46,-2053.9853515625,115,115,18.2436,23.0071,2967.07
580000,3153.3,-1983.6773681640625,116,116,16.4586,23.2268,2862.09
585000,3188.38,-2512.20703125,117,117,18.6694,22.9711,2699.51
590000,3185.97,-2883.8916015625,118,118,21.619,23.2707,2774.65
595000,3158.2,-2718.911865234375,119,119,19.0614,22.2807,2559.96
600000,3172.11,-2917.180419921875,120,120,20.6591,22.8488,2874.39
605000,3170.16,-2188.220458984375,121,121,17.1353,23.2538,2324.05
610000,3164.91,-2755.3544921875,122,122,24.8264,23.2912,2898.72
615000,3147.77,-1946.365234375,123,123,17.2191,23.3566,3051.6
620000,3182.24,-3208.754638671875,124,124,27.8178,22.6064,2523.46
625000,3154.54,-2066.514892578125,125,125,17.5174,22.6289,3067.92
630000,3175.09,-2850.62451171875,126,126,23.2539,22.7738,2816.52
635000,3164.87,-1895.3804931640625,127,127,16.7913,22.4047,3119.86
640000,3158.0,-2238.133544921875,128,128,17.1424,22.7405,3039.92
645000,3173.31,-1922.1845703125,129,129,16.7659,22.4597,3105.27
650000,3171.89,-3270.436767578125,130,130,26.9921,22.9408,2536.38
655000,3137.3,-1694.417236328125,131,131,15.1186,23.446,3140.86
660000,3166.26,-1741.59130859375,132,132,15.2117,22.7537,3075.16
665000,3189.13,-2779.734619140625,133,133,20.1226,22.6593,2979.11
670000,3184.12,-3878.69873046875,134,134,34.4042,22.1995,2465.64
675000,3171.14,-2043.5169677734375,135,135,17.3252,22.9325,3161.92
680000,3176.95,-2714.2451171875,136,136,21.7227,22.734,3016.7
685000,3129.8,-2555.21240234375,137,137,18.8467,22.3403,2915.57
690000,3161.62,-2582.898681640625,138,138,20.0777,22.5882,2760.05
695000,3151.9,-2493.593505859375,139,139,18.2278,22.7158,3060.01
700000,3187.69,-2660.698974609375,140,140,20.9439,22.3733,2787.24
705000,3167.29,-1831.9544677734375,141,141,14.9312,23.0427,3162.99
710000,3175.76,-2430.701904296875,142,142,16.2028,22.3729,3101.85
715000,3161.98,-2794.3935546875,143,143,19.1056,22.2357,3062.99
720000,3151.84,-2638.604736328125,144,144,17.0123,22.8387,2800.56
725000,3167.87,-2243.147216796875,145,145,16.7904,23.1993,3129.83
730000,3169.02,-2663.4384765625,146,146,18.3987,22.1731,2767.59
735000,3174.99,-1797.929931640625,147,147,14.6205,22.5479,3009.89
740000,3177.25,-2811.967041015625,148,148,19.9118,22.5686,3120.81
745000,3177.19,-3182.96337890625,149,149,19.7521,22.4354,3093.26
750000,3183.14,-2833.778076171875,150,150,18.8551,22.7039,3095.71
755000,3153.04,-2324.39208984375,151,151,15.7575,22.8396,3120.02
760000,3171.86,-3265.905029296875,152,152,17.9835,22.7509,2593.19
765000,3158.03,-2403.01611328125,153,153,15.409,22.7942,3095.22
770000,3145.94,-2719.3896484375,154,154,17.1944,22.7259,2890.81
775000,3174.98,-2302.15869140625,155,155,15.3655,22.6103,2923.37
780000,3178.84,-2020.0489501953125,156,156,14.4892,22.8314,3092.65
785000,3180.39,-2847.0419921875,157,157,19.5716,22.8366,2845.07
790000,3148.68,-2046.7708740234375,158,158,14.5879,22.5282,3153.46
795000,3177.04,-3474.145263671875,159,159,24.1386,22.3988,2503.17
