Running Env Steps,Real Sto Return,Running Update Time,Running Reverse KL,Itration,Real Det Return,Reward Loss,Running Forward KL
625000,4084.49,125,20.0749,125,4286.84,-623.1165771484375,43.3783
630000,4092.68,126,17.8521,126,4125.91,-648.1047973632812,42.8393
635000,3904.26,127,18.8851,127,4263.69,-617.4224853515625,43.5322
640000,2119.94,128,17.3263,128,1837.31,-716.0133056640625,44.9657
645000,4125.92,129,19.2241,129,4179.58,-634.902587890625,42.9509
650000,4132.24,130,18.4152,130,4244.1,-662.923828125,42.7624
655000,4026.94,131,17.9349,131,4202.97,-641.1826171875,42.7185
660000,4074.07,132,18.0398,132,4166.63,-674.36083984375,42.8926
665000,4106.19,133,18.0659,133,4168.52,-677.2657470703125,43.5523
670000,4116.19,134,18.6612,134,4197.83,-695.944091796875,43.3056
675000,4136.59,135,16.8563,135,4207.67,-701.8915405273438,42.8137
680000,4162.06,136,18.1558,136,4239.82,-732.9805908203125,43.6358
685000,4108.34,137,18.1015,137,4188.18,-708.1018676757812,43.1772
690000,3941.04,138,17.9087,138,4155.15,-759.135986328125,43.6665
695000,4099.46,139,19.0073,139,4168.52,-743.33642578125,43.5302
700000,4131.08,140,17.6231,140,4228.62,-749.109375,43.2984
705000,4138.99,141,18.7376,141,4182.93,-731.7001953125,42.8341
710000,4085.39,142,17.9385,142,4101.86,-769.3115844726562,43.4833
715000,4150.48,143,19.1767,143,4148.57,-748.041259765625,43.3855
720000,3624.14,144,17.968,144,4265.43,-767.6182861328125,43.5938
725000,4191.2,145,19.0583,145,4221.21,-773.582763671875,43.3564
730000,4108.75,146,18.1232,146,4157.83,-780.2255249023438,43.2271
735000,4137.39,147,18.9055,147,4214.86,-768.3602294921875,43.4469
740000,4181.45,148,18.394,148,4293.21,-831.0128784179688,43.9982
745000,4130.84,149,19.6423,149,4153.96,-834.3341064453125,43.578
750000,4220.45,150,19.5202,150,4245.72,-802.0079956054688,43.3036
755000,4205.58,151,18.4931,151,4276.21,-808.5523681640625,43.3657
760000,4148.14,152,19.0779,152,4246.14,-843.3072509765625,43.4624
765000,3995.73,153,16.6625,153,4005.16,-829.3388061523438,43.105
770000,3954.8,154,18.4633,154,4033.71,-865.0493774414062,43.2159
775000,4109.01,155,18.7168,155,4106.23,-868.584716796875,43.2808
780000,4235.3,156,18.8234,156,4335.99,-877.8840942382812,43.4027
785000,4182.0,157,18.0012,157,4244.49,-850.108154296875,43.235
790000,4116.24,158,18.0768,158,4168.52,-863.1531372070312,43.382
795000,4160.59,159,18.3008,159,4207.12,-923.6474609375,43.4663
800000,3297.08,160,19.2792,160,4467.55,-874.149658203125,44.5456
805000,4081.18,161,20.9223,161,4212.58,-903.5033569335938,43.9227
810000,4147.13,162,19.4815,162,4209.57,-889.0511474609375,43.3609
815000,3770.9,163,18.2884,163,3363.63,-910.4708862304688,43.8321
820000,-3.43,164,36.1801,164,-3.17,-1095.8353271484375,46.474
825000,4238.93,165,20.6644,165,4313.0,-959.5997924804688,44.2935
830000,4077.67,166,16.6103,166,4147.32,-987.0057983398438,43.762
835000,918.74,167,14.7915,167,1343.78,-1125.578857421875,44.8962
840000,3078.11,168,18.9458,168,1693.16,-976.3329467773438,44.1375
845000,4230.37,169,18.5443,169,4273.44,-960.4635620117188,43.3982
850000,4161.4,170,20.1384,170,4286.61,-949.3611450195312,43.8107
855000,3871.78,171,16.8708,171,826.91,-1110.91357421875,44.8632
860000,4106.91,172,17.6215,172,4404.65,-999.8048095703125,43.5043
865000,4139.32,173,18.206,173,4179.86,-1005.4984130859375,43.3788
870000,4200.55,174,17.8462,174,4276.28,-1037.79736328125,43.651
875000,4229.68,175,17.7429,175,4294.34,-1050.1419677734375,44.1673
880000,4237.56,176,17.567,176,4309.17,-1023.5476684570312,43.3927
885000,4053.06,177,17.8334,177,4260.31,-1026.8834228515625,43.591
890000,4112.46,178,17.6636,178,4173.63,-1058.7259521484375,43.4339
895000,1962.98,179,16.1292,179,3458.26,-1121.988525390625,44.1502
900000,3969.41,180,20.1363,180,4108.97,-1051.17333984375,43.7103
905000,4198.91,181,21.422,181,4326.22,-1074.4888916015625,44.6532
910000,4148.4,182,18.8171,182,4232.83,-1100.7757568359375,43.8577
915000,4150.42,183,19.1708,183,4200.07,-1136.36279296875,43.4182
920000,4068.46,184,18.2526,184,4058.42,-1073.12890625,42.9173
925000,3775.85,185,19.6531,185,4096.92,-1142.8504638671875,44.0132
930000,4150.78,186,19.6586,186,4291.89,-1178.1402587890625,43.2847
935000,4035.43,187,19.2586,187,4225.83,-1195.7608642578125,43.8029
940000,4312.38,188,19.7123,188,4381.74,-1156.20068359375,44.0677
945000,4152.12,189,19.2229,189,4207.61,-1150.0057373046875,43.5193
950000,3885.05,190,18.1226,190,4408.57,-1087.18896484375,43.3727
955000,4173.24,191,19.0712,191,4261.42,-1153.507568359375,43.6819
960000,4055.83,192,18.9505,192,4415.53,-1165.161865234375,44.0475
965000,4346.28,193,17.9189,193,4491.6,-1164.716064453125,43.686
970000,4034.68,194,17.1921,194,4221.81,-1217.39501953125,43.2855
975000,4186.23,195,17.7172,195,4361.1,-1152.98828125,43.8243
980000,3417.03,196,17.2454,196,4315.01,-1221.173828125,44.5661
985000,4196.95,197,18.4259,197,4280.98,-1168.6422119140625,43.1149
990000,4211.04,198,18.3478,198,4277.93,-1223.5164794921875,43.2082
995000,4241.1,199,17.9668,199,4306.31,-1203.5526123046875,43.5009
1000000,4199.11,200,18.8864,200,4215.62,-1213.6422119140625,43.3589
1005000,4252.38,201,19.0088,201,4302.18,-1232.32666015625,44.0484
1010000,4294.7,202,19.1517,202,4352.92,-1237.7286376953125,43.6704
1015000,4335.48,203,19.6051,203,4361.18,-1265.9072265625,43.5568
1020000,4223.15,204,18.4052,204,4297.53,-1291.4227294921875,43.8819
1025000,4314.11,205,19.5484,205,4350.68,-1281.8089599609375,43.7801
1030000,4263.97,206,18.2142,206,4344.15,-1301.2550048828125,43.5095
1035000,4296.9,207,19.7439,207,4339.86,-1331.9351806640625,44.0592
1040000,4237.73,208,19.4117,208,4290.89,-1338.0433349609375,43.7373
1045000,4213.65,209,18.8421,209,4223.32,-1289.8502197265625,43.3525
1050000,4285.75,210,20.2983,210,4328.86,-1340.95654296875,43.3751
1055000,4243.95,211,19.395,211,4256.73,-1359.84716796875,43.5799
1060000,4259.13,212,19.3496,212,4262.41,-1369.1617431640625,43.5522
1065000,4076.69,213,20.0551,213,4406.98,-1441.7652587890625,44.32
1070000,4295.12,214,20.9528,214,4294.54,-1362.5948486328125,43.5497
1075000,4203.16,215,20.6003,215,4248.6,-1414.943603515625,44.049
1080000,4245.35,216,21.4359,216,4286.93,-1424.665771484375,44.3739
1085000,4313.16,217,21.7247,217,4276.07,-1364.0052490234375,43.8997
1090000,4217.33,218,20.587,218,4232.44,-1446.5306396484375,44.4196
1095000,543.17,219,70.3251,219,672.4,-1754.1031494140625,48.9075
1100000,242.34,220,84.7078,220,262.15,-1858.58056640625,51.1778
1105000,271.55,221,80.2585,221,310.53,-1470.0465087890625,49.8474
1110000,322.85,222,20.4079,222,313.05,-2109.943603515625,49.9731
1115000,479.73,223,35.8109,223,503.41,-1892.5057373046875,48.7524
1120000,507.78,224,31.8197,224,559.17,-1869.095703125,47.7489
1125000,360.32,225,22.544,225,351.06,-2098.271728515625,48.6264
1130000,2335.53,226,18.5758,226,765.32,-1599.2119140625,43.9598
1135000,997.66,227,16.0215,227,-2.18,-1715.778564453125,45.4484
1140000,1307.02,228,15.4571,228,1981.57,-1775.597412109375,44.6875
1145000,3641.42,229,21.7211,229,4018.12,-1653.580078125,44.7009
1150000,3102.82,230,19.4242,230,3152.92,-1684.99365234375,44.3397
1155000,3180.75,231,25.5921,231,2358.76,-1717.66259765625,44.9009
1160000,3595.19,232,20.6265,232,3050.05,-1732.313720703125,44.5659
1165000,3670.86,233,20.6279,233,4232.69,-1587.9344482421875,43.9631
1170000,3958.79,234,21.8011,234,4178.75,-1626.554443359375,43.8178
1175000,4119.28,235,21.305,235,4185.79,-1606.4169921875,44.1417
1180000,4141.4,236,21.6206,236,4216.26,-1641.6436767578125,43.9113
1185000,4232.54,237,21.0714,237,4145.51,-1612.253662109375,43.766
1190000,4180.71,238,20.8263,238,4219.87,-1639.4674072265625,43.9226
1195000,4193.31,239,20.7334,239,4275.03,-1702.4510498046875,43.7715
1200000,3663.41,240,23.8098,240,4076.47,-1700.21533203125,43.4251
1205000,4087.57,241,21.564,241,4089.59,-1751.5535888671875,43.8056
1210000,4194.81,242,20.5109,242,4198.64,-1726.829833984375,43.3844
1215000,4072.58,243,20.514,243,4156.16,-1754.525146484375,43.6862
1220000,4259.17,244,20.8639,244,4253.3,-1780.24560546875,43.8182
1225000,4324.94,245,21.0802,245,4356.99,-1786.4732666015625,44.2701
1230000,4336.04,246,20.6921,246,4286.62,-1780.8743896484375,44.5103
1235000,4374.58,247,20.2665,247,4443.71,-1813.6986083984375,43.8213
1240000,4338.56,248,19.8071,248,4378.54,-1830.9281005859375,44.1696
1245000,4335.59,249,20.9987,249,4392.19,-1815.8291015625,44.514
1250000,4343.37,250,20.5895,250,4415.37,-1828.1890869140625,44.3892
1255000,4311.65,251,20.8536,251,4369.12,-1858.28857421875,44.2213
1260000,4332.62,252,20.4647,252,4383.82,-1857.248291015625,44.0443
1265000,4326.33,253,20.8011,253,4390.78,-1883.887939453125,44.181
1270000,4209.21,254,19.4616,254,4330.38,-1943.789306640625,44.4071
1275000,4402.2,255,20.7673,255,4402.99,-1905.8876953125,44.3856
1280000,4287.57,256,20.4636,256,4337.59,-1940.1268310546875,44.2798
1285000,4368.88,257,20.8987,257,4407.36,-1934.1473388671875,44.0021
1290000,4332.43,258,21.2653,258,4371.47,-1970.24072265625,44.921
1295000,4351.33,259,21.2699,259,4402.63,-1923.379150390625,44.4068
1300000,4395.57,260,21.7444,260,4445.64,-1997.881591796875,44.5593
1305000,-5.74,261,62.5861,261,-5.71,-2162.864013671875,59.7798
1310000,4145.51,262,23.3431,262,4177.08,-2002.483642578125,44.4962
1315000,4395.63,263,23.2549,263,4403.85,-1982.572509765625,44.1209
1320000,4475.71,264,23.019,264,4557.29,-1982.3048095703125,44.6112
1325000,3991.59,265,22.8428,265,4088.33,-2041.5892333984375,44.7144
1330000,4372.5,266,21.2032,266,4395.83,-2055.0673828125,44.1332
1335000,4313.76,267,21.4041,267,4369.05,-2112.1064453125,44.2989
1340000,4291.52,268,20.9186,268,4353.46,-2126.892578125,44.456
1345000,4319.19,269,20.1471,269,4380.66,-2092.41162109375,43.7734
1350000,4297.49,270,19.7009,270,4331.64,-2108.30712890625,43.8602
1355000,4015.82,271,19.4929,271,4347.58,-2161.382080078125,44.0372
1360000,3979.64,272,18.4207,272,3728.11,-2242.98193359375,44.1175
1365000,4298.05,273,20.5255,273,4349.37,-2199.218994140625,43.7441
1370000,4260.14,274,19.5202,274,2600.8,-2199.281494140625,43.8894
1375000,3580.49,275,18.5947,275,4376.61,-2343.522216796875,44.3981
1380000,1407.66,276,29.7654,276,1821.93,-2380.38671875,45.0742
1385000,4251.0,277,20.1492,277,4295.7,-2276.841552734375,43.8995
1390000,3104.45,278,19.188,278,2455.83,-2478.2490234375,45.7758
1395000,-2.11,279,32.1733,279,0.06,-2398.5234375,46.1944
1400000,967.25,280,30.3265,280,115.45,-2663.1103515625,48.9338
1405000,4322.44,281,21.6209,281,4369.36,-2345.369873046875,44.8714
1410000,4357.99,282,19.5208,282,4395.2,-2350.453369140625,43.9292
1415000,4357.93,283,19.615,283,4437.9,-2313.2041015625,44.0422
1420000,1524.35,284,26.6381,284,1867.76,-2652.06396484375,46.3626
1425000,4091.73,285,19.7122,285,4242.18,-2399.837158203125,44.0458
1430000,4144.96,286,21.0012,286,4205.65,-2455.279296875,44.4341
1435000,3447.33,287,17.3501,287,3765.95,-2161.3544921875,43.4259
1440000,4369.12,288,22.3022,288,4509.71,-2419.022705078125,44.5212
1445000,4101.7,289,21.1946,289,4369.45,-2454.868896484375,44.6877
1450000,4167.17,290,19.2963,290,4270.47,-2445.897705078125,44.3086
1455000,4299.99,291,21.1318,291,4381.7,-2537.546142578125,44.4771
1460000,4038.24,292,19.1482,292,4266.81,-2431.781494140625,44.1328
1465000,3781.13,293,16.2912,293,4320.75,-2532.80908203125,43.9712
1470000,4168.42,294,20.8547,294,4179.52,-2629.594482421875,44.6099
1475000,4300.23,295,19.731,295,4333.15,-2564.5458984375,44.6075
1480000,4216.0,296,21.6509,296,4379.74,-2527.9658203125,44.6173
1485000,3888.73,297,21.7489,297,4294.22,-2639.89306640625,44.3366
1490000,4287.23,298,21.1545,298,4355.5,-2570.739013671875,44.3935
1495000,4285.0,299,21.956,299,4298.76,-2744.62939453125,44.9579
1500000,4170.28,300,22.6388,300,4437.85,-2737.70361328125,44.7724
1505000,4317.9,301,24.3283,301,4439.65,-2685.380615234375,45.1415
1510000,4176.48,302,20.3814,302,4343.03,-2638.55712890625,44.1789
1515000,4312.22,303,21.4124,303,4355.31,-2782.96533203125,44.6306
1520000,4304.04,304,21.5663,304,4349.43,-2737.73095703125,44.7722
1525000,3318.08,305,15.5478,305,2678.85,-2852.638671875,44.3817
1530000,4079.0,306,20.8089,306,4079.7,-2859.284912109375,44.4558
1535000,4496.26,307,23.0638,307,4551.61,-2720.71923828125,44.8202
1540000,4351.43,308,20.2155,308,4341.95,-2856.255126953125,44.5778
1545000,3569.27,309,25.9577,309,3915.2,-2786.302734375,44.7504
1550000,1989.56,310,45.7147,310,203.96,-2945.9208984375,45.2716
1555000,4004.0,311,23.4266,311,4405.35,-2729.66650390625,44.932
1560000,724.83,312,18.5303,312,1356.38,-3434.639892578125,46.1305
1565000,4072.01,313,22.1729,313,4115.65,-2751.585205078125,44.9468
1570000,4401.71,314,22.8782,314,4417.36,-2856.213623046875,45.0658
1575000,4287.52,315,19.8943,315,4310.02,-2956.08642578125,44.4757
1580000,4366.05,316,21.2407,316,4381.88,-2990.19677734375,44.5968
1585000,3498.76,317,19.2191,317,1842.4,-3074.90185546875,45.5528
1590000,194.19,318,71.2074,318,-20.6,-3437.631103515625,55.7191
1595000,185.13,319,27.6383,319,88.78,-3306.49365234375,45.9743
1600000,4373.85,320,22.925,320,4409.47,-3034.692138671875,44.8824
1605000,4393.45,321,22.2309,321,4391.03,-3022.642333984375,44.8839
1610000,2886.62,322,19.8072,322,3269.46,-3406.855224609375,44.6123
1615000,4472.11,323,22.3948,323,3883.09,-3131.039306640625,44.5892
1620000,4168.97,324,19.9046,324,4347.5,-3226.949951171875,44.5235
1625000,3019.71,325,16.4916,325,3411.28,-3344.7451171875,45.041
1630000,4336.74,326,22.2695,326,4360.13,-3274.85888671875,44.015
1635000,3670.77,327,21.1537,327,4112.97,-3338.17724609375,44.7082
1640000,4400.15,328,21.5334,328,4434.72,-3195.514404296875,44.7981
1645000,4333.05,329,20.2133,329,4348.81,-3170.25634765625,44.6524
1650000,4348.6,330,21.3466,330,4360.81,-3254.592041015625,44.45
1655000,3707.54,331,21.1968,331,4113.66,-3318.645751953125,45.0375
1660000,3201.26,332,20.7195,332,4312.72,-3426.999755859375,44.7519
1665000,4406.13,333,22.484,333,4431.51,-3315.906494140625,44.7
1670000,4450.13,334,21.9614,334,4478.76,-3272.528564453125,44.5171
1675000,4170.94,335,23.3534,335,4424.6,-3502.03955078125,45.4898
1680000,4415.94,336,21.4959,336,4457.13,-3366.9619140625,44.6269
1685000,4404.33,337,21.3178,337,4429.84,-3353.790283203125,44.6868
1690000,4363.85,338,20.5652,338,4393.33,-3447.454833984375,45.5066
1695000,4401.67,339,22.5465,339,4430.26,-3412.3271484375,44.811
1700000,3880.48,340,21.4726,340,4257.04,-3407.6669921875,45.3906
1705000,4391.11,341,21.8493,341,4407.36,-3436.174560546875,44.0638
1710000,4255.58,342,21.5535,342,4232.07,-3488.114013671875,44.9399
1715000,4389.81,343,22.2223,343,4403.44,-3494.0859375,44.8133
1720000,3776.49,344,18.1406,344,4328.43,-3795.439697265625,45.3247
1725000,4321.85,345,22.0898,345,4333.66,-3508.890625,44.8541
1730000,4325.27,346,21.5868,346,4331.43,-3638.159423828125,45.1698
1735000,4424.95,347,22.8273,347,4415.57,-3562.697509765625,45.0694
1740000,4454.33,348,22.7744,348,4458.29,-3632.520263671875,44.7835
1745000,4206.92,349,23.6466,349,4386.23,-3640.764404296875,45.2253
1750000,3863.39,350,23.6497,350,4398.46,-3769.0869140625,45.2018
1755000,4407.96,351,22.9884,351,4449.31,-3687.170654296875,45.2291
1760000,4228.65,352,22.4472,352,4260.11,-3676.896240234375,45.2418
1765000,2246.79,353,25.8171,353,2515.36,-3955.801513671875,45.4769
1770000,11.18,354,65.022,354,11.89,-4528.74267578125,55.2211
1775000,4197.87,355,25.7566,355,4214.96,-3813.119384765625,46.2881
1780000,4459.65,356,23.1112,356,4476.96,-3903.853759765625,45.3887
1785000,1203.22,357,28.353,357,627.72,-4043.4951171875,47.9108
1790000,3633.61,358,22.8417,358,4302.33,-3744.201904296875,45.6233
1795000,4442.05,359,24.0241,359,4278.75,-3952.20556640625,45.2089
1800000,4309.19,360,23.1939,360,4365.51,-3933.980712890625,45.3604
1805000,3814.43,361,22.132,361,3833.01,-3991.78076171875,45.1565
1810000,3.54,362,148.1185,362,3.69,-4572.44384765625,52.6875
1815000,4116.38,363,24.7298,363,4151.24,-3989.6982421875,45.6165
1820000,0.31,364,44.5477,364,0.23,-4711.57080078125,52.9573
1825000,4248.09,365,23.6007,365,4498.98,-4156.85009765625,45.1409
1830000,4267.35,366,21.9457,366,4270.55,-4131.28515625,45.7429
1835000,4329.06,367,24.1291,367,4325.05,-4157.6669921875,45.5918
1840000,1940.91,368,24.3359,368,3680.56,-4122.51123046875,46.1744
1845000,-4.35,369,167.9445,369,-4.35,-5022.91796875,57.4093
1850000,73.66,370,26.4462,370,40.42,-4175.779296875,46.8844
1855000,4334.47,371,24.5778,371,4357.38,-4157.77392578125,46.1975
1860000,51.9,372,26.9779,372,148.37,-4674.5693359375,52.016
1865000,-2.49,373,29.5908,373,-2.96,-4514.90673828125,49.0787
1870000,4160.34,374,24.9716,374,4176.64,-4206.38037109375,45.7874
1875000,4007.47,375,24.716,375,4178.24,-4405.0625,45.8329
1880000,3454.58,376,43.8317,376,4670.06,-4327.85546875,46.2443
1885000,2017.73,377,35.0737,377,743.71,-4558.64453125,47.7493
1890000,-5.08,378,28.8136,378,-5.11,-4937.26171875,54.276
1895000,35.71,379,28.7228,379,339.9,-3418.796630859375,52.682
1900000,3969.46,380,25.2744,380,3974.8,-4302.08251953125,46.1428
1905000,2679.39,381,22.0713,381,3716.21,-4516.5244140625,46.263
1910000,46.52,382,31.3365,382,15.21,-4997.130859375,48.8817
1915000,-4.3,383,99.5619,383,-4.38,-5825.7265625,59.3566
1920000,3.76,384,31.5341,384,3.4,-4532.1650390625,45.4657
