Running Forward KL,Running Reverse KL,Running Update Time,Itration,Reward Loss,Real Det Return,Real Sto Return,Running Env Steps
26.3359,32.2547,31,31,-1676.6419677734375,904.18,869.47,155000
25.2605,22.107,32,32,-1204.5694580078125,1178.29,1066.8,160000
25.7138,28.77,33,33,-1692.985595703125,1112.32,976.19,165000
25.2336,17.9423,34,34,-879.5587158203125,2529.38,1825.63,170000
26.1441,23.9031,35,35,-1469.3907470703125,2215.25,1392.21,175000
24.007,21.5257,36,36,-1115.356689453125,2346.02,1735.89,180000
24.3064,23.0396,37,37,-1238.791259765625,2357.62,1807.18,185000
25.989,27.7597,38,38,-1626.128173828125,948.15,936.47,190000
24.6888,14.8484,39,39,-1208.396484375,1176.95,1051.43,195000
25.3917,27.4778,40,40,-1582.561279296875,1023.67,1097.78,200000
23.9642,32.0182,41,41,-1438.0999755859375,1194.24,1239.43,205000
24.829,36.3848,42,42,-1486.44873046875,1186.49,1168.42,210000
24.5983,19.8047,43,43,-837.6226806640625,2992.35,2004.72,215000
25.4264,29.628,44,44,-1372.7919921875,1087.31,1113.79,220000
24.3747,24.4521,45,45,-1349.0401611328125,1807.67,1262.29,225000
24.4515,29.6136,46,46,-1309.7467041015625,2419.87,1375.6,230000
25.4243,24.8365,47,47,-1349.6314697265625,964.68,921.72,235000
25.6148,24.3864,48,48,-1513.81982421875,964.85,938.48,240000
25.2284,31.6637,49,49,-1766.8685302734375,981.91,995.53,245000
24.4592,21.5256,50,50,-1374.9224853515625,1096.4,1462.69,250000
24.8312,16.4215,51,51,-897.2598876953125,2472.55,2410.86,255000
24.8277,23.8236,52,52,-2151.5634765625,1079.47,1126.66,260000
24.9632,19.3812,53,53,-1316.9603271484375,3128.22,1670.81,265000
24.9663,17.3598,54,54,-1257.3245849609375,2679.58,1851.72,270000
24.6007,19.8075,55,55,-1361.7684326171875,2582.32,2683.64,275000
23.4824,26.1857,56,56,-1424.6907958984375,3178.91,2043.11,280000
23.979,31.9755,57,57,-2113.699462890625,3193.74,1572.93,285000
24.0659,18.7973,58,58,-1152.625732421875,1755.45,1527.58,290000
24.0936,21.5363,59,59,-1933.6708984375,2151.91,1265.95,295000
24.5703,18.3966,60,60,-1369.9935302734375,2270.63,2104.95,300000
24.2359,16.1029,61,61,-753.0140380859375,2430.19,2999.47,305000
23.0825,15.0501,62,62,-757.6484985351562,2964.56,2681.26,310000
23.4533,14.9765,63,63,-776.65625,3091.93,2979.05,315000
24.7079,18.1461,64,64,-1239.416259765625,1634.23,1802.22,320000
23.9149,15.3652,65,65,-974.2914428710938,2155.63,2845.76,325000
24.0207,17.2296,66,66,-1334.110595703125,3044.69,2005.8,330000
23.5627,14.9297,67,67,-849.1976928710938,3117.21,2811.71,335000
24.8064,16.6243,68,68,-958.3033447265625,2832.93,2586.42,340000
24.4256,22.804,69,69,-2018.3177490234375,2977.76,1401.25,345000
24.1304,16.8861,70,70,-942.4357299804688,3162.37,2864.91,350000
23.7331,16.1717,71,71,-916.0072631835938,3180.14,3016.51,355000
23.3428,15.5979,72,72,-956.9967651367188,3138.2,3171.12,360000
23.7547,20.4434,73,73,-1187.3048095703125,3166.91,3185.02,365000
23.7473,16.5695,74,74,-989.7588500976562,3164.95,3079.35,370000
23.2156,15.7065,75,75,-943.3051147460938,3224.45,3219.49,375000
22.3459,25.9118,76,76,-1519.387939453125,3244.77,1903.96,380000
23.5629,16.2069,77,77,-988.6367797851562,3191.94,3091.0,385000
23.0989,15.8979,78,78,-1031.4219970703125,3201.03,3215.43,390000
22.9791,15.9174,79,79,-1034.155029296875,3192.09,3215.42,395000
23.121,16.4351,80,80,-1013.226318359375,3229.14,3128.85,400000
22.5101,15.9327,81,81,-1165.128173828125,3264.88,2629.7,405000
23.1052,15.577,82,82,-1088.21435546875,3181.15,3207.02,410000
22.8993,15.8251,83,83,-1060.188232421875,3200.95,3208.49,415000
22.9936,16.7974,84,84,-1107.894287109375,3243.59,3230.45,420000
22.7717,16.1194,85,85,-1089.79296875,3262.99,3247.14,425000
21.9163,15.0974,86,86,-1041.0157470703125,3256.09,3244.35,430000
23.0958,17.0988,87,87,-1129.69677734375,3262.75,3215.47,435000
22.7175,16.1795,88,88,-1082.8958740234375,3260.52,3245.94,440000
23.0338,15.607,89,89,-1155.826416015625,3274.31,3248.44,445000
22.4201,15.705,90,90,-1133.5218505859375,3269.98,3259.26,450000
22.1748,15.5339,91,91,-1088.1646728515625,3288.88,3267.4,455000
22.2146,15.1727,92,92,-1123.0484619140625,3310.77,3301.46,460000
22.5518,15.9485,93,93,-1078.6116943359375,3321.26,3297.67,465000
21.9442,15.0004,94,94,-1098.3565673828125,3314.89,3287.45,470000
22.2779,15.1864,95,95,-1183.4835205078125,3308.61,3295.01,475000
22.3631,15.6147,96,96,-1131.7918701171875,3318.1,3299.55,480000
21.4338,14.912,97,97,-1152.594970703125,3306.43,3287.33,485000
21.6495,14.7259,98,98,-1148.56689453125,3334.32,3310.94,490000
22.2735,15.3634,99,99,-1238.80712890625,3314.74,3293.53,495000
21.4963,14.4702,100,100,-1117.6973876953125,3343.32,3326.46,500000
23.0188,15.8118,101,101,-1323.26611328125,3301.18,3276.64,505000
21.9152,14.7684,102,102,-1126.14111328125,3362.28,3329.9,510000
22.2405,15.0511,103,103,-1170.996337890625,3369.48,3342.6,515000
21.1672,14.1235,104,104,-1202.2589111328125,3349.67,3329.35,520000
21.7049,15.1519,105,105,-1237.12841796875,3347.47,3317.59,525000
22.7654,16.014,106,106,-1157.5098876953125,3369.76,3340.21,530000
21.8567,14.3738,107,107,-1291.0335693359375,3340.38,3231.26,535000
22.0667,15.1102,108,108,-1249.5972900390625,3363.69,3353.4,540000
21.4006,14.0702,109,109,-1157.7021484375,3395.02,3369.18,545000
21.7519,14.2877,110,110,-1317.9964599609375,3340.82,3331.89,550000
21.5339,14.7111,111,111,-1141.8033447265625,3391.8,3365.41,555000
21.9574,15.296,112,112,-1235.18212890625,3392.6,3363.79,560000
21.9784,14.9577,113,113,-1323.7462158203125,3355.19,3328.48,565000
22.1357,15.7945,114,114,-1269.3043212890625,3376.43,3359.15,570000
21.7743,14.9658,115,115,-1272.0906982421875,3343.5,3323.88,575000
21.4061,14.3403,116,116,-1202.1619873046875,3401.07,3385.59,580000
21.2056,13.6393,117,117,-1193.5914306640625,3410.11,3372.99,585000
21.3719,14.5367,118,118,-1207.2955322265625,3400.29,3379.89,590000
20.4435,13.2859,119,119,-1131.044189453125,3425.03,3383.13,595000
21.5257,14.7418,120,120,-1211.29931640625,3401.15,3350.6,600000
21.84,14.5261,121,121,-1270.466552734375,3394.49,3368.21,605000
20.5489,13.7795,122,122,-1153.8043212890625,3410.53,3377.88,610000
21.43,14.6507,123,123,-1317.3414306640625,3401.81,3377.9,615000
20.9676,14.0363,124,124,-1294.9449462890625,3402.83,3372.88,620000
21.0497,13.9543,125,125,-1294.4285888671875,3401.45,3373.16,625000
21.5322,14.4915,126,126,-1416.6331787109375,3372.31,3351.22,630000
21.6071,14.3823,127,127,-1390.1341552734375,3412.34,3386.22,635000
20.5839,13.4283,128,128,-1276.3017578125,3404.14,3364.98,640000
20.8578,14.1373,129,129,-1347.0289306640625,3404.75,3380.99,645000
20.9262,14.1706,130,130,-1339.1226806640625,3415.5,3393.61,650000
20.5741,13.2007,131,131,-1413.5296630859375,3392.14,3362.36,655000
21.196,13.8573,132,132,-1486.0142822265625,3383.66,3359.84,660000
21.4125,14.1939,133,133,-1455.4893798828125,3392.9,3369.25,665000
20.9882,13.5425,134,134,-1414.187255859375,3403.37,3316.54,670000
20.8068,13.753,135,135,-1327.5323486328125,3419.37,3376.21,675000
20.6295,13.4316,136,136,-1369.989990234375,3398.8,3365.11,680000
20.5875,13.7107,137,137,-1354.4931640625,3413.67,3387.39,685000
20.1344,13.6215,138,138,-1321.771728515625,3431.97,3398.55,690000
20.9768,14.1036,139,139,-1281.6552734375,3426.21,3400.81,695000
19.9539,12.5178,140,140,-1303.6346435546875,3441.5,3256.44,700000
20.382,13.5098,141,141,-1271.2569580078125,3440.33,3320.07,705000
19.6111,12.3457,142,142,-1375.146484375,3425.84,3394.48,710000
21.0277,13.438,143,143,-1441.6834716796875,3423.1,3387.93,715000
20.9059,13.4411,144,144,-1379.81298828125,3429.32,3371.49,720000
21.0434,13.6601,145,145,-1437.9359130859375,3432.86,3318.79,725000
21.0802,13.2024,146,146,-1322.649658203125,3451.56,3415.49,730000
20.743,13.3854,147,147,-1524.881591796875,3407.19,3379.72,735000
20.4529,13.1276,148,148,-1472.0625,3417.99,3383.99,740000
20.4355,13.5352,149,149,-1381.61962890625,3430.62,3396.12,745000
19.8275,12.1529,150,150,-1383.164306640625,3430.03,3391.22,750000
20.5687,13.4594,151,151,-1438.9454345703125,3435.8,3406.91,755000
21.0108,13.3863,152,152,-1442.88037109375,3448.19,3415.67,760000
20.0189,16.452,153,153,-1712.5870361328125,3427.89,3387.9,765000
20.6925,13.3236,154,154,-1408.1966552734375,3458.84,3427.56,770000
19.7972,12.9024,155,155,-1386.5994873046875,3452.84,3410.25,775000
20.8331,13.6953,156,156,-1592.7984619140625,3418.82,3378.03,780000
20.7817,13.462,157,157,-1411.325927734375,3462.07,3427.64,785000
20.5791,12.1933,158,158,-1467.4232177734375,3454.5,3414.76,790000
20.2426,12.6137,159,159,-1504.0587158203125,3434.75,3387.64,795000
20.7049,13.9291,160,160,-1437.793701171875,3459.75,3421.29,800000
20.9338,13.905,161,161,-1659.135498046875,3413.63,3374.97,805000
19.6933,12.4172,162,162,-1488.4686279296875,3438.22,3408.57,810000
19.9791,12.6594,163,163,-1426.4315185546875,3470.82,3364.71,815000
20.4276,12.807,164,164,-1470.04931640625,3466.55,3431.01,820000
19.2178,12.5098,165,165,-1324.8287353515625,3484.35,3445.52,825000
21.051,13.8023,166,166,-1630.766845703125,3426.61,3392.87,830000
21.199,14.2697,167,167,-1444.7646484375,3464.55,3451.82,835000
20.3543,12.9811,168,168,-1608.6435546875,3437.11,3387.52,840000
19.669,12.3238,169,169,-1591.595947265625,3443.97,3259.96,845000
19.4156,12.0305,170,170,-1334.708984375,3490.35,3113.16,850000
19.4407,12.3153,171,171,-1441.57470703125,3470.08,3442.32,855000
20.5213,13.439,172,172,-1599.795166015625,3447.23,3142.6,860000
20.4436,13.6132,173,173,-1874.0643310546875,3458.3,3263.57,865000
20.1163,12.9541,174,174,-1549.8427734375,3461.01,3170.65,870000
20.4661,12.9088,175,175,-1616.4715576171875,3460.43,3351.99,875000
19.6844,12.3757,176,176,-1444.5894775390625,3457.84,3422.29,880000
19.632,12.8211,177,177,-1447.9530029296875,3486.78,3373.51,885000
19.2096,12.1783,178,178,-1451.2315673828125,3487.08,3436.92,890000
20.309,13.0061,179,179,-1374.0474853515625,3503.62,3463.39,895000
20.2839,12.5551,180,180,-1773.7196044921875,3447.97,3310.8,900000
19.8711,12.5683,181,181,-1543.4794921875,3484.72,3398.88,905000
20.556,13.435,182,182,-1596.1673583984375,3454.01,3419.01,910000
19.8233,13.1974,183,183,-1503.8134765625,3471.75,3405.76,915000
19.1453,12.5707,184,184,-1552.8804931640625,3466.04,3336.54,920000
19.575,12.1205,185,185,-1436.226806640625,3481.65,3128.06,925000
18.2283,12.0694,186,186,-1406.91357421875,3483.78,3254.91,930000
19.6642,13.5267,187,187,-1765.8638916015625,3480.24,3241.97,935000
19.6748,12.6447,188,188,-1586.61962890625,3488.86,3354.44,940000
20.1181,13.0198,189,189,-1610.1092529296875,3474.87,3346.09,945000
20.4851,12.8542,190,190,-1669.0101318359375,3433.83,3402.19,950000
19.7852,13.2722,191,191,-1670.359130859375,3435.91,3433.92,955000
19.9914,13.2187,192,192,-1499.092529296875,3484.08,3442.7,960000
19.7633,13.1875,193,193,-1640.2608642578125,3456.8,3429.8,965000
19.7859,13.1258,194,194,-1723.5992431640625,3452.38,3410.07,970000
20.5619,13.6938,195,195,-1786.6279296875,3460.63,3436.74,975000
19.2742,12.3336,196,196,-1661.9027099609375,3485.24,3433.69,980000
17.9522,11.362,197,197,-1505.7618408203125,3482.36,3432.7,985000
19.6607,12.2819,198,198,-1702.5462646484375,3464.23,3413.67,990000
19.2776,12.3193,199,199,-1738.58203125,3471.04,3427.02,995000
