Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time,Itration
16.868,-368.8904724121094,710000,10.3517,3447.44,3379.43,142,142
17.9481,-962.180419921875,715000,12.1742,3450.71,3092.29,143,143
19.5062,-1195.364990234375,720000,12.6185,3412.62,2907.75,144,144
17.5448,-737.6266479492188,725000,14.8201,3426.2,3182.63,145,145
19.3059,-1386.7440185546875,730000,11.0408,3428.99,3089.67,146,146
18.1875,-498.71533203125,735000,11.0551,3415.37,3324.52,147,147
16.4151,-433.6615295410156,740000,10.2239,3432.78,3403.96,148,148
18.7638,-1408.66796875,745000,11.3728,3403.31,3180.28,149,149
18.1326,-766.6553955078125,750000,11.4047,3430.39,3274.65,150,150
20.4929,-3093.283935546875,755000,27.2851,3493.17,2170.29,151,151
18.5545,-1881.372802734375,760000,12.019,3464.86,2820.28,152,152
18.2817,-1039.38818359375,765000,10.9087,3474.51,3087.58,153,153
19.7086,-2197.558837890625,770000,12.7604,3438.9,2269.08,154,154
18.1479,-344.8594970703125,775000,11.2821,3450.08,3333.49,155,155
18.3782,-500.4137878417969,780000,11.4138,3446.33,3262.63,156,156
17.6552,-504.3851623535156,785000,11.2281,3433.79,3129.04,157,157
21.228,-2656.2705078125,790000,13.861,3422.15,2337.38,158,158
19.33,-1516.4727783203125,795000,12.5979,3449.81,2897.96,159,159
18.6009,-1084.0445556640625,800000,11.384,3447.2,2777.89,160,160
19.0829,-695.16064453125,805000,11.2727,3419.75,2591.92,161,161
19.5034,-1771.3509521484375,810000,10.8149,3410.82,2505.48,162,162
21.0004,-3456.33837890625,815000,15.5852,3315.91,1778.58,163,163
18.9014,-1548.96142578125,820000,18.0729,3447.16,3109.53,164,164
18.4078,-869.1410522460938,825000,11.4402,3440.2,3386.48,165,165
19.0332,-1521.80126953125,830000,11.3445,3426.29,3042.77,166,166
20.79,-3307.044921875,835000,29.9848,3275.6,1846.61,167,167
18.8298,-2134.913818359375,840000,13.0465,3452.47,2684.28,168,168
17.6978,-869.5399780273438,845000,10.3748,3449.48,3310.59,169,169
18.4421,-983.8110961914062,850000,11.1508,3429.97,2929.12,170,170
17.3678,-509.9154052734375,855000,11.1355,3463.42,3384.15,171,171
20.6317,-2452.391845703125,860000,15.767,3404.31,2636.77,172,172
17.5258,-1035.1556396484375,865000,11.3421,3441.02,2707.46,173,173
19.7421,-1771.080078125,870000,14.1665,3432.81,2207.3,174,174
20.3205,-2901.1162109375,875000,14.766,3426.75,2293.42,175,175
20.7119,-2951.673583984375,880000,12.1089,3476.02,2328.03,176,176
20.3091,-3407.12890625,885000,21.303,3458.31,2380.02,177,177
18.5374,-1168.0872802734375,890000,11.068,3448.18,2864.27,178,178
20.2535,-2979.055908203125,895000,18.6695,2965.74,2481.2,179,179
18.8562,-2441.7939453125,900000,21.4512,3462.83,2619.05,180,180
19.1168,-2868.776611328125,905000,15.7187,3406.6,1771.78,181,181
19.7749,-3337.003662109375,910000,18.7154,3460.21,2074.67,182,182
20.4121,-3531.501708984375,915000,21.5916,2577.69,1953.69,183,183
20.1048,-3563.394775390625,920000,14.0736,3461.66,2390.78,184,184
19.6518,-1996.9534912109375,925000,17.8112,3471.25,2732.61,185,185
19.2756,-2019.2957763671875,930000,14.8685,3535.38,2681.54,186,186
20.7791,-3870.077392578125,935000,18.5446,3439.77,2005.41,187,187
19.0447,-2416.761962890625,940000,20.2912,3401.0,2449.34,188,188
21.02,-3014.787109375,945000,18.9397,3518.75,2244.17,189,189
19.4404,-1412.1922607421875,950000,14.6005,3525.71,2778.98,190,190
21.005,-3526.863037109375,955000,18.5527,3244.55,2185.14,191,191
21.13,-5009.6708984375,960000,16.5262,3130.73,1636.99,192,192
20.9762,-5021.296875,965000,39.2242,3446.84,2481.91,193,193
20.2454,-3625.630615234375,970000,14.0883,3340.71,2020.84,194,194
19.7677,-3521.558837890625,975000,15.5346,3443.33,2318.84,195,195
20.2771,-4302.29443359375,980000,21.2079,3566.63,1739.88,196,196
18.312,-1134.6671142578125,985000,11.9322,3415.58,3349.83,197,197
19.3185,-2630.96533203125,990000,20.5333,3443.2,2782.78,198,198
21.8508,-5375.306640625,995000,24.1261,3704.42,1510.03,199,199
