Running Env Steps,Itration,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return
265000,53,2556.53,53,338.0101,-5261.017578125,172.1042,2091.68
270000,54,1860.95,54,332.4221,-5521.1064453125,168.5569,2036.77
275000,55,1131.03,55,315.1646,-4869.65380859375,154.4973,2319.42
280000,56,1251.29,56,325.7181,-5705.10107421875,171.9331,2442.76
285000,57,1366.99,57,297.4512,-5072.5546875,149.1147,2747.39
290000,58,1858.66,58,313.1292,-5727.94677734375,157.596,3170.48
295000,59,1247.18,59,324.6744,-6894.2431640625,205.7474,2885.76
300000,60,1816.26,60,299.6284,-2523.938720703125,103.013,3708.31
305000,61,1049.47,61,314.7666,-4942.92529296875,140.5465,3104.54
310000,62,2388.33,62,328.6525,-4579.16259765625,142.453,2932.36
315000,63,4039.68,63,289.9136,-2669.804931640625,101.98,3593.01
320000,64,2332.34,64,323.1705,-6483.7822265625,175.7092,2780.39
325000,65,1166.69,65,314.4585,-4717.06005859375,156.7048,3001.19
330000,66,767.3,66,364.9269,-7978.77294921875,220.4017,1266.94
335000,67,3694.63,67,291.3441,-2712.938720703125,101.5429,4039.1
340000,68,3509.38,68,335.0397,-5815.49951171875,159.0256,2970.6
345000,69,4974.68,69,324.5888,-4154.53076171875,137.7277,4181.16
350000,70,4809.97,70,297.401,-2891.814697265625,104.4191,4230.37
355000,71,4137.64,71,290.0036,-3434.03662109375,103.0488,4505.95
360000,72,3831.61,72,289.8999,-3679.18017578125,111.0814,4642.77
365000,73,4611.49,73,296.6407,-2703.196533203125,99.1577,4225.16
370000,74,1137.01,74,292.6086,-5091.50244140625,130.2359,3210.89
375000,75,2139.88,75,307.4192,-4319.841796875,120.235,4214.84
380000,76,3008.64,76,319.6988,-6645.65087890625,160.4767,3544.16
385000,77,2851.5,77,293.9383,-3845.66162109375,102.1861,3899.32
390000,78,3572.57,78,311.0448,-6105.23583984375,149.9279,3914.77
395000,79,4933.45,79,309.4319,-2616.701171875,110.6019,4975.21
400000,80,489.65,80,364.0413,-8480.44921875,209.2996,1338.08
405000,81,4892.17,81,312.6786,-4908.2041015625,124.0103,4670.79
410000,82,2859.75,82,316.302,-7240.2470703125,158.4358,2231.17
415000,83,2837.14,83,340.6253,-8950.4267578125,191.9821,3465.63
420000,84,4088.85,84,302.0594,-3958.20849609375,117.77,4431.96
425000,85,2949.96,85,329.6871,-6748.05078125,151.6242,3999.09
430000,86,4820.4,86,293.3402,-3211.42333984375,100.1765,4860.09
435000,87,2176.92,87,335.1253,-6333.8720703125,156.2858,4549.53
440000,88,3790.43,88,310.3508,-6141.40625,134.3828,3531.18
445000,89,2852.46,89,323.965,-7780.22265625,153.0772,3352.38
450000,90,3862.69,90,334.0663,-9094.087890625,192.4433,3340.01
455000,91,4896.47,91,297.1248,-3887.099609375,106.3503,4601.73
460000,92,4911.26,92,317.4809,-4224.53515625,111.9391,4974.72
465000,93,4827.36,93,296.7136,-3904.03662109375,97.3717,4513.48
470000,94,3749.89,94,293.4712,-4368.69921875,95.5642,4729.19
475000,95,2385.38,95,289.0707,-4820.9951171875,100.0715,4603.83
480000,96,3616.42,96,296.3827,-6194.25341796875,118.8903,3955.47
485000,97,3774.37,97,292.8893,-5141.18115234375,94.4424,4499.47
490000,98,4036.28,98,301.0128,-7036.1630859375,121.9742,3509.42
495000,99,1976.55,99,291.1791,-5759.23095703125,116.4385,4499.37
500000,100,3312.87,100,290.5828,-6803.26318359375,116.2011,3703.23
505000,101,4589.28,101,296.4021,-5347.17333984375,105.371,4943.01
510000,102,5067.55,102,312.5576,-6392.9296875,116.6414,4602.21
515000,103,4197.18,103,316.8344,-6755.74755859375,130.4429,3883.01
520000,104,3985.13,104,285.3696,-5290.94384765625,92.7793,4902.88
525000,105,3085.47,105,299.6722,-5795.9716796875,98.4534,4505.29
530000,106,3554.79,106,305.4521,-7197.2041015625,128.5419,3636.26
535000,107,3428.56,107,300.7443,-5817.41552734375,102.8044,5077.08
540000,108,5175.71,108,290.245,-7052.40771484375,102.3916,4273.64
545000,109,4648.98,109,300.8955,-6068.98486328125,103.4523,5078.73
550000,110,2859.31,110,284.1039,-5726.70556640625,86.3388,4957.67
555000,111,5155.66,111,281.2854,-6141.451171875,86.2399,4870.02
560000,112,4948.1,112,288.9682,-6149.76220703125,91.6299,5134.58
565000,113,4192.46,113,296.5043,-7192.33447265625,110.5149,4496.42
570000,114,1891.1,114,291.7202,-6695.4853515625,97.1138,4754.05
575000,115,2837.72,115,290.1022,-7518.79248046875,100.4632,4693.5
580000,116,3309.89,116,286.2706,-7121.4296875,95.195,4857.36
585000,117,4968.37,117,282.662,-7332.54345703125,93.8699,4276.78
590000,118,5178.76,118,296.1438,-7399.48046875,94.6432,5051.07
595000,119,5131.87,119,300.9354,-7522.89306640625,103.1356,5115.7
600000,120,3875.37,120,284.7975,-7731.31201171875,90.4793,4696.9
605000,121,5253.12,121,288.4532,-7608.73974609375,90.2229,5167.91
610000,122,5300.76,122,291.7408,-7754.1904296875,100.7231,5000.35
615000,123,4672.06,123,302.8844,-7978.443359375,106.8683,5102.4
620000,124,4464.77,124,311.6963,-8150.2265625,107.7973,4820.29
625000,125,5168.53,125,296.3304,-8419.2763671875,96.0645,4999.01
630000,126,5128.99,126,294.3679,-8294.439453125,104.1324,5084.79
635000,127,5229.53,127,300.3582,-8784.060546875,106.0493,4769.76
640000,128,4483.5,128,292.3504,-8454.1396484375,96.4338,4926.82
645000,129,5247.27,129,290.3586,-8635.0751953125,96.671,5169.59
650000,130,4967.51,130,282.3618,-8321.9453125,87.6049,4897.66
655000,131,4511.28,131,279.7064,-8502.1767578125,89.3437,5037.4
660000,132,5283.98,132,284.5038,-8966.6220703125,91.5175,5150.49
665000,133,4388.7,133,289.6035,-9567.4345703125,100.0711,4886.9
670000,134,3713.54,134,285.5604,-9514.33984375,91.9501,4971.9
675000,135,5170.91,135,292.2424,-10303.185546875,105.2601,4422.4
680000,136,5214.0,136,306.4175,-10361.1171875,116.9893,5027.17
685000,137,4125.82,137,279.5725,-9769.025390625,92.165,4575.92
690000,138,4861.62,138,284.9296,-9791.5595703125,85.2653,5072.06
695000,139,4251.19,139,296.9298,-10435.0390625,99.1132,5045.87
700000,140,4673.57,140,286.5564,-10257.103515625,92.2827,5047.6
705000,141,5329.27,141,295.2525,-10170.4404296875,101.445,5192.11
710000,142,4423.23,142,297.401,-10693.8330078125,98.961,5064.59
715000,143,2644.43,143,288.0695,-11046.0908203125,98.6857,4171.77
720000,144,4183.99,144,280.3129,-10771.55078125,89.9828,5067.69
725000,145,5129.88,145,288.0778,-10982.1796875,94.0819,4956.11
730000,146,4455.32,146,284.1239,-10870.3779296875,90.8869,5159.74
735000,147,5194.83,147,297.5111,-11587.755859375,104.2301,4870.52
740000,148,4804.19,148,301.1681,-11627.12890625,107.5725,4942.19
745000,149,3106.74,149,281.0767,-11007.025390625,85.2088,4823.11
750000,150,4355.72,150,287.1651,-11409.7001953125,96.2297,4877.31
755000,151,5268.1,151,280.4322,-11202.33203125,86.7907,5186.07
760000,152,3887.29,152,296.8359,-12014.646484375,99.29,5063.2
765000,153,5186.85,153,285.3584,-12103.693359375,92.0707,4578.08
770000,154,5267.22,154,298.492,-12503.8017578125,107.6521,4569.89
775000,155,5263.78,155,292.0573,-12222.2998046875,96.552,4626.51
780000,156,2604.11,156,276.2461,-11765.6767578125,85.9144,5045.6
785000,157,4123.01,157,275.1265,-11525.9072265625,76.7213,4700.25
790000,158,4413.4,158,286.3491,-12197.5400390625,100.4337,5167.8
795000,159,5373.06,159,284.1867,-12231.2392578125,90.7433,4872.36
800000,160,4695.77,160,285.2289,-12420.890625,87.3191,5107.75
805000,161,4594.37,161,290.5347,-13187.50390625,96.3335,4693.78
810000,162,5284.48,162,290.0309,-12835.7939453125,93.9834,5168.91
815000,163,5227.83,163,285.2801,-12905.34375,88.1058,4869.49
820000,164,5219.99,164,277.2079,-12717.037109375,88.0186,5101.37
825000,165,5084.28,165,280.5239,-12110.44140625,77.4369,5205.73
830000,166,5305.44,166,287.7753,-13120.330078125,96.5226,5170.09
835000,167,3131.57,167,281.2869,-12947.7255859375,84.7074,4735.83
840000,168,3874.33,168,281.61,-12852.736328125,87.9411,5114.67
845000,169,5244.42,169,287.3748,-13348.0888671875,85.1897,5064.4
850000,170,1527.6,170,273.5907,-12695.6787109375,89.5095,4492.12
855000,171,5285.82,171,287.606,-13598.6484375,99.2028,4179.69
860000,172,2535.77,172,289.356,-13440.4404296875,93.4952,4953.9
865000,173,4142.32,173,288.2214,-13800.1083984375,93.508,4221.54
870000,174,4979.49,174,296.0944,-13964.1220703125,94.918,5127.49
875000,175,4973.66,175,290.8801,-13917.208984375,95.6262,5076.19
880000,176,5176.08,176,280.3018,-13446.466796875,82.4244,5062.17
885000,177,4196.77,177,288.2833,-13723.951171875,89.222,5015.85
890000,178,4821.33,178,281.6689,-14344.720703125,97.2581,4665.77
895000,179,5209.71,179,286.6464,-14336.3720703125,94.2795,5121.15
900000,180,5247.4,180,292.9864,-14013.4833984375,93.7712,5201.59
905000,181,5181.74,181,292.3847,-14214.5810546875,96.9432,4916.77
910000,182,5272.09,182,293.3086,-13974.0146484375,93.7121,4907.43
915000,183,5269.36,183,286.8601,-14265.6689453125,91.2506,4630.98
920000,184,5369.43,184,288.1793,-14039.123046875,90.7038,5244.28
925000,185,5275.19,185,302.1422,-14812.5390625,105.3108,5247.29
930000,186,4497.8,186,281.8344,-14319.5478515625,88.1352,5142.93
935000,187,5209.78,187,285.0319,-14510.1376953125,88.31,5195.08
940000,188,4692.97,188,285.5085,-14653.7529296875,86.931,5145.23
945000,189,5152.66,189,290.4886,-15004.5341796875,94.4898,5043.75
950000,190,3858.18,190,270.1234,-13522.4345703125,75.8727,5192.48
955000,191,5223.39,191,286.393,-14608.802734375,86.4498,5068.49
960000,192,5130.76,192,287.9151,-14790.4814453125,96.7063,5079.73
965000,193,4980.82,193,288.8882,-14966.94140625,90.2421,5021.7
970000,194,5298.45,194,284.8252,-15459.4921875,102.9887,5195.25
975000,195,5145.6,195,294.8255,-15480.314453125,105.8338,5243.46
980000,196,5097.31,196,282.7398,-14854.7861328125,89.3292,5201.86
985000,197,4915.68,197,284.6917,-14819.0185546875,88.4755,5255.75
990000,198,5239.81,198,278.2405,-15108.52734375,86.7492,5140.83
995000,199,4951.8,199,285.6533,-14995.373046875,88.8581,5243.52
1000000,200,5107.42,200,287.0758,-15354.607421875,88.544,5188.8
1005000,201,5092.19,201,290.6018,-15329.2119140625,89.4798,5174.87
1010000,202,5360.24,202,285.6326,-15318.30859375,89.8589,4561.76
1015000,203,5359.11,203,293.5893,-15581.1376953125,92.696,5010.24
1020000,204,5321.5,204,298.6675,-15988.33203125,102.8028,5020.34
1025000,205,5312.93,205,298.5667,-15847.4677734375,105.1284,5094.24
1030000,206,5342.28,206,288.5944,-15509.91796875,89.4351,5230.13
1035000,207,5222.62,207,289.9239,-15628.98828125,86.7616,5173.95
1040000,208,4771.44,208,286.9234,-15514.3671875,83.2383,4871.34
1045000,209,4944.58,209,291.0407,-15698.6142578125,87.5724,4977.27
1050000,210,5200.51,210,289.8897,-15554.291015625,85.2912,4998.89
1055000,211,5344.51,211,298.0085,-15901.59375,97.7048,5233.24
1060000,212,5330.14,212,300.6624,-16195.5986328125,100.4718,4968.22
1065000,213,5332.43,213,291.5708,-15915.0908203125,90.3837,4961.46
1070000,214,5350.54,214,294.6479,-16245.5830078125,93.4311,5124.77
1075000,215,5306.51,215,298.913,-15966.0986328125,98.0708,5102.04
1080000,216,5315.56,216,302.4519,-15664.1337890625,124.3629,4759.57
1085000,217,5353.4,217,292.4593,-16251.7470703125,90.6255,5041.03
1090000,218,5317.63,218,292.6371,-16083.7060546875,95.8324,5171.22
1095000,219,5401.07,219,296.897,-16234.1044921875,96.3493,5007.26
1100000,220,5269.63,220,294.6247,-16356.615234375,91.5071,5009.59
1105000,221,4732.41,221,289.942,-16333.67578125,93.2841,4601.88
1110000,222,5319.39,222,296.3412,-16438.388671875,99.339,4954.85
1115000,223,5311.4,223,296.5599,-16280.4375,97.4443,5241.44
1120000,224,5087.91,224,285.1446,-15897.8916015625,85.7643,4941.06
1125000,225,5320.76,225,299.7656,-16108.9208984375,96.0182,5102.08
1130000,226,5277.58,226,291.9581,-15653.791015625,94.7369,5012.52
1135000,227,5261.66,227,288.1298,-15725.0634765625,81.9353,4778.53
1140000,228,4859.72,228,282.6999,-15916.421875,87.9495,4881.99
1145000,229,5310.39,229,288.0478,-16177.4384765625,87.5259,5004.42
1150000,230,2325.91,230,281.2046,-15856.8291015625,76.7568,4673.51
1155000,231,4877.74,231,280.8343,-15084.2216796875,90.1665,4608.21
1160000,232,4925.08,232,275.1965,-15230.37109375,95.2163,3706.89
1165000,233,5115.97,233,285.5735,-15399.01171875,82.0375,4705.29
1170000,234,2410.4,234,283.3768,-15201.2783203125,140.6425,2889.25
1175000,235,4264.02,235,282.6899,-14584.80078125,111.86,2967.5
1180000,236,4295.71,236,291.138,-15847.064453125,123.4216,3342.05
1185000,237,2183.19,237,291.8814,-14009.2236328125,127.2089,2611.42
1190000,238,2843.66,238,297.755,-14315.51953125,141.8574,2968.71
1195000,239,4883.6,239,288.3359,-15756.978515625,115.0976,3620.19
1200000,240,5312.91,240,288.5589,-16219.5849609375,102.7706,3889.98
1205000,241,5291.43,241,284.6004,-16531.462890625,93.4158,4875.74
1210000,242,5235.37,242,292.3651,-16293.3544921875,131.6703,4302.98
1215000,243,5202.62,243,287.2266,-15428.28125,106.2835,4435.54
1220000,244,5239.44,244,285.0365,-16327.064453125,120.6947,4602.93
1225000,245,5237.89,245,285.3433,-15712.6708984375,107.8595,4361.99
1230000,246,4967.75,246,285.0871,-16455.552734375,105.0752,3331.02
1235000,247,5127.53,247,285.4971,-15843.0537109375,108.08,3576.41
1240000,248,4819.59,248,281.0444,-16096.7333984375,89.4007,4827.03
1245000,249,4653.83,249,290.15,-16164.56640625,105.4782,4781.75
1250000,250,5002.29,250,298.7389,-16661.11328125,113.8502,3620.46
1255000,251,5267.82,251,295.225,-16588.173828125,112.7849,4666.61
1260000,252,5260.87,252,295.8802,-16484.390625,108.8615,4815.71
1265000,253,5134.81,253,297.0333,-16258.80859375,94.9794,4265.34
1270000,254,5329.55,254,292.7674,-16708.587890625,91.3898,4614.5
1275000,255,5279.78,255,288.1906,-16864.466796875,89.0037,4970.02
1280000,256,5311.8,256,309.5824,-17181.51171875,113.7677,4869.27
1285000,257,4406.17,257,303.0036,-17179.984375,108.5651,4930.84
1290000,258,5273.33,258,304.1145,-17160.755859375,113.3699,5051.52
1295000,259,4930.16,259,300.1884,-17006.328125,101.5624,4842.6
1300000,260,5349.1,260,314.5198,-16963.3671875,121.4151,4188.24
1305000,261,4915.5,261,313.5103,-16972.95703125,115.9013,4578.25
1310000,262,5378.57,262,309.2932,-17024.677734375,109.4437,5267.47
1315000,263,5347.37,263,295.8287,-16825.01953125,135.9798,4391.81
1320000,264,4224.67,264,313.8333,-17512.455078125,238.6617,4876.06
1325000,265,4934.99,265,311.6602,-17304.267578125,119.6665,4812.69
1330000,266,5049.93,266,317.0226,-17221.587890625,165.1773,4291.47
1335000,267,4552.52,267,301.2925,-16470.384765625,122.1839,3709.26
1340000,268,5359.68,268,294.867,-16322.431640625,112.5563,4046.55
1345000,269,5365.77,269,302.5029,-16668.689453125,116.2419,4361.71
1350000,270,5096.44,270,303.6087,-16608.822265625,122.9626,4574.52
1355000,271,3486.68,271,293.1709,-16572.755859375,101.0934,2695.29
1360000,272,5070.35,272,308.8049,-17260.17578125,105.772,4128.26
1365000,273,4639.9,273,309.6348,-16249.6796875,119.2283,4185.0
1370000,274,5262.41,274,295.8755,-16553.3828125,97.7297,4631.47
1375000,275,3881.85,275,298.7874,-16552.412109375,108.083,3363.35
1380000,276,4615.95,276,296.9805,-16649.333984375,108.5428,3740.92
1385000,277,3718.38,277,295.3032,-16865.974609375,109.0636,3073.64
1390000,278,4557.03,278,293.4368,-16870.9140625,108.1896,3750.65
1395000,279,4277.86,279,312.2122,-15900.9384765625,145.1147,2983.26
1400000,280,4834.79,280,298.1452,-17086.76953125,124.9771,3945.84
1405000,281,4087.79,281,308.0762,-16970.55078125,131.9866,3724.77
1410000,282,3337.29,282,319.2714,-16388.37109375,166.7235,3414.53
1415000,283,3805.83,283,302.5775,-17062.796875,121.9137,3351.51
1420000,284,3986.94,284,306.3796,-16637.94921875,119.4274,4696.82
1425000,285,710.02,285,330.1145,-15393.873046875,174.6829,1799.89
1430000,286,1256.97,286,350.4374,-16373.0849609375,184.2655,2506.28
1435000,287,1424.05,287,371.6941,-16288.0654296875,199.6338,3120.58
1440000,288,1770.99,288,347.0891,-15697.6806640625,184.1034,2154.4
1445000,289,2275.37,289,346.8441,-15450.7177734375,173.8616,1884.88
1450000,290,3350.01,290,337.3813,-15857.974609375,174.603,3073.92
1455000,291,1692.34,291,340.4458,-16012.1533203125,193.1953,2115.16
1460000,292,1935.73,292,346.7647,-16259.0556640625,187.7888,2614.11
1465000,293,1753.13,293,349.8277,-16120.3037109375,250.418,1785.66
1470000,294,3328.85,294,325.6504,-16925.8125,138.2581,3293.38
1475000,295,3969.38,295,332.5119,-15303.533203125,218.343,3855.81
1480000,296,2821.71,296,349.872,-15969.5087890625,233.2632,2997.97
1485000,297,1134.07,297,402.0812,-15425.310546875,281.1746,911.93
1490000,298,1449.66,298,366.9809,-15995.9013671875,241.3348,1963.6
1495000,299,1253.4,299,383.1973,-16558.453125,265.378,1061.0
1500000,300,820.34,300,400.1854,-16877.83203125,325.5679,1104.84
1505000,301,1270.9,301,380.2063,-17390.669921875,289.0021,1982.45
1510000,302,2403.72,302,338.0052,-16992.064453125,209.9692,2356.85
1515000,303,1835.02,303,347.4173,-16718.140625,241.9857,2085.82
1520000,304,2668.07,304,327.2064,-16854.01171875,174.9028,3700.03
1525000,305,3354.61,305,340.9141,-17208.25,188.5012,3001.27
1530000,306,2129.05,306,359.6476,-17517.734375,234.5265,2309.13
1535000,307,1530.57,307,357.0941,-16807.603515625,241.3855,2954.24
1540000,308,1470.03,308,363.2783,-16630.4140625,286.0636,2525.74
1545000,309,1903.51,309,376.5445,-16748.189453125,346.2813,1058.58
1550000,310,1176.51,310,395.198,-16478.1953125,333.2883,1451.89
1555000,311,1791.36,311,352.7437,-16525.81640625,247.2512,2922.56
1560000,312,2767.74,312,342.0329,-17106.716796875,230.6379,2002.89
1565000,313,2130.97,313,321.5477,-16368.16796875,208.5772,2191.4
1570000,314,1215.49,314,391.9865,-17074.59765625,308.9313,1265.11
1575000,315,5053.57,315,315.9947,-16970.12890625,193.1251,3508.28
1580000,316,1721.38,316,359.942,-16523.625,267.9696,2054.2
1585000,317,1539.85,317,370.5107,-16855.50390625,331.6733,1547.83
1590000,318,3145.9,318,321.4764,-16993.689453125,155.3337,3308.91
1595000,319,3231.93,319,324.4859,-17045.134765625,196.8762,2739.05
1600000,320,1065.12,320,367.3128,-15756.001953125,320.7565,1593.44
1605000,321,2543.05,321,343.2671,-16622.65234375,249.372,2671.49
1610000,322,1049.69,322,382.7154,-14978.1455078125,347.2325,1183.91
1615000,323,2127.82,323,353.2108,-15592.736328125,252.3498,2830.69
1620000,324,3458.6,324,358.9486,-18302.607421875,192.57,3860.85
1625000,325,3396.15,325,344.9524,-15933.0576171875,225.6036,3035.97
1630000,326,1839.94,326,401.6601,-15059.2998046875,395.9366,1956.51
1635000,327,1731.36,327,384.3314,-15813.83203125,328.6857,1609.56
1640000,328,1393.3,328,383.8637,-16947.650390625,349.7894,1322.47
1645000,329,614.2,329,382.938,-16086.0791015625,312.492,944.05
1650000,330,1797.95,330,363.7928,-18009.48046875,319.1746,3206.8
1655000,331,1609.79,331,378.8251,-16739.24609375,376.7909,1472.46
1660000,332,2327.24,332,371.7321,-16935.283203125,363.7293,2031.31
1665000,333,1937.18,333,374.9273,-17033.66015625,471.9861,2052.81
1670000,334,1814.78,334,405.672,-16014.8427734375,402.7925,2090.76
1675000,335,1353.37,335,373.5486,-17307.220703125,467.5188,710.46
1680000,336,951.5,336,404.2852,-16922.359375,443.2033,1075.92
1685000,337,572.94,337,423.8296,-17197.5546875,533.578,430.42
1690000,338,594.19,338,401.7583,-17843.41015625,600.652,637.29
1695000,339,264.99,339,561.9273,-19008.88671875,791.761,199.05
1700000,340,532.14,340,405.4119,-18253.451171875,613.3216,569.95
1705000,341,957.8,341,423.8804,-18019.927734375,622.4827,1198.89
1710000,342,1289.58,342,378.6855,-17307.736328125,484.7157,1589.46
1715000,343,1627.68,343,374.093,-18252.1171875,531.4004,1495.55
1720000,344,1349.62,344,357.875,-17978.103515625,417.6713,1412.93
1725000,345,2582.51,345,369.9629,-17892.8359375,429.6636,2395.82
1730000,346,1353.27,346,382.8643,-18416.9609375,602.7813,1268.96
1735000,347,2214.07,347,380.0136,-17614.818359375,454.7005,1931.1
1740000,348,741.75,348,400.3315,-17250.091796875,564.3988,965.78
1745000,349,1818.52,349,407.9954,-18200.931640625,772.5058,1950.11
1750000,350,1679.52,350,392.5806,-18571.193359375,875.4103,1105.8
1755000,351,1196.0,351,408.686,-18831.642578125,893.5936,733.42
1760000,352,783.2,352,420.8931,-18204.947265625,727.0143,1005.67
1765000,353,1264.38,353,430.2571,-19023.90625,988.4634,734.03
1770000,354,813.06,354,425.4677,-17572.62109375,570.4524,731.1
1775000,355,872.2,355,411.3631,-18688.15234375,897.076,1010.77
1780000,356,535.39,356,453.3568,-17403.01171875,510.7755,526.77
1785000,357,362.92,357,441.8443,-17259.990234375,414.1456,354.64
1790000,358,453.75,358,425.8058,-18112.30078125,674.0043,400.84
1795000,359,346.37,359,478.8983,-17924.84375,534.2052,294.75
1800000,360,217.86,360,463.6509,-18322.63671875,520.5942,262.44
1805000,361,249.37,361,504.3854,-18358.013671875,858.4973,230.35
1810000,362,64.11,362,659.7848,-18178.57421875,512.491,64.47
1815000,363,74.79,363,664.5781,-18493.48828125,551.6409,85.03
1820000,364,66.48,364,659.4108,-17916.154296875,574.3044,69.16
1825000,365,62.34,365,665.9953,-18729.431640625,543.0056,62.13
1830000,366,62.37,366,657.1701,-17953.173828125,506.5127,62.36
1835000,367,63.05,367,659.0758,-18848.775390625,551.0077,62.97
1840000,368,62.09,368,655.5609,-18711.3125,570.9692,62.21
1845000,369,61.97,369,668.9275,-18949.6875,569.1762,62.42
1850000,370,62.31,370,659.1985,-18413.900390625,530.715,62.35
1855000,371,62.24,371,677.9464,-19236.607421875,606.7845,62.26
1860000,372,62.87,372,660.7123,-18882.3125,534.2842,62.73
1865000,373,62.03,373,662.4279,-19234.228515625,562.1117,61.98
1870000,374,63.69,374,659.3995,-18576.697265625,599.1867,63.57
1875000,375,62.09,375,663.1418,-18826.693359375,541.7742,62.52
1880000,376,62.36,376,643.4379,-18581.4765625,429.9205,62.59
1885000,377,61.79,377,646.74,-18432.40234375,496.21,62.09
1890000,378,62.59,378,668.2652,-19220.8359375,558.3169,62.82
1895000,379,61.72,379,661.7518,-19191.26953125,475.1395,61.74
1900000,380,262.89,380,489.4713,-18751.681640625,618.499,253.79
1905000,381,297.3,381,501.6757,-18776.673828125,559.5238,306.76
1910000,382,341.04,382,493.4048,-18761.95703125,614.7908,335.71
1915000,383,309.72,383,492.4502,-18937.0234375,636.5847,335.92
1920000,384,297.05,384,492.6885,-18937.419921875,613.3142,301.62
1925000,385,544.14,385,467.6096,-18948.98828125,753.87,496.46
1930000,386,442.41,386,460.7944,-18926.552734375,782.132,461.51
1935000,387,481.67,387,479.0114,-19379.69921875,784.6999,436.49
1940000,388,559.0,388,442.7774,-18749.251953125,754.4636,528.57
1945000,389,446.35,389,449.3649,-18740.3125,653.7627,387.98
1950000,390,343.27,390,467.5961,-18982.978515625,785.2785,343.06
1955000,391,281.94,391,485.0301,-19486.015625,930.0398,302.07
1960000,392,319.12,392,469.3049,-19494.052734375,724.1685,303.71
1965000,393,201.67,393,523.7568,-19302.8046875,598.8555,209.84
1970000,394,72.08,394,616.7959,-19682.794921875,825.7224,86.79
