Running Env Steps,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
315000,63,249.3858,-10372.15234375,1006.28,63,864.7,382.4256
320000,64,258.4326,-10682.72265625,1080.11,64,930.05,370.9304
325000,65,238.2947,-9641.744140625,1004.7,65,1127.77,356.8183
330000,66,232.0343,-9497.2548828125,1123.95,66,1207.75,360.0831
335000,67,253.1625,-11430.7626953125,1022.8,67,1018.36,378.5879
340000,68,220.8125,-10104.85546875,1538.13,68,1230.56,363.6352
345000,69,252.4499,-11083.51953125,810.09,69,1147.47,351.8896
350000,70,222.6098,-9910.3603515625,1227.28,70,1723.48,364.4159
355000,71,174.1958,-7439.37890625,1250.04,71,1565.97,333.309
360000,72,217.7352,-9427.22265625,1469.01,72,1637.67,360.4112
365000,73,249.5806,-11185.23046875,1348.16,73,1410.36,371.1381
370000,74,218.6371,-9458.32421875,2529.51,74,1809.07,360.4889
375000,75,210.2408,-9578.1630859375,1504.58,75,2009.39,354.1795
380000,76,218.0914,-9272.76953125,2141.98,76,1987.02,365.5393
385000,77,187.1254,-8464.431640625,1956.22,77,2043.37,361.8212
390000,78,265.1426,-11488.1005859375,1237.65,78,1519.32,370.1918
395000,79,188.0229,-9233.0302734375,2488.56,79,3119.89,348.8105
400000,80,196.8147,-9977.9267578125,1792.29,80,2621.55,358.5917
405000,81,223.0824,-11293.634765625,1215.93,81,1723.41,383.4064
410000,82,201.8675,-9724.36328125,1816.04,82,1993.02,356.9589
415000,83,171.0514,-7787.349609375,2030.15,83,2559.41,343.8669
420000,84,191.3073,-10095.1494140625,1959.79,84,2237.49,363.3465
425000,85,189.5982,-8888.5673828125,1965.54,85,2922.38,361.5058
430000,86,158.6441,-7915.3857421875,2497.09,86,2956.99,344.3206
435000,87,178.3504,-9619.7958984375,2670.87,87,2411.49,355.8911
440000,88,160.9707,-8626.2236328125,2560.87,88,2828.17,339.4981
445000,89,166.8133,-8061.25537109375,2544.65,89,2821.9,350.3167
450000,90,164.8976,-8141.74560546875,1909.68,90,3176.44,343.2752
455000,91,180.8676,-9732.27734375,1378.67,91,1953.87,354.8619
460000,92,169.8599,-7988.5322265625,2070.37,92,2993.45,344.1309
465000,93,146.7478,-6499.1552734375,4184.08,93,4783.19,338.2543
470000,94,144.1401,-6927.39697265625,1923.38,94,3086.82,338.1242
475000,95,128.8162,-5688.29541015625,3996.92,95,4325.98,331.0382
480000,96,170.7341,-7606.09375,3128.47,96,2896.14,356.2072
485000,97,141.1437,-6630.1787109375,4348.5,97,4104.95,330.4128
490000,98,126.1593,-7104.98388671875,3810.76,98,4090.67,343.0118
495000,99,154.8665,-7397.65625,3880.68,99,3989.43,348.3865
500000,100,136.769,-6818.2890625,3912.49,100,4370.48,329.9535
505000,101,139.4952,-6144.84326171875,5076.54,101,4174.34,330.5972
510000,102,135.1947,-7174.087890625,3876.63,102,4324.87,339.3986
515000,103,117.2785,-5983.8232421875,4876.78,103,4525.5,329.4162
520000,104,158.2676,-9124.1728515625,3926.18,104,3304.34,342.1721
525000,105,117.5116,-6060.27490234375,5167.32,105,5055.28,324.6951
530000,106,135.5329,-7413.62109375,4655.31,106,4572.48,332.2359
535000,107,176.9857,-10385.1318359375,2971.05,107,2650.18,359.0957
540000,108,157.0947,-9727.2607421875,4367.88,108,4186.32,343.3514
545000,109,212.4842,-10248.61328125,5070.67,109,1377.13,355.655
550000,110,146.8546,-8358.9921875,4966.74,110,3299.7,342.0398
555000,111,198.6558,-10113.0390625,4412.49,111,2602.89,356.3835
560000,112,129.3074,-8182.47314453125,4749.73,112,3811.29,341.799
565000,113,151.7915,-9629.57421875,4039.85,113,2216.53,342.8439
570000,114,129.2362,-8043.20166015625,5107.81,114,4612.55,336.7442
575000,115,129.4378,-8468.625,5274.53,115,4129.7,331.8531
580000,116,120.9513,-8546.6357421875,4943.47,116,4462.16,322.9299
585000,117,137.4932,-9469.576171875,5319.2,117,4224.94,336.6075
590000,118,143.128,-9689.34765625,5231.28,118,4283.2,339.9496
595000,119,128.4433,-9253.9287109375,5408.14,119,4264.91,327.468
600000,120,131.2061,-9543.8212890625,5181.68,120,4789.36,328.6108
605000,121,130.286,-9615.318359375,3634.39,121,3992.25,337.0927
610000,122,131.6351,-9953.169921875,2733.61,122,3901.15,333.2713
615000,123,124.8919,-9765.4443359375,5239.6,123,4346.35,330.4371
620000,124,126.6199,-10184.3134765625,5289.28,124,4787.64,330.5187
625000,125,151.6963,-10970.541015625,5135.97,125,3751.15,341.4294
630000,126,127.7432,-10216.458984375,5305.64,126,4368.37,328.288
635000,127,119.0422,-9877.45703125,5152.68,127,4598.25,323.9598
640000,128,122.3055,-10255.4658203125,5342.82,128,4952.55,319.7968
645000,129,119.773,-10367.1572265625,5220.63,129,5041.2,328.8467
650000,130,130.3217,-10611.18359375,5319.32,130,5058.31,326.4229
655000,131,117.0988,-10916.978515625,5285.01,131,5130.68,324.5332
660000,132,121.7187,-10814.705078125,5284.2,132,5116.71,330.3525
665000,133,120.7939,-11151.5595703125,5254.14,133,4213.73,323.0727
670000,134,109.5055,-10872.701171875,5282.65,134,5185.29,314.5448
675000,135,136.3751,-12129.4921875,5277.62,135,4586.31,325.5607
680000,136,134.5476,-11951.166015625,5155.56,136,5101.51,329.404
685000,137,121.5973,-11504.8427734375,5331.48,137,4945.49,320.6418
690000,138,122.5193,-11911.720703125,5316.83,138,4791.38,323.3557
695000,139,122.9722,-11766.015625,5271.94,139,5164.58,319.0863
700000,140,140.5885,-12456.201171875,5261.82,140,5023.52,327.4967
705000,141,115.9096,-11644.8359375,5253.36,141,5093.94,315.538
710000,142,109.7895,-12043.197265625,5309.8,142,4503.55,317.3837
715000,143,117.7264,-12735.6494140625,5194.72,143,4697.15,321.134
720000,144,117.4624,-12407.287109375,5302.01,144,4914.38,317.1297
725000,145,120.4782,-12363.9638671875,5029.42,145,5019.07,314.2876
730000,146,121.1057,-12818.3916015625,5209.0,146,5111.7,314.46
735000,147,129.3291,-13210.525390625,5331.87,147,4610.7,323.57
740000,148,115.5292,-13122.9140625,5296.96,148,4965.35,320.2525
745000,149,124.3254,-13366.599609375,5266.34,149,5071.6,328.1618
750000,150,128.3597,-13368.6748046875,5261.83,150,5162.7,322.2975
755000,151,122.2849,-13537.3193359375,5334.89,151,5219.96,316.245
760000,152,114.4767,-13348.7109375,5214.42,152,5113.13,318.7831
765000,153,105.859,-13185.1474609375,5273.9,153,5140.38,309.1746
770000,154,107.524,-13570.9130859375,5320.62,154,5038.83,314.062
775000,155,111.1802,-13656.7939453125,5277.96,155,5133.04,316.3396
780000,156,112.5043,-13711.91796875,5249.45,156,4884.97,315.742
785000,157,108.7055,-13467.138671875,5186.31,157,5098.31,315.0969
790000,158,111.7335,-13713.4873046875,5309.8,158,4960.43,309.4141
795000,159,110.7365,-13844.58203125,5209.46,159,4104.95,308.1953
800000,160,121.5794,-14024.18359375,5292.27,160,4789.09,319.3643
805000,161,131.2819,-14325.75390625,5075.82,161,4432.14,320.4121
810000,162,107.1611,-14009.56640625,5150.56,162,4821.34,312.9325
815000,163,108.4343,-14039.212890625,5327.46,163,5118.22,310.2509
820000,164,115.3313,-14061.7021484375,4534.66,164,5000.09,305.1118
825000,165,105.1502,-14410.9287109375,5286.64,165,5136.02,310.5614
830000,166,112.2164,-14557.224609375,5371.49,166,5222.01,313.5584
835000,167,109.0198,-14485.150390625,5274.95,167,5108.54,314.1466
840000,168,114.2805,-14603.8974609375,5319.76,168,5167.24,311.1144
845000,169,109.7981,-14661.931640625,5288.69,169,5197.22,315.838
850000,170,109.314,-14585.935546875,5380.1,170,4836.49,310.468
855000,171,117.4828,-14953.380859375,5240.14,171,4872.89,313.4442
860000,172,125.9961,-14726.791015625,5338.81,172,5103.39,313.8049
865000,173,139.1872,-15039.62890625,5415.8,173,5321.0,317.8128
870000,174,125.067,-14935.3994140625,5344.24,174,4962.99,313.2896
875000,175,124.9572,-15017.4580078125,5396.16,175,4981.32,317.6962
880000,176,108.2444,-14666.8837890625,5285.87,176,4811.44,310.861
885000,177,109.3183,-14721.560546875,5373.16,177,4866.04,305.1036
890000,178,117.1962,-14833.6572265625,5258.92,178,4853.42,309.8637
895000,179,123.3801,-15016.919921875,5374.81,179,5198.5,309.6343
900000,180,102.2066,-14925.4921875,5401.43,180,5067.62,306.461
905000,181,110.0305,-15187.0634765625,5362.4,181,5193.26,308.6682
910000,182,105.7521,-15167.9345703125,3601.76,182,5175.38,308.4953
915000,183,135.9431,-15389.494140625,5116.49,183,3952.43,319.598
920000,184,103.5805,-14977.5595703125,5308.68,184,5105.71,306.1159
925000,185,110.371,-15341.0625,5269.21,185,5091.49,311.0008
930000,186,101.8722,-15088.01171875,5360.0,186,5143.9,304.3239
935000,187,102.6873,-15364.005859375,5377.49,187,4997.47,301.4787
940000,188,105.3492,-15125.3017578125,5148.78,188,5006.92,309.9774
945000,189,97.6694,-15251.953125,5219.95,189,4923.44,300.2913
950000,190,103.5694,-15184.248046875,5328.76,190,4543.84,305.5692
955000,191,97.0181,-15008.0849609375,5340.44,191,5166.0,295.6392
960000,192,125.6576,-15584.888671875,5400.66,192,4260.32,309.7997
965000,193,128.8061,-15674.2119140625,5232.05,193,4049.28,312.6419
970000,194,127.1026,-15922.4404296875,5069.61,194,4783.06,313.0129
975000,195,101.842,-15441.4326171875,5292.31,195,4654.1,307.4008
980000,196,99.3462,-15558.3544921875,5293.05,196,5158.41,300.0711
985000,197,105.9007,-15442.5693359375,5312.68,197,5112.8,297.3849
990000,198,94.5753,-15436.193359375,5363.27,198,5192.02,300.4715
995000,199,94.5212,-15466.8447265625,5330.52,199,5157.05,295.7448
1000000,200,92.0071,-15504.51953125,5258.19,200,4886.67,291.3824
1005000,201,89.1557,-15750.0625,5261.94,201,4789.67,293.2227
1010000,202,89.0645,-15425.138671875,5344.03,202,5128.5,292.8489
1015000,203,92.6661,-15368.173828125,5339.84,203,5184.82,295.5719
1020000,204,87.2126,-15411.96875,5314.84,204,5145.11,294.0703
1025000,205,86.0577,-15457.76171875,5361.67,205,5177.88,291.6735
1030000,206,93.5984,-15515.306640625,5348.91,206,4624.68,294.0305
1035000,207,90.3406,-15594.1142578125,5281.65,207,4847.68,297.1649
1040000,208,91.7135,-15644.0810546875,5246.73,208,4696.45,297.9232
1045000,209,90.8483,-15676.7763671875,5299.9,209,4845.31,295.4797
1050000,210,89.9316,-15519.994140625,5296.29,210,4916.15,294.0936
1055000,211,90.8603,-15434.443359375,5327.35,211,4938.47,295.1388
1060000,212,84.8172,-15579.765625,5352.76,212,5183.78,288.448
1065000,213,91.537,-15783.7236328125,5297.52,213,4401.95,293.6577
1070000,214,90.1741,-15735.4033203125,5279.21,214,4693.65,293.0232
1075000,215,86.5491,-15826.2958984375,5324.53,215,4796.5,291.6939
1080000,216,88.7798,-15669.2080078125,5293.14,216,4935.45,294.6761
1085000,217,82.8662,-15673.919921875,5351.35,217,4320.72,289.5223
1090000,218,93.4277,-15907.1337890625,5312.3,218,5051.24,295.1665
