Reward Loss,Real Sto Return,Running Forward KL,Itration,Running Env Steps,Running Update Time,Running Reverse KL,Real Det Return
-7055.8125,1442.52,156.9427,167,835000,167,14.286,1802.44
-8103.1123046875,-86.65,158.3713,168,840000,168,19.8998,-88.09
-7239.1025390625,1328.05,156.9709,169,845000,169,13.6993,1172.94
-7053.5146484375,1561.96,156.5482,170,850000,170,13.5738,1958.47
-7200.56201171875,1618.92,156.6546,171,855000,171,14.0348,2015.47
-7150.4755859375,1672.94,157.2114,172,860000,172,13.4821,1976.74
-7251.93359375,1167.72,157.0006,173,865000,173,13.2823,1914.35
-7385.11669921875,1426.93,156.6766,174,870000,174,14.6026,1697.24
-7600.55859375,620.51,157.3838,175,875000,175,13.7588,855.29
-7658.08349609375,1273.78,157.2551,176,880000,176,15.7869,1141.35
-7629.103515625,839.13,157.011,177,885000,177,12.6944,733.28
-7623.5654296875,1511.01,156.9785,178,890000,178,14.8752,1867.41
-7539.80615234375,-394.5,157.7521,179,895000,179,14.4715,-493.46
-7587.57373046875,1473.59,156.8762,180,900000,180,15.4629,1847.51
-7592.99072265625,1628.7,156.9677,181,905000,181,13.4423,1865.01
-7581.1748046875,1313.2,156.7811,182,910000,182,14.0588,1715.75
-7408.36767578125,992.99,156.6835,183,915000,183,13.142,1196.42
-7788.955078125,1621.71,157.1386,184,920000,184,15.1586,1908.64
-7807.9697265625,1669.86,156.9257,185,925000,185,14.4195,1987.52
-7745.70654296875,1757.73,156.7907,186,930000,186,13.1675,2025.64
-7771.3701171875,1808.9,156.882,187,935000,187,13.8062,2096.96
-7793.95361328125,1793.06,156.8795,188,940000,188,13.8891,2016.54
-8164.5029296875,1560.43,156.8853,189,945000,189,14.3398,2097.1
-7819.37109375,1783.16,156.7784,190,950000,190,14.083,2019.37
-7796.85791015625,1959.88,157.0426,191,955000,191,14.0333,2215.07
-7925.52294921875,1536.22,156.8035,192,960000,192,13.47,1772.92
-8063.34326171875,1705.56,157.1129,193,965000,193,15.3664,2072.99
-8032.78466796875,1713.85,157.1331,194,970000,194,15.4464,2067.42
-8033.38623046875,1737.44,156.8194,195,975000,195,14.8755,2129.51
-8194.8310546875,1415.48,156.8212,196,980000,196,14.6499,1142.29
-8280.693359375,1221.71,157.0154,197,985000,197,15.1757,1073.42
-8129.1474609375,1740.18,157.0049,198,990000,198,14.7668,2266.89
-8123.7841796875,1716.25,156.7613,199,995000,199,14.7209,2262.17
-8208.8583984375,1710.25,157.1141,200,1000000,200,14.8985,2239.04
-8098.478515625,1842.32,156.777,201,1005000,201,13.9607,2660.0
-8081.6201171875,2094.46,156.8151,202,1010000,202,13.8613,2823.78
-7907.5791015625,2344.52,157.0491,203,1015000,203,14.6174,2864.32
-8368.337890625,52.45,158.019,204,1020000,204,12.7448,17.37
-8538.501953125,242.51,158.1021,205,1025000,205,15.9678,-115.03
-8266.193359375,1584.58,156.5892,206,1030000,206,14.4714,1777.82
-8082.201171875,2120.61,156.8983,207,1035000,207,14.937,2556.99
-7929.947265625,2418.33,156.8614,208,1040000,208,15.3587,2900.61
-7903.69140625,2689.06,156.6351,209,1045000,209,15.5046,3189.59
-7911.8623046875,2703.95,156.8072,210,1050000,210,15.2956,3112.26
-7935.95751953125,2858.98,156.5629,211,1055000,211,15.0174,3606.1
-7912.37451171875,2863.27,156.7584,212,1060000,212,15.6117,3563.44
-7903.73974609375,2956.26,156.7398,213,1065000,213,15.7395,3672.79
-7890.1171875,3115.68,156.5668,214,1070000,214,15.6776,3671.18
-7831.2890625,3152.83,156.4259,215,1075000,215,15.4289,3896.12
-7829.9677734375,3180.25,156.0709,216,1080000,216,14.9486,3915.95
-7925.234375,3409.74,156.1394,217,1085000,217,16.0621,4194.84
-7796.83984375,3558.38,156.2524,218,1090000,218,16.6633,4405.73
-7769.125,3742.88,156.2776,219,1095000,219,17.5799,4452.53
-7809.81591796875,3802.59,156.0456,220,1100000,220,17.2312,4543.83
-7768.70556640625,3786.22,156.1683,221,1105000,221,17.9742,4656.8
-7861.48046875,3964.26,155.8555,222,1110000,222,17.6202,4807.52
-7967.22900390625,3849.55,155.8001,223,1115000,223,16.4859,4496.96
-7919.3037109375,3838.29,155.8609,224,1120000,224,17.7001,4523.86
-8012.66943359375,3348.44,155.9415,225,1125000,225,17.2426,4466.26
-8207.3466796875,3677.09,155.898,226,1130000,226,16.3291,4735.82
-7794.20263671875,3466.61,155.9669,227,1135000,227,19.3298,4867.33
-8040.22802734375,4028.42,155.6127,228,1140000,228,17.1659,4541.35
-8266.3662109375,4071.7,155.4192,229,1145000,229,16.1437,4674.7
-7961.0283203125,3871.52,155.8505,230,1150000,230,18.0511,5256.46
-7982.03515625,4458.39,156.0082,231,1155000,231,18.2416,5381.13
-7786.27099609375,4434.48,155.6797,232,1160000,232,19.4533,5413.73
-7737.47998046875,4755.7,156.0242,233,1165000,233,19.8226,5351.64
-7816.857421875,4708.46,155.8627,234,1170000,234,19.1692,5438.27
-7877.8935546875,4605.64,155.6347,235,1175000,235,19.0803,5260.09
-7933.87109375,4614.0,156.1625,236,1180000,236,19.4712,5011.05
-8140.24560546875,4220.25,156.2901,237,1185000,237,20.4482,4809.95
-8476.2255859375,2603.46,156.2881,238,1190000,238,17.8163,3132.63
-8568.271484375,2265.53,156.6011,239,1195000,239,15.1334,2380.18
-8697.2421875,1784.94,157.0867,240,1200000,240,14.2107,1893.01
-8751.462890625,2487.38,156.1082,241,1205000,241,15.2991,2729.4
-8159.091796875,3945.26,155.5215,242,1210000,242,16.9087,4999.1
-8006.6337890625,4419.74,155.2822,243,1215000,243,18.437,5348.97
-7989.2216796875,4889.75,155.0031,244,1220000,244,19.8496,5300.35
-8021.87255859375,5180.21,154.9186,245,1225000,245,19.3275,5502.44
-7970.88916015625,5221.13,155.5815,246,1230000,246,19.8739,5637.96
-7996.6103515625,5308.96,155.6336,247,1235000,247,19.7885,5547.7
-8006.19970703125,5206.87,155.7408,248,1240000,248,20.0711,5423.85
-8090.80029296875,5039.58,155.0474,249,1245000,249,19.5495,5780.11
-8047.9404296875,5023.42,155.5853,250,1250000,250,20.2737,5645.98
-8468.970703125,4118.37,155.3389,251,1255000,251,17.4593,5938.82
-9264.509765625,1423.15,157.2353,252,1260000,252,14.7171,1708.03
-8524.509765625,3744.88,155.8465,253,1265000,253,19.6522,4580.59
-8208.0380859375,1303.86,156.0822,254,1270000,254,17.3729,1164.91
-7994.923828125,5421.39,155.9219,255,1275000,255,20.7366,5845.78
-8208.2099609375,5336.18,155.8838,256,1280000,256,20.4229,5782.42
-8198.4990234375,5240.11,155.5407,257,1285000,257,20.6456,5247.63
-8201.9853515625,5399.34,156.0641,258,1290000,258,20.9411,5505.9
-8280.8642578125,5152.74,155.4878,259,1295000,259,20.0166,5719.55
-8239.1357421875,5469.48,156.2729,260,1300000,260,21.5347,5521.85
-8250.341796875,5539.22,155.7488,261,1305000,261,21.2646,5844.11
-8300.9013671875,5592.56,155.8771,262,1310000,262,21.5295,5777.55
-8562.328125,4483.48,155.9756,263,1315000,263,20.935,5799.91
-8315.4599609375,5642.37,155.7409,264,1320000,264,22.1811,5948.68
-8443.8271484375,5520.91,156.2625,265,1325000,265,21.5823,5717.59
-8364.4287109375,5366.36,155.9051,266,1330000,266,21.4191,5852.66
-8978.2001953125,676.45,156.8418,267,1335000,267,16.2914,-335.47
-8462.1513671875,4605.72,156.4626,268,1340000,268,19.4188,-116.8
-8556.314453125,5213.93,156.1227,269,1345000,269,20.1296,5419.74
-8557.6142578125,5307.37,154.96,270,1350000,270,18.5333,5371.29
-8591.9716796875,5189.21,156.1393,271,1355000,271,20.1548,5388.6
-8690.2861328125,4734.19,155.1713,272,1360000,272,19.0479,4754.19
-9248.9521484375,2245.54,155.7766,273,1365000,273,15.0795,2535.37
-8690.2705078125,5068.1,155.8652,274,1370000,274,21.2233,5660.29
-8894.3818359375,4384.44,155.7451,275,1375000,275,19.9428,5346.81
-8808.0244140625,4987.68,155.7126,276,1380000,276,19.9944,5691.55
-9169.5439453125,3720.47,155.6634,277,1385000,277,18.1636,4870.69
-8909.1318359375,4332.0,155.7113,278,1390000,278,20.6135,5003.62
-9707.65234375,2748.18,157.6529,279,1395000,279,20.7046,2854.89
-9006.09765625,4961.7,155.9221,280,1400000,280,21.2046,4847.62
-8959.599609375,5346.63,156.1771,281,1405000,281,21.8361,5390.02
-8921.8173828125,5694.96,155.1801,282,1410000,282,21.2607,5911.94
-8986.0771484375,4139.95,155.5063,283,1415000,283,18.8046,3656.03
-9386.9541015625,-433.76,160.5032,284,1420000,284,36.6706,-484.69
-9226.5380859375,4324.2,155.2325,285,1425000,285,18.1526,5184.29
-9054.208984375,5075.9,156.0208,286,1430000,286,20.0308,5407.96
-9189.078125,4967.63,155.6313,287,1435000,287,20.7329,5488.18
-8973.9482421875,5582.61,155.9311,288,1440000,288,21.5578,5633.3
-8984.392578125,5443.61,155.9605,289,1445000,289,22.2994,5838.29
-8890.25390625,5740.62,155.4991,290,1450000,290,20.5124,5718.65
-8879.0947265625,5523.1,155.9409,291,1455000,291,21.2489,5756.73
-9090.2490234375,5280.7,155.8019,292,1460000,292,21.6586,5627.81
-9035.734375,5751.56,155.9701,293,1465000,293,21.737,5941.49
-9301.1240234375,5147.32,156.5045,294,1470000,294,21.1496,5318.22
-9150.6240234375,5331.82,155.9082,295,1475000,295,19.1871,5445.04
-9085.5263671875,5388.13,155.3528,296,1480000,296,21.5766,6309.97
-9245.376953125,5805.5,156.0018,297,1485000,297,21.9516,4944.64
-9158.2568359375,5723.67,155.8566,298,1490000,298,20.6655,6017.33
-9254.931640625,5918.35,156.0112,299,1495000,299,21.8532,6164.14
-9223.2470703125,5935.65,156.0629,300,1500000,300,21.5794,6337.48
-9360.4658203125,5816.11,155.8882,301,1505000,301,21.9871,6058.62
-9317.9453125,5819.49,156.1717,302,1510000,302,22.3622,6403.41
-9330.6962890625,5810.43,155.8313,303,1515000,303,21.4594,5962.36
-9364.2412109375,5505.07,156.5259,304,1520000,304,20.7946,5561.46
-9363.96875,5870.06,155.7579,305,1525000,305,21.4054,6291.15
-9480.845703125,5292.18,155.3452,306,1530000,306,19.6346,5417.98
-10532.525390625,1552.36,157.138,307,1535000,307,16.6483,1698.46
-9837.43359375,5082.95,156.2121,308,1540000,308,19.2361,5369.72
-9748.3974609375,5692.23,156.5407,309,1545000,309,21.2194,5976.21
-9639.1123046875,5322.85,155.686,310,1550000,310,21.6696,6010.57
-9648.287109375,5901.79,156.2191,311,1555000,311,22.8145,6572.62
-9660.2744140625,6026.74,155.5036,312,1560000,312,23.4032,6460.22
-9623.033203125,5619.89,155.297,313,1565000,313,21.6697,6197.65
-9503.4091796875,6076.45,155.7167,314,1570000,314,22.2289,5985.31
-9660.6533203125,6061.59,156.1286,315,1575000,315,22.1263,6201.01
-9801.8740234375,5338.25,155.7904,316,1580000,316,23.1107,6404.64
-9880.7119140625,5282.79,155.3267,317,1585000,317,20.2999,6219.23
-9928.634765625,4956.94,155.5874,318,1590000,318,19.1996,5956.02
-10259.09765625,4058.05,157.5722,319,1595000,319,20.0865,3851.04
-10198.822265625,4901.57,156.5859,320,1600000,320,20.3112,4984.08
-10083.2470703125,5289.67,156.2433,321,1605000,321,20.0966,5396.66
-10100.107421875,5313.43,155.3917,322,1610000,322,20.0681,5610.33
-9885.146484375,1035.56,158.5663,323,1615000,323,16.0513,973.34
-10380.775390625,4473.94,157.521,324,1620000,324,20.1194,4595.52
-10473.751953125,4650.49,156.7206,325,1625000,325,21.1404,4690.42
-10268.314453125,5940.26,155.968,326,1630000,326,23.079,6337.18
-10218.69921875,6059.4,156.2215,327,1635000,327,22.6339,7023.47
-10058.185546875,6361.69,156.1812,328,1640000,328,23.5045,6956.24
-10260.3349609375,6175.2,155.6574,329,1645000,329,21.2982,6668.07
-9530.7119140625,153.76,158.1967,330,1650000,330,15.4167,-15.62
-10578.3515625,2672.5,156.3954,331,1655000,331,17.3846,2672.73
-10313.541015625,5263.92,156.4634,332,1660000,332,19.7164,5447.89
-10408.451171875,6155.66,156.501,333,1665000,333,23.0586,6406.37
-10364.9404296875,6226.57,156.4742,334,1670000,334,22.9447,6299.09
-10434.0234375,6283.19,156.1528,335,1675000,335,22.642,6915.79
-10433.7919921875,6207.17,155.8019,336,1680000,336,23.6241,6965.27
-10392.5751953125,6294.35,156.2281,337,1685000,337,22.8719,6782.91
-10344.875,6330.59,156.1281,338,1690000,338,23.5398,6545.74
-10343.2119140625,6333.74,156.3092,339,1695000,339,23.4463,6755.56
-10548.626953125,6350.27,156.1657,340,1700000,340,23.7598,7115.22
-10534.3203125,6448.78,156.1703,341,1705000,341,23.4129,6785.19
-10465.0546875,6313.65,155.9101,342,1710000,342,22.7066,6668.68
-10517.8232421875,6196.92,156.2164,343,1715000,343,22.2573,6376.2
-10672.7626953125,4597.24,155.1717,344,1720000,344,16.6098,5563.24
-11512.6376953125,3841.18,157.6128,345,1725000,345,24.4399,3891.54
-11068.306640625,4858.69,156.9765,346,1730000,346,20.044,5147.99
-10996.3984375,5973.51,156.2599,347,1735000,347,22.2382,6089.73
-10860.2568359375,6247.27,156.347,348,1740000,348,23.3863,6570.88
-10913.900390625,6154.4,156.1331,349,1745000,349,23.4607,7281.78
-10821.0673828125,6362.28,155.5521,350,1750000,350,23.2855,7383.9
-10911.2958984375,6445.15,156.3079,351,1755000,351,23.9457,6752.28
-11033.6953125,6365.96,156.2712,352,1760000,352,23.4878,6884.71
-11008.587890625,6406.96,156.1299,353,1765000,353,23.572,7280.55
-11044.2021484375,6561.12,155.8224,354,1770000,354,23.8212,6801.7
-11124.857421875,6254.87,156.4052,355,1775000,355,23.2773,6432.99
-10265.318359375,5664.21,155.0538,356,1780000,356,19.0777,6382.4
-11112.0771484375,5894.83,156.2903,357,1785000,357,21.7414,6385.16
-11144.3759765625,6037.32,155.3626,358,1790000,358,21.5008,6242.37
-11104.2685546875,5939.73,155.9834,359,1795000,359,20.9103,5935.93
-11306.13671875,6173.64,156.2315,360,1800000,360,22.2824,6819.47
-11405.4033203125,6303.16,156.3012,361,1805000,361,22.4608,6562.94
-11277.6494140625,6414.13,156.3895,362,1810000,362,23.038,6460.53
-11479.51953125,6355.33,155.7574,363,1815000,363,22.8409,7148.79
-11573.8671875,6300.09,156.1555,364,1820000,364,21.9219,6347.76
-11930.765625,5406.4,156.1163,365,1825000,365,20.2125,6301.28
-11868.255859375,3860.4,157.3138,366,1830000,366,21.2899,3859.48
-11679.2177734375,6023.75,156.5244,367,1835000,367,21.5122,6314.96
-11865.3076171875,6333.04,156.4122,368,1840000,368,23.0319,7318.17
-11885.6845703125,6441.38,156.7051,369,1845000,369,23.4767,6949.23
-11703.36328125,6583.28,156.821,370,1850000,370,24.4732,6951.52
-11829.1552734375,6471.52,156.2899,371,1855000,371,22.944,6575.43
-11998.1767578125,6131.69,156.412,372,1860000,372,23.4544,6369.21
-11967.44921875,6526.69,156.4806,373,1865000,373,23.7629,6606.17
-12004.90234375,6250.87,156.098,374,1870000,374,22.3152,6172.01
-9722.1611328125,374.12,158.0755,375,1875000,375,15.9969,522.69
-12193.4453125,3603.81,156.614,376,1880000,376,18.9452,4281.51
-12321.572265625,5586.63,156.378,377,1885000,377,20.1338,5827.62
-12078.490234375,5706.06,156.6693,378,1890000,378,20.2444,5950.41
-12210.7783203125,6296.07,156.678,379,1895000,379,23.2888,6858.53
-12063.4892578125,6553.12,156.3112,380,1900000,380,23.3046,6479.18
-12059.9091796875,6782.92,156.3078,381,1905000,381,24.9489,6888.87
-12132.517578125,6835.91,156.7696,382,1910000,382,25.828,7217.32
-12359.1005859375,6701.64,157.0152,383,1915000,383,24.9342,6785.63
-12275.7216796875,6862.79,156.3812,384,1920000,384,24.8275,7153.7
-12368.4384765625,6919.47,156.3733,385,1925000,385,24.3238,6897.07
-12145.796875,6387.8,156.1535,386,1930000,386,24.5624,7015.56
