Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time,Running Forward KL,Itration,Reward Loss
280000,13.4133,3193.72,3145.4,56,21.2318,56,-720.466552734375
285000,17.5747,2351.23,3037.0,57,19.6465,57,-1029.0384521484375
290000,13.3137,3239.69,3235.41,58,20.1764,58,-620.009521484375
295000,11.6825,3417.85,3374.19,59,18.5132,59,-375.4949951171875
300000,11.9226,3343.74,3341.68,60,18.8619,60,-496.0929260253906
305000,11.3647,3340.09,3323.8,61,18.4407,61,-495.27032470703125
310000,11.227,3245.04,3250.16,62,18.8467,62,-550.2021484375
315000,12.4206,3407.44,3331.62,63,18.4877,63,-482.513916015625
320000,13.2417,3462.7,3416.68,64,18.4919,64,-388.3975524902344
325000,11.4272,3339.2,3296.85,65,18.3774,65,-639.8465576171875
330000,11.8625,3362.18,3340.8,66,18.3589,66,-521.8849487304688
335000,11.4607,3365.01,3349.97,67,18.2795,67,-503.4331359863281
340000,12.339,3489.05,3438.65,68,18.3362,68,-419.83184814453125
345000,11.7153,3471.97,3399.07,69,17.2139,69,-402.3341064453125
350000,11.9443,3485.55,3412.5,70,18.4095,70,-483.2388610839844
355000,12.5284,3526.29,3461.63,71,17.9159,71,-365.08868408203125
360000,12.1282,3399.6,3351.36,72,17.5976,72,-431.3740539550781
365000,11.8029,3481.85,3410.66,73,17.8311,73,-512.5316162109375
370000,11.5524,3446.83,3389.49,74,17.612,74,-495.7225341796875
375000,11.6034,3490.25,3418.32,75,17.1263,75,-322.9429931640625
380000,11.585,3474.95,3403.52,76,17.7636,76,-552.2525634765625
385000,11.7953,3543.53,3477.21,77,18.0216,77,-540.7498779296875
390000,11.5008,3463.45,3392.14,78,17.1622,78,-545.4328002929688
395000,10.9738,3492.19,3350.45,79,17.9068,79,-422.68536376953125
400000,11.3074,3455.09,3392.19,80,17.2566,80,-477.96783447265625
405000,12.2434,3532.3,3433.62,81,18.4815,81,-391.1717224121094
410000,11.3386,3457.96,3408.07,82,17.7521,82,-512.671142578125
415000,11.2027,3495.81,3449.83,83,17.5024,83,-167.46388244628906
420000,12.7149,3498.9,3413.86,84,18.3219,84,-455.98388671875
425000,12.0542,3494.37,3440.48,85,17.7209,85,-574.6522216796875
430000,11.7316,3497.28,3413.62,86,18.2592,86,-364.86480712890625
435000,12.1243,3487.7,3419.21,87,17.8417,87,-458.1860046386719
440000,11.9176,3481.93,3242.25,88,17.8999,88,-435.5961608886719
445000,12.2353,3518.69,3463.93,89,18.2201,89,-613.1771240234375
450000,11.228,3497.6,3453.86,90,16.9488,90,-408.3282470703125
455000,10.5324,3540.42,3488.79,91,17.298,91,-308.08795166015625
460000,17.1675,3480.29,3127.34,92,18.7732,92,-693.0536499023438
465000,13.0778,3540.67,3492.53,93,18.9267,93,-476.1688232421875
470000,11.3515,3468.77,3429.8,94,16.8947,94,-523.3331909179688
475000,12.06,3490.11,3443.08,95,17.8087,95,-690.2935791015625
480000,11.5591,3461.36,3404.77,96,17.7045,96,-345.57574462890625
485000,12.4872,3455.45,3420.95,97,17.4791,97,-572.3244018554688
490000,13.4277,3502.53,3268.37,98,19.4815,98,-597.2916259765625
495000,11.5587,3474.57,3436.66,99,18.0721,99,-491.5438537597656
500000,10.9709,3457.2,3408.58,100,16.6097,100,-574.6954345703125
505000,11.9322,3514.46,3431.58,101,17.2851,101,-331.6548156738281
510000,11.2865,3476.49,3397.19,102,17.5718,102,-386.78466796875
515000,12.2442,3470.21,3419.65,103,17.7788,103,-469.34906005859375
520000,13.1528,3486.57,3456.4,104,18.4552,104,-631.3319091796875
525000,10.4854,3496.42,3445.55,105,16.317,105,-490.3815612792969
530000,10.3813,3462.95,2966.96,106,16.5689,106,-484.7042541503906
535000,11.0878,3501.78,3460.96,107,17.4314,107,-594.3543090820312
540000,15.5073,3474.12,3052.44,108,18.6507,108,-842.8174438476562
545000,11.6963,3492.8,3273.86,109,18.2711,109,-680.1105346679688
550000,11.6788,3466.41,3425.43,110,18.225,110,-474.4572448730469
555000,12.3743,3488.79,3447.74,111,17.9929,111,-701.5826416015625
560000,13.5534,3512.73,3449.65,112,19.7331,112,-782.3522338867188
565000,11.9412,3504.23,3272.58,113,17.8799,113,-574.9019165039062
570000,15.4046,3499.95,3242.02,114,18.5699,114,-933.520263671875
575000,18.0063,3498.78,3418.07,115,18.6645,115,-865.4942626953125
580000,12.0607,3525.72,3475.65,116,17.6202,116,-513.1138305664062
585000,12.738,3446.53,2973.44,117,18.29,117,-813.3676147460938
590000,12.2584,3509.24,3289.75,118,17.5991,118,-682.8176879882812
595000,12.0995,3484.31,3455.65,119,17.8657,119,-703.281982421875
600000,11.5723,3499.61,3454.14,120,17.3644,120,-681.2498779296875
605000,11.6574,3470.73,3064.38,121,18.4407,121,-831.2260131835938
610000,12.4861,3485.91,3442.05,122,18.3651,122,-753.122802734375
615000,13.608,3493.78,3108.52,123,19.0351,123,-905.0706176757812
620000,19.4219,3513.66,3044.75,124,18.8755,124,-1087.4962158203125
625000,11.1987,3493.99,3438.33,125,17.3042,125,-708.46875
630000,13.4952,3539.49,3489.33,126,19.038,126,-864.876708984375
635000,12.9905,3512.43,3474.26,127,18.4649,127,-783.6454467773438
640000,12.371,3543.34,3528.46,128,17.9534,128,-715.6248168945312
645000,11.3582,3512.31,3489.89,129,17.7333,129,-704.3976440429688
650000,12.1587,3504.33,3477.49,130,18.6274,130,-788.8845825195312
655000,12.187,3530.7,3491.49,131,18.6184,131,-730.7515869140625
660000,14.3347,3535.69,3112.18,132,18.9962,132,-791.8094482421875
665000,16.8685,3528.99,3269.54,133,18.9787,133,-1114.7218017578125
670000,11.962,3503.31,3445.06,134,18.0327,134,-649.4742431640625
675000,13.3074,3545.86,3510.39,135,19.0787,135,-672.8698120117188
680000,12.6592,3482.77,3439.28,136,18.3582,136,-671.6641845703125
685000,10.8229,3412.99,2641.73,137,18.3177,137,-831.1932983398438
690000,12.2803,3515.48,3433.03,138,18.3867,138,-795.763427734375
695000,11.7406,3484.88,3446.31,139,18.1006,139,-691.7083740234375
700000,11.3842,3514.99,3415.25,140,17.7485,140,-611.114501953125
705000,11.3018,3504.25,3417.75,141,18.3923,141,-846.4017333984375
710000,12.8144,3522.69,2588.99,142,19.0793,142,-876.9378051757812
715000,11.7283,3510.76,3455.01,143,18.048,143,-860.062255859375
720000,11.638,3507.5,3468.47,144,17.4976,144,-751.5855102539062
725000,10.581,3502.19,3463.4,145,17.0331,145,-729.4771728515625
730000,17.0965,3515.34,3151.0,146,19.0823,146,-1102.166748046875
735000,11.0085,3512.74,3465.71,147,16.5712,147,-784.285400390625
740000,11.0863,3465.02,3430.12,148,16.9427,148,-731.227294921875
745000,11.4794,3446.57,3385.33,149,17.5037,149,-977.63525390625
750000,12.2328,3497.96,3472.11,150,17.9682,150,-925.5361938476562
755000,11.0387,3503.03,3461.55,151,17.3307,151,-796.3964233398438
760000,11.0842,3492.02,3440.79,152,16.8244,152,-785.819580078125
765000,11.1997,3504.33,3156.71,153,17.9793,153,-795.9714965820312
770000,10.6228,3461.15,3402.28,154,16.4569,154,-758.2951049804688
775000,10.7286,3515.0,3470.88,155,16.738,155,-685.5936279296875
780000,10.3279,3503.04,3475.28,156,16.4107,156,-549.5393676757812
785000,10.4249,3493.82,3396.74,157,16.7351,157,-665.1317749023438
790000,12.0752,3494.2,3448.21,158,18.686,158,-873.8087768554688
795000,12.3787,3499.44,3465.14,159,17.8516,159,-854.6017456054688
800000,11.767,3490.42,3462.28,160,18.1535,160,-776.0240478515625
805000,12.0514,3509.99,3455.14,161,17.6057,161,-803.691162109375
810000,12.6375,3491.98,3437.22,162,18.4319,162,-841.7748413085938
815000,11.1867,3486.13,3442.57,163,16.8469,163,-880.9356689453125
820000,14.6707,3451.65,3281.0,164,17.897,164,-891.1654052734375
825000,12.2233,3486.85,3306.57,165,18.3276,165,-1081.8912353515625
830000,10.8317,3498.49,2989.51,166,17.2744,166,-960.5398559570312
835000,33.8598,3493.63,2423.2,167,19.3113,167,-1825.060546875
840000,11.8329,3487.13,3302.04,168,17.3981,168,-1102.0064697265625
845000,15.9506,3480.05,2699.2,169,17.9326,169,-1166.2254638671875
850000,11.0609,3506.91,3434.11,170,17.5417,170,-909.4349975585938
855000,11.5201,3491.8,2994.67,171,17.848,171,-948.5201416015625
860000,10.2713,3506.84,3421.35,172,16.6755,172,-969.3525390625
865000,17.0747,3423.36,2698.02,173,18.6415,173,-1535.470703125
870000,14.9098,3496.78,2484.57,174,17.9021,174,-1456.6346435546875
875000,11.4012,3473.22,3431.83,175,17.1497,175,-1078.8477783203125
880000,11.5574,3485.32,3424.32,176,17.6464,176,-1134.017822265625
885000,14.2679,3519.16,3294.03,177,18.3935,177,-1287.9599609375
890000,13.8069,3495.63,3088.55,178,17.6821,178,-1339.7470703125
895000,10.9472,3496.16,3294.82,179,18.3996,179,-1162.8907470703125
900000,12.0379,3518.89,3339.27,180,17.5127,180,-1014.2328491210938
905000,13.8292,3490.03,3358.35,181,17.0314,181,-1118.9017333984375
910000,11.401,3485.29,3442.94,182,17.5728,182,-1041.71826171875
915000,13.3179,3504.89,2899.06,183,19.346,183,-1613.45947265625
920000,12.5805,3501.25,3333.58,184,17.1401,184,-1089.9307861328125
925000,11.0141,3487.88,3347.2,185,17.4746,185,-1243.208251953125
930000,10.732,3441.74,3333.04,186,16.3995,186,-1081.0810546875
935000,11.6537,3499.75,3474.34,187,17.4321,187,-1110.8353271484375
940000,10.96,3494.46,3298.97,188,17.2209,188,-1105.635498046875
945000,11.3134,3504.66,3479.59,189,17.1367,189,-1080.1502685546875
950000,10.5469,3459.55,3374.2,190,16.1241,190,-1026.424560546875
955000,12.4808,3512.21,3444.92,191,18.0259,191,-1336.134765625
960000,11.876,3459.73,3424.67,192,17.1535,192,-1134.320556640625
965000,10.8395,3503.57,3464.83,193,17.4569,193,-1064.59814453125
970000,14.2023,3472.07,3294.03,194,17.8249,194,-1306.030517578125
975000,11.2485,3495.12,3319.64,195,16.9476,195,-1153.20263671875
980000,11.4745,3470.48,3439.86,196,16.6557,196,-1325.5145263671875
985000,11.6461,3493.42,3422.33,197,17.0676,197,-1203.379150390625
990000,9.7677,3510.97,3407.21,198,16.4669,198,-1146.9288330078125
995000,12.4325,3487.51,3167.4,199,17.6829,199,-1183.78857421875
