Running Forward KL,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Itration,Running Reverse KL,Running Env Steps
21.7732,-461.03570556640625,48,3320.31,3219.32,48,13.7533,240000
21.5844,-685.1719360351562,49,3385.44,2966.09,49,21.974,245000
20.5862,-419.3043212890625,50,3286.13,3299.71,50,14.1883,250000
20.5136,-381.14642333984375,51,3392.09,3365.1,51,14.0479,255000
20.0711,-341.7250671386719,52,3362.98,3282.22,52,13.0503,260000
21.4673,-373.83380126953125,53,3355.75,3398.24,53,14.9155,265000
21.8288,-377.4391784667969,54,3377.11,3402.1,54,14.5251,270000
21.1226,-433.5129699707031,55,3346.48,3374.86,55,14.7193,275000
20.8849,-404.48980712890625,56,3371.82,3365.07,56,14.199,280000
20.4059,-327.2195129394531,57,3446.29,3208.93,57,14.1153,285000
20.364,-346.01800537109375,58,3492.9,2863.35,58,13.7314,290000
19.8244,-411.90521240234375,59,3424.21,3256.77,59,13.8199,295000
21.1641,-367.0393981933594,60,3482.35,3322.58,60,13.9224,300000
20.4555,-339.8812561035156,61,3411.42,3292.35,61,13.768,305000
20.245,-370.98089599609375,62,3471.98,3439.86,62,13.4233,310000
19.768,-315.7706298828125,63,3487.1,3232.42,63,12.5849,315000
20.0551,-363.62457275390625,64,3425.74,3305.95,64,13.9399,320000
19.7602,-417.3200378417969,65,3440.84,3386.93,65,12.546,325000
20.3146,-343.3534240722656,66,3477.38,3454.96,66,13.3585,330000
18.4546,-293.7604675292969,67,3471.65,3413.53,67,12.1429,335000
18.7807,-342.8204650878906,68,3463.97,3425.52,68,11.7822,340000
19.4509,-336.00921630859375,69,3475.71,3292.93,69,12.8623,345000
20.3449,-400.21685791015625,70,3480.42,3315.81,70,13.1096,350000
19.6962,-524.236572265625,71,3473.73,3422.16,71,13.5842,355000
18.6059,-341.72406005859375,72,3469.69,3463.3,72,11.7752,360000
20.4273,-519.4329223632812,73,3371.91,3394.47,73,13.5175,365000
20.3764,-571.3976440429688,74,3327.25,3349.81,74,13.2712,370000
19.9235,-509.0509338378906,75,3417.98,3336.88,75,13.6309,375000
19.2365,-603.8073120117188,76,3475.48,3458.67,76,14.0897,380000
20.5459,-442.9339599609375,77,3504.85,3436.62,77,13.1954,385000
19.8417,-512.603271484375,78,3490.87,3177.34,78,12.6471,390000
18.3518,-388.45123291015625,79,3446.75,3423.59,79,12.5842,395000
19.607,-423.0151062011719,80,3474.63,3462.5,80,12.4095,400000
18.7091,-435.02783203125,81,3475.56,3448.67,81,11.922,405000
18.599,-384.8638916015625,82,3466.46,3451.13,82,11.0135,410000
19.0976,-462.6165771484375,83,3498.71,3443.65,83,11.7292,415000
18.2847,-476.6639099121094,84,3425.95,3403.46,84,11.6247,420000
19.1988,-518.5794677734375,85,3487.35,3461.35,85,11.5237,425000
18.8168,-500.99658203125,86,3468.62,3431.01,86,12.4241,430000
18.7214,-444.1758728027344,87,3470.94,3437.39,87,11.6403,435000
18.302,-478.82550048828125,88,3484.0,3271.35,88,12.1668,440000
19.0146,-622.1150512695312,89,3430.71,3222.3,89,13.2083,445000
18.6308,-507.93951416015625,90,3441.75,3380.89,90,12.0263,450000
18.8886,-443.2611083984375,91,3482.61,3215.78,91,12.1809,455000
18.7891,-569.0345458984375,92,3431.41,3414.11,92,12.0193,460000
19.7566,-493.9425354003906,93,3483.1,3459.15,93,13.0712,465000
18.666,-383.96990966796875,94,3496.95,3436.87,94,12.1549,470000
19.0785,-560.0513916015625,95,3466.37,3390.87,95,12.3922,475000
19.2957,-564.705078125,96,3465.9,3427.72,96,12.365,480000
18.8647,-497.0613098144531,97,3489.5,3466.39,97,11.7203,485000
20.017,-385.7877502441406,98,3480.47,2850.93,98,17.9453,490000
20.2316,-578.6892700195312,99,3455.65,3430.93,99,13.7232,495000
19.809,-554.9705810546875,100,3478.2,3454.34,100,12.9054,500000
18.3988,-462.1498718261719,101,3477.45,3296.42,101,11.5303,505000
18.4431,-464.6224365234375,102,3466.83,3428.56,102,11.901,510000
20.1077,-504.6555480957031,103,3436.94,3264.53,103,13.3149,515000
17.4213,-357.28790283203125,104,3467.94,3434.57,104,10.7234,520000
19.8346,-601.3090209960938,105,3457.43,2954.54,105,12.1617,525000
20.0038,-528.532958984375,106,3484.96,3480.64,106,13.4312,530000
18.3967,-401.6159362792969,107,3501.57,3207.84,107,11.712,535000
19.196,-460.9271240234375,108,3490.37,3277.49,108,12.3576,540000
18.1357,-400.9627380371094,109,3494.8,3342.9,109,11.7811,545000
19.2552,-518.6431274414062,110,3491.97,3465.3,110,12.6661,550000
18.7194,-510.55743408203125,111,3472.07,3392.6,111,12.4383,555000
19.7857,-551.8054809570312,112,3491.89,3476.25,112,13.3914,560000
19.3169,-555.8073120117188,113,3472.69,3356.06,113,11.9978,565000
19.1765,-579.7271728515625,114,3447.24,3187.82,114,12.6768,570000
19.1481,-594.4456787109375,115,3483.22,3184.75,115,13.7956,575000
19.0893,-464.41943359375,116,3485.12,3345.68,116,12.1647,580000
19.4481,-531.3504028320312,117,3458.64,2592.46,117,12.316,585000
19.0337,-581.488037109375,118,3468.39,2900.82,118,12.5029,590000
18.3303,-609.5399780273438,119,3491.43,2956.4,119,11.0892,595000
19.1766,-521.626953125,120,3494.53,3418.95,120,11.9907,600000
19.2124,-555.1155395507812,121,3488.92,2135.09,121,11.9191,605000
18.6359,-572.2769775390625,122,3465.03,3449.25,122,12.1114,610000
19.7388,-496.3251953125,123,3508.88,3466.02,123,12.4818,615000
17.9567,-471.346435546875,124,3493.69,3410.75,124,11.1068,620000
17.623,-448.0687255859375,125,3503.86,3475.13,125,11.3522,625000
18.6172,-618.3296508789062,126,3438.49,3434.28,126,11.0641,630000
18.6382,-564.7822875976562,127,259.68,1882.01,127,12.2551,635000
18.839,-651.1300048828125,128,3467.46,3265.36,128,12.7253,640000
17.3701,-605.591064453125,129,3468.83,3437.43,129,10.8985,645000
18.1748,-599.2034301757812,130,3487.86,3454.43,130,12.0241,650000
17.876,-578.43310546875,131,3460.18,3371.08,131,11.269,655000
18.398,-617.8758544921875,132,3497.96,2934.58,132,10.9553,660000
18.595,-662.3020629882812,133,3459.49,3191.24,133,11.752,665000
18.1781,-753.76416015625,134,3455.57,3426.95,134,11.7521,670000
17.7159,-589.8738403320312,135,3473.6,3252.95,135,11.3454,675000
17.7914,-608.2243041992188,136,3463.05,3435.23,136,11.6022,680000
18.1579,-624.8858032226562,137,3467.25,3440.36,137,11.6744,685000
18.1431,-563.6509399414062,138,3475.0,3445.28,138,11.9194,690000
17.5585,-638.739501953125,139,3446.61,2946.03,139,11.2541,695000
17.5255,-631.0335083007812,140,3475.12,3457.83,140,11.1094,700000
16.7637,-669.7725219726562,141,3458.76,2514.21,141,10.178,705000
19.1068,-786.6258544921875,142,3451.53,3443.98,142,11.6546,710000
17.6763,-737.0628051757812,143,3458.9,3173.1,143,10.9036,715000
18.6661,-723.071533203125,144,3504.97,3245.16,144,11.2507,720000
17.7743,-760.6959838867188,145,3451.27,3412.18,145,11.0902,725000
18.2177,-783.7427368164062,146,3440.64,3341.44,146,11.7794,730000
18.5879,-772.3427734375,147,3466.16,3448.06,147,11.8596,735000
18.113,-665.0681762695312,148,3508.08,3321.71,148,11.0856,740000
18.3579,-799.7531127929688,149,3478.49,3072.85,149,10.9633,745000
18.1959,-734.0786743164062,150,3452.22,3402.32,150,11.8076,750000
18.0216,-730.9418334960938,151,3479.22,3376.39,151,11.8364,755000
18.1846,-731.4801635742188,152,3474.28,3381.87,152,11.2137,760000
19.0123,-730.0006103515625,153,3459.59,2791.0,153,11.9882,765000
17.2659,-686.5655517578125,154,3476.2,3441.59,154,10.9698,770000
18.7351,-765.1192626953125,155,3487.39,3389.23,155,11.4554,775000
17.8988,-741.3334350585938,156,3485.79,3174.17,156,11.2923,780000
17.401,-689.4744873046875,157,3486.71,3460.41,157,11.2881,785000
16.4242,-678.0465087890625,158,3436.72,3411.28,158,10.4469,790000
16.6634,-643.31689453125,159,3487.66,3384.58,159,10.3333,795000
16.7726,-690.7852172851562,160,3478.99,3440.48,160,10.4236,800000
16.6872,-670.1643676757812,161,3463.62,3439.62,161,10.4375,805000
17.8293,-748.876953125,162,3476.64,2898.78,162,12.425,810000
18.489,-1041.0830078125,163,3492.59,3169.72,163,12.0128,815000
18.0869,-811.0051879882812,164,3467.1,3436.28,164,11.8077,820000
17.5269,-750.3921508789062,165,3485.2,3232.13,165,11.0992,825000
17.9953,-888.4602661132812,166,3435.02,3183.65,166,11.3699,830000
16.9847,-700.1751708984375,167,3506.19,3477.27,167,10.4611,835000
17.9955,-872.75,168,3453.38,3445.41,168,11.0519,840000
18.0053,-748.3086547851562,169,3478.44,3437.2,169,11.4016,845000
18.0584,-793.4742431640625,170,3485.48,3461.17,170,11.8335,850000
18.0567,-848.9047241210938,171,3505.31,3232.76,171,10.1737,855000
17.8628,-848.6588745117188,172,3469.44,3384.03,172,11.1543,860000
17.7281,-850.9493408203125,173,3443.22,3415.49,173,11.4766,865000
16.2925,-671.6546020507812,174,3464.62,3427.54,174,9.7514,870000
16.9484,-841.9458618164062,175,3474.93,3428.39,175,10.4645,875000
17.1436,-784.8814086914062,176,3474.84,3440.56,176,10.6614,880000
17.4921,-871.9445190429688,177,3466.54,3427.55,177,11.5383,885000
17.5351,-902.4210205078125,178,3460.47,3424.03,178,11.7316,890000
17.4964,-834.859130859375,179,3482.25,3446.55,179,11.5791,895000
16.7261,-792.858154296875,180,3468.13,3439.4,180,11.1296,900000
17.6724,-755.768798828125,181,3505.45,3395.59,181,11.3903,905000
18.7322,-920.6302490234375,182,3486.29,3462.27,182,11.7795,910000
18.1083,-1000.0369262695312,183,3457.18,3432.93,183,11.135,915000
16.6196,-838.485595703125,184,3468.76,3442.65,184,10.6293,920000
17.4283,-953.1432495117188,185,3457.94,3424.86,185,11.4181,925000
16.44,-845.6475219726562,186,3454.83,3416.59,186,10.2677,930000
17.3468,-952.254150390625,187,3460.41,3430.13,187,11.2082,935000
17.3415,-883.425537109375,188,3472.97,3339.85,188,10.608,940000
17.6428,-942.3536987304688,189,3485.13,3216.92,189,10.8633,945000
17.831,-1045.5318603515625,190,3495.43,2897.28,190,10.4467,950000
16.7166,-857.4442138671875,191,3473.24,3430.2,191,10.4341,955000
18.1944,-992.6051635742188,192,3458.0,3431.94,192,11.4613,960000
17.2659,-1017.978271484375,193,3490.8,3386.43,193,11.0079,965000
18.2185,-1059.2486572265625,194,3446.15,3409.0,194,11.6336,970000
17.2166,-985.95751953125,195,3434.72,3394.31,195,11.1407,975000
17.2419,-1014.0145874023438,196,3456.77,3404.38,196,10.7688,980000
16.72,-887.1594848632812,197,3484.7,3439.95,197,10.5451,985000
17.3418,-1023.1738891601562,198,3484.79,3363.26,198,11.4691,990000
17.457,-1039.242431640625,199,3438.86,3415.51,199,10.9037,995000
