Running Env Steps,Real Det Return,Running Forward KL,Real Sto Return,Itration,Running Update Time,Running Reverse KL,Reward Loss
480000,3491.48,22.2473,2599.42,96,96,12.624,-1104.5482177734375
485000,3371.07,23.2593,1907.55,97,97,13.5997,-1283.666748046875
490000,3478.15,21.5151,3263.67,98,98,12.2179,-993.1643676757812
495000,3500.85,21.4872,3305.97,99,99,11.7634,-1064.2659912109375
500000,3495.35,21.9446,2956.31,100,100,12.2986,-1115.0771484375
505000,3462.84,21.569,2986.37,101,101,12.3375,-1061.5035400390625
510000,3479.27,21.5244,3025.54,102,102,11.9339,-1164.4364013671875
515000,3481.37,20.978,3456.29,103,103,12.2178,-1047.49462890625
520000,3486.97,21.7834,2798.97,104,104,14.4518,-1289.6234130859375
525000,3520.6,22.674,2558.82,105,105,20.4486,-1376.4185791015625
530000,3484.68,21.8685,2474.47,106,106,18.1607,-1212.3963623046875
535000,3493.74,21.2546,3037.81,107,107,11.9856,-1163.9954833984375
540000,3484.39,22.111,2469.9,108,108,17.6686,-1369.7823486328125
545000,3438.77,20.3992,3316.59,109,109,11.4297,-1113.0787353515625
550000,3492.18,21.2942,3291.63,110,110,12.19,-1147.9937744140625
555000,3467.28,21.0359,3269.14,111,111,12.2536,-1261.8609619140625
560000,3473.59,21.2633,3421.99,112,112,12.3375,-1073.829345703125
565000,3478.21,21.0953,3328.12,113,113,12.1637,-1115.8533935546875
570000,3465.47,21.6492,3002.58,114,114,12.6691,-1339.5050048828125
575000,3455.44,21.2628,3363.44,115,115,13.681,-1202.333740234375
580000,3524.08,23.204,2503.7,116,116,14.4842,-1716.5699462890625
585000,3487.48,21.9103,2409.0,117,117,20.6872,-1354.8560791015625
590000,3492.45,21.1309,3246.0,118,118,12.0247,-1235.4639892578125
595000,3483.47,21.8136,2885.93,119,119,18.775,-1342.8092041015625
600000,3474.6,21.5991,2327.19,120,120,17.0184,-1383.4599609375
605000,3484.32,20.9616,3268.4,121,121,14.2936,-1257.5626220703125
610000,3520.76,21.5328,2878.86,122,122,13.1864,-1350.66796875
615000,3490.25,21.5326,3104.06,123,123,15.7609,-1368.4256591796875
620000,3481.29,20.5225,3466.97,124,124,11.926,-1253.1947021484375
625000,3516.32,20.5742,3043.67,125,125,12.3418,-1246.4970703125
630000,3491.39,20.609,3179.58,126,126,11.8897,-1353.087646484375
635000,3471.9,21.3796,3183.29,127,127,13.8027,-1403.83251953125
640000,3499.1,21.1932,3409.69,128,128,14.2842,-1398.7926025390625
645000,3534.31,22.622,1990.5,129,129,26.0415,-1817.5421142578125
650000,3469.17,21.4331,3369.21,130,130,12.2165,-1373.4478759765625
655000,3508.24,19.7678,2943.93,131,131,13.1531,-1356.81591796875
660000,3522.42,22.1283,3031.69,132,132,18.5204,-1650.4718017578125
665000,3500.71,21.4275,2843.65,133,133,17.0196,-1657.9659423828125
670000,3514.26,21.6677,3165.05,134,134,12.9263,-1644.78955078125
675000,3489.62,20.9941,3470.26,135,135,12.049,-1448.7991943359375
680000,3478.96,20.7189,3381.69,136,136,11.6412,-1505.3712158203125
685000,3515.94,21.3933,2460.71,137,137,20.7659,-1772.2364501953125
690000,3504.21,21.3489,3167.22,138,138,13.2128,-1541.0638427734375
695000,3480.24,20.036,3456.44,139,139,11.8248,-1442.7999267578125
700000,3510.9,20.6922,3334.06,140,140,11.842,-1489.9776611328125
705000,3509.88,22.0346,2904.66,141,141,17.6128,-1660.887939453125
710000,3534.78,21.2043,3155.42,142,142,13.742,-1645.351318359375
715000,3521.47,22.6722,2630.5,143,143,22.0796,-1838.9771728515625
720000,3519.82,20.2027,3365.38,144,144,11.7343,-1409.5133056640625
725000,3512.15,21.6572,3102.96,145,145,17.7316,-1833.6890869140625
730000,3494.03,20.4689,3304.11,146,146,11.8159,-1551.2239990234375
735000,3520.93,22.1456,2536.9,147,147,22.0316,-2052.3203125
740000,3495.22,20.8701,3425.85,148,148,12.677,-1534.0379638671875
745000,3490.64,20.6483,3466.06,149,149,11.8267,-1559.006103515625
750000,3516.29,21.552,2641.13,150,150,21.0134,-2005.0242919921875
755000,3489.51,21.2148,3070.32,151,151,15.6206,-1746.1240234375
760000,3530.0,21.6748,2980.96,152,152,14.6842,-1837.7451171875
765000,3498.56,21.1664,3257.89,153,153,13.3046,-1610.28515625
770000,3506.56,20.5731,3213.05,154,154,17.9038,-1791.1539306640625
775000,3504.42,20.7278,3246.44,155,155,13.0203,-1757.785888671875
780000,3502.07,20.4215,3484.64,156,156,11.2755,-1550.7657470703125
785000,3548.32,21.366,3425.28,157,157,12.6799,-1838.62255859375
790000,3504.14,20.517,3205.46,158,158,13.2019,-1751.597900390625
795000,3516.82,21.1702,3345.89,159,159,20.3006,-2058.37548828125
800000,3528.35,20.4154,3234.51,160,160,11.7317,-1724.53125
805000,3513.68,20.0094,3399.51,161,161,12.2291,-1698.4560546875
810000,3536.63,19.9504,3499.28,162,162,11.672,-1753.3487548828125
815000,3505.44,20.1086,3209.92,163,163,12.7486,-1807.7020263671875
820000,3514.82,21.9578,3070.59,164,164,20.2105,-2181.948974609375
825000,3516.01,19.7002,3395.95,165,165,11.3782,-1647.07080078125
830000,3539.25,22.0501,2276.77,166,166,23.516,-2526.30712890625
835000,3502.37,20.5712,3302.62,167,167,11.71,-1744.9622802734375
840000,3509.63,19.7949,3469.63,168,168,13.0495,-1804.95703125
845000,3474.52,19.9529,3366.23,169,169,11.8488,-1752.1650390625
850000,3505.9,20.1715,3484.63,170,170,11.6254,-1792.718017578125
855000,3516.05,21.9646,2309.9,171,171,22.0574,-2349.795166015625
860000,3505.08,20.2783,3496.44,172,172,11.5665,-1871.468505859375
865000,3529.11,21.3272,3068.25,173,173,19.4827,-2282.525146484375
870000,3530.47,20.8655,3338.5,174,174,12.8435,-1860.5762939453125
875000,3512.28,22.1345,2172.6,175,175,15.7708,-2351.174072265625
880000,3526.88,19.376,2835.79,176,176,11.7913,-2000.7882080078125
885000,3523.65,19.804,3482.01,177,177,11.4284,-1983.2982177734375
890000,3503.06,20.7615,3417.4,178,178,11.3822,-1796.0023193359375
895000,3531.42,21.2608,2969.21,179,179,13.0248,-2096.23095703125
900000,3504.98,19.0629,3476.07,180,180,12.3049,-1894.895751953125
905000,3533.68,21.5706,3032.97,181,181,11.4166,-2148.201416015625
910000,3487.29,20.9347,3133.4,182,182,10.9833,-2441.168212890625
915000,3520.51,19.9052,3373.45,183,183,11.3391,-1953.65673828125
920000,3526.28,22.0143,2560.3,184,184,12.6081,-2491.621337890625
925000,3523.13,20.38,3046.06,185,185,11.7846,-2089.47705078125
930000,3501.51,21.0001,3225.68,186,186,11.8114,-2299.96630859375
935000,3493.13,21.3412,3086.33,187,187,13.6466,-2266.7294921875
940000,3528.81,19.7811,3080.52,188,188,10.7728,-2010.40576171875
945000,3494.08,20.3328,3365.83,189,189,11.9313,-1929.18798828125
950000,3534.39,20.0745,3426.47,190,190,12.1936,-2023.543701171875
955000,3515.2,21.542,2718.49,191,191,21.9518,-2555.665771484375
960000,3503.78,20.9857,3109.14,192,192,13.7201,-2293.66357421875
965000,3497.76,19.163,3474.57,193,193,11.8283,-2082.523681640625
970000,3516.55,18.8014,3282.42,194,194,11.1144,-2171.32763671875
975000,3506.08,21.1861,2757.47,195,195,14.913,-2271.14599609375
980000,3514.83,18.6067,3479.46,196,196,11.4103,-2275.57958984375
985000,3521.61,20.5194,2954.71,197,197,17.031,-2538.089599609375
990000,3537.47,21.5285,3049.11,198,198,17.5932,-2542.550048828125
995000,3517.2,20.9524,3155.41,199,199,13.5685,-2462.14111328125
