Real Sto Return,Running Update Time,Running Env Steps,Real Det Return,Itration,Reward Loss,Running Forward KL,Running Reverse KL
3169.82,48,240000,3275.95,48,-520.8698120117188,24.7007,15.3063
3271.39,49,245000,3300.35,49,-512.3204956054688,24.8971,16.3512
2967.35,50,250000,2958.11,50,-504.2977294921875,25.2629,14.6358
3334.51,51,255000,3343.82,51,-471.6600036621094,24.9997,16.3307
2203.06,52,260000,2417.99,52,-507.0196533203125,25.2597,16.2839
3242.89,53,265000,3356.01,53,-427.8268127441406,24.3729,14.9629
913.62,54,270000,3337.61,54,-579.55126953125,24.3839,14.1976
3316.62,55,275000,3307.0,55,-574.9301147460938,25.4928,16.5315
3282.51,56,280000,3309.01,56,-493.59222412109375,25.5246,16.7434
3284.14,57,285000,3283.16,57,-534.7318725585938,24.3654,16.465
2652.31,58,290000,3356.05,58,-561.904052734375,25.9651,17.9659
3280.44,59,295000,3333.26,59,-529.136474609375,24.5445,14.8812
3329.82,60,300000,3344.96,60,-523.53759765625,24.7367,16.1565
3309.27,61,305000,3363.1,61,-524.8272705078125,25.6507,16.8855
3322.65,62,310000,3364.68,62,-529.865478515625,24.5007,15.9958
3219.26,63,315000,3359.98,63,-523.7589111328125,24.3199,15.3983
3283.72,64,320000,3350.05,64,-528.8909912109375,24.905,16.2798
3338.47,65,325000,3390.83,65,-581.9071655273438,24.2757,16.1154
3349.39,66,330000,3409.12,66,-625.9252319335938,25.2769,16.7738
3352.55,67,335000,3348.84,67,-503.1703186035156,23.077,15.0497
3328.77,68,340000,3361.75,68,-547.8453979492188,24.0455,15.3644
3379.4,69,345000,3453.31,69,-500.92510986328125,23.6958,16.0709
3346.63,70,350000,3376.9,70,-548.7224731445312,23.7627,15.3434
3342.19,71,355000,3361.15,71,-642.972412109375,24.4263,16.4274
3376.98,72,360000,3408.0,72,-601.8826293945312,24.6501,16.1131
3368.48,73,365000,3426.94,73,-563.2572021484375,23.8743,15.9769
3370.29,74,370000,3412.83,74,-577.8132934570312,24.3276,16.0161
3397.64,75,375000,3452.42,75,-514.0601196289062,23.5876,15.6754
3379.72,76,380000,3415.87,76,-573.0127563476562,22.8478,15.2818
3441.4,77,385000,3471.7,77,-648.7128295898438,24.6677,17.1206
3409.75,78,390000,3461.41,78,-526.9610595703125,23.8171,16.2605
3349.55,79,395000,3464.75,79,-594.7679443359375,24.2585,16.2972
3241.53,80,400000,3415.41,80,-600.0098876953125,23.4118,15.672
3388.13,81,405000,3436.24,81,-580.2579956054688,23.2854,15.8309
3109.27,82,410000,3469.22,82,-673.9754638671875,24.6319,16.3753
859.68,83,415000,3432.47,83,-677.5753784179688,23.9839,15.2983
3219.18,84,420000,3461.54,84,-694.9674072265625,23.4042,14.8476
3313.49,85,425000,3381.92,85,-633.56689453125,23.1852,14.9457
3381.52,86,430000,3435.45,86,-679.3609619140625,24.1749,15.2244
3347.68,87,435000,3301.35,87,-685.721923828125,22.9722,14.7177
2943.55,88,440000,3433.83,88,-922.8746337890625,24.022,14.6828
3295.65,89,445000,3484.95,89,-708.2012939453125,23.9676,14.3843
3394.86,90,450000,3437.58,90,-732.6421508789062,24.0585,15.1542
2973.76,91,455000,3428.6,91,-764.9524536132812,23.7468,14.2799
3431.54,92,460000,3455.34,92,-687.5073852539062,23.6753,15.5186
3298.41,93,465000,3436.65,93,-747.6900634765625,23.4997,14.1775
3318.24,94,470000,3448.24,94,-648.9295043945312,22.963,14.5638
3427.51,95,475000,3500.89,95,-707.9271240234375,23.2335,15.3148
3432.64,96,480000,3495.22,96,-618.5452880859375,22.9979,14.8899
3390.91,97,485000,3459.35,97,-816.489013671875,24.5134,15.5241
3392.26,98,490000,3457.26,98,-739.4932861328125,22.5056,14.4142
2982.21,99,495000,3481.7,99,-766.7035522460938,23.6066,15.2615
3329.97,100,500000,3432.14,100,-804.443603515625,23.7009,15.2399
3414.15,101,505000,3461.15,101,-723.3175048828125,21.7949,14.1273
3425.61,102,510000,3470.36,102,-678.8140258789062,23.1374,14.7079
3338.57,103,515000,3449.83,103,-715.5473022460938,23.1494,14.3496
3214.05,104,520000,3464.54,104,-777.6399536132812,23.1716,15.2358
3311.84,105,525000,3434.13,105,-610.0595092773438,21.8094,13.6956
3164.89,106,530000,3469.11,106,-619.5618896484375,23.4166,15.1431
3414.76,107,535000,3433.13,107,-768.59716796875,22.8743,14.3632
3429.15,108,540000,3473.57,108,-633.4723510742188,21.4389,13.3654
3399.47,109,545000,3458.84,109,-753.3056030273438,23.3199,14.8286
3407.27,110,550000,3441.68,110,-805.6547241210938,23.1796,14.1941
3402.69,111,555000,3448.74,111,-765.75244140625,22.9504,14.4041
3441.02,112,560000,3479.66,112,-738.5468139648438,22.9176,14.9367
3416.73,113,565000,3475.22,113,-778.9268798828125,22.9868,14.4103
3410.26,114,570000,3442.46,114,-747.0276489257812,22.2798,13.9747
3453.56,115,575000,3464.23,115,-703.7864990234375,21.597,14.2838
3376.05,116,580000,3392.38,116,-763.4525146484375,21.542,14.3984
3427.02,117,585000,3464.98,117,-660.0695190429688,22.349,13.8699
3139.87,118,590000,3450.24,118,-852.4329223632812,23.8382,14.5001
3413.41,119,595000,3445.65,119,-779.9061889648438,22.1283,13.9512
3085.9,120,600000,3441.01,120,-790.2306518554688,22.6823,13.1387
3417.13,121,605000,3464.08,121,-683.8368530273438,20.9066,13.3741
3406.26,122,610000,3427.78,122,-903.3477172851562,22.8096,14.1505
3164.56,123,615000,3423.33,123,-949.3584594726562,22.9504,13.7049
3410.87,124,620000,3457.03,124,-797.52001953125,21.5987,13.4913
3236.09,125,625000,3440.38,125,-829.5629272460938,22.1889,14.1201
3365.8,126,630000,3433.97,126,-718.2713012695312,21.4619,13.3336
3444.49,127,635000,3494.59,127,-693.603759765625,21.9497,14.4296
3397.99,128,640000,3422.75,128,-759.0156860351562,22.2917,13.7328
3372.81,129,645000,3404.78,129,-720.6144409179688,21.6058,13.7395
3360.79,130,650000,3398.85,130,-865.9826049804688,21.311,13.6969
3377.4,131,655000,3422.24,131,-991.5206909179688,22.1985,14.279
3412.86,132,660000,3441.6,132,-806.6119995117188,21.1011,13.4247
3118.65,133,665000,3457.44,133,-866.0839233398438,22.5647,14.0592
3432.42,134,670000,3442.05,134,-813.7503662109375,21.677,13.2995
3431.87,135,675000,3470.56,135,-914.6135864257812,22.4612,14.3957
3396.73,136,680000,3437.36,136,-940.3648071289062,22.8165,14.173
3421.88,137,685000,3461.65,137,-873.69189453125,21.7306,14.271
3447.22,138,690000,3497.1,138,-842.7095336914062,22.3795,13.842
3402.51,139,695000,3448.24,139,-858.3164672851562,22.2232,13.9934
3375.37,140,700000,3404.34,140,-929.8500366210938,21.1157,13.722
3432.99,141,705000,3458.44,141,-854.8500366210938,22.0776,13.6345
3391.26,142,710000,3434.21,142,-896.0154418945312,22.5533,13.5846
3379.75,143,715000,3422.23,143,-805.6383666992188,22.0409,13.9751
3410.27,144,720000,3455.19,144,-845.3507690429688,20.9387,13.023
3376.46,145,725000,3474.65,145,-746.1522216796875,21.2112,12.6317
3427.21,146,730000,3460.42,146,-912.7274169921875,21.3901,13.2435
3414.56,147,735000,3456.89,147,-813.419921875,21.4217,13.2018
3408.23,148,740000,3437.8,148,-982.1077880859375,22.2517,13.781
3295.51,149,745000,3469.85,149,-874.9635620117188,21.4717,13.014
3451.47,150,750000,3469.52,150,-904.531494140625,22.1562,13.6968
3420.99,151,755000,3460.76,151,-1036.390380859375,21.5805,13.4657
3258.46,152,760000,3483.11,152,-1071.6173095703125,22.0309,12.3292
3422.43,153,765000,3462.71,153,-911.21240234375,21.3361,13.4203
3395.96,154,770000,3475.64,154,-801.1879272460938,21.7344,13.3719
3403.95,155,775000,3472.8,155,-1012.4471435546875,22.8458,13.725
3419.38,156,780000,3492.79,156,-986.9463500976562,21.1107,13.2976
3250.06,157,785000,3454.9,157,-1028.5284423828125,21.9205,13.8334
3198.14,158,790000,3443.55,158,-903.3633422851562,22.2966,13.1702
3462.0,159,795000,3489.09,159,-986.3416137695312,21.9003,13.513
3429.12,160,800000,3468.68,160,-840.90771484375,20.1262,12.5274
3444.96,161,805000,3490.12,161,-1021.8200073242188,21.2874,13.8601
3433.79,162,810000,3485.1,162,-919.8295288085938,20.6061,13.002
3441.6,163,815000,3494.72,163,-931.4773559570312,20.6162,13.1909
3451.45,164,820000,3500.28,164,-977.0874633789062,21.2281,13.3348
3430.11,165,825000,3486.99,165,-1048.0001220703125,21.2291,13.6737
3424.11,166,830000,3472.97,166,-966.3617553710938,21.5374,13.1354
3451.83,167,835000,3472.99,167,-934.8508911132812,21.5045,14.1628
3449.61,168,840000,3490.99,168,-1071.0816650390625,20.7943,13.3623
3364.18,169,845000,3482.85,169,-993.6996459960938,21.3167,12.8614
3341.63,170,850000,3482.58,170,-932.5923461914062,21.7409,12.9121
3418.51,171,855000,3453.47,171,-1090.0833740234375,21.7131,13.8968
3422.06,172,860000,3465.7,172,-1035.610107421875,21.0637,13.4381
3454.13,173,865000,3466.6,173,-997.0787963867188,21.4317,13.252
3394.36,174,870000,3458.09,174,-989.4089965820312,21.3006,13.3625
3418.04,175,875000,3456.29,175,-1143.223388671875,20.6156,13.4307
3396.28,176,880000,3457.6,176,-1093.8858642578125,20.8834,12.9055
3367.97,177,885000,3460.79,177,-954.2147216796875,21.4107,13.4432
3442.19,178,890000,3480.66,178,-1003.6158447265625,21.358,13.5213
3430.72,179,895000,3492.58,179,-822.6055908203125,20.764,13.1315
3501.85,180,900000,3566.41,180,-1240.0927734375,21.7035,14.8196
3405.18,181,905000,3450.53,181,-1011.3531494140625,20.8664,13.5955
3329.75,182,910000,3491.02,182,-1012.5472412109375,21.0538,13.454
3450.66,183,915000,3466.32,183,-952.4905395507812,20.5752,13.2454
3446.94,184,920000,3519.6,184,-1194.9595947265625,21.0102,13.5232
3426.93,185,925000,3473.76,185,-1040.7080078125,21.2227,13.1711
3402.26,186,930000,3496.03,186,-1068.5013427734375,20.1013,12.4399
3454.3,187,935000,3493.46,187,-1079.1416015625,20.8252,13.1788
3476.68,188,940000,3528.95,188,-1043.322265625,21.142,13.4087
3430.17,189,945000,3473.05,189,-965.8991088867188,21.091,13.062
3426.8,190,950000,3467.89,190,-1007.8887329101562,20.8101,13.4389
3336.85,191,955000,3481.92,191,-1010.2235107421875,20.5153,13.6493
3377.99,192,960000,3476.04,192,-1373.386474609375,21.2384,12.8432
3452.19,193,965000,3511.99,193,-1168.8277587890625,21.5613,13.6854
3442.88,194,970000,3496.34,194,-1078.9742431640625,20.0158,12.1757
3472.57,195,975000,3528.62,195,-1112.2352294921875,20.3908,13.5333
3434.27,196,980000,3490.08,196,-1091.9637451171875,21.3999,13.5681
3492.73,197,985000,3531.51,197,-1061.190185546875,21.036,13.6466
3420.82,198,990000,3477.32,198,-1144.81787109375,21.0419,13.3023
3443.97,199,995000,3496.53,199,-1037.370849609375,20.5948,13.2928
