Real Sto Return,Itration,Running Update Time,Running Reverse KL,Running Forward KL,Reward Loss,Running Env Steps,Real Det Return
1783.22,68,68,237.4541,374.5851,-51634.38671875,340000,854.98
1616.43,69,69,195.8994,352.2154,-44271.8125,345000,1269.74
1244.73,70,70,297.4299,394.9254,-57710.67578125,350000,837.72
1609.06,71,71,226.1443,356.6775,-51432.3671875,355000,980.18
2346.33,72,72,220.2687,364.0144,-48921.46484375,360000,1048.86
1540.79,73,73,196.8353,361.3473,-45827.4609375,365000,1055.36
2440.59,74,74,226.7451,365.9536,-50566.51171875,370000,1029.33
3112.17,75,75,215.3829,374.2946,-54960.59765625,375000,1296.63
2022.01,76,76,213.3895,351.4086,-44760.9921875,380000,842.1
2751.88,77,77,221.2515,356.0016,-49732.6171875,385000,963.55
1610.8,78,78,293.99,372.7036,-59918.890625,390000,801.88
2163.97,79,79,185.5812,357.6813,-43268.91015625,395000,1100.76
2516.41,80,80,175.0558,343.6546,-41746.03125,400000,1492.02
2080.15,81,81,234.7168,357.1786,-51223.78125,405000,944.34
2638.55,82,82,225.1746,348.9566,-51707.09765625,410000,1475.4
3002.1,83,83,232.3834,347.7899,-54598.98828125,415000,998.18
3348.54,84,84,195.5642,346.5909,-43976.765625,420000,1006.65
2298.24,85,85,202.6749,344.5862,-49149.76953125,425000,1008.4
2902.09,86,86,232.2045,345.8241,-52069.51171875,430000,1618.82
2468.49,87,87,228.4871,339.4716,-51760.33984375,435000,1254.72
3089.33,88,88,201.48,360.9689,-44315.21875,440000,1066.5
4083.43,89,89,161.7754,357.7592,-32012.859375,445000,1396.09
4985.77,90,90,143.7021,338.6546,-28814.28515625,450000,2927.4
3841.48,91,91,163.0449,361.552,-36626.95703125,455000,1599.31
3758.66,92,92,164.084,360.3591,-41549.015625,460000,1581.76
3540.64,93,93,173.3039,349.4233,-44726.7734375,465000,1651.09
4022.45,94,94,160.0735,336.9142,-39879.9375,470000,2979.8
3936.93,95,95,150.1223,351.7437,-37787.46484375,475000,3488.81
3399.03,96,96,190.4346,358.9241,-47438.4765625,480000,1175.11
4373.62,97,97,175.8735,351.2856,-41048.203125,485000,1802.86
2364.02,98,98,223.1735,380.2597,-55661.8671875,490000,1501.77
4715.14,99,99,134.0293,332.6449,-38660.21484375,495000,2950.77
5005.59,100,100,149.8288,334.9758,-41585.65234375,500000,2742.82
4378.81,101,101,173.6008,368.3421,-47409.30078125,505000,2128.4
4513.56,102,102,139.0846,330.913,-43226.93359375,510000,4315.22
4108.09,103,103,173.2178,350.3419,-45852.109375,515000,2850.37
3969.37,104,104,144.0713,336.3816,-42310.8515625,520000,3392.52
4581.33,105,105,143.5905,341.5527,-44948.4453125,525000,3640.51
4669.69,106,106,175.6159,357.1195,-49480.31640625,530000,2342.23
4655.18,107,107,150.2453,336.8242,-49457.95703125,535000,3363.27
4382.05,108,108,179.0223,345.8993,-53472.72265625,540000,4977.51
4829.91,109,109,154.1903,349.3127,-49281.578125,545000,2929.52
5003.04,110,110,154.8257,350.0766,-51679.1015625,550000,4700.67
4682.71,111,111,160.5441,350.6912,-51018.953125,555000,3443.76
4876.32,112,112,145.8481,335.9034,-51859.27734375,560000,4041.42
4544.61,113,113,180.2725,352.9642,-55195.0234375,565000,2729.2
4592.04,114,114,137.7525,330.9532,-52029.58984375,570000,4718.77
4002.37,115,115,168.1572,328.2197,-54986.98828125,575000,3446.24
5069.77,116,116,143.8066,339.0058,-55264.328125,580000,5098.03
4786.03,117,117,145.9796,341.67,-56864.328125,585000,5102.09
4880.84,118,118,161.8398,339.8895,-58405.8828125,590000,4975.37
5032.23,119,119,153.5541,337.0949,-56567.76953125,595000,5074.98
4201.02,120,120,141.3741,327.2849,-58217.9609375,600000,5077.16
5035.59,121,121,128.7663,333.0354,-59042.20703125,605000,5112.62
5053.31,122,122,147.073,340.5628,-60112.26171875,610000,5109.0
5046.69,123,123,140.4922,333.8134,-60424.59765625,615000,5116.72
4953.46,124,124,130.6035,325.8771,-61082.4140625,620000,4980.16
4482.75,125,125,125.7541,327.8237,-61038.984375,625000,4647.69
5119.81,126,126,143.3963,337.9557,-63561.37109375,630000,4975.14
4849.45,127,127,141.2523,339.5185,-64573.13671875,635000,5144.68
4925.86,128,128,130.5784,332.4583,-64247.8671875,640000,5143.76
4696.65,129,129,152.5274,344.4458,-67478.0234375,645000,2482.38
4953.01,130,130,122.8116,324.5151,-65475.375,650000,4862.13
4830.88,131,131,144.6514,340.5739,-66673.8828125,655000,5054.3
4907.13,132,132,145.113,334.2796,-69307.328125,660000,5139.69
4689.29,133,133,128.7543,330.4648,-68629.25,665000,4931.41
2987.4,134,134,126.5778,331.4862,-70117.9921875,670000,4486.99
4985.67,135,135,131.1775,333.1703,-70527.0703125,675000,4417.74
5092.92,136,136,129.7295,327.5217,-69601.921875,680000,4264.57
4885.85,137,137,132.9386,334.4647,-71282.0234375,685000,5161.25
5075.84,138,138,140.5098,340.0371,-73479.703125,690000,5165.25
4694.72,139,139,145.1975,340.8627,-74656.6484375,695000,4759.84
4425.26,140,140,134.6935,329.9302,-74614.015625,700000,4928.08
4495.73,141,141,136.1047,336.2272,-76485.71875,705000,5113.66
4905.82,142,142,145.8578,334.9662,-76700.28125,710000,5233.95
5007.63,143,143,147.139,335.6507,-75929.4296875,715000,5218.89
5026.65,144,144,139.908,341.2356,-78847.7265625,720000,5154.45
4184.09,145,145,150.9925,337.2614,-78748.5703125,725000,5167.58
4897.04,146,146,136.0122,328.7765,-77756.640625,730000,5064.79
4963.29,147,147,134.22,329.2026,-78604.546875,735000,5188.29
4024.46,148,148,159.5224,329.4077,-79145.984375,740000,5190.42
4799.18,149,149,138.0295,331.9459,-80154.953125,745000,5122.76
4916.18,150,150,151.0599,336.1129,-80134.3671875,750000,5012.76
4785.18,151,151,135.3104,332.5207,-80226.3046875,755000,5026.28
3796.65,152,152,177.1702,335.6677,-81434.5078125,760000,5044.6
5053.34,153,153,140.8271,333.4796,-81449.0546875,765000,5164.53
4522.83,154,154,123.2861,323.7664,-79936.6875,770000,4929.13
3751.0,155,155,145.0829,329.213,-82594.3046875,775000,4696.26
3127.74,156,156,210.8388,344.4948,-84269.453125,780000,2547.26
4595.09,157,157,132.3268,335.0703,-83563.9140625,785000,5094.28
4199.8,158,158,128.9613,327.6038,-82892.140625,790000,5064.72
3977.47,159,159,149.8453,335.8491,-85206.921875,795000,5168.23
5256.29,160,160,147.9382,328.1694,-84006.8671875,800000,5236.9
5115.17,161,161,141.619,335.1164,-86031.2109375,805000,5166.42
4857.38,162,162,122.01,321.14,-84261.5390625,810000,5180.84
5199.0,163,163,139.9325,329.0644,-83700.296875,815000,5283.25
4281.36,164,164,133.5523,329.1239,-84254.9921875,820000,5250.8
5040.89,165,165,165.2935,333.557,-86149.890625,825000,5273.52
4983.12,166,166,136.3365,330.0963,-86822.109375,830000,5119.7
5081.3,167,167,135.0074,333.2743,-88093.4140625,835000,5137.69
4937.25,168,168,139.7757,330.0506,-85610.7734375,840000,5282.61
4873.08,169,169,153.4517,336.3096,-86065.4921875,845000,5084.49
5044.77,170,170,149.6762,343.0999,-87838.3671875,850000,5137.4
5079.24,171,171,136.4563,333.8022,-86880.15625,855000,5197.57
4686.41,172,172,134.3051,333.9402,-87166.8515625,860000,5254.67
5133.56,173,173,130.0991,331.2667,-87831.2109375,865000,5175.3
5118.29,174,174,140.3146,335.7678,-89167.171875,870000,5122.7
5137.15,175,175,136.3241,329.7966,-89839.9140625,875000,5202.25
4990.9,176,176,152.4518,335.1012,-88314.3828125,880000,5119.29
5115.44,177,177,126.7898,324.8283,-87565.6015625,885000,4985.29
5038.16,178,178,130.1559,327.5645,-89278.15625,890000,4487.22
4852.66,179,179,143.3595,331.9691,-89174.625,895000,5121.59
5032.57,180,180,161.3687,331.2162,-88398.375,900000,5233.22
5032.73,181,181,137.0017,328.1501,-89183.5546875,905000,5241.05
4751.88,182,182,129.9128,329.912,-89227.53125,910000,4742.57
4709.53,183,183,147.7855,328.8661,-89382.3203125,915000,4720.05
4664.0,184,184,150.1569,335.5087,-89969.90625,920000,4744.65
3877.02,185,185,142.9525,335.4762,-87258.46875,925000,2841.48
4839.0,186,186,125.3157,326.2114,-89407.9609375,930000,5245.54
4159.21,187,187,137.3321,329.706,-88672.25,935000,5034.57
5146.98,188,188,136.767,328.6449,-89721.5703125,940000,5234.84
5106.47,189,189,139.3024,334.9459,-90263.3359375,945000,5138.5
4906.16,190,190,138.4526,332.1631,-91595.5234375,950000,4982.98
4957.94,191,191,144.3621,332.7316,-91341.40625,955000,3757.39
4435.63,192,192,153.3669,338.4535,-90254.40625,960000,4733.28
4972.4,193,193,146.1569,328.8452,-89813.09375,965000,5037.48
2799.2,194,194,264.4076,368.233,-88723.953125,970000,3814.94
4377.2,195,195,160.3029,340.2496,-90632.4140625,975000,5035.65
4099.91,196,196,140.8396,330.4129,-92677.328125,980000,5016.8
3836.43,197,197,142.8467,329.7608,-89846.046875,985000,4945.86
4747.73,198,198,144.5789,329.2055,-91304.1796875,990000,4541.21
4805.16,199,199,163.7525,336.5015,-91785.4140625,995000,5232.67
4674.63,200,200,135.9364,332.7252,-89393.6796875,1000000,5176.3
4934.56,201,201,125.8927,325.1563,-91067.9921875,1005000,4045.42
4169.17,202,202,138.7712,330.7928,-91009.171875,1010000,4724.87
4757.02,203,203,144.6921,332.2816,-91263.5625,1015000,4796.25
4940.21,204,204,125.3245,324.0018,-91650.3515625,1020000,5018.92
4919.07,205,205,127.009,325.7937,-92024.8125,1025000,3838.48
5136.29,206,206,134.4768,330.4235,-91111.484375,1030000,5236.81
3750.79,207,207,207.3832,339.8841,-91777.625,1035000,5247.63
4991.0,208,208,130.1474,327.3113,-92441.171875,1040000,5327.63
4860.22,209,209,128.5195,327.6613,-92645.84375,1045000,5308.03
4984.33,210,210,127.3913,329.9397,-92816.875,1050000,5248.75
4643.51,211,211,149.3899,331.1436,-93267.9921875,1055000,5357.81
4450.66,212,212,160.6889,337.9751,-93663.0859375,1060000,5131.12
5176.37,213,213,132.2057,331.4446,-93361.71875,1065000,5090.25
5045.17,214,214,129.3297,327.3005,-92354.3046875,1070000,5310.33
4506.59,215,215,131.4294,339.4471,-93662.6171875,1075000,5235.82
5003.62,216,216,158.3126,339.3857,-93504.2265625,1080000,5409.53
5058.02,217,217,140.0781,331.1739,-94385.984375,1085000,5324.14
4460.38,218,218,132.9771,331.4198,-93800.1796875,1090000,4290.38
4680.9,219,219,168.2476,342.8441,-93841.265625,1095000,4162.66
3991.02,220,220,163.3798,344.185,-92633.390625,1100000,4593.13
5160.58,221,221,138.0314,328.2282,-95055.8515625,1105000,5227.24
4234.07,222,222,147.0537,330.6039,-94312.453125,1110000,4658.64
5253.97,223,223,142.0664,326.9895,-94554.3125,1115000,2451.13
3548.95,224,224,159.4145,335.6043,-93201.25,1120000,1954.49
4601.35,225,225,146.5027,332.2931,-94006.671875,1125000,3568.18
4619.15,226,226,168.5135,341.9988,-94784.390625,1130000,4402.81
4616.31,227,227,141.4957,335.2381,-95546.6015625,1135000,5120.44
4612.68,228,228,145.7807,336.5093,-94774.4765625,1140000,3532.2
5045.73,229,229,146.6796,334.3795,-95329.234375,1145000,5292.96
4796.77,230,230,124.0365,325.7456,-94085.0703125,1150000,4312.79
5112.76,231,231,120.7019,320.6251,-94169.15625,1155000,5230.56
3774.8,232,232,153.4976,331.4763,-93598.6796875,1160000,4375.81
4671.29,233,233,137.1309,335.955,-92762.765625,1165000,5158.7
3715.7,234,234,172.307,345.9444,-94674.890625,1170000,4586.35
4235.22,235,235,124.154,324.4511,-94965.5390625,1175000,4687.88
3784.59,236,236,119.3208,325.2167,-93522.953125,1180000,5232.32
4873.29,237,237,116.5673,324.379,-92855.703125,1185000,5032.68
3816.34,238,238,145.2668,333.5928,-94246.2890625,1190000,3166.94
3292.38,239,239,207.746,347.8587,-93977.625,1195000,3865.85
2417.0,240,240,166.2613,342.2468,-93427.109375,1200000,1606.0
3935.12,241,241,150.0285,341.5849,-94458.7109375,1205000,4186.52
2284.63,242,242,133.9922,343.1556,-93930.3984375,1210000,3632.13
4296.79,243,243,134.0622,335.1632,-89168.109375,1215000,5125.04
4059.08,244,244,156.421,342.6059,-92380.59375,1220000,5148.37
4139.47,245,245,118.8886,326.1606,-92333.90625,1225000,4672.24
4098.62,246,246,128.0458,328.4876,-92763.4140625,1230000,5134.38
3867.93,247,247,132.8816,330.72,-94397.25,1235000,4814.33
4415.37,248,248,136.7154,335.6756,-93349.3125,1240000,5175.59
3100.53,249,249,137.821,337.4049,-94037.9921875,1245000,5342.2
3745.42,250,250,123.9109,329.3921,-93678.671875,1250000,5249.52
3932.1,251,251,147.5561,338.9147,-93413.7890625,1255000,5219.51
3486.46,252,252,146.7089,335.9689,-94386.2109375,1260000,5147.69
4756.97,253,253,123.0104,324.5004,-94799.25,1265000,4969.21
3514.59,254,254,171.7027,347.5323,-94221.5625,1270000,4869.92
4405.63,255,255,127.5569,332.542,-94416.7578125,1275000,5246.72
3361.08,256,256,158.5753,338.4198,-92221.6640625,1280000,4335.15
4623.11,257,257,133.2688,326.5297,-94773.9609375,1285000,2214.74
2429.79,258,258,183.7736,341.2533,-92814.2265625,1290000,4317.59
3550.43,259,259,125.8625,322.4301,-94124.4140625,1295000,4818.77
2954.9,260,260,190.489,348.0989,-92895.765625,1300000,4069.16
2782.87,261,261,159.3457,336.6505,-93869.03125,1305000,3436.03
4114.58,262,262,159.6386,335.9645,-95197.4453125,1310000,4093.12
4599.63,263,263,128.7165,324.4674,-94557.375,1315000,5201.65
3761.31,264,264,135.8064,333.1355,-93744.2421875,1320000,5338.21
2717.6,265,265,195.8984,355.6322,-94379.84375,1325000,2142.1
3381.05,266,266,156.7768,334.3147,-95469.515625,1330000,4864.5
3383.93,267,267,172.4641,344.4499,-95070.4765625,1335000,2193.19
4385.34,268,268,120.7147,325.4922,-96275.265625,1340000,5341.28
4770.15,269,269,130.6306,326.8724,-95878.0234375,1345000,5409.59
4415.92,270,270,141.1219,329.1677,-94499.6015625,1350000,5169.75
5225.0,271,271,139.5381,327.145,-97041.984375,1355000,5435.6
4492.87,272,272,118.3445,316.7989,-95097.15625,1360000,5339.57
4992.36,273,273,113.7231,317.205,-95603.734375,1365000,5387.47
4982.95,274,274,115.122,312.3155,-95129.921875,1370000,5361.61
4842.8,275,275,156.9904,332.6293,-96103.453125,1375000,4826.4
4434.47,276,276,142.7418,321.4248,-95278.625,1380000,4682.85
3692.01,277,277,185.8601,339.3715,-96816.03125,1385000,3727.35
3578.93,278,278,229.4088,341.0138,-96940.7578125,1390000,4170.03
3183.07,279,279,147.2413,337.7972,-93750.2578125,1395000,3630.1
4179.06,280,280,132.8266,331.0434,-96818.828125,1400000,3810.42
3839.69,281,281,141.8969,332.9845,-94561.0,1405000,4612.09
3117.95,282,282,198.9737,356.9468,-96182.328125,1410000,2926.48
3012.1,283,283,262.1065,372.5465,-95265.2578125,1415000,1926.06
2059.2,284,284,221.0314,373.6689,-93376.171875,1420000,1923.36
2016.16,285,285,301.9395,360.9918,-96042.5234375,1425000,2095.79
3045.41,286,286,278.8427,363.788,-94960.5390625,1430000,1538.6
2686.41,287,287,237.093,346.9464,-95699.9765625,1435000,1975.0
3209.96,288,288,142.8596,337.3909,-95535.03125,1440000,4214.27
4682.0,289,289,145.6773,323.9975,-96569.2578125,1445000,5185.78
4280.02,290,290,144.4234,315.0383,-95073.8125,1450000,3835.93
4099.52,291,291,128.1024,319.6486,-94550.4296875,1455000,4204.64
3106.1,292,292,206.8065,324.3382,-94027.734375,1460000,899.13
1585.39,293,293,216.4648,335.4133,-92436.5703125,1465000,598.92
1856.76,294,294,281.0726,347.2688,-95965.3125,1470000,1467.03
3692.95,295,295,132.1024,318.9622,-95104.1015625,1475000,2462.35
4851.63,296,296,119.4253,318.813,-95116.2421875,1480000,5245.97
4700.28,297,297,137.4263,333.6066,-96747.296875,1485000,4680.34
3599.3,298,298,169.4936,332.5848,-96507.15625,1490000,3379.6
3955.25,299,299,158.1093,334.3694,-96631.5546875,1495000,4807.41
3249.28,300,300,136.2077,324.6344,-95688.4140625,1500000,4454.51
4271.71,301,301,148.659,328.7967,-97247.703125,1505000,4766.29
4463.25,302,302,142.5262,331.8652,-96665.6328125,1510000,4496.95
4842.72,303,303,151.6032,334.9494,-97504.9921875,1515000,5280.0
2611.19,304,304,206.0738,346.2201,-95360.0234375,1520000,2689.22
4203.13,305,305,182.7548,336.9554,-96521.28125,1525000,5244.72
4841.17,306,306,125.7856,329.4706,-97107.6953125,1530000,5299.92
4676.42,307,307,162.3007,330.6969,-97408.359375,1535000,5325.07
4588.29,308,308,175.8779,334.0224,-96730.59375,1540000,5269.85
4996.54,309,309,130.4703,331.0734,-96073.0546875,1545000,5238.98
4318.06,310,310,134.2235,324.8895,-96382.5703125,1550000,4840.44
4246.94,311,311,158.7382,336.4043,-96468.65625,1555000,5086.53
3813.05,312,312,249.0969,358.1586,-95193.734375,1560000,3737.99
4907.43,313,313,190.2357,363.4484,-94905.2265625,1565000,4686.23
4458.49,314,314,168.6609,341.6035,-95609.15625,1570000,5252.74
3528.57,315,315,154.0929,340.3978,-93784.3203125,1575000,4486.16
2205.43,316,316,253.7064,370.6411,-94730.765625,1580000,1918.97
4255.26,317,317,123.043,329.8884,-96038.828125,1585000,1805.59
3615.8,318,318,115.2491,325.3639,-96577.1953125,1590000,2465.88
4376.13,319,319,130.0688,329.363,-95791.9140625,1595000,4542.04
4445.03,320,320,165.1034,336.8268,-92406.90625,1600000,5014.27
3994.43,321,321,174.0424,343.2462,-94442.4140625,1605000,4211.77
2574.07,322,322,145.4311,337.4613,-96830.453125,1610000,4066.41
2096.97,323,323,172.5257,347.5368,-92138.4609375,1615000,3726.9
2603.23,324,324,247.412,363.6337,-88260.8046875,1620000,3092.26
2904.78,325,325,193.952,361.6353,-89674.4453125,1625000,2805.73
1282.47,326,326,195.2395,351.9448,-90566.109375,1630000,783.02
2203.77,327,327,206.8847,355.8248,-90129.2890625,1635000,931.08
440.19,328,328,259.3098,392.1926,-88248.6171875,1640000,268.66
349.29,329,329,263.0637,423.0163,-86846.15625,1645000,304.11
685.67,330,330,220.0675,425.3955,-86194.96875,1650000,1079.48
556.32,331,331,266.2528,444.1833,-87007.7421875,1655000,578.62
543.32,332,332,238.041,441.3326,-86985.2890625,1660000,790.13
403.41,333,333,232.1078,439.1211,-86926.015625,1665000,521.35
1046.14,334,334,204.7856,408.2123,-87627.5859375,1670000,645.68
456.36,335,335,230.2135,449.8672,-86861.8984375,1675000,540.08
848.14,336,336,230.8708,418.5035,-84605.421875,1680000,849.3
466.43,337,337,242.352,402.1118,-90182.9609375,1685000,871.19
892.58,338,338,255.722,410.3558,-84857.9375,1690000,695.64
903.55,339,339,299.8219,441.182,-89931.7109375,1695000,921.96
358.15,340,340,355.5692,421.4833,-92472.71875,1700000,336.72
669.36,341,341,428.1963,450.3568,-88938.2109375,1705000,451.51
448.23,342,342,460.3578,461.861,-92283.3359375,1710000,452.12
632.0,343,343,409.6051,450.9486,-87150.21875,1715000,547.79
458.43,344,344,398.8552,427.1614,-88923.9765625,1720000,705.63
786.26,345,345,460.665,426.313,-95450.328125,1725000,1179.74
335.86,346,346,526.1363,513.1067,-86293.3359375,1730000,214.22
355.71,347,347,606.3546,504.7277,-93050.390625,1735000,433.55
285.09,348,348,615.3959,495.9305,-89906.9921875,1740000,202.68
231.66,349,349,563.7505,511.217,-79932.0703125,1745000,321.18
127.52,350,350,784.8592,636.709,-95055.859375,1750000,131.18
144.13,351,351,678.6563,533.8497,-90730.15625,1755000,150.95
243.44,352,352,616.793,532.4552,-89918.890625,1760000,327.75
167.39,353,353,520.5645,618.667,-71668.8828125,1765000,208.17
156.09,354,354,579.321,575.3923,-85005.6796875,1770000,201.94
60.34,355,355,616.7196,703.8183,-84401.734375,1775000,60.4
59.64,356,356,606.607,714.2981,-93938.328125,1780000,59.61
58.24,357,357,682.4805,719.9838,-95440.8125,1785000,58.06
57.51,358,358,790.5148,744.0543,-97031.859375,1790000,57.81
57.24,359,359,813.3757,718.0797,-88207.6796875,1795000,57.28
57.52,360,360,1101.9357,761.547,-96677.9921875,1800000,57.5
57.02,361,361,1054.5778,762.0703,-95368.4375,1805000,57.34
57.09,362,362,708.9154,731.5453,-91731.6640625,1810000,57.66
57.83,363,363,829.1056,741.3216,-91016.9609375,1815000,57.72
56.58,364,364,796.6258,717.8198,-93010.1875,1820000,56.59
54.12,365,365,928.7141,734.0945,-97194.0703125,1825000,53.97
54.37,366,366,868.3071,720.53,-94514.90625,1830000,54.37
55.5,367,367,809.4996,721.8443,-89925.1796875,1835000,55.91
55.43,368,368,625.246,706.3524,-87095.0390625,1840000,55.52
53.3,369,369,654.6591,709.2939,-90856.2578125,1845000,53.93
249.12,370,370,626.1585,534.49,-83827.6796875,1850000,254.85
278.34,371,371,715.2252,533.3716,-97783.46875,1855000,288.56
281.36,372,372,682.4606,584.7414,-98599.8515625,1860000,262.74
292.09,373,373,689.7829,526.1627,-98621.3203125,1865000,311.85
309.29,374,374,630.6227,517.9076,-97829.0234375,1870000,286.55
327.89,375,375,661.88,512.8897,-98282.4609375,1875000,350.0
311.54,376,376,799.7669,534.543,-98654.6875,1880000,297.39
309.29,377,377,787.8393,515.5048,-98663.1796875,1885000,292.84
333.45,378,378,833.1227,518.7061,-99011.640625,1890000,348.59
211.14,379,379,840.1814,494.9728,-98496.0546875,1895000,258.96
204.58,380,380,814.769,546.6238,-98399.1171875,1900000,212.42
117.85,381,381,926.6025,708.6134,-98933.4453125,1905000,116.1
101.92,382,382,942.1341,558.6486,-98740.5078125,1910000,114.28
290.06,383,383,1008.0521,515.0228,-98264.0625,1915000,279.22
137.0,384,384,937.9314,550.6781,-98387.171875,1920000,122.01
55.61,385,385,1100.6354,725.8244,-99252.6484375,1925000,55.48
55.56,386,386,1176.8149,721.779,-98903.078125,1930000,55.47
56.39,387,387,1196.7697,738.378,-99206.921875,1935000,56.1
56.63,388,388,1219.4041,735.993,-99016.7109375,1940000,56.36
56.26,389,389,1248.9142,738.6676,-99353.7265625,1945000,56.41
55.73,390,390,1262.0692,782.5673,-99442.8125,1950000,55.56
55.21,391,391,1262.0431,757.1242,-99399.140625,1955000,56.22
56.72,392,392,1239.1904,797.3153,-99378.859375,1960000,55.94
54.61,393,393,1244.3785,749.0432,-99424.328125,1965000,54.6
55.17,394,394,1233.7295,748.9091,-99404.2890625,1970000,54.41
56.46,395,395,1215.3239,750.4264,-99212.3671875,1975000,55.71
56.53,396,396,1156.1436,751.9197,-99410.640625,1980000,56.46
55.22,397,397,1189.2424,748.2134,-99464.5078125,1985000,55.16
55.78,398,398,1169.2099,747.0537,-99468.3125,1990000,55.17
54.24,399,399,1093.6893,738.935,-99491.28125,1995000,53.7
52.64,400,400,1183.4878,751.8643,-99664.2109375,2000000,51.88
62.48,401,401,825.0548,714.0129,-97852.8828125,2005000,65.15
84.03,402,402,807.1483,655.6914,-97688.640625,2010000,88.62
54.78,403,403,1161.0454,741.5582,-99420.3203125,2015000,54.61
52.08,404,404,1218.9257,728.6882,-99198.0078125,2020000,51.58
