Running Env Steps,Running Update Time,Reward Loss,Running Forward KL,Real Det Return,Itration,Real Sto Return,Running Reverse KL
160000,32,-964.74169921875,24.0656,1657.93,32,1254.54,75.9015
165000,33,-948.0650634765625,24.4241,935.92,33,1241.02,60.7364
170000,34,-1100.1832275390625,24.964,966.26,34,1439.97,73.3603
175000,35,-973.4102172851562,23.5728,2867.37,35,1733.44,34.9594
180000,36,-1081.8153076171875,24.3256,962.67,36,1038.79,43.2802
185000,37,-660.7713012695312,23.3119,3124.65,37,2504.25,25.9101
190000,38,-890.37939453125,23.0495,3183.74,38,1932.34,54.8586
195000,39,-1023.8176879882812,23.7863,1133.86,39,2469.54,40.4879
200000,40,-871.58251953125,23.6071,3121.37,40,2291.75,37.3996
205000,41,-991.9486694335938,23.6467,1153.88,41,1387.64,40.883
210000,42,-598.8980102539062,23.3494,3107.57,42,2139.59,20.0996
215000,43,-858.8983154296875,22.9255,2999.11,43,1908.49,32.8254
220000,44,-452.28692626953125,24.0489,2916.81,44,2578.21,15.3788
225000,45,-1413.9189453125,24.1894,1168.14,45,1279.6,62.5426
230000,46,-1351.421630859375,23.5834,3051.3,46,1926.2,59.4973
235000,47,-1244.3240966796875,24.1061,3225.94,47,1529.21,34.5077
240000,48,-1654.144287109375,24.1721,3267.09,48,1584.08,97.9396
245000,49,-1344.2950439453125,23.7723,1202.39,49,1485.41,58.8157
250000,50,-1153.09521484375,23.1864,3240.84,50,2641.3,44.4444
255000,51,-1927.351806640625,24.4349,1134.5,51,1191.44,83.7046
260000,52,-623.42236328125,23.3309,3195.56,52,2879.23,18.6938
265000,53,-1552.736572265625,23.4758,3238.32,53,2251.19,58.4813
270000,54,-1627.626953125,23.6364,3258.56,54,1917.73,57.7159
275000,55,-1206.3211669921875,23.2973,3181.52,55,2038.82,32.2733
280000,56,-449.6400451660156,23.1311,3225.06,56,3237.88,14.8588
285000,57,-1301.890380859375,23.6459,2314.66,57,1727.69,18.9023
290000,58,-1264.0201416015625,23.1944,3016.34,58,1604.59,26.9633
295000,59,-1925.5743408203125,24.0137,2066.79,59,1422.29,60.5158
300000,60,-1279.9903564453125,23.5944,3271.25,60,2807.25,38.5775
305000,61,-1780.071044921875,23.5617,2475.07,61,2062.12,39.6515
310000,62,-2023.6094970703125,24.362,3174.05,62,1720.11,50.1163
315000,63,-736.0548706054688,23.0611,3080.77,63,2888.54,18.7852
320000,64,-1783.718017578125,24.6518,2699.84,64,1842.2,35.2375
325000,65,-1856.74560546875,24.6015,1266.27,65,1250.82,37.5493
330000,66,-1202.023193359375,24.3959,1867.49,66,1486.85,12.6152
335000,67,-1729.3502197265625,23.7864,1468.05,67,1530.83,39.1554
340000,68,-1859.27685546875,23.5187,2782.63,68,1710.4,44.3152
345000,69,-785.35107421875,22.3089,3259.71,69,2576.87,22.0692
350000,70,-1368.723388671875,22.7934,2633.11,70,2103.45,23.7438
355000,71,-1976.445068359375,23.1249,1470.41,71,1860.51,46.9529
360000,72,-1411.0977783203125,22.3998,3315.2,72,2953.57,24.4842
365000,73,-1425.5010986328125,23.4289,3304.25,73,2461.31,33.3389
370000,74,-1294.50341796875,23.6044,3151.47,74,2627.43,21.6538
375000,75,-600.282470703125,22.9329,3150.79,75,3083.16,15.4405
380000,76,-1963.091064453125,23.3453,2917.32,76,2087.86,44.561
385000,77,-1956.7313232421875,24.2279,1496.71,77,1557.49,28.6827
390000,78,-1670.0155029296875,23.4262,2330.46,78,1813.97,21.5708
395000,79,-3186.877197265625,24.1339,1523.54,79,1373.14,79.4018
400000,80,-2274.330810546875,24.1022,1538.63,80,1518.27,40.0596
405000,81,-2985.2080078125,24.4791,1364.45,81,1467.16,63.896
410000,82,-2145.680419921875,23.1219,1763.36,82,2059.33,35.5027
415000,83,-2923.457763671875,24.303,1271.73,83,1386.27,66.3852
420000,84,-2265.022705078125,23.4441,1542.4,84,1812.77,33.6174
425000,85,-1874.9571533203125,23.286,3285.73,85,2282.89,19.2898
430000,86,-2375.5126953125,23.8552,1507.21,86,1818.84,46.7967
435000,87,-2050.09375,23.9171,1990.02,87,1544.57,23.3161
440000,88,-1427.5477294921875,23.0969,3217.09,88,2287.89,18.7922
445000,89,-772.0304565429688,22.4646,3162.54,89,3174.17,15.133
450000,90,-2000.544189453125,23.2744,3246.16,90,1725.7,30.6588
455000,91,-2634.49853515625,23.6575,2775.1,91,1636.9,38.9632
460000,92,-1679.8634033203125,22.4619,3337.7,92,2699.07,37.7045
465000,93,-2369.662353515625,23.4346,1702.62,93,1631.52,40.9364
470000,94,-1915.8785400390625,22.2919,3290.16,94,2136.36,29.4246
475000,95,-2094.4306640625,23.1553,2286.49,95,1594.25,16.79
480000,96,-740.4693603515625,22.7377,3227.88,96,3239.42,14.8762
485000,97,-738.3272094726562,21.8489,3249.35,97,3271.07,14.5621
490000,98,-764.1183471679688,22.4407,3234.3,98,3256.78,14.7996
495000,99,-1205.5540771484375,22.2199,3271.21,99,2847.57,20.6087
500000,100,-974.6476440429688,22.845,3316.78,100,2950.89,13.7698
505000,101,-702.0829467773438,22.4917,3343.12,101,3287.93,15.3021
510000,102,-762.2528686523438,21.8259,3268.75,102,3275.45,14.4264
515000,103,-1507.7821044921875,23.5228,3334.33,103,2935.92,24.2743
520000,104,-922.9658203125,22.205,3314.18,104,3132.61,14.7384
525000,105,-768.6870727539062,22.5961,3328.51,105,3334.76,14.9467
530000,106,-878.8724975585938,22.1453,3312.19,106,3316.72,14.2706
535000,107,-818.1168823242188,22.2546,3299.47,107,3326.66,14.8205
540000,108,-818.8939208984375,22.1143,3293.26,108,3309.52,15.1732
545000,109,-1009.1215209960938,21.3068,3352.2,109,3054.38,16.3346
550000,110,-812.7619018554688,21.8386,3377.07,110,3363.21,14.5661
555000,111,-793.99658203125,21.582,3329.61,111,3274.55,14.4898
560000,112,-759.8853759765625,21.1759,3378.27,112,3343.1,14.4709
565000,113,-788.7061157226562,22.6043,3337.28,113,3323.11,15.295
570000,114,-820.9130249023438,21.8304,3385.9,114,3278.07,14.6538
575000,115,-805.0084228515625,22.1285,3385.43,115,3382.9,15.1963
580000,116,-838.3236694335938,21.6302,3344.49,116,3312.7,14.4113
585000,117,-864.9737548828125,20.8131,3393.63,117,3363.31,14.166
590000,118,-2315.3515625,22.0751,3345.98,118,3145.83,47.01
595000,119,-1458.3299560546875,22.1732,3441.02,119,3377.63,30.8854
600000,120,-811.5320434570312,21.9972,3446.82,120,3360.28,14.6139
605000,121,-827.2232666015625,21.3497,3437.87,121,3401.82,14.5863
610000,122,-913.6219482421875,22.5731,3396.52,122,3387.04,15.2078
615000,123,-951.17626953125,21.7761,3409.35,123,3324.89,14.1644
620000,124,-864.6460571289062,22.0616,3373.9,124,3346.89,14.1941
625000,125,-947.136962890625,21.785,3385.59,125,3275.46,13.8361
630000,126,-1145.685791015625,20.2973,3428.66,126,3071.42,14.5357
635000,127,-942.4752197265625,22.1251,3407.95,127,3390.13,14.487
640000,128,-1114.8148193359375,21.42,3470.49,128,3440.82,17.5115
645000,129,-911.9613647460938,21.8819,3369.74,129,3295.92,13.871
650000,130,-744.9044799804688,20.5204,3412.55,130,3189.82,13.4363
655000,131,-988.3862915039062,21.6166,3427.85,131,3405.25,14.7952
660000,132,-1127.9642333984375,20.9661,3420.07,132,3172.66,16.3103
665000,133,-942.3763427734375,20.9953,3485.86,133,3292.75,14.1416
670000,134,-1531.4737548828125,21.6665,3440.52,134,3164.05,18.142
675000,135,-856.9685668945312,21.2113,3429.85,135,3425.76,14.3159
680000,136,-951.8159790039062,21.2315,3423.36,136,3397.28,14.3305
685000,137,-1385.021484375,21.8192,3392.86,137,3287.97,19.4018
690000,138,-1593.7340087890625,22.1266,3417.8,138,3059.45,16.4171
695000,139,-873.785400390625,21.2246,3466.13,139,3413.25,14.2435
700000,140,-952.0355224609375,21.3105,3419.48,140,3376.52,14.435
705000,141,-1033.9398193359375,21.1579,3396.82,141,3371.89,14.3711
710000,142,-996.7786865234375,21.3159,3460.55,142,3433.32,14.3278
715000,143,-1083.9456787109375,21.7302,3404.7,143,3385.54,14.9712
720000,144,-1007.3245239257812,21.2605,3421.96,144,3366.14,13.9447
725000,145,-1083.868896484375,22.0472,3437.02,145,3412.75,15.0259
730000,146,-1131.2493896484375,22.2058,3368.52,146,3342.13,14.7311
735000,147,-999.521728515625,21.1929,3451.38,147,3349.5,13.8883
740000,148,-1119.9837646484375,21.1145,3416.17,148,3370.65,13.5871
745000,149,-1515.4627685546875,21.2853,3457.52,149,3277.41,22.3
750000,150,-1197.733642578125,21.6188,3447.46,150,3209.49,17.6553
755000,151,-1155.8612060546875,21.236,3398.43,151,3394.5,14.6601
760000,152,-1224.0362548828125,21.6606,3432.0,152,3358.01,14.8029
765000,153,-2046.867919921875,21.8198,3470.97,153,2805.99,23.2977
770000,154,-1255.5401611328125,21.4029,3431.42,154,3388.79,13.8643
775000,155,-1384.8349609375,21.4466,3436.74,155,3243.95,18.2314
780000,156,-1266.5811767578125,22.0297,3416.48,156,3333.85,14.6305
785000,157,-1224.4324951171875,21.4533,3427.33,157,3333.96,13.9798
790000,158,-1818.3271484375,21.818,3446.9,158,3335.88,19.4635
795000,159,-1389.516845703125,21.4911,3502.06,159,3372.1,17.8397
800000,160,-1172.5006103515625,21.0916,3459.09,160,3446.28,14.2732
805000,161,-1233.0789794921875,21.7462,3501.66,161,3433.91,14.9928
810000,162,-1732.303955078125,21.8756,3503.21,162,2941.99,17.562
815000,163,-1276.6595458984375,21.6337,3440.29,163,3405.33,14.6157
820000,164,-3634.383544921875,22.7659,3231.54,164,1987.34,63.059
825000,165,-1547.15478515625,22.1762,3431.13,165,3251.76,17.9443
830000,166,-1319.2718505859375,21.3095,3429.17,166,3370.8,14.8123
835000,167,-1360.412353515625,21.0014,3459.77,167,3346.41,15.5844
840000,168,-1411.1861572265625,21.7687,3468.45,168,3233.74,14.2972
845000,169,-1288.3221435546875,20.8943,3452.28,169,2999.0,13.8597
850000,170,-1690.1768798828125,22.3172,3434.29,170,3315.88,15.4365
855000,171,-1452.66748046875,21.0455,3463.33,171,3151.26,16.9327
860000,172,-1340.6177978515625,21.4021,3500.25,172,3382.36,14.6199
865000,173,-1303.235107421875,20.9671,3408.81,173,3353.76,14.0232
870000,174,-1901.6905517578125,21.448,3484.47,174,3330.0,24.6023
875000,175,-1517.2122802734375,21.5274,3505.38,175,3244.6,14.5028
880000,176,-1413.409912109375,21.222,3481.48,176,3450.39,14.4226
885000,177,-1351.8861083984375,21.0947,3448.96,177,3320.6,14.057
890000,178,-1405.576416015625,20.9495,3449.53,178,3413.42,14.2482
895000,179,-1479.9449462890625,21.2959,3471.65,179,3410.36,14.6914
900000,180,-1595.3812255859375,21.5984,3487.13,180,3064.9,21.0145
905000,181,-1343.8375244140625,21.2756,3474.01,181,3382.72,14.8499
910000,182,-1455.99169921875,20.4713,3454.24,182,3413.74,16.4128
915000,183,-1274.3875732421875,20.9764,3482.76,183,3436.49,14.4497
920000,184,-1490.721435546875,21.4212,3520.09,184,3453.68,14.118
925000,185,-1850.089599609375,21.4056,3557.59,185,3068.43,23.0479
930000,186,-1441.621337890625,21.3409,3464.12,186,3461.35,14.4516
935000,187,-1596.3272705078125,20.4962,3474.47,187,3307.04,15.6117
940000,188,-1493.591796875,20.8464,3515.94,188,3336.4,14.178
945000,189,-1555.0240478515625,21.2781,3457.83,189,3385.13,13.8872
950000,190,-1508.1654052734375,20.998,3478.16,190,3391.68,14.3847
955000,191,-1606.3585205078125,21.1434,3448.33,191,3317.25,13.8564
960000,192,-1421.0404052734375,20.4776,3510.5,192,3488.82,14.1897
965000,193,-1605.086669921875,20.7469,3521.02,193,3459.95,13.9158
970000,194,-1627.6561279296875,21.1482,3446.78,194,3388.7,13.7734
975000,195,-1691.8868408203125,20.6511,3492.79,195,3374.68,15.6701
980000,196,-1526.491943359375,21.0181,3535.14,196,3490.59,14.5775
985000,197,-1519.2247314453125,21.5928,3546.62,197,3328.49,14.3721
990000,198,-1764.70703125,20.9672,3516.73,198,3442.43,17.3909
995000,199,-1626.5997314453125,21.6781,3518.3,199,3421.19,13.9746
